															
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	Shape	Equip X	Equip Y	Notes
30	2haxe3	Grand Poleax	900	Weapon2	Axe	3d7	9	5	8	Two-Handed Axe	8	0	492	1	The blade head of this weapon was obviously created with the aid of magic.  It is both unusually sharp and light at the same time.
31	spear1	Spear	15	Weapon1or2	Spear	1d9	0	6	1	Spear	9	21	519	12	"Barely more than a sharpened stick, this spear is still quite deadly.  Like all spears, it can be used in one or both hands (+1D9 if used two-handed)."
32	spear2	Stout Spear	50	Weapon1or2	Spear	1d9	1	6	2	Spear	9	21	517	20	"This spear has a reinforced steel tip to help it penetrate tough armor and hides.  Like all spears, it can be used in one or both hands (+1D9 if used two-handed)."
33	spear3	Serpent Spear	250	Weapon1or2	Spear	1d9	5	6	3	Spear	9	21	500	13	"Decorated with carved serpents running along the shaft, this spear comes equipped with a cross piece designed to prevent impaled foes from sliding along the shaft of the spear and striking a blow at you as they die.  Like all spears, it can be used in one or both hands (+1D9 if used two-handed)."
34	spear4	Savage Spear	450	Weapon1or2	Spear	1d9	9	6	4	Spear	9	21	510	10	"Composed entirely of a rare, bluish metal, the lower half of this spear is wrapped in an expensive leather.  A collector's item!  Like all spears, it can be used in one or both hands (+1D9 if used two-handed)."
35	spear5	Sacred Spear	650	Weapon1or2	Spear	1d9	13	6	6	Spear	9	21	505	6	A smithy symbol and date stamp indicate this spear was made in the magical forges of Governor Padish 12 years before the Silence (+1D9 if used two-handed).
36	halberd1	Halberd	200	Weapon1or2	Spear	3d6	0	6	1	Halberd	10	0	499	5	"Combination poleax and spear, the halberd can inflict terrible wounds, but recovers slowly from swings.  This one is of average quality and workmanship (+1D6 if used two-handed)."
37	halberd3	Massive Halberd	400	Weapon1or2	Spear	3d6	4	6	4	Halberd	10	0	493	3	"Of solid construction, this halberd has a particularly heavy blade.  Wielded by a mighty warrior, it could surely be used to slay the toughest of monsters (+1D6 if used two-handed)."
38	halberd2	Elite Halberd	700	Weapon1or2	Spear	3d6	10	6	8	Halberd	10	0	496	4	"A small stamp on the blade of this weapon indicates it was constructed in the famous Mekorig Foundry by the master himself, Mekorig the Blind.  You would be hard pressed to find a finer Halberd anywhere in the world (+1D6 if used two-handed)."
39	trident1	Trident	100	Weapon1or2	Spear	2d6	0	6	1	Trident	11	21	494	10	"Common war tridents, like this one, are good quality weapons issued by the Imperial Regnan Navy to facilitate the collection of Imperial tariffs on the high seas.  Most merchants and other governments refer to this activity as piracy…(+1D6 if used two-handed)."
40	trident2	Ornate Trident	400	Weapon1or2	Spear	2d6	6	6	3	Trident	11	21	490	6	A high quality war trident of the style given to officers of the Imperial Regnan Navy.  This one was probably taken from the officer during an Imperial Taxation battle that went poorly for the Navy (+1D6 if used two-handed).
41	trident3	Titanic Trident	700	Weapon1or2	Spear	2d6	12	6	6	Trident	11	21	492	2	"This beautiful trident is mostly made of Kergar, a rare, bluish metal that does not rust or lose its edge over time (+1D6 if used two-handed)."
42	bow1	Longbow	100	Missile	Bow	5d2	0	3	1	Longbow	12	3	570	23	A simple longbow constructed of common materials and uninspired design.
43	bow2	Elven Bow	200	Missile	Bow	5d2	2	3	3	Longbow	12	3	569	34	A weapon only made by the Elves of the great Erathian forests.  This one reflects the same high quality workmanship found in all Elvish artifacts.
44	bow3	Precision Bow	300	Missile	Bow	5d2	4	3	5	Longbow	12	3	578	35	Etched initials at the base of the bow indicate this bow was made by master bowyer Ivan Selving's workshop during the Timber Wars against the Elves of Erathia in the late 600's.
45	bow4	Magic Bow	400	Missile	Bow	5d2	6	3	7	Longbow	12	3	564	41	This bow is composed of strange materials and bound together by subtle enchantments.  It is extremely light and accurate.
46	bow5	Stellar Bow	500	Missile	Bow	5d2	8	3	9	Longbow	12	3	567	26	"Created by stripping the Heavenly Forges of their enchanted parts when they became useless some years after the Silence, very few of these bows have survived the passage of time.  What few remain are hoarded by the Elves and individual collectors."
47	crsbow1	Crossbow	50	Missile	Bow	4d2	0	4	1	Crossbow	13	0	555	75	"Crossbows are the deadliest ranged weapons made since the Time of Wonders.  This crossbow is made of stout Yew wood and metal fixtures, but is otherwise rather ordinary."
48	crsbow2	Accurate Crossbow	200	Missile	Bow	4d2	3	4	4	Crossbow	13	0	533	72	"These crossbows were stockpiled by Archibald just prior to the Succession War for use against his brother.  As with most decisions involving death, Archibald chose wisely.  These crossbows are amongst the best in the land."
49	crsbow3	True Crossbow	400	Missile	Bow	4d2	7	4	8	Crossbow	13	0	557	66	"Equipped with a hand crank and shaft sights, these exceptional crossbows are superior to all that have come before.  Just where they are coming from is a mystery at this time…"
50	mace1	Mace	50	Weapon	Mace	2d4	0	6	1	Mace	14	0	496	74	"Little more than a glorified club, this common mace is made of ordinary materials and unexceptional craftsmanship."
51	mace2	Wicked Mace	150	Weapon	Mace	2d4	2	6	2	Mace	14	0	498	54	"Solidly designed to inflict fatal injuries, even through armor.  The balance is a little top heavy, but the craftsmanship is good."
52	mace3	Thunder Mace	300	Weapon	Mace	2d4	5	6	3	Mace	14	0	489	55	"This mace is one of thousands turned out by the Heavenly Forges before the Silence.  But that was more than a thousand years ago, and not many remain."
53	mace4	Wonder Mace	450	Weapon	Mace	2d4	8	6	4	Mace	14	0	503	67	Only magic could make such an ungainly weapon so light and yet hit so hard.
54	mace5	Death Mace	600	Weapon	Mace	2d4	11	6	6	Mace	14	0	502	75	"Constructed by the Necromancer's guild just prior to their fall during the Succession War, these unusual weapons are almost always enchanted with powerful magics."
55	hammer1	Hammer	120	Weapon	Mace	2d5	0	6	1	Hammer	15	3	487	76	"A graceless and unimaginative weapon, hammers are slow, but hit very hard.  This one is of common construction and materials."
56	hammer2	Dark Hammer	300	Weapon	Mace	2d5	3	6	3	Hammer	15	3	497	71	"A step up in construction quality, these hammers are commonly wielded by humanoid monsters.  Since everyone knows most monsters don't make weapons, the question 'from where are they getting them?' arises…"
57	hammer3	Holy Hammer	600	Weapon	Mace	2d5	9	6	5	Hammer	15	3	504	55	"Magically constructed, these hammers are the property of the Church of the Moon in Karigor."
58	club1	Club	1	Weapon	Club	1d3	0	3	0	Club	16	0	498	51	"A primitive weapon usable by even the stupidest of monsters.  You're not thinking of using this, are you?"
59	club2	Spiked Club	40	Weapon	Club	1d3	3	3	2	Club	16	0	501	29	"An improvement over the simple club, this spiked club will inflict nastier wounds."
60	club3	Killer Club	100	Weapon	Club	1d3	5	3	3	Club	16	0	512	58	"King of the club family.  If this weapon had a knob or ball on the end, it would be a mace.  There is evidence of real craftsmanship in this club, but you can see no true identifying marks that would indicate who created it."
61	staff1	Staff	40	Weapon2	Staff	2d4	0	3	1	Staff	17	21	512	78	"The staff is the traditional weapon of the oppressed.  This one is unremarkable, and the ruby at the end of it is actually just colored glass."
62	staff2	Emerald Staff	250	Weapon2	Staff	2d4	3	3	4	Staff	17	21	512	57	"Magically light and hard, this staff is made of a rare wood stripped from the Elves during the Timber War in 600 A.S.  The emerald at the end of it is real, and probably serves as a magical reservoir from which the staff draws its strength."
63	staff3	Power Staff	500	Weapon2	Staff	2d4	7	3	6	Staff	17	21	483	18	"This staff, along with others of its kind, was found in the treasure room of the Necromancer's guild after their disastrous defeat by Roland at the end of the Succession War."
64	raygun1	Blaster	0	Weapon	Blaster	3d5	8	10	20	Ancient Weapon	18	0	508	130	"A weapon of awesome power, clearly created during the Time of Wonders.  "
65	raygun2	Blaster Rifle	0	Weapon	Blaster	5d5	12	10	20	Ancient Weapon	19	0	494	101	"The finest of personal weapons made during the Time of Wonders, this Blaster Rifle can deal death faster than any weapon you have ever seen."
66	lr1icon	Leather Armor	150	Armor	Leather	4	0	3	1	Leather Armor	20	0	0	0	"Lightest and most easily made among the armors, leather armor offers the least protection.  This particular suit is of average quality."
67	lr2icon	Studded Leather	250	Armor	Leather	4	2	3	3	Leather Armor	20	0	0	0	Studded leather offers more protection than regular leather armor at the expense of being stiffer and weighing more.  This particular suit is well made.
68	lr3icon	Enchanted Leather	450	Armor	Leather	4	6	3	5	Leather Armor	20	0	0	0	"An otherwise ordinary suit of leather armor, this suit is imbued with a subtle enchantment that strengthens the material against blows without increasing weight."
69	lr4icon	Dragon Leather	750	Armor	Leather	4	12	3	7	Leather Armor	20	0	0	0	Standard issue leather armor for officers in the Regnan Navy.  All such leather armor receives enchantments to strengthen and lighten it during its creation in the Regnan Armories.
70	lr5icon	Imperial Leather	1150	Armor	Leather	4	20	3	9	Leather Armor	20	0	0	0	An extremely rare suit of leather armor created during the conflicts between the Church of the Moon and the Church of the Sun roughly 80 years ago.  These suits provide the finest protection available with leather armor.
71	chn1icon	Chain Mail	400	Armor	Chain	8	0	6	1	Chain Mail	21	0	0	0	"Chain mail is an armor formed of small, interlocking loops of metal.  This suit is low quality:  the metal used is plain iron, there are only two layers of rings, and it is heavy and stiff for its size."
72	chn2icon	Steel Chain Mail	600	Armor	Chain	8	4	6	4	Chain Mail	21	0	0	0	"A superior suit of chain mail, the metal used in this suit is steel, and the former owner was careful to keep the suit well oiled and free of rust."
73	chn3icon	Noble Chain Mail	900	Armor	Chain	8	10	6	6	Chain Mail	21	0	0	0	"Cavalry officer's chain mail from the reign of Taledon V of Karigor, Divine High Priest and High Holy Conduit of the Church of the Sun, circa 870 A.S.  The armor is high quality chain, enchanted to lighten and strengthen the metal."
74	chn4icon	Royal Chain Mail	1300	Armor	Chain	8	18	6	8	Chain Mail	21	0	0	0	Highly enchanted armor worn by elvish nobility and royalty during the Timber Wars of the seventh and eighth centuries.
75	chn5icon	Majestic Chain Mail	1800	Armor	Chain	8	28	6	10	Chain Mail	21	0	0	0	"A very rare suit of armor turned out by the Heavenly Forges of Governor Padish before the Silence.  The armor was originally worn strictly by the Governor and his highest military officers as a badge of office.  It is not just for show; this chain mail is lighter, stronger, and more supple than any other chain in the world."
76	pl1icon	Plate Armor	1000	Armor	Plate	20	0	9	1	Plate Armor	22	0	0	0	"Composed of interlocking plates and joints, plate armor is the best unenchanted armor available.  It is, however, heavy and slows the movements of the wearer.  This particular suit is of average quality and the smith unknown."
77	pl2icon	Steel Plate Armor	1400	Armor	Plate	20	8	9	6	Plate Armor	22	0	0	0	Well constructed plates of steel work together to form an overall excellent suit of armor.  A foundry stamp under the right arm indicates it was forged recently in Kelebrim.
78	pl3icon	Golden Plate Armor	2700	Armor	Plate	20	34	9	12	Plate Armor	22	0	0	0	"This suit of plate armor was forged in the Mekorig foundry eighteen years after the death of Mekorig the Blind.  A masterwork, the armor is almost as easy to wear as ordinary clothes, and is probably the best armor available in the world."
79	lshield1	Kite Shield	200	Shield	Shield	6	0	4	1	Large Shield	23	0	548	115	"Formed of stretched hides over a wooden frame, this simple shield provides basic protection against physical attacks."
80	lshield2	Tower Shield	300	Shield	Shield	6	1	4	3	Large Shield	23	0	544	123	The simplicity of the heraldic design on this shield leads one to believe it was created either by barbarians or goblins.  It is made of sturdy materials and should stand up reasonably well in combat.
81	lshield3	Castle Shield	400	Shield	Shield	6	3	4	5	Large Shield	23	0	542	129	"This shield is made of wood framed by iron.  It is somewhat heavy for its size, but it should see you through a battle safely--as long as  you're not backstabbed."
82	lshield4	Celestial Shield	500	Shield	Shield	6	7	4	7	Large Shield	24	0	537	114	"Made of a lightweight metal, this shield has a foundry stamp from the Kelebrim armory.  Though light, the material is very strong, and the metal is welded almost seamlessly.  "
83	lshield5	Olympian Shield	800	Shield	Shield	6	13	4	9	Large Shield	24	0	535	131	"These shields were forged by the Phynaxian empire during its brief rise to power on the steppes of southern Erathia (790-864).  They are made of stalt, a metal that takes well to enchantment, and contributed heavily to Phynaxian military might.  Unfortunately, very little of the metal could be mined, and Phynaxia fell in 864 A.S. to an Elvish offensive."
84	sshield1	Wooden Shield	100	Shield	Shield	4	0	4	1	Small Shield	24	12	559	149	A small wooden shield designed to protect mostly against arrows.
85	sshield2	Bronze Shield	200	Shield	Shield	4	2	4	2	Small Shield	24	12	559	149	"Bronze shields are lighter than iron shields of the same size, but aren't nearly as strong."
86	sshield3	Steel Shield	300	Shield	Shield	4	4	4	3	Small Shield	24	12	556	145	"Since this shield is made of tempered steel, it should resist all but the most unusual of enchanted weapons."
87	sshield4	Spirit Shield	450	Shield	Shield	4	8	4	4	Small Shield	24	12	552	134	"Spirit shields are ordinary steel shields enchanted through a ritualistic process that can have powerful, albeit unpredictable results.  The process is time consuming and requires the undivided attention of at least three masters of Spirit magic."
88	sshield5	Astral Shield	750	Shield	Shield	4	14	4	5	Small Shield	24	12	562	142	"These rare shields were turned out by the hundreds with the aid of the Heavenly Forges to combat rebel forces in the endless string of skirmishes and supply raids that tested (and finally overcame) the Governor's forces in the first century A.S.  As with all such equipment, it is light, tough, and is capable of holding the most powerful enchantments."
89	helm1	Helm	60	Helm	Misc	2	0	6	1	Helm	25	6	539	45	"An ordinary helm.  This one is made of hides stretched over wood.  There's no fur or padding on the inside, so your head will probably ring like a bell when struck a solid blow."
90	hlm2icon	Steel Helm	260	Helm	Misc	2	4	6	4	Helm	25	6	536	42	This is a common steel helm.  The design is a good one and has been used for centuries by warriors all around the world.  Best guess is this helm is 50-75 years old.
91	hlm3icon	Guardian Helm	460	Helm	Misc	2	6	6	6	Helm	25	6	526	38	This helm design has been used by the Elves of Erathia since before the Silence.  It is composed of silver and steel and is very strong.
92	hlm4icon	Defender Helm	660	Helm	Misc	2	8	6	8	Helm	25	6	530	35	"Half made from the skull of the ferocious Mogred beast in Karigor, these helms grow more uncommon every year as the Mogreds approach extinction.  The red stripes around the horns of the helm are highly receptive to enchantment."
93	hlm5icon	Angelic Helm	860	Helm	Misc	2	10	6	10	Helm	25	6	535	40	"These helms are extremely rare and no one knows where they originate, but they almost certainly come from the Time of Wonders.  An extremely fine inscription inside the helm says  'Property of Ship's Store, VARN MCMIV'."
94	hat1a	Cloth Hat	20	Helm	Misc	0	0	2	1	Hat	26	11	542	40	"A common hat.  The material is a blend of cotton and wool, and the feather is from a duck."
95	hat2a	Fancy Hat	100	Helm	Misc	0	0	2	2	Hat	26	11	515	44	"Quite fashionable and stylish, these hats are in vogue amongst the upper classes and those seeking to emulate them."
96	hat3a	Wizard Cap	200	Helm	Misc	0	0	2	3	Hat	26	11	529	14	"Don't laugh--while silly--even ridiculous--in appearance, many sorcerers spend quite a bit of time enchanting hats like this with powerful magics.  The conical shape and 'eyes' in the front of the hat are peculiarly attractive to creatures of the spirit world, and that property makes the hat easier to enchant."
97	crown1a	Crown	250	Helm	Misc	0	0	4	12	Crown	27	0	538	54	"This is a poorly wrought crown, the kind that goblins or low budget actors might create to mock royalty.  It offers no real head protection, although it may carry some small enchantment."
98	crown2a	Regal Crown	450	Helm	Misc	0	0	4	14	Crown	27	0	538	51	"A large, imperfect sapphire is inset in the center of this delicate silver crown.  Extremely fine hammer marks suggest this crown was made by dwarven hands."
99	crown3a	Almighty Crown	650	Helm	Misc	0	0	4	16	Crown	27	0	540	53	"Crowns of this sort are typically created with the use of magic to enhance their susceptibility to magic.  If found with no enchantments whatsoever, the crown was probably left unfinished for some reason. "
100	belt1a	Leather Belt	40	Belt	Misc	0	0	3	1	Belt	28	5	545	181	A common strip of leather used to hold up your pants.
101	belt2a	Mercenary Belt	100	Belt	Misc	0	0	3	2	Belt	28	5	546	184	"A wide leather belt with a big, flashy buckle of a kind favored by bandits and mercenaries.  Both mercenaries and bandits like to have charms or minor enchantments placed on them as battle aids."
102	belt3a	Vanguard Belt	225	Belt	Misc	0	0	3	3	Belt	28	5	545	187	"Cured dragonhide and polished bronze are fastened together to form a belt of unusual strength and resistance to magic.  Although difficult to work with, these belts can offer excellent protection against magic once an enchantment is successfully laid upon them."
103	belt4a	Warlord Belt	450	Belt	Misc	0	0	3	4	Belt	28	5	547	185	"Made of silver and the hide of some unknown creature, this belt is studded with vertical strips of a golden alloy.  The buckle is a single, large opal inset in a platinum base."
104	belt5a	Sovereign Belt	600	Belt	Misc	0	0	3	5	Belt	28	5	547	186	"Though soft and flexible, the material of this belt is made up of extremely fine strands of white gold.  The white gold is braided together by a process too exacting for human hands, and the ruby set into the buckle was perfectly cut by a process long lost in time."
105	cape1a	Leather Cloak	50	Cloak	Misc	1	0	2	2	Cloak	29	10	490	95	A used leather cloak.  It smells faintly of mothballs and dust.
106	cape2a	Phantom Cloak	150	Cloak	Misc	1	2	2	3	Cloak	29	10	495	95	Indigo dye from the Regnan Archipelago was used to stain this wool cloak the color of a summer night's sky.
107	cape3a	Elven Cloak	250	Cloak	Misc	1	4	2	4	Cloak	29	10	495	85	"Woven from plant fibers found in the forests of Erathia, these cloaks are the traditional garb of the Elven Rangers."
108	cape4a	Cardinal Cloak	450	Cloak	Misc	1	6	2	5	Cloak	29	10	490	80	A cloak formerly worn by high officials of the Church of the Sun of Karigor prior to the dissolution of the Church in 1083 A.S.  Nearly all these cloaks were enchanted in one way or another.
109	cape5a	Doom's Day Cloak	750	Cloak	Misc	1	8	2	6	Cloak	29	10	480	80	A cloak formerly worn by high officials of the Church of the Moon of Karigor prior to the dissolution of the Church in 1083 A.S.  Nearly all these cloaks were enchanted in one way or another.
110	gontlet1	Gauntlets	100	Gauntlets	Misc	3	0	6	2	Gauntlets	30	0	0	0	A steel plated gauntlet of simple make and design.
111	gontlet2	Knight Gauntlets	250	Gauntlets	Misc	3	3	6	4	Gauntlets	30	0	0	0	"This gauntlet is an improvement over the simple, inflexible steel gauntlets commonly worn by goblins and brigands.  The back of the hand and wrist are solid, while the jointing around the fingers is made of chain links to improve dexterity."
112	gontlet3	Paladin Gauntlets	450	Gauntlets	Misc	3	5	6	6	Gauntlets	30	0	0	0	"While lacking in flexibility, this gauntlet has reinforced joints over the knuckles and at the base of the wrist."
113	gontlet4	Cavalier Gauntlets	650	Gauntlets	Misc	3	7	6	8	Gauntlets	30	0	0	0	"A high quality gauntlet, it offers both flexibility and protection.  The joints are reinforced, yet are 'soft' enough to permit nearly normal hand motion."
114	gontlet5	Ultimate Gauntlets	850	Gauntlets	Misc	3	9	6	10	Gauntlets	30	0	0	0	"Dwarven smiths created this masterpiece of gauntlet design.  Except for the extra bulk, there seems little difference between this gauntlet and a velvet glove.  Clever sliding and rotating plates at the joints and wrist permit full normal hand motion while providing continuous protection at all times."
115	boots1	Leather Boots	50	Boots	Misc	2	0	3	3	Boots	31	0	537	289	Common traveler's boots made with leather and hobnailed.
116	boots2	Steel Boots	250	Boots	Misc	2	4	3	4	Boots	31	0	540	289	Heavy steel boots made for solid foot protection in battle.  They are uncomfortable to walk in and have a tendency to rust on the inside.
117	boots3	Armored Boots	450	Boots	Misc	2	6	3	5	Boots	31	0	542	288	The interior of these steel plated boots is made of leather and cloth to soften the sharp edges on the metal plates.  They are a bit heavy and exhausting to wear for extended periods.
118	boots4	Sterling Boots	650	Boots	Misc	2	8	3	6	Boots	31	0	541	287	"Polished silver boots with velvet interiors, these boots are lighter than steel boots and far more comfortable.  They look pretty snappy, too."
119	boots5	Ultimate Boots	850	Boots	Misc	2	10	3	7	Boots	31	0	542	285	"Dragonhide boots reinforced with molded horn strips and stalt metal rivets.  Soft and light, they provide unparalleled foot protection."
120	ring1	Fine Ring	100	Ring	Misc	0	0	7	2	Ring	32	0	0	0	A small golden ring with a quarter carat diamond.  The style is simple and elegant.
121	ring2	Sparkling Ring	300	Ring	Misc	0	0	7	4	Ring	32	0	0	0	Two amethysts adorn this plain platinum ring.
122	ring9	Lunar Ring	500	Ring	Misc	0	0	7	6	Ring	32	0	0	0	A gold ring with a large moonstone set in the center.  These rings typically carry an enchantment.
123	ring4	Witch Ring	700	Ring	Misc	0	0	7	8	Ring	32	0	0	0	Rings such as this one were worn by the Witch's guild to signify membership during their heyday between 550-800 A.S.
124	ring8	Blessed Ring	900	Ring	Misc	0	0	7	10	Ring	32	0	0	0	"The three pearls mounted on a gold base glimmer a faint blue when held out in the sun, offering insight as to the source of their magic."
125	ring3	Valuable Ring	1100	Ring	Misc	0	0	7	12	Ring	32	0	0	0	A large star sapphire flanked by two smaller rubies decorate an otherwise plain gold band.
126	ring5	Precious Ring	1300	Ring	Misc	0	0	7	14	Ring	32	0	0	0	"Three gems, symmetrically equal in size and quality adorn a hammered gold band.  The center gem is a ruby, and the two flanking gems are purple topazes."
127	ring6	Ethereal Ring	1500	Ring	Misc	0	0	7	16	Ring	32	0	0	0	"A hammered white gold ring with a large central diamond and two small pearls, light doesn't fall upon it normally.  The ring glitters and fades unpredictably, as though it were lit by an invisible sun shining in an unseen, yet parallel world.  "
128	ring7	Exquisite Ring	1700	Ring	Misc	0	0	7	18	Ring	32	0	0	0	Three opals rimmed with a strange red metal are set in a perfect ring of stalt--a very rare metal found only in southern Erathia.
129	ring10	Scarab Ring	2000	Ring	Misc	0	0	7	20	Ring	32	0	0	0	"A gold band adorned with the shell of a rare beetle found only in the deserts of Enroth.  Treated properly by an alchemist, these shells can be made to hold the mightiest of enchantments."
130	amulet1	Turquoise Amulet	500	Amulet	Misc	0	0	4	2	Amulet	33	0	0	0	"A turquoise stone bracketed by a bronze chain and clasp makes for an inexpensive, yet charming amulet."
131	amulet2	Gothic Amulet	750	Amulet	Misc	0	0	4	4	Amulet	33	0	0	0	This bizarre amulet was probably created by some alchemist with a distorted understanding of magic.  The shape and symmetry help to maintain whatever enchantment he put in it.
132	amulet3	Claw Amulet	1000	Amulet	Misc	0	0	4	6	Amulet	33	0	0	0	"The ossified foot of some unknown beast or monster has been inset with a huge, imperfect purple topaz.  It's not pretty, but it's certainly magical."
133	amulet4	Ancient Amulet	1250	Amulet	Misc	0	0	4	8	Amulet	33	0	0	0	"This amulet is composed of two pieces:  the front piece is an ancient, perfectly cut rectangle of a strong, stainless metal.  The backing is a much more recent gold chain and clasp.  Careful inspection of the front piece reveals it to be a plaque displaying the name of some long dead soldier or worker.  Symbols on the front probably indicate status and rank."
