Day of Week Profession Text															
#		Sunday topic	Sunday text	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text
11	Expert Healer	Power Cure	"The highest level spell in the school of body, Power Cure is an effective way to heal the entire party quickly.  One Power Cure heals more damage faster than 4 smaller healing spells."	Alchemy Basics	"Mixing poppysnaps, phirna root, or widoweeps berries with water in an empty potion bottle will make a simple potion.  These simple potions have limited beneficial effects, but are stronger than the herbs by themselves."	Healing Alternatives	"You don't need a powerful spell caster with you for healing.  All the towns and castles have temples with healers.  You can make healing potions, find items with healing spells in them, or even magical fountains or shrines that can heal you."	Alchemy Basics	It's possible to create more complicated potions by mixing the simple potions together to create compound potions.  Compound potions are stronger than simple potions and have slightly different effects.	First Aid	"A low level body spell, First Aid is very efficient in terms of its casting cost, but slow.  If you have plenty of time, it's the best way to heal damage."	Alchemy Basics	"It IS possible to combine compound potions with simple or compound potions to try and make complex potions.  Though complex potions are the strongest you can make, the process is dangerous.  Mixing the wrong potions can cause violent reactions and set off dangerous explosions."	Healing Touch	"Though not as effective as other healing spells, Healing Touch is in the school of spirit, which makes it easier for paladins to learn.  Also, body spells don't work in certain areas, so you will need to use Healing Touch instead of spells like First Aid or Power Cure."
12	Master Healer	Resting	"You generally have more hit points than spell points, so it is often faster to heal yourself as best as possible with magic, then rest.  You can cut down on your resting times quite a bit this way."	Advanced Alchemy	"Let me tell you the effects of the simple potions.  Red potions are minor healing, blue potions are minor spell point gain, and yellow potions are a boost to all seven statistics."	Guild of the Self	The largest Guild of the Self was founded in Silver Cove.	Advanced Alchemy	"Simple potions combine to create compound potions.  Orange potions temporarily boost your armor class, green potions temporarily boost your resistances, and purple potions serve as antidotes to any poison."	Divine Intervention	"The pinnacle of light spells, Divine Intervention does just that– calls for Eyla, goddess of healing, to intercede on your behalf and heal your group to full life.  Her price, a part of your life-force causing you to age a few years, is sometimes well worth her attention."	Advanced Alchemy	"I know only one formula for a complex potion– the combination of a compound potion with either a simple or compound potion.  Mix a potion of resistance with a potion of cure poison, then take that potion and mix it with a potion of protection, and you end up with a potion of divine cure."	Shared Life	Shared Life is an excellent way to keep weaker party members alive when your party is being assaulted with area affect spells.  This spell combined with Power Cure can keep everyone alive when you get in over your head.
13	Teacher	Experience	"As your level of experience increases, so does the amount of experience you need to improve.  You'll get more benefit from a magical effect or reward that increases your level directly later in your life because of this rule."	Skills	"Because skills get so difficult to learn once you've achieved a high level in them, it is much more efficient to learn many skills to a moderate level, rather than a couple of skills to a high level."	Experts and Masters	"Whenever you have the opportunity, it pays to become an expert or master in any given skill you've been practicing.  Experts and masters enjoy benefits and effects out of the reach of people who just learn the basic skill."	Learning Spells	"Everyone has a spell book, but many lack the ability to fill it with even the simplest of spells.  If you can somehow get a spell into your spell book, you can cast it as long as you have enough spell power."	Training Centers	"Training centers are the best way to increase your level, but they can get awfully expensive later on.  Personally, I recommend Abdul's Discount Training centers to avoid excessive training costs."	Thief and Mercenary Guilds	"Thief and Mercenary Guilds are the places you go to learn all kinds of skills.  Different guilds teach different skills, so if one doesn't have what you're looking for, try the guilds in a different town."	Teachers	"Many teachers do not want to be flooded by students, so they have moved to remote locations.  You might have to look around quite a bit to find them.  Generally, expert teachers know where their master teachers are."
14	Instructor	Nicolai	"Prince Nicolai shows incredible perception and creativity for his young age, much like his father did.  I don't think people give him enough credit– they're more concerned with his age than his ability."	Kriegspire	"Kriegspire, one of the centers of magical experimentation, has been swallowed by an enormous volcano.  Surely one of their experiments must have gone completely awry."	Opponents	"It's important to fight creatures challenging to you.  If you fight weak creatures, you don't learn much experience, and if you fight hard creatures, you run the risk of dying.  The creatures at your skill level are the most rewarding to learn from."	Loretta Fleise	"A cunning woman– it's easy to forget how intelligent she is when dealing with her.  Aside from gaining vast amounts of wealth, she's mastered several skills, and is associated with a few of the druidic orders of the north."	Oracle	"No teacher in the world can equal the Oracle in Free Haven.  The only catch is that to visit the Oracle, you need to have the unanimous approval of the High Council."	Quests	"Quests aren't anything magical, they're simply opportunities...  Opportunities to learn a great deal or to make a great deal of money.  Try not to pass up the chances you get."	Fame	"Fame, in many ways, is an accumulation of the experiences you have and how you've managed to share with others.  Quests and brave deeds against monsters can make you famous."
15	Arms Master	Weapons	"It pays to know how to use two or three different kinds of weapons, kid.  That way you can change tactics in battle if an opponent isn't getting hurt by your favorite fish gutter, if ya know what I mean!"	Battle Tactics	"The three most important things to remember in a battle are:  Don't get surrounded, concentrate on killing a single enemy before moving on to another, and don't be afraid to run.  No shame in living another day!"	Armor	Always wear armor if you can!  Always!  And spend a little effort to learn to use it or you'll wallow like a pregnant yak in a fight!	Initiative	"Pay attention to the advantages of small, quick weapons.  If you're good enough with them, you can attack twice as often as you could with a larger, heavier weapon."	Combo weapons	One advantage of the sword and the dagger is that skilled users can wield a blade in their left hands instead of using a shield.  Even a fluff head like yourself should understand why that could help.	Bows	"Try to equip everyone in your group with a bow, crossbow, or some other ranged weapon.  You can do a lot of damage to an opponent as they approach you, and ranged weapons let you attack flying creatures that otherwise couldn't be hurt."	The Glory of the Mace	"Personally, my favorite weapon is the mace.  When you get good at it, you learn to strike at hard parts on your opponent so that it bounces off instead of sinking in.  Saves time.  Anyway, when someone gets hit with a mace, it can stun them so bad that they stop fighting back.  And that's a fine thing."
16	Weapons Master	Osric Temper	"Osric is not only a master warrior, but an ingenious general.  I'm glad to see that he's not taking the recent attacks by the devils lightly.  He's already working on ways to fight back, but the situation looks pretty grim.  If anyone can come up with a way to fight them, however, it's Osric."	Magic Weapons	"A finely crafted weapon is a rare find, but a magic weapon is a treasure indeed.  Magic weapons are often more damaging, faster, and sometimes even have spells imbedded into them.  Your skill is important, but having a great weapon certainly doesn't hurt either."	Ancient Weapons	"A man had wandered through not too long ago proclaiming to have knowledge of ancient weapons, the likes of which have not been seen since the Time of Wonders.  We laughed him and his insane ramblings right out of town."	Specialization	"Some warriors prefer to specialize in one weapon above all others.  This training makes them incredible fighters, but it has a few weaknesses.  They may not be able to find an awesome weapon of the type they've specialized in, or they may be fighting against an opponent that is more resistant to their type of attacks.  Specialists are very good, but they shouldn't travel alone."	Magic	"I know how easy it is for us warriors to scoff at the weak mages out there, but they can make themselves useful at times.  Many of their spells can increase your fighting ability by making you faster, or hit better, or more resistant to damage.  As long as they can pull their own weight, mages make excellent travelling companions."	Generalization	"Most warriors like to train in a variety of weapons.  Usually, one weapon is trained higher than the others, but few are ignored.  This provides great flexibility in combat, because you can use the weapon that is most effective against the enemy you face."	Staves	"Never underestimate the staff!  Most people associate the staff with a mage, but that's not always the case.  Although you cannot use a shield with a staff, as you become more skilled you'll find that staves are the best defensive weapon around.  Not only that, but they have enough weight to stun people that are hit with it.  It's one of the best all around weapons available."
17	Apprentice	Mental Attacks	"If you're facing an opponent that can't be put down with direct damage spells, try a mental attack spell, or something that freezes them in place.  This can often give the warriors in your group time to pound the enemy into the ground while distracted by your spell."	Elemental Spells	"When fighting in a place that is very hot or cold, try using the opposite kind of spell on your enemies.  Often they are resistant or immune to the element they're used to living in."	The Wonders of Mass Distortion	"This spell is my personal favorite.  It works best on the strongest and toughest monsters by making them heavier, and smashes lots of important internal organs.  It seems to cut their health in half, and with the strong ones, that can be quite a bit."	Spells of protection	Be sure to use spells of protection when you have them.  They can really reduce the heartache of being reduced to ash by dragon fire or electrocuted by enemy sorcerer lightning attacks.	Travelling Spells	"Travelling spells represent the most important class of spells for all magic-using people.  Not only do they let you get to places you couldn't get to without  magic, but they let you visit things like health and magic-boosting fountains in remote areas, and use those abilities in dangerous dungeons and castles where you need them."	Magic resistance	"Some monsters are resistant to nearly all magic spells.  If you run into one of these monsters, don't despair– use your magic to heal your warriors and strengthen their blows."	Dark Containment	"All of the schools of magic have eleven spells, but only ten can be found in the guilds of darkness.  The missing eleventh spell is called something like Dark Holding or Dark Containment.  No one alive seems to have learned it, and the guilds are very anxious to find it.  "
18	Mystic	Gharik	"Gharik attempted to recreate some of the weapons from the Time of Wonders in his forge.  He was never successful, but a number of his experiments provided useful information for enchanting weapons and summoning creatures."	Liches	Some sorcerers have cheated death itself in their attempts to gain power.  These sorcerers trade their lives for eternal life as an undead.   I can't imagine the lust for power that would cause someone to trade their soul.  Liches are powerful and determined; you should be careful fighting them. 	Twillen	"The greatest magical researcher since the Silence, Twillen's age has finally caught up with him.  The last I heard, he was searching for a way to find his youth again.  I don't think even he can counter the forces of nature."	Agar	"A powerful sorcerer, Agar tried in vain to create powerful creatures as his slaves so that he could conquer Enroth.  His minions were either too stupid to be of use, or too smart to be controlled."	Flying Eyes	"Agar's 'finest' creations, these floating heads have surprising intelligence and great power at their command.  Their gaze is enough to put you to sleep.  Rumors abound of even more powerful eyes that can cause panic or even complete insanity."	Albert Newton	"Albert Newton is a brilliant magical researcher, but his research always seems to take a long time to complete.  He certainly knows quite a bit about sorcerers and their magics, however.  If you have any questions about that, he's the person to talk to."	Elementals	"Summoned by mages to guard areas or items, elementals are beings composed of one of the four primary elemental forces:  air, earth, fire, or water.  Elementals can freely use magics of their element, so be wary if you should battle them."
19	Spell Master	Elemental Magic Guilds	"A few Guilds of the Elements exist.  Though their knowledge of the individual elements isn't as pervasive as the more specialized guilds, they are an excellent resource to broaden your knowledge of all the elements."	Light Magic	"Light magic makes up one half of the Mirrored Path.  Light cannot exist without dark, nor dark without light.  The spells in the school of light are what most people would call 'holy.'  It is difficult to find training in this path, but the rewards are certainly worth the effort."	Dark Magic	"Dark magic makes up one half of the Mirrored Path.  Dark cannot exist without light, nor light without dark.  'Evil' is the word most commonly associated with the school of dark, but that's not true.  A school, like a weapon, isn't good or evil by itself–  it's morality is determined by its use."	Terrax's Crystal	Corlagon took Terrax's Crystal to his estate for studying when he began learning the Necromantic arts.  I imagine the crystal is still there.	Self Magic Guilds	"A few Guilds of the Self exist in the lands.  Combining knowledge of mind, spirit, and body, these guilds offer a more generalized study than any of the individual guilds can offer.  Their knowledge of the individual schools isn't nearly as complete, however."	Magical Staves	I've heard tales of a powerful magical staff that boosts your magical reserves and can strike as swiftly as the wind itself. 	Archibald	"Archibald, Roland's brother, mastered many magical arts and accomplished himself as a powerful sorcerer before his demise.  No one seems to know where he is buried, though.  It's as though he disappeared after Roland's ascension to the throne."
20	Trader	Gold	"The essence of life!  Gold oils the squeaking wheel, silences the witness, or loosens his tongue.  Gold puts food on the table and wood in the fire.  How I love thee, O mighty gold.  Never run out of gold, my friend.  Never!"	Merchants	Merchants respond to a customer's skill in bargaining.  It's important to only use your best negotiator when you buy or sell anything with a  merchant. 	Banks	"Although banks in Enroth don't pay interest, they protect your money from theft and loss.  You should consider putting your money in a bank before embarking on any long or dangerous trips."	Diplomacy	"Diplomacy is the skill that makes people feel more favorable towards you.  If you must speak with someone who doesn't seem to like you, make sure that you use your most diplomatic person to do the talking."	Abdul's Discounts	"Don't let the name fool you:  Abdul's Discount stores offer really great quality for low, low prices.  He also didn't pay me to say that on Thursdays.  Honest."	General Stores	"General stores will buy  nearly anything, but give terrible prices.  If a general store is the only store around and you need to sell something fast, go ahead and use it.  But if it can wait, you'll do better selling something to a more specific store."	Prices	Skilled merchants run many of the stores in Enroth.  You must be careful when buying and selling to make sure you are not getting ripped off.
21	Merchant	Speculation	"The most important part of being a merchant can't be taught.  You need to learn to notice a good buy when you see one, and make the good deals when you can.  If you pick up something for cheap in one town, there's a good chance you can sell it somewhere else for a profit."	Dragoons	A group of bandits called the Dragoons are now preying on merchants travelling between Free Haven and New Sorpigal.	Gold	"Ahhh, the point of being a merchant!  Gold makes the world move.  Economies bustle with exchange of gold, from markets to farms, to towns, to kingdoms– everywhere!  Even kings spend the lives of their men more readily than they will their gold.  Being a merchant is the way to accumulate wealth, and that wealth gives me a status that most people will never have."	Abdul	I wish I knew who Abdul is.  His shops consistently offer low prices– he must be a bandit trying to launder money.  I can't see any other reason to have the low prices he does.	Shadow Guild	"In the north, businesses are controlled by a few monopolies that prevent competition by any means necessary, even by extortion.  The Shadow Guild and the Thieves' Guild have already started to clash over rights in areas like Silver Cove and Free Haven."	Stores	"Not all shops are the same!  Some stores offer lowly goods, while shops in other towns have excellent wares for sale.  You'll need to look around and find the good shops for yourself, but keep in mind:  You get what you pay for.  Great equipment never comes cheap."	Banks	"It's dangerous to carry a lot of money with you.  Banks provide a safe place to store large amounts of money.  Though they don't credit you with interest, you don't have to worry about pickpockets.  That's good enough for me."
22	Scout	Devils	"I traveled to the lands west of Blackshire recently, and what I saw chilled my blood.  Devils running about a ruined, blighted landscape, killing any humans they ran across.  Something is terribly wrong.  I just don't know why someone isn't doing something about it!"	Star Lake	"A while back I was exploring the Star Lake area, and saw a bunch of statues on the island at the center of the lake.  They were marvelously carved– the most lifelike statues I've ever seen.  I wonder who put them there?"	Desert Villagers	"There is a small village around Abdul's Desert Resort that sells some of the finest magic equipment I've ever seen.  Heaven knows where they get it, but it sure is nice to know that stuff is available there."	Sweet Water	"I'm certain the devils destroyed the town of Sweet Water!  It was the most northwestern town in Enroth, and certainly one of the most beautiful.  Not many people made it out that way to visit, but now you don't hear anything about the place.  "	Mire of the Damned	"Take my word for it when I say the Mire is a bad place to find yourself at night.  The Necromancer's Guild 'retired' to the swamp after Archibald's defeat in the Succession War, and evidence of their handiwork is walking around the swamp freely."	Castle Darkmoor	"This foul place is the center of the most serious crimes against nature the Necromancer's Guild has been committing.  My firm scout's advice is to avoid, avoid, avoid!"	The Pyramid 	"In the center of Dragonsand you can find a pyramid marking the Tomb of the Ship, or so they say.  I've scoured the desert and found nothing but dragons and titans to run from.  That doesn't mean it's not there– I had to get out of that desert while the getting was good.  A very dangerous place!"
23	Counselor	Law and Jail	"Compared to many countries, Enroth is a very tolerant kingdom.  Nonetheless, you can end up in jail if you commit enough crimes and are foolish enough to show your face to a guard.  "	The Ironfist Code	"The law of the land is simple:  Do not murder, do not threaten, do not bribe.  Begging is frowned upon, as is keeping company with known criminals.  Reputation is everything."	Bandits	Beware of highwaymen plying the roads between towns.  Wise travelers will take advantage of Enroth's many high quality banking establishments to avoid being completely robbed by these parasites.	Thief Guilds	"There are two major thief guilds in the land.  One, the 'sanctioned' one, can be found in some of the major towns in the kingdom.  The other, guild is called the Shadow Guild.  They are much more violent and cruel than the sanctioned guilds, and I'm sure the king would put them down if he had the time."	Jail Sentences	"You can avoid a lengthy jail sentence for any crimes you've been committing by receiving forgiveness at the temples.  If you run into a guard before receiving forgiveness for significant crimes, you could be looking at a year in jail, or even longer.  "	City Councils	"City councils are always looking for people to take care of local jobs for them.  If you need a little extra cash, try dropping by and asking about work.  There's a good chance they'll have something for you."	Low Character	"I do not like assassins, or men of low character.  And it seems that both types of criminal are spreading through the land like the plague these days."
24	Barrister	Negotiating	"Diplomacy is the key to negotiation, and negotiation is the key to many closed doors in the world.  You must be able to sip champagne with the highest lords and guzzle ale with the lowest scum if you want to succeed."	Lords	"Enroth is ruled by a king, and the council of five lords.  These six people handle the laws, rules, and matters of state for all of Enroth."	Underworld	"A whole culture of underworld people exists, though it is sometimes difficult to find.  Thieves and criminals have their own organizations and codes, and are surprisingly good at spreading information.  Though you can't always trust them, it's wise to use them as best you can."	Council Members	"The lords themselves are too busy to handle most affairs of state, so they have council members that attend the High Council in Free Haven for them.  Each lord has one council member, and these six people make most of the laws of the state, in the names of their respective lords."	Monsters	"Many monsters won't reason with you, no matter how eloquently you phrase your requests.  You need to recognize hopelessly aggressive monsters and be rid of them as fast as possible."	Reputation	"Your reputation affects how people deal with you.  Most people aren't going to trust you or confide in you if your reputation isn't good.  You'll only find friends from thieves and the like, and do you really want them as friends?  You'll need to help others and follow the laws to bolster your reputation."	Monsters 	Some creatures you'll run into can be reasoned with if you have a fear spell available.  You can avoid unnecessary and wasteful injury by scaring off your enemies rather than simply fighting with them.
25	Tinker	Find a Penny	"Find a penny, pick it up, all the day you'll have good luck!"	Locks	"When someone has a chest or other lock they don't want you to get into, they'll usually trap it rather than lock it.  Everyone knows that a determined thief will eventually get through a lock, but not every determined thief will survive the trap once he opens the chest."	Secret Doors	"I've build a few secret doors in my day, and I think I can safely say that some of them are virtually indistinguishable from a plain old wall.  If you have the Wizard Eye spell, you can use it to look at the map it makes for you and logically work out whether or not a section of wall is part of a secret door."	Magic Armor	"Plate armor is, of course, the strongest kind of armor available.  There is a legendary suit of armor called Zeus, and it can imbue its wearer with extraordinary strength, but it doesn’t do much for the personality.  "	Undesirables	"Many people don't really care for tinkers because we wander and do odd jobs that guilds would like to charge a lot for.  But you like me, don't you?"	Chimney Sweeps	Try to stay close to chimney sweeps– they're good luck!	Highwaymen	"Sometimes bandits and highwaymen will accept you if they don't think you're 'upstanding citizens.'  The weak, however, are always robbed."
