							
	NPC	Random	Join				
51	Burglar	10	2000	Thief		Disarm Traps skill is increased by eight points for each character and Reputation is decreased by one full category.  %01 costs you nothing!	"Need traps disarmed?  I've been doing it ever since I was released from jail three years ago.  If you need help, I'll come with you for free!  I need the practice.  "
52	Peasant	10	1	Peasant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
53	Serf	10	1	Peasant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
54	Tailor	10	5	Merchant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
55	Laborer	10	1	Peasant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
56	Farmer	10	1	Peasant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
57	Cooper	10	5	Merchant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
58	Potter	10	2	Merchant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
59	Weaver	10	2	Merchant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
60	Cobbler	10	3	Merchant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
61	Ditch Digger	10	1	Peasant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
62	Miller	10	2	Peasant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
63	Carpenter	10	5	Merchant			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
64	Stone Cutter	10	4	Fanatic			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
65	Jester	10	10	Fanatic			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
66	Trapper	10	5	Adventurer			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
67	Beggar	10	1	Fanatic			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
68	Rustler	10	3	Thief			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
69	Hunter	10	5	Adventurer			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
70	Scribe	10	10	Scholar			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
71	Missionary	10	10	Priest			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
72	Clerk	10	8	Official			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
73	Guard	10	10	Guard			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
74	Follower of Baa	10	1	Fanatic			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
75	Noble	10	100	Noble			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
76	Gambler	10	10	Thief			"Well, I have no skills to offer, but I'm good company!  Just feed me and throw me a few gold pieces and I'll be happy to accompany you!"
77	Child	??	1	Peasant			"I don't have any skills to offer you, but if this will get me out of school and away from my chores, I'd love to follow you around!"
	Random Total	760					
