Text Number From NPC Events.Doc		Notes
382	Guild of the Self Membership
383	Buccaneer's Lair Membership
384	Protection Services Membership
385	Smuggler's Guild Membership
386	Blade's End Membership
387	Duelist's Edge Membership
388	Berserker's Fury Membership
389	Air Guild Membership
390	Earth Guild Membership
391	Fire Guild Membership
392	Water Guild Membership
393	Body Guild Membership
394	Mind Guild Membership
395	Spirit Guild Membership
396	Light Guild Membership
397	Dark Guild Membership
398	Quest
399	Bounty Hunt
400	Collect Arena Award
401	Heal Party
402	Make Food
403	Cast Fly
404	Cast Walk on Water
405	Cast Town Portal
406	Cast Bless
407	Cast Heroism
408	No Benefit
409	
410	Empty Barrel
411	Barrel of Red liquid
412	Barrel of Yellow liquid
413	Barrel of Blue liquid
414	Barrel of Orange liquid
415	Barrel of Green liquid
416	Barrel of Purple liquid
417	Barrel of White liquid
418	Empty Cauldron
419	Steaming Brew
420	Frosty Brew
421	Shocking Brew
422	Noxious Brew
423	Magical Brew
424	Cook Pot
425	Cook Pot
426	Cook Pot
427	Cook Pot
428	Cook Pot
429	Flour Sack
430	Flour Sack
431	Large Bag
432	Large Bag
433	Large Bag
434	Large Bag
435	Bag of Gold
436	Trash Heap
437	Trash Heap
438	Skull Pile
439	Skull Pile of Weakness
440	Skull Pile of Curses
441	Skull Pile of Insanity
442	Skull Pile of Death
443	Bucket
444	Bucket
445	Bucket
446	Bucket
447	Crystals
448	Crystals
449	Crystals
450	Crystals
451	Crystals
452	Crystals
453	Crystals
454	Crystals
455	Crystals
456	Crystals
457	Crystals
458	
459	
460	
461	
462	
463
464
465
466
467
468
469
470
471
472
473
474
475
476
477
478
479
480
481
482
483
484
485
486
487
488
489
490
491
492
493
494
495		
496		
497		
498		
499		
500		
501	Elemental Guild membership	I do not believe these topics are currently being used.
502	Guild of the Self membership	I do not believe these topics are currently being used.
503	Buccaneer's Lair membership	I do not believe these topics are currently being used.
504	Protection Services membership	I do not believe these topics are currently being used.
505	Smuggler's Guild membership	I do not believe these topics are currently being used.
506	Blade's End membership	I do not believe these topics are currently being used.
507	Duelist's Edge membership	I do not believe these topics are currently being used.
508	Berserker's Fury membership	I do not believe these topics are currently being used.
509	Air Guild membership	I do not believe these topics are currently being used.
510	Earth Guild membership	I do not believe these topics are currently being used.
511	Fire Guild membership	I do not believe these topics are currently being used.
512	Water Guild membership	I do not believe these topics are currently being used.
513	Body Guild membership	I do not believe these topics are currently being used.
514	Mind Guild membership	I do not believe these topics are currently being used.
515	Spirit Guild membership	I do not believe these topics are currently being used.
516	Light Guild membership	I do not believe these topics are currently being used.
517	Dark Guild membership	I do not believe these topics are currently being used.
518		
519		
520		
521		
522		
523		
524		
525		
