Class	Descriptions	Notes
Warrior Mage	高级弓箭手由弓箭手转职而来，每个等级有一点额外的生命值和魔法值。他们可以达到元素魔法的专家级水平。	Archer
Master Archer	神箭手是弓箭手转职的最高等级，他们站在正义一方，每个等级有两点额外的生命值和魔法值。他们可以达到锁甲、弓箭和洞察术的宗师级水平，还能初步学习光明魔法。	Archer
Sniper	魔箭手是弓箭手转职的最高等级，他们站在邪恶一方，每个等级有两点额外的生命值和魔法值。他们可以达到锁甲、弓箭和洞察术的宗师级水平，还能初步学习暗黑魔法。	Archer
Ranger	巡逻兵介于剑客和教士之间，他们能够学习的技能非常多，但没有几样是精通的。他们能学会除光明魔法和暗黑魔法之外的所有魔法，还能使用除钢甲和锤棍以外的所有武器和防具。	Ranger
Hunter	猎手由巡逻兵转职而来，每个等级有两点额外的魔法值和一点额外的生命值。他们能达到所能学习的所有魔法的专家级水平。	Ranger
Ranger Lord	游骑兵是巡逻兵转职的最高等级，他们站在正义一方，每个等级有两点额外的生命值和三点额外的魔法值。他们能达到战斧和怪物鉴定术的宗师级水平。	Ranger
Bounty Hunter	赏金猎人是巡逻兵转职的最高等级，他们站在邪恶一方，每个等级有两点额外的生命值和三点额外的魔法值。他们能达到战斧和怪物鉴定术的宗师级水平。	Ranger
Cleric	牧师天生喜爱冒险，是武艺平平但擅长施展魔法的神职人员。他们最擅长疗伤和防御魔法，而且能达到光明魔法和暗黑魔法的宗师级水平，但在兵器方面只能选择锤棍、棍棒或弓箭。在盔甲方面除了钢甲以外都可穿着，但不能学习躲避技能。	Cleric
Priest	神父由牧师转职而来，每个等级有一点额外的生命值和魔法值，再次转职后可以获得两点额外的生命值和魔法值。	Cleric
Priest of the Light	光明神父是牧师转职的最高等级，他们站在正义一方，每个等级有两点额外的生命值和魔法值。他们能够达到光明魔法、各种魔法技能以及经商术的宗师级水平 。	Cleric
Priest of the Dark	暗黑神父是牧师转职的最高等级，他们站在邪恶一方，每个等级有两点额外的生命值和魔法值。他们能够达到暗黑魔法、各种魔法技能以及经商术的宗师级水平 。	Cleric
Druid	教士介于术士和牧师之间，他们武艺平平(仅略胜于低级的术士)，生命值也很少。他们只能使用棍棒、匕首、锤棍和弓箭作为武器，只能穿上皮甲，手持盾牌。但他们能学会除光明和暗黑魔法以外的所有魔法，还能掌握几乎所有的两级技能。	Druid
Great Druid	高级教士由教士转职而来，能使教士的魔法技能达到大师级水平。他们 每个等级有一点额外的生命值和魔法值，再次转职后可以获得两点额外的生命值和魔法值。	Druid
Arch Druid	大主教是教士转职的最高等级，他们站在正义一方，每个等级有两点额外的生命值和魔法值。他们能够达到炼金术和冥想术的宗师级水平。	Druid
Warlock	邪恶主教是教士转职的最高等级，他们站在邪恶一方，每个等级有两点额外的生命值和魔法值。他们能够达到炼金术和冥想术的宗师级水平。	Druid
Sorcerer	术士专心研习元素魔法，其魔法攻击性强，且十分实用。他们的武功实在拿不出手，只能使用匕首、棍棒或弓箭。除了皮甲，他们不能穿着其它任何盔甲，也不会用盾牌，而且他们的生命值在所有职业中也是最低的。但是他们拥有强大的攻击魔法以及学习光明魔法和暗黑魔法(天下最高境界的魔法)的能力。	Sorcerer
Wizard	法师由术士转职而来，每个等级有一点额外的生命值和魔法值，再次转职后可以获得两点额外的生命值和魔法值。 	Sorcerer
Arch Mage	光明魔法师是术士转职的最高等级，他们站在正义一方，每个等级有两点额外的生命值和魔法值。他们能够达到光明魔法、各种魔法技能以及怪物鉴定术和物品鉴定术的宗师级水平。	Sorcerer
Lich	暗黑魔法师是术士转职的最高等级，他们站在正义一方。转职成为lich的方式十分诡异：他们要将自己的器官放在一个魔法罐子里，自己在一旁守护。转职成功后每个等级有两点额外的生命值和魔法值。他们能够达到暗黑魔法、各种魔法技能以及怪物鉴定术和物品鉴定术的宗师级水平。他们的魔法值会自动补充，但如果暴露在阳光下就会受伤。	Sorcerer
