										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
13	2	凌空飞降	Air	凌空飞降	它能在队员从高于十英尺高处跳下时减慢降落速度，避免受伤。此魔法只要一个队员施法，其他队员均可受益。队员的空气魔法等级越高，魔法持续时间越长。	持续时间是空气魔法等级乘以5分钟	持续时间是空气魔法等级乘以10分钟	持续时间是空气魔法等级乘以1小时	快速恢复	P
14	3	御气奇术	none	御气奇术	使队员对空气魔法的防御力上升。	每提高一个空气魔法等级可以增加1点防御值	每提高一个空气魔法等级可以增加2点防御值	每提高一个空气魔法等级可以增加3点防御值	每提高一个空气魔法等级可以增加4点防御值	P
15	4	遍地开花	Air	遍地开花	向周围发射光球，方向性不易控制，但适于在室内消灭大批蜂拥而来的低级怪兽。杀伤力为空气魔法等级加上2点。	恢复速度一般，发射3个光球	快速恢复，发射5个光球	快速恢复，发射7个光球	恢复最快，发射9个光球	PMEC
16	5	神奇跳跃	none	神奇跳跃	它能使队员一跃到达六十英尺的高处，而且在掉下时毫发无损。	无	恢复速度一般	快速恢复	恢复最快	P
17	6	护体神盾	none	护体神盾	它能减慢飞弹的速度，从而使远距离攻击性武器(如弓箭，岩石等)的杀伤力减半。	无	持续时间为空气魔法等级乘以5分钟后再加1小时	持续时间为空气魔法等级乘以15分钟后再加1小时	持续时间为空气魔法等级乘以1小时后再加1小时	PM
18	7	霹雳闪电	Air	霹雳闪电	它是深受术士们青睐的武器之一。可以向单一目标发射电光霹雳，而且百发百中。杀伤力为空气魔法等级的1-8倍。	无	恢复速度一般	快速恢复	恢复最快	PMEC
19	8	隐身奇术	none	隐身奇术	使队伍隐身。如果对敌人进行攻击，魔法效果就会解除。敌人在附近时不可使用此魔法。	无	无	施法者每提高一个空气魔法等级可以增加10分钟有效时间。	施法者每提高一个空气魔法等级可以增加1小时有效时间	P
20	9	雷鸣爆弹	Air	雷鸣爆弹	这是一项邪恶的魔法，可以改变单一目标周围的空气流动，形成霹雳。它的杀伤力为自身空气魔法等级的1-10倍加上10点。	无	无	恢复速度一般	快速恢复	PMC
21	10	飞行奇术	none	飞行奇术	使你的队员具备飞行的能力。这个魔法消耗非常大，它每五分钟消耗你一点额外魔法值，并只限在室外使用，但能使你受益颇多。	无	无	施法者每提高一个空气魔法等级可以增加1小时飞行时间	不消耗额外魔法值	P
22	11	群星飞落	Air	群星飞落	召唤天空中的群星痛击敌人并把他们付之一炬。达到此魔法的专家和大师等级可以增加召唤的星数并缩短恢复时间。它的攻击力为自身魔法等级加上20点。这项魔法只能在室外使用，有可能伤及自身。	无	无	无	威力惊人	PEC
	Lvl	Water Spells	Res		Spell Description					
23	1	催醒奇术	none	催醒奇术	可以把队员从睡梦中唤醒，如果是因为中了魔法而沉睡，只要时间不是太久，也可以觉醒。	可以唤醒的最长入睡时间为三分钟乘以魔法等级	可以唤醒的最长入睡时间为一小时乘以魔法等级	可以唤醒的最长入睡时间为一天乘以魔法等级	快速恢复	P
24	2	毒液喷发	Water	毒液喷发	可以向你正前方的怪兽喷射毒液。尽管攻击力较差，但因为大多数怪兽不具防毒能力，所以非常有效。每次发射的攻击力为2点加上自身魔法等级的1-2倍。	恢复较慢，可以发射一束	快速恢复，可以发射三束	快速恢复，可以发射五束	恢复最快，可以发射七束	P
25	3	御水奇术	none	御水奇术	使队员对水系魔法的防御上升。	每提高一个水魔法等级可以增加1点防御值	每提高一个水魔法等级可以增加2点防御值	每提高一个水魔法等级可以增加3点防御值	每提高一个水魔法等级可以增加4点防御值	P
26	4	霹雳寒冰	Water	霹雳寒冰	可以向单一目标发射寒冰霹雳。攻击力为水魔法等级的1-4倍。	恢复较慢	快速恢复	快速恢复	恢复最快	PMEC
27	5	凌波微步	none	凌波微步	它只能在室外使用。可以使你的队员在水面行走自如。使用时每20分钟消耗一点额外的魔法值。	无	持续时间为10分钟乘以水魔法等级	持续时间为一小时乘以水魔法等级	不消耗额外魔法值	P
28	6	魔力填充	Water	魔力填充	恢复魔法道具的使用次数。但道具的最大使用次数会减少。	无	道具的最大使用次数会减少(50%-水魔法等级乘以1%)	道具的最大使用次数会减少(30%-水魔法等级乘以1%)	道具的最大使用次数会减少(20%-水魔法等级乘以1%)	PE
29	7	酸弹飞射	none	酸弹飞射	可以向单一目标发射强酸。它的攻击力为9点加上自身魔法等级的1-9倍，并且百发百中。绝大多数怪兽不具有抗酸能力。	无	恢复速度一般	快速恢复	恢复最快	PMC
30	8	天赋魔力	Water	天赋魔力	队员能点化普通物品使其具有魔力。成功率为10%乘以水魔法等级数。达到宗师级水平后点化效果会大大提高。	无	无	点化效果一般	点化效果非常好	P
31	9	时空之门	none	时空之门	该魔法可把队伍远距离传输到上次去过的镇子中央喷泉边。成功概率为10%乘以水魔法等级。敌人在附近时不能使用。	无	无	敌人在附近时不能使用	敌人在附近时也能使用	P
32	10	寒冰爆裂	Water	寒冰爆裂	可以向正前方的目标发射冰球。当冰球击中目标会散出碎片向四周发散，但不会危及队员自身。每块碎片的攻击力为12点加上自身魔法等级的1-3倍。	无	无	恢复速度一般，可发出7块碎片	快速恢复，可发出9块碎片	PMEC
33	11	时空道标	none	时空道标	该项魔法可以使你选定将来的远程传送的地点。地点的远近根据你的水魔法等级和点数而定。时空之门的持续时间为每个等级1周。	无	无	无	效果非常好	P
	Lvl	Earth Spells	Res		Spell Description					
34	1	晕眩重击	Earth	晕眩重击	可以使你用魔法击打怪兽使其失去知觉，但不能取它性命。该魔法还能使怪兽稍稍后退，让你有机会逃走。你的土魔法等级越高，该魔法的威力越大。	效果一般	效果明显	效果明显	效果非常好	PC
35	2	迟缓大法	Earth	迟缓大法	使敌人行动力减半，同时恢复时间加倍。这样一来，它们攻击你的次数将大大减少，在你逃跑时，它们也很难追到你。该魔法的持续时间为土魔法等级乘以1分钟。	效果一般	该魔法的持续时间为土魔法等级乘以5分钟	怪兽的速度只有原来的四分之一	怪兽的速度只有原来的八分之一	PC
36	3	御土奇术	none	御土奇术	使队员对土系魔法的防御上升。	每提高一个土魔法等级可以增加1点防御值	每提高一个土魔法等级可以增加2点防御值	每提高一个土魔法等级可以增加3点防御值	每提高一个土魔法等级可以增加4点防御值	P
37	4	致命毒蜂	Earth	致命毒蜂	可以使你召唤大批蜇人蜂袭击单一的目标。每群蜂群的攻击力为5点加上自身土魔法等级的1-3倍。该魔法百发百中。	恢复速度一般	快速恢复	快速恢复	恢复最快	PC
38	5	护体石肤	none	护体石肤	提高某个队员的防御等级，增加点数为5点加上魔法等级。	无	持续时间为魔法等级乘以5分钟再加上1小时	持续时间为魔法等级乘以15分钟再加上1小时	持续时间为魔法等级乘以1小时再加上1小时	PM
39	6	旋转飞镖	Earth	旋转飞镖	可以向单一目标发射旋转刀刃。每片刀刃的杀伤力为土魔法等级的1-9倍。	无	恢复速度一般	快速恢复	恢复最快	PC
40	7	解除石化	none	解除石化	如果及时发射此魔法可以破解石化魔法，恢复原形。魔法的点数越多，等级越高，它可以破解的受害时间就越长(只要没有超过恢复临界点)。但如果超过了有效救治时间，又没有普渡众生魔法的话，只能去神庙救治。	无	可以破解的最长石化时间为1小时乘以土魔法等级	可以破解的最长石化时间为1天乘以土魔法等级	无时间限制	P
41	8	巨石轰击	Earth	巨石轰击	可以向目标发射魔法石，石头只有击中目标才会爆炸，并且可能伤害你自己。爆炸威力为土魔法等级的1-8倍。	无	无	恢复速度一般	快速恢复	PMC
42	9	隔空取物	none	隔空取物	可以操纵远处的事物，如远距离开门、开宝箱或得到物品。	无	无	无	快速恢复	P
43	10	死亡之花	Earth	死亡之花	可以向空中发射魔法石，该石头落地后产生的爆炸威力极大，范围极广。杀伤力为20点加上自身的魔法等级。它只能在室外使用。	无	无	恢复速度一般	快速恢复，效果加倍	PC
44	11	力压千钧	Earth	力压千钧	可以瞬间使目标的重量急剧增加，从而攻击其内部机能。杀伤力为该目标生命值的25%加上魔法等级乘以2%。	无	无	无	效果惊人	PMC
	Lvl	Spirit Spells	Res		Spell Description					
45	1	探知生命	none	探知生命	使你能看到敌人的生命值。	持续时间为施法者灵魂魔法等级乘以10分钟	持续时间为施法者灵魂魔法等级乘以30分钟	持续时间为施法者灵魂魔法等级乘以1小时	显示当前敌人的魔法	P
46	2	圣灵佑佐	none	圣灵佑佐	可以帮助你的队员在肉搏战和远程攻击中提高命中率。该队员的命中率增加点数为5点加上灵魂法等级。	持续时间为施法者灵魂魔法等级乘以5分钟再加上1小时	对整个队伍都产生效果	持续时间为施法者灵魂魔法等级乘以15分钟再加上1小时	持续时间为施法者灵魂魔法等级乘以1小时再加上1小时	PM
47	3	天赐神运	Spirit	天赐神运	如果在队员身上使用此魔法，他(她)的命中率就会上升；在敌人身上使用此魔法则会导致其命中率下降。	上升或下降的幅度为20点加上灵魂魔法等级	上升或下降的幅度为20点加上灵魂魔法等级的2倍	上升或下降的幅度为20点加上灵魂魔法等级的4倍	上升或下降的幅度为20点加上灵魂魔法等级的6倍	PM
48	4	驱散亡灵	Spirit	驱散亡灵	使所有视野范围内的亡灵怪兽全部望风而逃。	该魔法的有效时间为魔法等级乘以1分钟再加上3分钟	该魔法的有效时间为魔法等级乘以3分钟再加上3分钟	该魔法的有效时间为魔法等级乘以5分钟再加上3分钟	快速恢复	PM
49	5	驱魔除咒	none	驱魔除咒	使用该魔法可以破解所受魔法。灵魂魔法的点数越多，等级越高，可以破解魔法的受害时间就越长(没有超过恢复临界点)。但如果超过了有效救治时间，又没有普渡众生魔法的话，就只有去神庙治疗。	无	可以救治的最长受害时间为1小时乘以魔法等级	可以救治的最长受害时间为1天乘以魔法等级	无时间限制	P
50	6	天神护体	none	天神护体	使灵魂和肉体紧密结合，可以防止各类即死魔法。还可以保护队员，使他(她)遭受巨大的损伤时不会死亡，只会昏迷。但是如果魔法持续时间过后生命值太低的话，该名队员还是会死去。	无	该魔法的有效时间为灵魂魔法等级乘以5分钟再加上1小时	对整个队伍都有效	该魔法的有效时间为灵魂魔法等级乘以15分钟再加上1小时	P
51	7	天赐神力	none	天赐神力	一旦角色成功击中目标，该魔法可提高其攻击力。增加点数为5点加上灵魂魔法等级。	无	该魔法的有效时间为灵魂魔法等级乘以5分钟再加上1小时	该魔法的有效时间为灵魂魔法等级乘以15分钟再加上1小时	该魔法的有效时间为灵魂魔法等级乘以1小时再加上1小时	PM
52	8	灵魂移位	Spirit	灵魂移位	通过使敌人的灵魂和肉体分离来打击敌人，该魔法只能攻击近距离的敌人。杀伤力为灵魂魔法等级的2-8倍加上10点。	无	无	恢复速度一般	快速恢复	PMC
53	9	死而复生	none	死而复生	及时施放该魔法可以有起死回生的作用。灵魂魔法的点数越多，等级越高，可以救治的死亡持续时间就越长(没有达到恢复临界点)。但如果超过了有效救治时间，又没有普渡众生魔法的话，就只有去神庙治疗。复活的队员身体状况会非常虚弱。	无	无	可以救治的最长死亡时间为1天乘以魔法等级	无时间限制	P
54	10	分享生命	none	分享生命	该魔法可以平均分配你的队员的生命值。所有队员的生命值相加，再加上施法者的灵魂魔法等级的倍数，然后分配给每个队员。但每个队员分配到的生命值不能超过其最大生命值。	无	无	加上施法者的灵魂魔法等级的3倍	加上施法者的灵魂魔法等级的4倍	P
55	11	转世重生	none	转世重生	就算队员的躯体已经灰飞烟灭，也可以死而复生。该魔法最初的恢复时间很长，但随着灵魂魔法等级的提高，恢复时间会缩短。复活的队员身体状况会非常虚弱。	无	无	无	效果惊人	P
	Lvl	Mind Spells	Res		Spell Description					
56	1	驱逐恐惧	none	驱逐恐惧	如果及时发射该魔法可以摆脱恐惧心理。心智魔法的点数越多，等级越高，可以解除的恐惧心理持续时间就越长(没有达到恢复临界点)。	可以治疗的最长受惊时间为3分钟乘以魔法等级	可以治疗的最长受惊时间为1小时乘以魔法等级	可以治疗的最长受惊时间为1天乘以魔法等级	无时间限制	P
57	2	惊心动魄	Mind	惊心动魄	可以向单一目标的精神系统发动攻击。它的杀伤力为3点加上魔法等级的1-3倍。	恢复很慢	快速恢复	快速恢复	恢复最快	PMC
58	3	心智防御	none	心智防御	使队员对心智魔法的防御上升。	每提高一个心智魔法等级可以增加1点防御值	每提高一个心智魔法等级可以提高2点防御值	每提高一个心智魔法等级可以提高3点防御值	每提高一个心智魔法等级可以提高4点防御值	PC
59	4	心灵感应	none	心灵感应	与施法对象的心灵产生共鸣，可以知道他带有什么宝物以及身上有多少钱。	恢复很慢	快速恢复	快速恢复	恢复最快	P
60	5	消除敌意	Mind	消除敌意	可以使单一目标平息怒气，消除对你的敌意。但如果遭到攻击，它将立刻还击。	无	持续时间为心智魔法等级乘以5分	持续时间为心智魔法等级乘以10分钟	在队伍离开地图前该魔法一直有效	P
61	6	治愈麻痹	Mind	治愈麻痹	如果你及时发射该魔法可以治疗麻痹。心智魔法的点数越多，等级越高，可以解除的麻痹持续时间越长(没有达到恢复临界点)。但如果超过有效救治时间而又没有普渡众生魔法的话，只有去神庙治疗。	无	可以救治的最长麻痹时间为1小时乘以心智魔法等级	可以救治的最长麻痹时间为1天乘以心智魔法等级	无时间限制	PC
62	7	狂性大发	Mind	狂性大发	使施法对象充满杀意，疯狂攻击邻近的任何生物。	无	持续时间为心智魔法等级乘以5分钟	持续时间为心智魔法等级乘以10分钟	在队伍离开地图前该魔法一直有效	PC
63	8	凶神恶煞	Mind	凶神恶煞	可以使你视野范围内的怪物全部望风而逃。但如果怪兽遭到攻击，此咒会立刻失效。该魔法对亡灵怪兽无能为力。	无	无	持续时间为心智魔法等级乘以3分钟	持续时间为心智魔法等级乘以5分钟	PC
64	9	治愈痴狂	none	治愈痴狂	如果你及时发射该魔法可以治疗痴狂。心智魔法等级越高，可以治疗的疯病持续时间就越长(没有超过恢复临界点)。但是如果过了有效时间，又没有普渡众生魔法的话，只有去神庙治疗。	无	无	可以救治的最长患病时间为1天乘以心智魔法等级	无时间限制	P
65	10	魂飞魄散	Mind	魂飞魄散	与惊心动魄魔法相同，它可以对单个目标进行心智打击，而且它的威力更大。其杀伤力为12点加上魔法等级的1-12倍。	无	无	恢复速度一般	快速恢复	PMC
66	11	夺魂大法	Mind	夺魂大法	"宗师级：控制敌人的心智，使之攻击同伴。持续时间为心智魔法等级乘以10分钟。但如果你的队员对被控制的敌人发动攻击，魔法会自动解除。该魔法对亡灵怪物无效。
"	无	无	无	效果惊人	P
	Lvl	Body Spells	Res		Spell Description					
67	1	治愈虚弱	none	治愈虚弱	该魔法可以治疗虚弱。魔法等级越多，等级越高，可以治疗的虚弱持续时间就越长(没有超过恢复临界点)。但是如果超过了有效救治时间，又没有普渡众生魔法的话，只有去神庙治疗。	可以治疗的最长虚弱时间为3分钟乘以魔法等级	可以治疗的最长虚弱时间为1小时乘以魔法等级	可以治疗的最长虚弱时间为1天乘以魔法等级	无时间限制	P
68	2	疗伤大法	none	疗伤大法	恢复单个队员的生命值。	所恢复的生命值为肢体魔法等级的2倍加5点	所恢复的生命值为肢体魔法等级的3倍加5点	所恢复的生命值为肢体魔法等级的4倍加5点	所恢复的生命值为肢体魔法等级的5倍加5点	P
69	3	肢体防御	none	肢体防御	使队员对肢体魔法的防御上升。	每提高一个肢体魔法等级可以增加1点防御	每提高一个肢体魔法等级可以增加2点防御	每提高一个肢体魔法等级可以增加3点防御	每提高一个肢体魔法等级可以增加4点防御	P
70	4	魔法伤害	Body	魔法伤害	可以直接用魔法攻击单一目标。杀伤力为8点加上自身肢体魔法等级的1-2倍。	恢复速度一般	快速恢复	快速恢复	恢复最快	PMEC
71	5	浴火重生	none	浴火重生	对单个队员有效。在魔法持续时间内使该队员的生命值慢慢恢复。	无	治疗速度较慢。持续时间为肢体魔法等级乘以1小时	治疗速度较快	治疗速度最快	P
72	6	疗毒妙方	none	疗毒妙方	此魔法可以为一个队员驱毒。魔法等级越多，等级越高，可以治疗的中毒时间就越长(没有达到恢复临界点)。但如果超过了有效救治时间而又没有普渡众生魔法，只有去神庙治疗。	无	可以治疗的最长中毒时间为1小时乘以魔法等级	可以治疗的最长中毒时间为1天乘以魔法等级	无时间限制	P
73	7	重拳出击	none	重拳出击	该魔法可提高队员空手搏击的能力，它的杀伤力与空手攻击的杀伤力相等。	无	快速恢复	快速恢复	魔法对整个队伍有效	PM
74	8	治愈疾病	none	治愈疾病	及时施放该魔法可以为队员治病。魔法的点数越多，等级越高，可以治愈的患病时间就越长(没有达到恢复临界点)。但如果超过了有效救治时间，又没有普渡众生魔法的话，只有去神庙治疗。	无	无	可以治疗的最长生病时间为1天乘以肢体魔法等级	无时间限制	P
75	9	抗魔奇术	none	抗魔奇术	使整个队伍不受中毒、疾病、石化、麻痹和虚弱的影响。该魔法每提高一个等级，就可以多回避一次攻击。回避攻击到了一定的次数后，该魔法将失去效果。	无	无	持续时间为魔法等级乘以1小时	不受即死魔法的影响	P
76	10	魔法神拳	Body	魔法神拳	可以向单一目标发射强力魔法攻击。杀伤力为30点加上魔法等级的1-5倍。	无	无	恢复速度一般	快速恢复	PMEC
77	11	疗伤圣法	none	疗伤圣法	可以恢复所有队员的生命值。所增加点数为10点加上施法者肢体魔法等级的5倍。	无	无	无	效果惊人	PM
	Lvl	Light Spells	Res		Spell Description					
78	1	光明之焰	Light	光明之焰	对单个敌人发射光明之焰。杀伤力为自身魔法等级的1-4倍。亡灵怪物损伤加倍。	恢复速度一般	快速恢复	快速恢复	恢复最快	PM
79	2	亡灵杀手	Light	亡灵杀手	可以招唤天堂的神力破解亡灵怪物所具有的邪恶魔力。攻击力为自身魔法等级的1-16倍。此魔法只对亡灵怪物有效。	恢复速度一般	快速恢复	快速恢复	恢复最快	P
80	3	驱散魔法	none	驱散魔法	可以解除视野中所有生物所中的魔法禁咒，此项魔法有利也有弊。恢复时间随着自身魔法等级的提高而减短。	恢复速度一般	快速恢复	快速恢复	恢复最快	PM
81	6	定身大法	Light	定身大法	发射该魔法可以麻痹怪兽，使其不能移动或攻击。其有效时间为魔法等级乘以3分钟。在怪物被麻痹过程中你可以全力进攻，而它全无还手之力。	恢复速度一般	快速恢复	快速恢复	恢复最快	PM
82	5	元素召唤	none	元素召唤	召唤元素出来帮助战斗。	无	其有效时间为魔法等级乘以5分钟。能召唤1个低级元素	其有效时间为魔法等级乘以15分钟。能同时召唤3个中级元素	能同时召唤5个高级元素	PM
83	6	天佑一日	none	天佑一日	提升所有队员的属性值。该魔法一直持续到队伍休息。	无	每个队员的魔法等级暂时提升到本人光明魔法等级的3倍	每个队员的魔法等级暂时提升到本人光明魔法等级的4倍	每个队员的魔法等级暂时提升到本人光明魔法等级的5倍	P
84	7	死亡之光	Light	死亡之光	可以对视野范围内所有怪物发动攻击。攻击力为25点加上自身魔法等级。该魔法只能在室内使用。	无	无	恢复速度一般	快速恢复	PC
85	8	神明护体	none	神明护体	为队伍同时加上对空气魔法、肢体魔法、土系魔法、火系魔法、心智魔法和水系魔法的防御。	无	无	每个队员的魔法等级暂时提升到本人光明魔法等级的4倍	每个队员的魔法等级暂时提升到本人光明魔法等级的5倍	PMEC
86	9	神佑一时	none	神佑一时	可以同时以施法者光明魔法等级的4倍等级向你的所有队员施展攻击加速、天赐神力、护体神盾、护体石肤和圣灵佑佐魔法。	无	无	每个队员的魔法等级暂时提升到本人光明魔法等级的4倍	每个队员的魔法等级暂时提升到本人光明魔法等级的5倍	PMC
87	10	聚光魔球	Light	聚光魔球	聚光魔球威力巨大，但是恢复时间非常缓慢。它能集中太阳光束照射于单个目标。因为使用太阳光束，所以必须在室外并在白天施法。它的攻击力为20点加上魔法等级的1-20倍。	无	无	恢复缓慢	恢复速度一般	PC
88	11	普渡众生	none	普渡众生	"宗师级：你可以招唤天堂神力治愈你的所有角色的各项点数和所有伤病，并恢复魔法。每天可以使用三次，但是会使施法者的年龄增加十岁。魔法等级越高，队员的恢复时间越短。
"	无	无	无	效果惊人	P
	Lvl	Dark Spells	Res		Spell Description					
89	1	起死回生	None	起死回生	把死尸化为僵尸。僵尸会为你作战，直到战死或你离开地图。	每个魔法等级可以给予僵尸20点生命值	每个魔法等级可以给予僵尸30点生命值	每个魔法等级可以给予僵尸40点生命值	每个魔法等级可以给予僵尸50点生命值	PM
90	2	毒云笼罩	Dark	毒云笼罩	使你的队员前方生成一朵毒云，并慢慢在空中飘荡，只有击中某物体才会消散。它的攻击力为25点加上自身魔法等级的1-10倍。	恢复速度一般	快速恢复	快速恢复	恢复最快	PMEC
91	3	嗜血武器	none	嗜血武器	使武器能够吸血。对敌人造成的伤害会变成自己的生命值(不超过自己的最大生命值)。	有效时间为暗黑魔法等级乘以1小时	快速恢复	恢复最快	永久效果	P
92	4	缩身大法	Dark	缩身大法	可以缩小巨型怪兽的身躯，使其变得容易对付。其持续时间为5分钟乘以魔法等级。被缩小的怪兽的攻击力相应减少。	被缩小的怪兽的攻击力相应减少一半	被缩小的怪兽的攻击力相应减少到原来的三分之一	被缩小的怪兽的攻击力相应减少到原来的四分之一	可以对一组怪物同时使用	PC
93	5	钢镖齐射	Dark	钢镖齐射	向正前方的怪兽发射热力锯齿霰弹，可以扫清一切挡路的怪物。每片弹片的攻击力为6点加上自身魔法等级的1-6倍。	无	快速恢复，可发射五个热力锯齿霰弹	快速恢复，可发射七个热力锯齿霰弹	恢复最快，可发射九个热力锯齿霰弹	PMC
94	6	操纵亡灵	Dark	操纵亡灵	操纵亡灵，使之攻击你的敌人。就算你攻击被操纵的亡灵，魔法也不会消除。	无	快速恢复，持续时间为3分钟乘以魔法等级	快速恢复，持续时间为魔法等级乘以5分钟	恢复最快。魔法一直有效，直到队伍离开地图	P
95	7	同生共死	Dark	同生共死	对自己的队员使用此魔法后，如果有敌人对该名队员造成损伤，那么这个敌人自己也会受到同样的损伤。	无	持续时间为魔法等级乘以5分钟再加1小时	对整个队伍有效	持续时间为魔法等级乘以15分钟再加1小时	PM
96	8	嫁祸大法	None	嫁祸大法	杀死一个随从，使自己的状态全满。其恢复时间很长，而且会大大降低你的声誉。	无	无	恢复缓慢	恢复速度一般	P
97	9	神龙吐珠	Dark	神龙吐珠	该魔法可以向单个怪兽喷出云状有毒气体并危及周围的所有生物。杀伤力为自身魔法等级的1-25倍。	无	无	恢复缓慢	恢复速度一般	PMEC
98	10	末日审判	Dark	末日审判	这是个惨绝人寰的魔法，只能在室外使用。它攻击地图上出现的所有生物，包括你自己。攻击力为五十点加上自身的暗黑魔法等级。	无	无	在一天中只能使用三次	一天中能使用四次	PC
99	11	惊魂夺魄	Dark	惊魂夺魄	吸取视野内所有生物的生命值，平均分配给自己的队员。杀伤力(分配的生命值)为施法者的暗黑魔法等级的1-8倍加上25点。	无	无	无	效果惊人	P
