技能名称	描述	普通	专家	大师	大宗师
辨识物品	当你用鼠标右键点选物品的时候，如果您的技能够高，你将会自动启动辨识物品的技能辨识你所指到的物品。某些物品必须要等到你的人物技能等级提升到专家级或是大师级的时候才能够正确的辨识。	辨识物品的能力。	技能等级的效果变成双倍。	技能等级的效果变成三倍。	百分之百的成功率。
商贾	商贾技能协助您将购买或是贩卖物品的价格调整到对你有利的状况。	技能等级会调整商店中物品的价格（当然是对你有利咯！）。	技能等级的效果变成双倍。	技能等级的效果变成三倍。	以真正的价格购买和贩卖物品。
修护物品	修护物品的技能让你的人物可以修理破损的物品。越高的技能让你可以修复越高等级的物品。专家级和大师级的技能让你可以修理复杂的物品甚至是稀有的古物。当你点选物品栏中的破损物品时，这个技能将会自动的启动，协助你修理这个破损的物品。	修护物品的能力。	技能等级的效果变成双倍。	技能等级的效果变成三倍。	百分之百的成功率。
健身	健身技能的等级会直接增加冒险者的生命点数总和。将健身技能的等级乘以每种职业的基本点数（举例来说，骑士是四，巫师是一，以此类推）才会获得真正增加的生命点数。专家级的技能等级将会将总和乘以两倍，大师级的等级将会将总和乘以三倍。	技能等级会增加到生命点数中。	技能等级的效果变成双倍。	技能等级的效果变成三倍。	技能等级的效果变成五倍。
祈祷	祈祷技能将会直接增加你的人物的法力点数总和。将祈祷技能的等级乘以每种职业的基本点数（巫师是四，骑士是零，以此类推）才会获得法力点数的总和。专家级的技能等级将会让这个总和加倍，大师级则会让它变成三倍。	技能点数会增加到法力点数中。	技能等级的效果变成双倍。	技能等级的效果变成三倍。	技能等级的效果变成五倍。
感应力	感应力增加你注意到陷阱启动的机会或甚至可以完全避免它所造成的伤害。感应力同时也会让你的冒险者注意到其它人所不会注意到的宝物和财宝。越高的感应力技能会让你躲过更强的陷阱和注意到更难以找到的宝物。	技能等级会增加闪躲陷阱和注意到财宝的机会。	技能等级的效果变成双倍。	技能等级的效果变成三倍。	百分之百的成功率。
再生能力	拥有再生能力的角色将可以随着时间的流逝缓缓的挥负生命点数。越高的技巧就可以越快的恢复本来的实力。	增加随着时间流逝所恢复的生命点数。	增加随着时间流逝所恢复的生命点数。	增加随着时间流逝所恢复的生命点数。	增加随着时间流逝所恢复的生命点数。
解除陷阱	当你打开宝箱或是容器的时候，解除陷阱的技能会自动启动。解除陷阱的技能等级越高，解除陷阱的机会越高。专家级和大师级的技能等级将会让成功解除陷阱的机会变成两倍和三倍。	技能等级将会增加解除箱子和陷阱的机会。	技能等级的效果变成双倍。	技能等级的效果变成三倍。	百分之百的成功率。
闪躲	当你没有穿着盔甲或是使用盾牌的时候，闪躲技能才会派上用场。闪躲技能的额外等级将会增加你不穿戴盔甲的时候的防御等级。	技能等级将会增加防御等级。	技能等级将会增加防御等级（双倍效果）。	技能等级将会增加防御等级（三倍效果）。	当穿着皮甲的时候这个技能依旧可以派上用场。
徒手搏击	徒手搏击技能是你在没有使用武器的时候，在战斗中用手脚攻击敌人的一种技术。这个技能只有在你空手的时候才能够使用。额外徒手搏击技能将会可增加你击中目标的机率。	技能等级会增加到攻击的命中率上。	技能等级将会增加伤害力。	技能等级会增加在伤害力和攻击的命中率上。（双倍效果）	拥有相等于技能等级的机率闪躲其它人的攻击。
辨识怪物	辨识怪物的技能让你可以在用右键点选敌人的时候获得更多额外的资讯。如果你的技能等级够高的话，一开始你将会知道对方正确的生命点数。在专家等级和大师等级的技能中，你将可以获得更多额外的资讯。	得知敌人的生命点数和防御等级。	得知敌人的攻击模式和伤害力。	得知敌人可以施展什么样的法术。	得知敌人对各种攻击的抵抗力。
武器大师	武器大师的技能表示战士的知识和专业技巧。一开始，武器大师的技能将会减低你的肉搏武器恢复所需要的时间，稍后技能等级可以增加你击中目标的机会甚至是攻击的伤害力。	技能等级将会减少所有肉搏武器所需要的恢复时间。	技能等级将会增加所有肉搏武器的命中率。	技能等级将会增加所有肉搏武器的伤害力。	之前所有增加的效果全部都加倍。
偷窃	偷窃技能让你可以将不属于你的东西或是金钱从商店中或是从人们的身上拿走。如果被抓到了，可能会被判相当高额的罚金。如果罚金的额度太高，在城堡中将会是件很严重的罪刑。	技能等级让你有更高的机会可以成功的偷窃。	技能等级的效果变成两倍。	技能等级的效果变成三倍。	技能等级的效果变成五倍。
炼金术	炼金术的技能让您可以混和各种药剂。没有这种技能，你只能够勉强制造出简单的药剂来。而炼金术的技能可以增加基本药材的强度和简单药剂的威力。当你的技能变成专家级、大师级和大宗师级的时候，你将学会混和威力更大，更为复杂的药剂。	让你可以制造出用来作为复杂药剂材料的简单药剂来。	让你可以混和复杂药剂来至做出复合药剂来。	让你可以混合复合药剂来做出白色药剂。	让你可以混合白色药剂，做出黑色药剂来。
学习	学习技能可以直接的增加你的人物所接受到的经验点数。每点技能等级就是增加一个百分比的额外经验点数（一开始的基础是百分之九）五个技能等级将会把一百点的经验点数变成一百一十四点。专家级和大师级的技能等级将会造成双倍和三倍的效果。所以在大师级等级十的技能将会让所得到的十点经验点数都获得百分之三十九的加成。	技能等级将会增加所获得的经验点数。	技能等级的效果变成两倍。	技能等级的效果变成三倍。	技能等级的效果变成五倍。
