Knight/Cleric Male	Knight/Cleric Female	Dark Elf Pesant Male	Dark Elf Pesant Female	Troll/Minotaur	Vampire/Necro Female	Vampire/Necro Male	Dragon	To make excel work right
Hank								*end
Hans								*end
Hardy								*end
Harlan								*end
Harley								*end
Harold								*end
Harrison								*end
Harry								*end
Harvey								*end
Hayden								*end
Heath								*end
Heathet								*end
Hector								*end
Helmut								*end
Henry								*end
Herb								*end
Herbert								*end
Herman								*end
Herzl								*end
Hoc								*end
Holden								*end
Homer								*end
Horace								*end
Howard								*end
Hugh								*end
Hugo								*end
Hunter								*end
Ian								*end
Ignacio								*end
Igor								*end
Ike								*end
Ira								*end
Irving								*end
Irwin								*end
Isaac								*end
Isao								*end
Ismael								*end
Ivan								*end
Ivar								*end
Jack								*end
Jacob								*end
Jake								*end
James								*end
Jamie								*end
Jarrod								*end
Jason								*end
Jasper								*end
Javier								*end
Jay								*end
Jean-Paul								*end
Jean-Pierre								*end
Jed								*end
Jeremiah								*end
Jeremy								*end
Jerome								*end
Jesse								*end
Jim								*end
Jo								*end
Joe								*end
Joel								*end
Joeseph								*end
Johann								*end
John								*end
Jon								*end
Jonah								*end
Jonathan								*end
Jordan								*end
Joshua								*end
Judd								*end
Jules								*end
Justin								*end
Kai								*end
Kareen								*end
Karl								*end
Keegan								*end
Keith								*end
Kel								*end
Kelly								*end
Ken								*end
Kenneth								*end
Kern								*end
Kevin								*end
Khanh								*end
Kirk								*end
Lance								*end
Larry								*end
Lars								*end
Lazare								*end
Lee								*end
Leif								*end
Leland								*end
Leo								*end
Leon								*end
Leonard								*end
Leroy								*end
Lester								*end
Lewis								*end
Liam								*end
Lindsey								*end
Lionel								*end
Lloyd								*end
Logan								*end
Lon								*end
Lonny								*end
Lou								*end
Louie								*end
Louis								*end
Lowell								*end
Lucky								*end
Ludwig								*end
Luigi								*end
Luke								*end
Luther								*end
Lyman								*end
Lynden								*end
Mac								*end
Macro								*end
Malcolm								*end
Manfred								*end
Manny								*end
Marc								*end
Marcello								*end
Marco								*end
Marcus								*end
Mario								*end
Marion								*end
Mark								*end
Marlon								*end
Marshal								*end
Martin								*end
Marvin								*end
Mathew								*end
Matt								*end
Max								*end
Maxwell								*end
Mel								*end
Melvin								*end
Mick								*end
Mike								*end
Miles								*end
Mitch								*end
Mohammed								*end
Monte								*end
Morel								*end
Morris								*end
Morton								*end
Murray								*end
Myles								*end
Nate								*end
Nathan								*end
Nathaniel								*end
Neal								*end
Ned								*end
Nelson								*end
Newt								*end
Nicholas								*end
Nick								*end
Nickolas								*end
Noah								*end
Norm								*end
Norman								*end
Norris								*end
Olaf								*end
Oliver								*end
Otis								*end
Owen								*end
Parker								*end
Pat								*end
Patrick								*end
Paul								*end
Pavel								*end
Percival								*end
Percy								*end
Perry								*end
Pete								*end
Peter								*end
Phaedrus								*end
Phil								*end
Philip								*end
Pierce								*end
Pierre								*end
Preston								*end
Quan								*end
Quentin								*end
Quinn								*end
Radu								*end
Rafael								*end
Ralph								*end
Ramey								*end
Ramsey								*end
Randall								*end
Randolph								*end
Randy								*end
Raul								*end
Raymond								*end
Reg								*end
Reginald								*end
Rene								*end
Renzo								*end
Rex								*end
Reynaldo								*end
Richard								*end
Ricky								*end
Rob								*end
Robby								*end
Robert								*end
Robin								*end
Rocky								*end
Rodney								*end
Roland								*end
Ron								*end
Ronald								*end
Rory								*end
Ross								*end
Roy								*end
Rudy								*end
Rupert								*end
Russell								*end
Rusty								*end
Ryan								*end
Saad								*end
Sal								*end
Salvatore								*end
Sam								*end
Samuel								*end
Sandeep								*end
Santos								*end
Saul								*end
Scalise								*end
Scott								*end
Sean								*end
Sebastian								*end
Sergio								*end
Seth								*end
Seymour								*end
Sheldon								*end
Shelley								*end
Sherdon								*end
Sherman 								*end
Shimon								*end
Sidney								*end
Simon								*end
Slade								*end
Sonny								*end
Spencer								*end
Stacey								*end
Stan								*end
Stanley								*end
Stephen								*end
Steve								*end
Steven								*end
Stuart								*end
Suleman								*end
Sven								*end
Sylvester 								*end
Tad								*end
Taka								*end
Terrance								*end
Thaddeus								*end
Thane								*end
Theodore								*end
Thomas								*end
Tim								*end
Timothy								*end
Tobias								*end
Todd								*end
Tom								*end
Tony								*end
Tran								*end
Travis								*end
Trent								*end
Trenton								*end
Trevor								*end
Trip								*end
Tyler								*end
Tyson								*end
Vadim								*end
Val								*end
Vance								*end
Verne								*end
Vernon								*end
Victor								*end
Viktor								*end
Vincenzo								*end
Volg								*end
Virgil								*end
Vladimir								*end
Wade								*end
Waldo								*end
Wallace								*end
Walter								*end
Wayne								*end
Warren								*end
Webb								*end
Wendell								*end
Wesley								*end
Wilbert								*end
Wilfred 								*end
Wilam								*end
Will								*end
Willard								*end
William								*end
Wilson								*end
Winston								*end
Woodrow								*end
Xuan 								*end
Yancy								*end
Yuri								*end
Yves								*end
Zaccharia								*end
Zack								*end
Zebulon								*end
Zeke								*end
*end								*end
