Skill	Description	Normal	Expert	Master
Body	肢体魔法多属于治疗和增强体质的魔法。它可回复生命，治愈伤口，也能治疗疾病和中毒。精于此道的专家和大师可以掌握魔法的更高形式。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
Light	光明魔法包含了一些恩洛斯最强大的魔法。只有牧师和巫师方能使用。创建人物时不可选用，只能在游历中学习和掌握。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
Dark	暗黑魔法包含了许多恩洛斯最强大的魔法。暗黑系魔法会有惊人的效果，但有时也会带来意想不到的负面效应。它不能在创建人物时选用，并仅限于牧师和巫师使用。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
Identify	鉴定术技能等级足够高的话，只要右键单击某个未知物品就可以对它进行自动鉴定，知道它的作用。某些物品需要鉴定术达到专家或大师级别才能进行鉴定。	技能等级越高，可鉴定的物品越高级	效果乘以2	效果乘以3
Merchant	经商术能让你在买卖物品时讨价还价，提出对你最有利的价格。	技能等级越高，提出的价格对你越有利	效果乘以2	效果乘以3
Repair	修补术可让你的角色能够修补破损的物品。技能越高，能够修补的物品就越高级。专家和大师可以修补十分复杂的物件和神器。你的行囊中右键单击损坏的物品即可对其进行自动修复。	技能等级越高，可修补的物品越高级	效果乘以2	效果乘以3
Bodybuilding	健身术可直接提高角色的生命值。技能等级乘以职业的基础奖励点（剑客为4，巫师为1，等等）即为增加的点数。专家可再将总值乘以2，大师乘以3。	技能等级可提高生命值	效果乘以2	效果乘以3
Meditation	冥想术可直接提高角色的魔法值，技能等级乘以职业的基础奖励点（巫师为4，剑客为0，等等）即为增加的点数。专家可再将总值乘以2，大师乘以3。	技能等级可提高魔法值	效果乘以2	效果乘以3
Perception	洞察术可以提高你在陷阱被触发时成功发现陷阱的概率，并减少或免受其伤害。洞察术也可以让你发现其他人发现不了的财宝。高超的洞察术可使你逃脱更阴险的陷阱，找到更难发现的财宝。	技能等级可提高避免陷阱伤害和发现财宝的概率	效果乘以2	效果乘以3
Diplomacy	交际术可以在你乞求、贿赂或威胁他人时降低其所导致的负面效应。交际术技能等级越高，你的声誉受此类行为的负面影响越小。专家和大师能分别使交际术的效果乘以2和乘以3。	技能等级可减少因乞求、贿赂或威胁而受到的声誉损失	效果乘以2	效果乘以3
Thievery	未使用	此处为普通级别介绍	此处为专家级别介绍	此处为大师级别介绍
Disarm Traps	拆卸术可使你在打开带陷阱的箱子时自动排除险情。拆卸术技能等级越高，成功拆除陷阱的概率越大。专家和大师能分别使成功拆除陷阱的概率乘以2和乘以3。	技能等级可提高拆除箱子陷阱的成功率	效果乘以2	效果乘以3
Learning	学习术可直接增加角色的经验值获得量。每个技能等级将使经验值增加一个百分点（开始即有9%），例如你本应获得100点经验值，有了5级学习术，你将获得114点经验值。专家可使点数乘以2，大师使点数乘以3，例如10级大师学习术可提高39%的经验值获得量。	技能等级可提高经验值获得量	效果乘以2	效果乘以3
