Regional News			
#	Map	标题	解说正文
16	40	财宝	我听说羊鸣教仓惶逃离破庙，来不及带走所有的财宝，现在可能还在那里，如果你胆子大，不妨去那里试试运气。但你可得小心，一路上有很多可恶的怪兽。
17	40	大耳怪前哨	大耳怪上次袭击新索匹格镇已经是很久以前的事了。但他们始终对我们虎视眈眈，就驻扎在镇子的附近，我们千万不能放松警惕。
18	40	法师	一个邪恶的魔法师教派正在我们半岛的东南端搜寻传说中的魔法喷泉的下落。他们为了独占魔法喷泉，在那个地方见人就杀。如果你朝那个方向走可得小心点。
19	40	镇子的喷泉	我们这三口喷泉里的水据说是从众神之手触过的温泉中汲取的。每口喷泉都具有魔力，饮后受益无穷。
20	40	大耳怪入侵者	一班大耳怪占领了西面的大桥，对过往旅客谋财害命。它们身材庞大，你在一公里以外就能看到。可得小心，它们都是危险角色。
21	40	新索匹格	我们的镇子是在恩洛斯建立的最后一座主要城镇。自古以来航船都是从我们这里出发去周游世界的。
22	40	果树	我们的镇子果园里的果子味道相当不错，而且免费供人品尝，你不妨来试试。
23	40	岛屿	到北岸附近的岛屿时要小心。这条海路时常有怪兽出没，而且岛上居民对人颇有敌意。
24	40	李格纳的海盗	上次李格纳岛的海盗袭击我们已经是几十年前的事了。我想现在到了他们再次攻击的时侯了，失踪的国王和我们一个都逃不了。
25	40	海盗之巢	新索匹格和浓雾镇的海盗之巢行会可以传授你匕首技能、经商术、鉴定术、洞察术和陷阱拆卸术。
26	40	保护服务	银湾镇和白帽镇的保护服务行会可以传授你匕首技能、经商术、鉴定术、洞察术和陷阱拆卸术。
27	40	走私者	布莱克郡和自由天堂是走私者行会的老巢。你能在那里学到匕首技能、经商术、鉴定术、洞察术和陷阱拆卸术。
28	40	终极利刃	你可以在白帽镇和新索匹格的终极利刃行会处学习剑术、战斧技能、长矛技能、棍术和皮甲技能。
29	40	双刃剑锋	浓雾镇的双刃剑锋行会教你锤棍技能、弓箭技能、锁甲技能、盾牌技能和健身术。
30	40	雷霆震怒	铁拳城堡的雷霆震怒行会教你弓箭技能、盾牌技能、锁甲技能、钢甲技能和修补术。
31	39	银舵	席尔瓦兄弟会最近在浓雾镇南面建了一座堡垒。他们过去都是些善良的人，但如今却矫枉过正，几乎每个稍有缺点的人都成了他们的打击对象。
32	39	税收	我喜欢住在这里，牛顿爵士从来不增税。
33	39	布特雷格湾	布特雷格湾的岛上住了一些食人部落。上岛的游客有去无回。
34	39	魔法喷泉	据说魔法喷泉在布特雷格湾的南面，但很少有人发现过它。
35	39	加里克的炼铁厂	在浓雾岛南面的岛上是加里克的炼铁厂，加里克是阿基巴德手下的魔法师。那个地方到处是元素怪兽，从来没人敢去那儿。
36	39	阿拉莫斯城堡	浓雾岛北面的岛上是阿拉莫斯城堡，它是恩洛斯的魔法培训中心。在那里经常进行布道和传授炼金术。对于冒然闯入者来说是个不祥之地。
37	39	神庙	据说在布特雷格湾的丛林岛上还残留着一些神庙，我真不明白难道还有人去那里朝拜。
38	39	水元素怪兽	水元素怪兽徘徊在浓雾岛附近的水域。如果他们攻击时光靠体力不能取胜，还会在远处就发射霹雳寒冰。
39	39	柯南	得到此战斧是每一个英雄的梦想。它有屠龙斩魔的无边法力。但不幸的是手持此斧者常会遭到巨龙和魔鬼的挑战。
40	39	大魔法师	升级为魔法师难，升级为大魔法师更难，阿尔伯特·牛顿负责考查想要升级为大魔法师的魔法师。
41	39	浓雾镇	浓雾镇原来是与东方诸国交流的货运和客运港，但海盗严重侵扰了这条海路，否则我们就会繁荣得多。
42	39	李格纳岛	此处以东200公里处是李格纳岛。岛上住有海盗。他们自成一国，向来往船只课以重税。该岛除了出产武器和雇佣兵，别无它物。
43	39	秘方	我听说你把橙色药剂和绿色药剂混和研制出超级保护药剂。
44	39	米拉达·席尔瓦	米拉达·席尔瓦最近被银舵囚禁在浓雾岛南面新建的前哨里。他们最近越来越肆无忌惮了，竟把这么可爱的姑娘也抓去了，有人会给他们点颜色看的。
45	39	治安员	约翰·席尔瓦建立的银舵起初是为了克制邪恶，匡扶正义。但现在他们背离了原来的信条，会因为鸡毛蒜皮的小事而对平民百姓兴师动众。
46	39	贸易	我们岛屿的主要贸易伙伴是皇后的故乡，埃拉西亚王国。那里向我们源源不断提供贵金属和矿藏。
47	39	记忆	长年使用魔法会严重损害巫师的记忆，并且无药可救。即使有药，患者也想不起使用它。
48	39	争夺王位的战争	阿尔伯特能有今天的地位是因为他在争夺王位的战争中始终对罗兰德忠心耿耿。尽管阿基巴德曾向他传授不少魔法，并且当时阿基巴德似乎已胜券在握了，但牛顿爵士仍严词拒绝了他的诱降，真是不容易啊！
49	39	浓雾爵士	尽管这几天牛顿爵士虚弱不堪而且健忘，但他毕竟曾是天下最好的魔法师，甚至是有史以来最好的魔法师。据说他所遗忘的魔法比阿基巴德所知道的魔法还要多，除了暗黑术例外。
50	39	海盗之家	新索匹格和浓雾镇的海盗之家教派可以传授你匕首技能、经商术、鉴定术、洞察术和陷阱拆卸术。
51	39	保护服务	在银湾镇和白帽镇的保护服务教派可以传授你匕首技能、经商术、鉴定术、洞察术和陷阱拆卸术。
52	39	走私者集团	布莱克郡和自由天堂是走私者集团的老巢。你能在那里学到匕首技能、经商术、鉴定术、洞察术和陷阱拆卸术。
53	39	终极锋刃	你可以在白帽镇和新索匹格的终极锋刃教派处学习剑术、战斧技能、长矛技能、棍术和皮甲技能。
54	39	双面剑锋	在浓雾镇的 双面剑锋教派会教你锤棍技能、弓箭技能、锁甲技能、盾牌技能和健身术。
55	39	雷霆震怒	在铁拳城堡的雷霆震怒教派会教你弓箭技能、盾牌技能、锁甲技能、钢甲技能和修补术。
56	39	凯尔文·布莱克	如果达到一定等级，凯尔文·布莱克将传授你提高长棍技能的秘诀。他住在掴掌旅店的右面一间屋子里。
57	39	冈扎诺·李梅雷斯	冈扎诺不在掴掌旅店喝酒的时候，他会教授长矛的专家级技能。
58	39	亚瑟·欧·李雷	如果你要把皮甲的技能提高到专家级水准，可以去找住在海盗之家附近的亚瑟。
59	39	伯纳德·亚各布	伯纳德住在双面剑锋的南面，他会传授专家级的修补技能。
60	38	阿拉莫斯城堡	神秘的怪物聚集此处使人们遗忘了阿拉莫斯曾是天下法力无边的炼金术师的家园。这个城堡里一定隐藏着威力强大的物件。
61	38	石圈	西面的岛上有个奇怪的石圈。我想是进行太阳仪式用的。僧侣的升级仪式需要举行此类仪式。
62	38	海妖	阿拉莫斯周围水域到处是海妖。他们用呼出的冰冻气体袭击船只。
63	38	帕西佛	帕西佛是攻击范围最大的武器。它发射快捷，爆炸威力强大。可在一定范围内消灭大批敌人。
64	38	阿加的怪物	魔法对这些讨厌的怪兽竟然无能为力，但长剑就能够制伏它们。
65	37	洛克林	这位矮人国的老国王现在被流放边疆，但他朝思暮想能够重返王位。
66	37	铁矿	斯纳格把通往其岩洞密室的钥匙藏在西面的铁矿里。
67	37	尼古拉王子	威尔伯·汉弗里害怕尼古拉遭遇不测，几个月来一直不许他离开城堡半步。
68	37	考勒根	自从考勒根在王位争夺战争中被打败后，就隐居在他的豪宅里研习魔法。传言他已经变为尸巫，等待着阿基巴德卷土重来。
69	37	阴影教	阴影教，一个新兴的盗贼教派在铁拳城堡的附近建了一个堡垒。我想安东尼·斯通早就打算下令把它毁了。
70	37	神使	尼古拉竟没有祈求神使的指示真让人吃惊，我想摄政王汉弗里可能知道这是怎么回事。
71	37	凯瑟琳	自从凯瑟琳皇后去了埃拉西亚，就没有她要回来的消息。
72	37	游艇	罗兰德国王的游艇——凯瑟琳皇后号，已经多年没有出海了，它还能安全航行吗？
73	37	巨蜥人	巨蜥人潜伏在铁拳城堡南面的沼泽地区。他们一般使用弓箭，但最强大的是他们的魔法师，当情况紧急时会发射光电霹雳。
74	37	竞技场	通过铁拳城堡的驿站可以到达恩洛斯的竞技场。如果你喜欢的话，可以与任何一种怪兽在那里交战。很多人每天都上那儿去，其实它只在星期天开放。
75	37	维拉里亚	这块盾牌可以有效抵御飞弹的进攻，帮助使用者在战斗中攻城掠地。
76	37	十字军	罗兰德国王不在时由威尔伯·汉弗里负责游侠到十字军的升级考核。
77	37	考勒根爵士	考勒根爵士是阿基巴德在王位争夺战争中最得力的将军。自从战败后他回到自己在沼泽里的豪宅里隐居。据说他多年前进行了“无尽黑夜”仪式并成为了一名尸巫。
78	37	威尔伯·汉弗里	威尔伯·汉弗里是天下第一勇士。尽管许多人说他鲁莽直率，不适合为罗兰德国王代理朝政，但他的英勇无畏，公正诚实是举世公认的。我个人认为没有比他再合适的人选了。
79	37	太阳马戏团	太阳马戏团正从铁拳城堡出发沿着向北的商路作巡回演出。他们每年的十二月总在那里。
80	37	强盗	城堡附近常有强盗在商路上打劫过往客商。摄政王不会容忍这些小丑在他鼻子底下为非作歹的。
81	37	先知	先知住在银河源头附近的山洞里。银河源自钢铁山，流经铁拳城堡。据说先知经常帮助迷路的人。
82	37	矮人	洛克林，这位前任矮人国王被斯纳格赶下了台。斯纳格把原来以洛克林名字命名的矿藏和岩洞全部换成他的名字。这些地方就在铁拳城堡西面附近的钢铁山上。
83	37	沼泽地	恩洛斯的沼泽地是苟延残喘的怪兽的家园。它们大多是不死的幽灵之身，你要去那里得小心点，带上火种，千万别惊动他们。
84	37	龙骑兵	最近铁拳城堡和新索匹格之间的商路变得非常不太平。本来只有一伙强盗作恶，现在居然出现了三伙强盗。一伙是羊鸣教歹徒，一伙是南岸的龙骑兵，近来不知从哪儿来了一伙盗贼教派，在城堡附近干起打家劫舍的营生。
85	37	纽特·海德洛	纽特在铁拳城堡南面传授专家级的锁甲技能。
86	37	李奇·汉堡	你可以去铁拳城堡南面去寻求锁甲的专家级技能。
87	37	贝纳托·德尔曼	铁拳城堡南面不远处有四间小屋子。贝纳托在最北面的一间里传授专家级的钢甲技能。
88	37	埃格·卡彭特	埃格会倾囊传授专家级的盾牌技能。
89	37	阿伦·斯壮姆	阿伦在铁拳城堡的兵器铺隔壁传授剑术。
90	37	斯蒂芬·毕格斯	斯蒂芬在训练场传授专家级的战斧技能。
91	37	海伦·德尔	海伦和她的朋友特蕾茜住在“王冠”和“鹰眼”之间。
92	37	泰勒·特拉	泰勒在铁拳城堡中训练场的道路对面传授专家级的陷阱拆卸术。
93	37	李昂·拉扎鲁	李昂在铁拳城堡中训练场的道路对面传授专家级的物品鉴定技能。
94	37	奥尔夫·贝林	奥尔夫住在铁拳城堡后面的小屋里，他会传授专家级的健身术。
95	37	埃尔顿·阿斯特盖特	埃尔顿在铁拳城堡的一个高塔中传授专家级的冥想术。
96	37	瓦尔特·哈格伍斯	瓦尔特在铁拳城堡的一个高塔中传授专家级的交际术。
97	37	特伦斯·史密斯	在“王冠”后面你可以找到特伦斯·史密斯，他会传授一些匕首的绝招。
98	37	商人	我听说有人重金悬赏镇压南岸商路为非作歹的龙骑兵。有些商人愿出重金犒赏能把他们的货物夺回来的英雄。
99	36	神拳会	在布特雷格湾南面新崛起一个僧侣组织，被称为神拳会。
100	36	海盗的财宝	在布特雷格湾的岛屿上藏着一批海盗的财宝。如果你能穿过食人部落，并找到财宝…
101	36	魔法喷泉	魔法喷泉的确切地点仍是个迷。即使有人知道，为了种种原因，也不会透露一个字。
102	36	神庙	太阳教的教士过去在布特雷格湾的岛上有个神庙。
103	36	亚瑟	作为一顶威力无比的王冠，亚瑟可使持有者的体力和魔法值都有所提高。
104	36	大英雄	我听说你要从十字军勇士升级为大英雄，必须完成屠龙的使命。怪不得世上的大英雄这么少。
105	36	海神庙	在银湾南面的某个大岛上有座海神庙。那里的部落往往用俘虏活祭海神，并把头颅浸泡在特制的液体里置于神庙内。岛上的居民个个杀人不眨眼，如果你要去那儿，请先料理后事。
106	36	太阳庙	自由天堂东面的大岛上有一个被太阳派教士长期遗弃的废庙。有一群不明真相的僧侣，错会了神庙的自然真谛，靠着和岛上居民结盟住进了神庙，还带来了偷来的一件圣物。现在废庙中潜伏的魔法开始影响了他们的心智，他们誓死保卫神庙。这两天僧侣们情绪极不稳定，满怀敌意的攻击所有无辜的过路人。
107	36	普里斯顿·哈普尔	普里斯顿在“大耳怪之牙”东面传授专家级的锁甲技能。
108	36	索绍·波顿尼奇	索绍住在“大耳怪之牙”东面的屋子里，他可以传授新的洞察术绝招。
109	36	温斯顿·舒则	温斯顿曾经是这里神职教派的成员，但现在已经退出了。但他留下来一些东西，想找一个有能力为他重返神拳庙的人。他现在住在治疗所的一间小屋内。
110	35	苍穹会	塞德里克·德鲁泽的分裂教派在银湾的西面岩洞内举行仪式。
111	35	银舵	银色兄弟会的堡垒在银湾附近。近来银舵不太安分，真不知道是什么原因。
112	35	军阀	军阀堡垒在银湾的西北面。只有最强壮的武士才能入选他的部队。
113	35	阴影教	阴影教在斯通城堡附近有个重要据点。我很奇怪安东尼·斯通竟没有发现它的所在。
114	35	阿拉莫斯城堡	很少有船敢去阿拉莫斯城堡。船长们都害怕潜伏在北海的那些怪兽。
115	35	光明与暗黑	光明教派在银湾镇和布莱克郡，暗黑教派在白帽镇和布莱克郡。
116	35	钻石怪兽	钻石怪兽是这里最难对付的怪物。任何身体的攻击对他们无能为力，你必须用魔法致其死命。
117	35	僧侣	僧侣发怒时会施放元素魔法，并能稍稍抵御魔法的攻击。
118	35	路西乌斯	这双神奇的靴子能使穿着者跑得更快，反应更迅速。
119	35	大祭司	祭司要想升级为大祭司，必须在自由天堂附近的月亮庙举行月亮仪式。
120	35	军阀堡垒	军阀堡垒威严地耸立着，目睹身边的克里米尔河蜿蜒着流经银湾，注入布特雷格湾。堡垒原来是为了保护镇子而建，自从镇子败落后，居民纷纷移居南面的绿草茂盛之地，而这里成了雇佣兵和罪犯的聚居地。
121	35	独立碑	独立碑高高在上，俯视着从银湾通往自由天堂的商路。自古以来它就是人们顶礼膜拜的圣碑。很久以前，一群僧侣在岩石上开凿出他们的家园，从那时起，各种不同的教派曾在那里定居。现在住在那里的僧侣正在研制一些新的魔法。我想肯定出了什么事，他们已经与世隔绝，不和外人接触很长时间了，并且拒绝来访者进入独立碑。
122	35	银湾镇	银湾镇几百年前只是个打鱼经商的小村庄。现在已经发展成颇具规模的城镇。镇子的占地越来越大，而且土壤肥沃，宜于耕种。只是和王国的其它城镇距离远了点。
123	35	劳里达·弗丽斯	银湾镇的女首领勤于积累财富，却忽视政局稳定。其实她为了镇子的发展和安全还是花了不少钱，不像表面那么自私。
124	35	治安员	银舵占领了银湾北面的堡垒，他们指责弗里斯贪婪无耻，以此为借口袭击她的来往于银湾和自由天堂的商队。我肯定她会为此痛心的。
125	35	魔鬼水域	在银湾北面和东面航行时千万要小心，那里到处是食人的巨型海妖。
126	35	春秋分	春分是三月二十日，秋分是九月二十三日，这两个日子是重要的魔法时刻。
127	35	石圈	在银湾北面的白石岛长期以来被人遗弃，现在是怪兽和疯子的乐园。僧侣们有时冒着生命的危险上岛寻找传说中的石圈以进行太阳仪式。
128	35	约翰·席尔瓦爵士	银舵如今对任何抗击邪恶势力稍有不力的人都赶尽杀绝。我虽然对你不了解，但我想如此杀孽太重不是件好事。约翰·席尔瓦爵士会怎么想？
129	35	地下世界条约	独立碑的僧侣和地下世界签订了协议。这是从那里逃脱的一个僧侣告诉我的。他说独立碑发生了大事，如果不采取措施，人们将领略到此处古迹所蕴藏的难以想象的威力。
130	35	蒂纳·谢尔丹	蒂纳和她女儿住在市政厅的东面。她向有一定基础的人传授专家级的光明魔法技能。
131	35	塞鲁斯·蒙特波罗	你可以去雇佣军行会西面向塞鲁斯学习专家级的修补技能。
132	35	克莱德·戴吉特	克莱德在自我教派街对面传授专家级的冥想技能。
133	35	西格里伍	西格里伍在训练场南面传授专家级的长矛技能。
134	35	埃里诺·范德贝尔特	我听说埃里诺想把独立碑里的邪恶僧侣赶到西方去。如果有人替她完成此事，她会重重酬谢的。如果要了解详细情况，可以去镇子东面她的住所。
135	34	黑摩尔	作为死灵法师魔法师的老家，没人敢去黑摩尔城堡除非是寻找幽灵的不死之身。真难想象这个黑摩尔里的村庄不和外界通商竟生存了那么长时间。
136	34	飞龙沙漠	西面的山区把在飞龙沙漠地区肆虐猖獗的怪兽阻挡在外，使恩洛斯的其他地方免受其害。
137	34	斯纳格	斯纳格的领导才能有限，但没有矮人敢与他作对。
138	34	德里克斯	自从德里克斯变成尸巫后就没有离开黑摩尔一步。他闭门谢客，潜心研究新的魔法咒语。
139	34	幽灵	在幽灵沼泽游荡的幽灵只要一碰你，就可使你迅速苍老。
140	34	鹰身女妖	鹰身女妖对猎物施加咒语，制其于死地。幸好它们不难对付。
141	34	骷髅	尽管骷髅是等级最低的不死之身的幽灵怪物。但它们能够向你施加咒语或使你内心充满恐惧。
142	34	伊格蓝尼	这是一枚可以提高僧侣或游侠魔法能力的魔法戒指。
143	34	勇士	奥斯里克负责勇士资格的能力考查，很少有人能通过这项考试。
144	34	考尼·莱特尼	考尼在黑摩尔的村庄外面传授专家级的战斧技能。
145	34	凯茜·路德威格	凯茜在黑摩尔村庄南面传授专家级的经商技能。
146	34	杰克·克劳	杰克在“烟雾和镜子”街对面传授锤棍的专家级技能。
147	34	阿维里·辛西亚	阿维里一直是矮人国举足轻重的人物，但自从新国王斯纳格登基后他就失宠了。他发誓要寻找报仇的机会，并要求有人帮助。我想你在矮人族某个矿藏里可能找到他。
148	33	旧庙	月亮教派在西面有个神庙。现在塞德里克·德鲁泽的僧侣正在使用该庙举行宗教仪式。
149	33	下水道	自由天堂下面的下水道里尽是些盗贼和讨厌鬼。真难想象会有人住在那儿。
150	33	航船	我听说有艘怪船在坦普湖中航行。
151	33	苍穹会	塞德里克·德鲁泽的僧侣在自由天堂西面占据了一个以前曾属于月亮教派的旧庙。
152	33	神使	高级议会自从这些灾难发生后再也没有祈求神使的指示，现在是时候了。
153	33	冰风关隘	在白帽镇和斯壮姆嘉德城堡之间的道路上到处游荡着邪恶的食人妖和贪婪无耻的强盗。
154	33	弓箭手	不必大惊小怪，弓箭手会向你开弓放箭。有些弓箭手还会使用火焰弓，他们之中的精英可以发射火球。
155	33	莫根	这是一块可以提高巫师或弓箭手元素魔法能力的护身符。
156	33	豪侠	奥斯里克·坦普负责恩洛斯所有剑客的升迁。
157	33	高级议会	高级议会在自由天堂召开会议，所有恩洛斯的诸侯代表聚会此地商讨王国的重大事项。西方正在酝酿一起重大的阴谋。原以为他们会频繁商讨此事，但他们却像没事儿似的不加重视。
158	33	奥斯里克·坦普	在所有恩洛斯的诸侯中，奥斯里克·坦普特别关注在西方作乱的邪恶势利。我个人确信他是唯一思路正确的人。
159	33	下水道进口	我听说盗贼教派拥有通往自由天堂下水道的密门，通过这一密门贼盗们进行分赃。
160	33	太阳马戏团	太阳马戏团通常每年的八月在坦普城堡南面的月牙河西岸休整。
161	33	洛克汉姆村庄	尽管方圆不大，洛克汉姆镇作为贸易重镇和休息的驿站为王国内的旅行者提供了便利。虽然条条大道通往自由天堂，但几乎所有的旅行者都必需经过洛克汉姆镇。
162	33	埃斯里克的坟墓	当埃斯里克魔法师去世时，他留下遗言把躯体安置在他亲自建造的坟墓中，毗邻珍珠花河南面的群山。据称他死后不久就通过地狱的奇迹起死回生。自从那时，这坟墓便成了各种游魂的避难所。他们毫无生气，漫无目的的攻击活着的生物来捍卫他们的新主人埃斯里克。
163	33	雇佣兵要塞	一群臭名昭著的雇佣兵占据了月牙河畔的防御工事，原本是由罗兰德在王位争夺战争中建造的。就我所知，虽然目前这群雇佣兵还并未做任何恶行，但他们的表现却充满了邪恶的征兆。难道你不这样认为吗？
164	33	自由天堂	自由天堂是整个王国最悠久，最富饶的城镇。拥有自然天成的港口和圣洁的神使，自从寂静时代以来民众很自然的在此聚集。
165	33	萤谷湖	萤谷湖近来出现许多超自然的景观。据说是死灵法师魔法师教派在从中捣鬼。这个教派瓦解已经有十年了。如果罗兰德国王不出手制止，谁知道他们会惹出多么大的乱子。
166	33	斯通神庙	自由天堂的斯通神庙最近被一伙僧侣烧为平地，他们企图偷窃神庙中的圣杯。作恶后他们仓惶坐船向东逃窜，从此再也没见过他们。
167	33	下水道中的羊鸣教徒	不知你注意到没有，那些羊鸣教的虔诚教徒最近频繁进出镇子，而且神情异常。他们大概在镇子的下水道里建造新的神庙吧。
168	33	贼盗王子	也许“邪不侵正”这句谚语真正应验了。羊鸣教徒和贼盗王子都躲进下水道作窝了。我们哪天引发大洪水把这群人渣统统冲进大海！
169	33	匪徒	警惕通往布莱克郡路上的匪徒。自从国王失踪后，连接所有主要城市的道路上都有强盗为非作歹。
170	33	尸巫	尸巫只是一具行尸走肉而已。它是通过进行死灵仪式而转变成的僧侣或巫师的僵尸。近来有个怪兽透露疯子埃斯里克是第一个发现并举行“无尽黑夜”仪式，同时也是第一个尸巫和死灵法师。<战栗>真是太可怕了！
171	33	雇佣兵要塞	住在坦普城堡附近要塞里的雇佣兵家财万贯，近来正疯狂采购兵器和装备。肯定有人雇佣他们参预某个阴谋，但会是谁呢？
172	33	洛克林	我听说前任矮人国王正躲在某个客栈里借酒浇愁，自从被斯纳格废黜后他就一蹶不振了。这位战争时期罗兰德国王最忠实的盟友竟会落到如此地步，真是悲剧。如果罗兰德国王在他身边，一定会帮他摆脱困境的。
173	33	特摩西·欧·胡利汉	特摩西在四个元素教派的西南面传授专家级的肢体魔法。
174	33	迈克尔·奥吉维	迈克尔在肢体教派东北面传授专家级的剑术。
175	33	席尔瓦斯特·摩尔	席尔瓦斯特在镇子广场南面会向你展示交际术的一些绝招。
176	33	李维亚·费拉尔	李维亚在镇子广场南面传授经商术的专家级技巧。
177	33	塔考	塔考在“尖石”西面传授专家级的盾牌技能。
178	33	麦尼西亚	麦尼西亚在四个元素教派的西南面传授专家级的心智魔法技能。
179	33	米歇尔·布莱克	米歇尔在四个元素教派的西南面传授专家级的灵魂魔法技能。
180	33	伊万·马格亚	在走私者教派附近的伊万会传授你专家级的陷阱拆卸术。
181	33	劳格·德薛尔	劳格住在肢体教派的东北面，他会传授专家级的匕首技能。
182	33	杰克·范因普	杰克在斯通神庙的南面传授专家级的火系魔法技能。
183	33	伍德罗·奥尔布莱特	伍德罗住在心智教派的西南面，他传授专家级的钢甲技能。
184	33	实留本仁美	仁美在斯通神庙的南面传授水系魔法的专家级技能。
185	33	李·提扎尔	李在斯通神庙的南面传授土系魔法的专家级技能。
186	33	佐登·德尔菲	佐登在斯通神庙的南面传授空气魔法的专家级技能。
187	33	佐尔丹·菲尔普	佐尔丹说他近来有件宝物被南面的龙骑兵偷走了。谁能把它抢回来，他将重重酬谢。要了解详情，可以到镇子广场南面他的住处去找他。
188	33	盖贝里·卡特曼	盖贝里正不断钻研颠倒幽灵的不死之身仪式。我对这种仪式所知不多，要了解详情，可以去他在斯通神庙南面的住所找他。
189	33	卡尔罗·托米尼	卡尔罗的好朋友谢勒尔在布特雷格湾失踪了。他正四处找人寻找谢勒尔的下落。
190	32	阴影教	传言在斯通城堡附近有一个阴影教的主要据点。
191	32	冰风堡垒	通往冰冻高地的商路变得很不安全。食人妖和强盗占领了冰风堡垒。
192	32	马扎尔人	马扎尔人都是肉搏型的战士。但其首领也会用致命的闪电攻击。
193	32	阿瑞斯	这柄看似平淡无奇的锤棍挥舞时可爆发火焰，使对手烈焰焚身，而自己可免遭火焰侵袭。
194	32	神父	安东尼·斯通负责把够格的牧师升级为神父。
195	32	神箭手	埃里克·冯·斯壮姆嘉德是天下射箭第一高手。因此负责训练和提升弓箭手。
196	32	埃里克·冯·斯壮姆嘉德	斯壮姆嘉德爵士无疑是天下最伟大的弓箭手，他参加了所有重大的殊死战役，而且总是凯旋而归。
197	32	安东尼·斯通	斯通爵士既是王国的大主教，又是地下世界的看护者。他会尽力维护世界的和平，愿他万寿无疆。
198	32	冰风堡垒	冰风堡垒曾是斯壮姆嘉德爵士的第一大城堡，但一年前因食人妖和歹徒的攻击，他被迫放弃该城堡，退守白帽镇以东的第二大城堡。据说他一直对城堡的失守耿耿于怀，最近正打算重整旗鼓，收回失地。
199	32	阴影教	阴影教是新近地下世界崛起的盗贼教派，一直和斯通爵士作对。他们有两个隐蔽据点。一个在铁拳城堡附近，一个在与斯通城堡近在咫尺。看来他们正酝酿发动战争。
200	32	白帽镇	白帽镇是恩洛斯的第三大镇。自从斯壮姆嘉德爵士去年失守冰风堡垒，该镇的处境就变得非常危险。食人妖不断袭击来往于该镇的商队。如果停止了商业活动，白帽镇只有死路一条。
201	32	漫长的冬季	自从去年夏天起，这天气就变得极不正常。我开始认为一定是因为我们支持艾恩法斯特王朝而遭到众神的惩罚。
202	32	阴影教	如果传言属实的话，一定是阴影教和羊鸣教狼狈为奸合伙预谋颠覆王国。我听说羊鸣教施展魔法，使各地都变成寒风凛冽的冬季。而阴影教则向他们提供举行仪式所需要的各种装备
203	32	龙塔	如果你看见有个巫师要飞临城镇，你一定要去见识一下能把他击落的龙塔。龙塔不分青红皂白击落飞临城镇的一切飞行物，不管他是人还是龙，你得小心从事。
204	32	冰风堡垒	简直糟糕透了，食人妖竟然占领了冰风堡垒。它们的一些人类同伙是弓箭手，而且专门袭击在商路上来往的客商。并非危言耸听，他们会毁了整个白帽镇的商业活动。
205	32	通路	王国中有几条极为重要的通路，但它们正逐渐被怪兽所控制。长此以往，我们就不必向国王交税，而是把钱交给魔鬼就行了。
206	32	羊鸣教制造的冬天	有一位空气魔法的大师前些天告诉我有人正施展魔法延长了冬季的时间。他曾经根据魔法追踪，结果发现魔法的源头是在最近蓬勃发展的羊鸣庙中。
207	32	隐士	周围的山区里住着一些法力无边，性格古怪的隐士。他们大多是疯子，但有些是专门为了潜心思考不为世人所知的真理而故意隐居这里的。
208	32	秘密通路	如果你对整个王国的山区仔细观察，你会发现进入山区的一条捷径。
209	32	王位争夺战争	斯壮姆嘉德爵士和斯通爵士是战争时期罗兰德国王最得力的两大干将。他们如今的地位是当年所立赫赫战功的应得奖赏。他们已经跻身于王国历史上最英明卓绝的名将行列。
