Note bit	自动记录正文	Category
58	防御药剂（绿色） = 黄色药剂 + 蓝色药剂	potion
59	解毒药剂（紫色） = 蓝色药剂 + 红色药剂	potion
60	超级保护药剂（白色） = 橙色药剂 + 绿色药剂	potion
61	恢复药剂（白色） = 紫色药剂 + 绿色药剂	potion
62	顶级能量药剂（白色） = 橙色药剂 + 黄色药剂	potion
63	超级防御药剂（白色） = 绿色药剂 + 蓝色药剂	potion
64	天赐神力药剂（白色） = 橙色药剂 + 红色药剂	potion
65	攻击加速药剂（白色） = 绿色药剂 + 黄色药剂	potion
66	护体石肤药剂（白色） = 橙色药剂 + 蓝色药剂	potion
67	圣灵佑佐药剂（白色） = 紫色药剂 + 蓝色药剂	potion
68	神圣能量药剂（黑色） = 顶级能量药剂 + 紫色药剂	potion
69	神圣医疗药剂（黑色） = 恢复药剂 + 橙色药剂	potion
70	神圣魔法药剂（黑色） = 超级防御药剂 + 绿色药剂	potion
71	力量精髓（黑色） = 天赐神灵药剂 + 红色药剂	potion
72	智力精髓（黑色） = 护体石肤药剂 + 蓝色药剂	potion
73	个性精髓（黑色） = 恢复药剂 + 蓝色药剂	potion
74	耐力精髓（黑色） = 超级保护药剂 + 黄色药剂	potion
75	精确精髓（黑色） = 圣灵佑佐药剂 + 黄色药剂	potion
76	速度精髓（黑色） = 攻击加速药剂 + 红色药剂	potion
77	运气精髓（黑色） = 超级防御药剂 + 紫色药剂	potion
78	返老还童药剂（黑色） = 顶级能量药剂 + 绿色药剂	potion
79	方尖塔记录 #1 ：石运西在	obelisk
80	方尖塔记录 #2 ：，转下龙	obelisk
81	方尖塔记录 #3 ：你的方的	obelisk
82	方尖塔记录 #4 ：就太，故	obelisk
83	方尖塔记录 #5 ：赢阳船乡	obelisk
84	方尖塔记录 #6 ：得之长，	obelisk
85	方尖塔记录 #7 ：了船的北	obelisk
86	方尖塔记录 #8 ：破而贮部	obelisk
87	方尖塔记录 #9 ：解藏藏一	obelisk
88	方尖塔记录 #10：谜。，个	obelisk
89	方尖塔记录 #11：题抬为不	obelisk
90	方尖塔记录 #12：之起当起	obelisk
91	方尖塔记录 #13：荣那时眼	obelisk
92	方尖塔记录 #14：光块尚的	obelisk
93	方尖塔记录 #15：。大在东	obelisk
94	斯纳格的铁矿内水池之中的右池可恢复10点生命值。	
95	斯纳格的铁矿内水池之中的左池可恢复10点魔法值。	
96	自由天堂的下水道主大厅西南面的井水可以提高10点生命值。	
97	住在新索匹格镇的黑加·毛瑟求购眼镜蛇蛋，每个出价300个金币。	misc
98	住在自由天堂的劳伦斯·艾尔曼求购庙锣，每面出价2000个金币。	misc
99	住在自由天堂的朗·米勒求购求购骨头，每块出价1000个金币。	misc
100	住在自由天堂的戴维斯·卡普求购天然磁石，每块出价5个金币。	misc
101	住在自由天堂的伯尼·鹿特丹求购鹰身女妖的羽毛，每枚出价10个金币。	misc
102	住在自由天堂的蕾妮·布莱克本求购金字塔，每个出价1000个金币。	misc
103	住在自由天堂的尼克·费恩斯特求购桶装酒，每桶出价300个金币。	misc
104	住在自由天堂的塞·罗斯求购牙齿，每枚出价500个金币。	misc
105	住在自由天堂的杰夫·索斯求购三叶草，每枚出价25个金币。	misc
106	住在自由天堂的迪伦·罗宾逊求购琥珀，每枚出价500个金币。	misc
107	住在飞龙沙漠阿卜杜沙漠胜地中的班达·加荣想用珠宝交换神灯。	misc
108	现在你必须摧毁克里根人的蜂房，破坏反应器，击败他们的女王，然后携带着虚空仪式书从那里逃脱，任务就成功完成了。	seer
109	在破坏反应器之前，你必须取得一种能将反应器的爆炸包裹控制起来的魔法。所以你必须把阿基巴德从石化中解放出来。先和尼古拉交谈，把“第三只眼”交给他，他会让你用坦耐尔之铃使阿基巴德恢复原形。然后你就可以说服阿基巴德传授你想要的魔法。	seer
110	要进入控制中心，必须先得到飞龙沙漠维兰神殿内的控制块。把控制块交还给神使，就可以进入控制中心了。克里根的反应器免疫任何类似的攻击，它的唯一克星是控制中心内储存的上古兵器。你一定要拿到这些兵器并掌握使用它们的技能。	seer
111	在阿基巴德对神使动了手脚之后，神使就沉睡至今。要使其重新觉醒，你需要四块记忆水晶。它们分别在隐士岛、阿拉莫斯城堡、克里格斯城堡和黑摩尔城堡。	seer
112	看起来斯里克·席尔瓦托恩就是隐藏在议会中的叛徒。你必须用证据说服摄政王威尔伯·汉弗里，把叛徒逐出议会。你得到克里格斯的顶级羊鸣庙去一趟，把斯里克和羊鸣教阴谋勾结的确凿证据带回来。	seer
113	要拜见神使，必须先使自由天堂高级议会的六个议员满意。恩洛斯六爵士每位都会给你布置一项任务，完成这项任务后，这名爵士在议会中的代表就会支持你。一旦议员一致通过，你就可以拜见神使了。	seer
114	我建议你在完成恩洛斯六爵士的升职任务前先提高自己。	seer
115	你必须把信交给铁拳城堡的摄政王威尔伯·汉弗里。	seer
116	你不妨向新索匹格镇的安多弗·波特皮洛出示第六封信。	seer
117	红色液体赐予力量。	misc
118	橙色液体赐予智力。	misc
119	蓝色液体赐予个性。	misc
120	绿色液体赐予耐力。	misc
121	黄色液体赐予精确。	misc
122	紫色液体赐予速度。	misc
123	白色液体赐予运气。	misc
124	蒸汽饮料赐予火系抗性。	
125	冰霜饮料赐予冰系抗性。	
126	震颤饮料赐予电系抗性。	
127	毒药饮料赐予毒系抗性。	
128	魔力饮料赐予魔系抗性。
