															
Item #	Pic File	名称	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	未鉴定名称	Sprite Index	Shape	Equip X	Equip Y	介绍
42	bow1	长弓	100	Missile	Bow	5d2	0	3	1	长弓	12	3	570	23	由普通材料制成的简单长弓，造型简单。
43	bow2	精灵弓	200	Missile	Bow	5d2	2	3	3	长弓	12	3	569	34	是由埃拉西亚森林中的精灵打制的兵器。它显示了埃拉西亚众精灵的高超的工艺水平。
44	bow3	精准弓	300	Missile	Bow	5d2	4	3	5	长弓	12	3	578	35	弓箭上的蚀刻图案表明此弓是在六百年代晚期在与埃拉西亚精灵们的木材大战中由著名的造弓大师伊万·塞尔文打制。
45	bow4	魔法弓	400	Missile	Bow	5d2	6	3	7	长弓	12	3	564	41	此弓由来临不明的物质打制而成，因此带有神秘的魔法。它质地轻巧，百发百中。
46	bow5	星光弓	500	Missile	Bow	5d2	8	3	9	长弓	12	3	567	26	此弓由天赐炼铁厂内的魔法物质打制而成。而该炼铁厂在寂静时代时就停产了。随着时间流逝，此类弓箭也几乎绝迹了。现存的一些都由精灵和私人收藏家们精心保存。
47	crsbow1	十字弩	50	Missile	Bow	4d2	0	4	1	十字弓	13	0	555	75	十字弓是从奇迹时代以来最致命的远距离杀伤性武器。它由坚硬的水杉木和金属混合制成，是件普通的兵器。
48	crsbow2	精准弩	200	Missile	Bow	4d2	3	4	4	十字弓	13	0	533	72	阿基巴德为发动与其兄弟罗兰德争夺王位的战争，大量囤积此类十字弓。阿基巴德没有选错，它们是天下质量最好，杀伤力最强大的弓箭。
49	crsbow3	弩中之弩	400	Missile	Bow	4d2	7	4	8	十字弓	13	0	557	66	这些十字弓有曲柄和雕花图案，是威力最强大的弓箭。它们出自哪位大师之手至今仍是个迷。
50	mace1	锤棍	50	Weapon	Mace	2d4	0	6	1	锤棍	14	0	496	74	仅是一把大头棍而已。工艺平凡，质地粗糙。
51	mace2	邪恶锤棍	150	Weapon	Mace	2d4	2	6	2	锤棍	14	0	498	54	质地坚硬，可穿透铠甲致敌死命。造型虽略显笨拙，但工艺出色。
52	mace3	雷霆锤棍	300	Weapon	Mace	2d4	5	6	3	锤棍	14	0	489	55	此锤棍是在寂静时代以前的天赐炼铁厂打造而成。至今已有一千多年的历史，流传下来的已经不多了。
53	mace4	神锤棍	450	Weapon	Mace	2d4	8	6	4	锤棍	14	0	503	67	只有魔法师才能使用如此轻巧的兵器并且造成极大的杀伤力。
54	mace5	死亡锤棍	600	Weapon	Mace	2d4	11	6	6	锤棍	14	0	502	75	是由在王位争夺战争中一蹶不振的死灵法师巫师教派精心打造而成。此类兵器每一件都附有威力强大的魔法。
55	hammer1	锤	120	Weapon	Mace	2d5	0	6	1	铁锤	15	3	487	76	这是件形状简陋，毫无艺术感的兵器。它速度慢，但打击力不小，是一件毫无特色的普遍兵器。
56	hammer2	黑暗锤	300	Weapon	Mace	2d5	3	6	3	铁锤	15	3	497	71	它在工艺制作上已有极大改进，通常的使用者为类人怪兽。众人皆知这些怪兽根本不会制造兵器，那这些兵器是从哪儿来的呢？
57	hammer3	神锤	600	Weapon	Mace	2d5	9	6	5	铁锤	15	3	504	55	这些大锤由魔法制成，属于卡力格的月亮教派所有。
58	club1	粗头棍	1	Weapon	Club	1d3	0	3	0	粗头棍	16	0	498	51	是由天下最愚蠢的怪兽才使用的原始兵器，你该对这种东西不屑一顾。
59	club2	尖嘴粗头棍	40	Weapon	Club	1d3	3	3	2	粗头棍	16	0	501	29	比简单的大头棍有了些改进，但杀伤力还是太小。
60	club3	致命粗头棍	100	Weapon	Club	1d3	5	3	3	粗头棍	16	0	512	58	它是大头棍中的王者。要是顶部再有个大球状物，那就成了锤棍了。它体现了打造者的高超工艺，但却不知道谁有这样出神入化的技术。
61	staff1	长棍	40	Weapon2	Staff	2d4	0	3	1	棍棒	17	21	512	78	这种长棍是非常普通的兵器。顶部的红宝石仅是块有色玻璃而已。
62	staff2	翠玉长棍	250	Weapon2	Staff	2d4	3	3	4	棍棒	17	21	512	57	此兵器由魔法制成，故使用轻便，质地坚硬。它是由在寂静时代的六百年代精灵用罕见的木料精心制成。它顶部的绿宝石货真价实，里面有威力强大的魔法。
63	staff3	强力长棍	500	Weapon2	Staff	2d4	7	3	6	棍棒	17	21	483	18	在王位争夺战争的后期，罗兰德胜利击败了死灵法师巫师教派，在他们的宝库里找到了此类兵器。
64	raygun1	迷你榴弹枪	0	Weapon	Blaster	3d5	8	10	20	上古兵器	18	0	508	130	它是在奇迹时代制造的具有强大威力的兵器。
65	raygun2	榴弹枪	0	Weapon	Blaster	5d5	12	10	20	上古兵器	19	0	494	101	它是在奇迹时代制造的天下最完美的供个人使用的武器。它攻击速度奇快，其它任何兵器都赶不上它。
66	lr1icon	皮革盔甲	150	Armor	Leather	4	0	3	1	皮甲	20	0	0	0	它是所有铠甲中制作最简单，最轻便的一种。保护性最差，质地一般。
67	lr2icon	钉甲	250	Armor	Leather	4	2	3	3	皮甲	20	0	0	0	此类皮甲比普通皮甲重，保护性也强一些。它的制造工艺相当不错。
68	lr3icon	魔法皮甲	450	Armor	Leather	4	6	3	5	皮甲	20	0	0	0	此皮甲经魔力点化，具有惊人的抗击打能力，而重量却没有增强。
69	lr4icon	龙皮甲	750	Armor	Leather	4	12	3	7	皮甲	20	0	0	0	是专为李格纳海军军官特制的铠甲。它经过魔法点化，更轻，保护性更强。
70	lr5icon	帝国皮甲	1150	Armor	Leather	4	20	3	9	皮甲	20	0	0	0	它是在80年前在月亮教派和太阳教派交战中诞生的稀世奇珍。它在皮甲中保护性是最好的。
71	chn1icon	锁甲	400	Armor	Chain	8	0	6	1	锁甲	21	0	0	0	锁甲由一片片互相连接的小钢叶组合而成。这件铠甲质量一般，由普通铁皮做成，且只有两层，而且相当沉重。
72	chn2icon	钢锁甲	600	Armor	Chain	8	4	6	4	锁甲	21	0	0	0	是一件比较高级的铠甲。由钢制成，而且在油中浸泡过，不会生锈。
73	chn3icon	贵族锁甲	900	Armor	Chain	8	10	6	6	锁甲	21	0	0	0	此铠甲是在寂静时代870年由卡力格的特尔顿五世，神圣大主教和神圣大祭司合力为军队首领而制的一件圣物。它的钢质上乘，比较轻巧，抗打击力惊人。
74	chn4icon	皇室锁甲	1300	Armor	Chain	8	18	6	8	锁甲	21	0	0	0	在七至八世纪的木材大战中精灵中的贵族和一些皇亲国戚一直穿着此类附有魔法的铠甲。
75	chn5icon	帝王锁甲	1800	Armor	Chain	8	28	6	10	锁甲	21	0	0	0	它是由在寂静时代以前天赐炼铁厂主人帕第什所制的一件百里挑一的铠甲。此铠甲原本只有他本人和一些高级官员才可穿着。它穿着轻便，保护性极强，而且柔软性相当好，是天下最完美的锁甲。
76	pl1icon	钢甲	1000	Armor	Plate	20	0	9	1	钢甲	22	0	0	0	它由钢片连接而成，在未被点化的铠甲中是最好的。但因为比较重，穿着者显得笨拙不堪。这种铠甲质地一般，打造者无名无姓。
77	pl2icon	全钢盔甲	1400	Armor	Plate	20	8	9	6	钢甲	22	0	0	0	它是构造精良的钢甲。右臂的印记表明它是最近在克勒布林打造的。
78	pl3icon	黄金甲	2700	Armor	Plate	20	34	9	12	钢甲	22	0	0	0	这件钢甲是在麦克林去世的十八年后在麦克林的锻造厂制成的。这真是一件杰作。穿此铠甲如穿平常衣物。乃是天下第一甲。
79	lshield1	风筝盾牌	200	Shield	Shield	6	0	4	1	大盾	23	0	548	115	它就在木质骨架上盖了一层毛皮，仅对身体有微弱的保护作用。
80	lshield2	高楼盾牌	300	Shield	Shield	6	1	4	3	大盾	23	0	544	123	根据此盾牌上的简单纹章设计可以看出它由野人和大耳族打造。它的制作材料坚硬，能够承受一定打击力量。
81	lshield3	城堡盾牌	400	Shield	Shield	6	3	4	5	大盾	23	0	542	129	此盾牌由铁制骨架和木材复合而成，比较沉重。只要不被暗算，它可以帮助你在战斗中安然无恙。
82	lshield4	天际盾牌	500	Shield	Shield	6	7	4	7	大盾	24	0	537	114	它诞生于克勒布林的锻造厂，由轻质金属制成。尽管比较轻巧，但抗打击力强，舞动时几乎风雨不透。
83	lshield5	众神屏障	800	Shield	Shield	6	13	4	9	大盾	24	0	535	131	在埃拉西亚南部曾经有个菲尼克斯王国昙花一现般的统治了整个大陆（790-864）。这些盾牌就是他们制造的。它由经魔力点化的金属制成，为菲尼克斯王国一统天下立下汗马功劳。但此类金属举世罕见，数量稀少，所以该王国在寂静时代864年在精灵族的进攻中灭亡了。
84	sshield1	木质盾牌	100	Shield	Shield	4	0	4	1	小盾牌	24	12	559	149	这种木质小型盾牌对防御弓箭很有效。
85	sshield2	青铜盾牌	200	Shield	Shield	4	2	4	2	小盾牌	24	12	559	149	这种青铜盾牌比铁制盾牌轻，但保护性比铁制盾牌差。
86	sshield3	钢质盾牌	300	Shield	Shield	4	4	4	3	小盾牌	24	12	556	145	这种盾牌由经过魔力点化的优质钢制成，只有最具魔力的武器方能击穿它。
87	sshield4	灵魂盾牌	450	Shield	Shield	4	8	4	4	小盾牌	24	12	552	134	灵魂盾牌尽管钢质一般，但经过了特殊的魔法仪式的点化，有难以预料的魔法威力。而举行这项仪式相当费时间，而且必须三个灵魂魔法的大师同时参与。
88	sshield5	星际盾牌	750	Shield	Shield	4	14	4	5	小盾牌	24	12	562	142	在寂静时代的一世纪，为了镇压风起云涌的各地造反势力，统治者进行了连绵不绝的战斗。而天赐炼铁厂特意打造了这些盾牌想加强帝国的统治（尽管它最终被推翻了）。此类盾牌比较轻巧，质地坚硬，并附有威力无比的魔力。
89	helm1	头盔	60	Helm	Misc	2	0	6	1	头盔	25	6	539	45	一件普通的头盔，由木质骨架和毛皮包裹而成。由于里面无任何填充物，所以保护性相当差。
90	hlm2icon	钢质头盔	260	Helm	Misc	2	4	6	4	头盔	25	6	536	42	它是普通的钢质头盔。它的设计合理，为世界各地的战士们所喜爱。它大概是50-75年前打造的。
91	hlm3icon	守护头盔	460	Helm	Misc	2	6	6	6	头盔	25	6	526	38	它是在寂静时代前由埃拉西亚的精灵族设计制造的。由白银和钢铁混合制成，质地十分坚硬。
92	hlm4icon	防御头盔	660	Helm	Misc	2	8	6	8	头盔	25	6	530	35	以卡力格最凶猛的莫格里德怪兽的头盖骨为原料制成。如今这种怪兽数量越来越少，该头盔也越加珍贵。头盔犄角周围的红色条纹表明它有巨大的点化潜力。
93	hlm5icon	天使头盔	860	Helm	Misc	2	10	6	10	头盔	25	6	535	40	这些头盔是稀世的珍品，不知是出自何人之手，但肯定是从奇迹时代流传下来的。它里面有一段经书，写着“船店的财产， VARN MCMIV”。
94	hat1a	布帽	20	Helm	Misc	0	0	2	1	布帽	26	11	542	40	一顶普通的布帽，由鸭毛，羊毛和棉花填充而成。
95	hat2a	幻觉帽	100	Helm	Misc	0	0	2	2	布帽	26	11	515	44	一顶造型优美，非常时髦的布帽。在上等阶层中非常流行。
96	hat3a	魔法帽	200	Helm	Misc	0	0	2	3	布帽	26	11	529	14	不要讥笑它那古里古怪的造型。许多魔法师都花了大力气来点化此类帽子。它圆锥的形状和顶端的“眼睛”深受灵魂世界生物的喜爱。正因为有这些东西才易于被魔力点化。
97	crown1a	头冠	250	Helm	Misc	0	0	4	12	冠冕	27	0	538	54	一些大耳怪和穷演员为了嘲弄皇室才做了顶这么破破烂烂的皇冠。它没有丝毫的保护作用，也许能附有一点小魔法。
98	crown2a	皇冠	450	Helm	Misc	0	0	4	14	冠冕	27	0	538	51	在这顶银冠的中央有一块巨大的有瑕疵的蓝宝石。制作精巧的铁锤表明此头冠出自矮人族工匠之手。
99	crown3a	霸主之冠	650	Helm	Misc	0	0	4	16	冠冕	27	0	540	53	这种冠冕专为接受魔法点化而做。如果它没有附有魔法，一定是因为某种原因而没有完工。
100	belt1a	皮带	40	Belt	Misc	0	0	3	1	皮带	28	5	545	181	是专门系裤子的皮带。
101	belt2a	雇佣兵皮带	100	Belt	Misc	0	0	3	2	皮带	28	5	546	184	土匪和雇佣军喜欢系这种带有闪光皮带扣的皮带。既是为了好看，皮带上还可以附有一点小魔法。
102	belt3a	卫兵皮带	225	Belt	Misc	0	0	3	3	皮带	28	5	545	187	由龙皮和抛光的青铜皮带扣制成的这条皮带有非同寻常的保护性和抗魔法能力。尽管很难被点化，但如果点化成功将具有极强的抗魔法能力。
103	belt4a	军阀皮带	450	Belt	Misc	0	0	3	4	皮带	28	5	547	185	由白银和一些不明来历的生物皮革混合制成。皮带上镶有金色合金钉子，皮带扣为白银的底座镶着一大块猫眼宝石。
104	belt5a	霸主皮带	600	Belt	Misc	0	0	3	5	皮带	28	5	547	186	此皮带由上好的白金制成，柔软而有弹性。白金并非人手可以打磨的，而皮带扣镶入红宝石的工艺如此精巧，制作此皮带的方法很久就失传了。
105	cape1a	皮革披风	50	Cloak	Misc	1	0	2	2	披风	29	10	490	95	一件旧式的皮质披风，仅可挡风遮雨。
106	cape2a	幽灵披风	150	Cloak	Misc	1	2	2	3	披风	29	10	495	95	取自李格纳半岛的靛青把这件披风染得如同夏日的夜空。
107	cape3a	精灵披风	250	Cloak	Misc	1	4	2	4	披风	29	10	495	85	由取自埃拉西亚森林中的木质纤维制成，是精灵族巡逻队的传统装束。
108	cape4a	主教披风	450	Cloak	Misc	1	6	2	5	披风	29	10	490	80	在寂静时代1083年卡力格的太阳教派瓦解以前，此类披风只有太阳教派的高级官员才能穿着。所有这类披风都附有这种或那种的魔法。
109	cape5a	世界末日披风	750	Cloak	Misc	1	8	2	6	披风	29	10	480	80	在寂静时代1083年卡力格的月亮教派瓦解以前，此类披风只有月亮教派的高级官员才能穿着。所有这类披风都附有这种或那种的魔法。
110	gontlet1	手套	100	Gauntlets	Misc	3	0	6	2	手套	30	0	0	0	一件造型古朴，结构简单的钢质手套。
111	gontlet2	剑客手套	250	Gauntlets	Misc	3	3	6	4	手套	30	0	0	0	这种钢质手套在设计上已经有了大的改进。通常大耳族和强盗喜欢这种手套。它的手背和手腕部分非常坚硬，手指部分用钢片连接以提高灵巧性。
112	gontlet3	游侠手套	450	Gauntlets	Misc	3	5	6	6	手套	30	0	0	0	尽管缺乏弹性，但手指关节和手腕部分都得到加固。
113	gontlet4	豪侠手套	650	Gauntlets	Misc	3	7	6	8	手套	30	0	0	0	一副质量上乘的钢质手套。既灵活，又不失保护性。连接部分特别加固，但能像正常的双手一样运转自如。
114	gontlet5	终极手套	850	Gauntlets	Misc	3	9	6	10	手套	30	0	0	0	矮人族的工匠大师设计了这副堪称杰作的钢质手套。除了特别坚固外，它和柔软的布质手套没什么区别。设计精巧的旋转和滑动钢片可使双手运用自如，同时又具有极强的保护作用。
115	boots1	皮靴	50	Boots	Misc	2	0	3	3	靴子	31	0	537	289	由皮革和大头钉制成的普通旅行者专用鞋。
116	boots2	钢靴	250	Boots	Misc	2	4	3	4	靴子	31	0	540	289	为在战斗中保护双脚而特制的重型钢靴。穿着时行走很不舒服，靴子里面易生锈。
117	boots3	甲靴	450	Boots	Misc	2	6	3	5	靴子	31	0	542	288	这些钢靴的里面垫有皮革和布料，使行走舒适。但穿着时间过长容易引起疲劳。
118	boots4	靴中之王	650	Boots	Misc	2	8	3	6	靴子	31	0	541	287	内里垫有天鹅绒的抛光银靴。它比钢靴轻便，而且非常舒适。样子看上去很惹人喜爱。
119	boots5	终极战靴	850	Boots	Misc	2	10	3	7	靴子	31	0	542	285	由龙皮制成的皮靴，并用稀有金属作铆钉加固。穿着柔软轻便，保护性无与伦比。
120	ring1	细指环	100	Ring	Misc	0	0	7	2	戒指	32	0	0	0	金质戒指并镶有一颗小钻石。式样简单别致。
121	ring2	闪光指环	300	Ring	Misc	0	0	7	4	戒指	32	0	0	0	装饰有两颗紫水晶的白金戒指。
122	ring9	月光指环	500	Ring	Misc	0	0	7	6	戒指	32	0	0	0	镶有月亮石的金戒指。一般可附有魔法。
123	ring4	魔法指环	700	Ring	Misc	0	0	7	8	戒指	32	0	0	0	在寂静时代550-800年巫师教派的黄金时代，这类戒指是识别他们身份的标志。
124	ring8	保佑指环	900	Ring	Misc	0	0	7	10	戒指	32	0	0	0	镶有三颗珍珠的金戒指，在太阳照耀下散发出幽幽蓝光，让你了解魔法的真谛。
125	ring3	珍贵指环	1100	Ring	Misc	0	0	7	12	戒指	32	0	0	0	一颗大的蓝色之星宝石，伴着两颗小的红宝石，镶嵌在金质的底座上。
126	ring5	稀有指环	1300	Ring	Misc	0	0	7	14	戒指	32	0	0	0	三颗形状质地一模一样的宝石平行镶嵌在金质的底座上，中间一颗为红宝石，两边为带有紫色的黄宝石。
127	ring6	超凡指环	1500	Ring	Misc	0	0	7	16	戒指	32	0	0	0	一颗大宝石和两颗小珍珠镶嵌在精工打造的金质底座上，散发出捉摸不定的光彩，好像处在肉眼看不见的太阳光线照耀中。 
128	ring7	玲珑指环	1700	Ring	Misc	0	0	7	18	戒指	32	0	0	0	三颗猫眼宝石镶嵌在由一红色稀有金属制成的戒指上，这种金属仅存于埃拉西亚南部。
129	ring10	甲虫指环	2000	Ring	Misc	0	0	7	20	戒指	32	0	0	0	金质的戒指上镶嵌着仅存于恩洛斯沙漠的甲虫壳。如果魔法师处理得当，这些甲虫壳可以附有威力最强大的魔法。
130	amulet1	绿宝石护身符	500	Amulet	Misc	0	0	4	2	护身符	33	0	0	0	镶嵌有绿松石的青铜项链。它是价格低廉，但有一定魔法能力的护身符。
131	amulet2	哥特护身符	750	Amulet	Misc	0	0	4	4	护身符	33	0	0	0	这个古里古怪的护身符是由一个走火入魔的魔法师制成。这种设计可以携带他发明的任何魔法。
132	amulet3	利爪护身符	1000	Amulet	Misc	0	0	4	6	护身符	33	0	0	0	一颗巨大的，有瑕疵的黄宝石镶嵌在来临不明的怪兽的腿骨上，样子虽然挺可怕，但法力无穷。
133	amulet4	古典护身符	1250	Amulet	Misc	0	0	4	8	护身符	33	0	0	0	这个护身符由两片组成。前面一片是一块年代久远，光滑坚硬的长方形金属片，后面是金质链条和环扣。前面的金属片上刻有去世已久的战士和工匠的姓名，并表明了职位和等级。
134	amulet5	红玉星护身符	1500	Amulet	Misc	0	0	4	10	护身符	33	0	0	0	这件护身符由一星形的红宝石和金质环扣组成。在幽暗的光线下，可以看到宝石中央有一亮光在不断舞动。
135	wand1	火焰杖	1000	WeaponW	Misc	S2	50	3	5	魔杖	34	0	516	56	杆身由蓝色金属和木料混合打制而成。顶端为一蓝色宝石。要使用此魔杖得像手执兵器一样拿着它。
136	wand1	电击杖	1000	WeaponW	Misc	S13	50	3	5	魔杖	34	0	516	56	杆身由蓝色金属和木料混合打制而成。顶端为一蓝色宝石。要使用此魔杖得像手执兵器一样拿着它。
137	wand1	冷冻杖	1000	WeaponW	Misc	S24	50	3	5	魔杖	34	0	516	56	杆身由蓝色金属和木料混合打制而成。顶端为一蓝色宝石。要使用此魔杖得像手执兵器一样拿着它。
138	wand1	眩晕杖	1000	WeaponW	Misc	S34	50	3	5	魔杖	34	0	516	56	杆身由蓝色金属和木料混合打制而成。顶端为一蓝色宝石。要使用此魔杖得像手执兵器一样拿着它。
139	wand1	箭杖	1000	WeaponW	Misc	S35	50	3	5	魔杖	34	0	516	56	杆身由蓝色金属和木料混合打制而成。顶端为一蓝色宝石。要使用此魔杖得像手执兵器一样拿着它。
140	wand2	火焰仙杖	1500	WeaponW	Misc	S4	40	3	7	魔杖	34	0	504	33	与其说是魔杖，不如说是长棍。尽管它从树上砍下来好多年了，这根仙杖仍然生机勃勃。要使用此魔杖得像手执兵器一样拿着它。
141	wand2	火星仙杖	1500	WeaponW	Misc	S15	40	3	7	魔杖	34	0	504	33	与其说是魔杖，不如说是长棍。尽管它从树上砍下来好多年了，这根仙杖仍然生机勃勃。要使用此魔杖得像手执兵器一样拿着它。
