NPC Data (Special)	Unter		BTB check			Current	Profession	Join	News	Event	Event	Event	
86	艾萨克·斯特里曼	67	0	0	0	369	17	0	1	0	0	382	Self Guild Membership (D1)
87	特温伦	68	0	0	0	253	41	0	0	351	353	0	Statuette Quest
88	娜奥米·海兰德	69	0	0	0	475	10	1	1	0	0	0	healer
89	埃罗尔·奥斯特曼	70	0	0	0	252	14	0	0	213	0	0	mace master (B2)
90	加布·莱斯特	71	0	0	-600	275	14	0	0	257	0	0	disarm master (C1)
91	迪克森·帕克斯	72	0	0	0	270	13	0	0	212	266	0	mace expert (C1)
92	塔考	73	0	0	0	323	13	0	0	216	268	0	shield expert (C2)
93	杰德·莫里森	74	0	0	0	269	13	0	0	210	265	0	bow expert (C1)
94	道格拉斯·希尔	75	0	0	0	477	13	0	0	228	274	0	"water expert, on luck island (E3)"
95	埃尔顿·阿斯特罗盖特	76	0	0	0	424	13	0	0	258	289	0	"learning expert, upstairs Ironfist (D3)"
96	莫顿·霍洛文	77	0	0	-800	273	13	0	0	240	280	0	dark expert (C1)
97	纽特·海德洛	78	0	0	400	435	13	0	0	218	269	0	"leather expert, 4 buildings south of Ironfist (D3)"
98	雅斯曼·斯派塞	79	0	0	0	400	11	1	1	0	0	0	expert healer
99	海伦·蒂尔	80	0	0	0	438	13	0	0	210	265	0	bow expert (D3)
100	帕特	81	0	0	0	0	0	0	0	0	0	0	Proprietor picture already used.
101	杰西卡·卡森	82	0	0	0	289	17	0	1	0	0	389	Air Guild Membership (C2)
102	菲斯·凯伦摩尔	83	0	0	0	260	21	1	1	0	0	0	merchant
103	金格·阿斯特	84	0	0	0	398	13	1	1	0	0	0	teacher
104	伊冯娜·达西	85	0	0	0	226	33	1	1	0	0	0	cook
105	杰扎贝尔	86	0	0	400	455	14	0	0	225	0	391	fire master (E2)
106	帕特·斯凯拉克	87	0	0	0	448	13	0	0	214	267	0	blaster expert (E1)
107	多琳·伊斯帕纳	88	0	0	0	332	34	1	1	0	0	0	chef
108	埃曼纽尔·克拉维兹	89	0	0	0	-1	0	0	1	321	0	0	Husband needed for t8 find the husband quest
109	李维·博塔尼亚	90	0	0	0	396	14	0	0	231	0	0	earth master (D1)
110	戴斯·马克布勒	91	0	0	0	0	0	0	0	0	0	0	weird face…not sure what to do with this one.
111	胡格兄弟	92	0	0	0	351	20	1	1	0	0	0	trader
112	胡格兄弟	93	0	0	0	406	28	1	1	0	0	0	chimney sweep
113	胡格兄弟	94	0	0	0	463	8	1	1	0	0	0	sailor
114	胡格兄弟	95	0	0	0	393	26	1	1	0	0	0	locksmith
115	格雷厄姆·丹西	96	0	0	0	409	24	1	1	0	0	0	barrister
116	温迪·费瑟希尔	97	0	0	0	354	47	1	1	0	0	0	psychic
117	多洛雷斯·科拉夫特	98	0	0	0	355	33	1	1	0	0	0	cook
118	乔安娜·克拉维兹	99	0	0	0	254	52	0	0	317	0	0	Wife for the t8 find the husband quest
119	霍莉·斯特拉瑟斯	100	0	0	0	368	17	0	1	0	0	390	Earth Guild Membership (D1)
120	艾克·帕格鲁	101	0	0	0	291	17	0	1	0	0	390	Earth Guild Membership (C2)
121	科瑞·鲁兹伯格	102	0	0	0	288	17	0	1	0	0	391	Fire Guild Membership (C2)
122	普雷斯腾·哈珀	103	0	0	200	414	13	0	0	220	270	0	chain expert (D2)
123	蒂娜·谢尔丹	104	0	0	800	389	13	0	0	238	279	0	light expert (D1)
124	罗克珊·谢尔丹	105	0	0	0	389	77	0	0	0	0	0	child
125	塔拉·德凯赛	106	0	0	0	484	13	0	0	252	286	0	"perception expert, above tavern (E3)"
126	维拉·格拉斯林	107	0	0	0	388	36	1	1	0	0	0	bard
127	艾玛·特伦斯	108	0	0	0	387	59	1	1	0	0	0	weaver
128	奥利维亚·特伦佩特	109	0	0	0	386	58	1	1	0	0	0	potter
129	丽贝卡·特拉弗勒	110	0	0	0	284	77	0	0	0	0	0	child
130	李克斯拉	111	0	0	0	223	14	0	0	215	0	0	master blaster (A2)
131	米里娅姆·古德维夫	112	0	0	0	227	32	1	1	0	0	0	banker
132	多梅尼克·华雷斯	113	0	0	0	290	17	0	1	0	0	392	Water Guild Membership (C2)
133	格雷琴·法尔曾	114	0	0	0	384	54	1	1	0	0	0	tailor
134	埃德娜·哈门诺夫	115	0	0	0	446	55	1	1	0	0	0	laborer
135	朱莉·库珀	116	0	0	0	395	56	1	1	0	0	0	farmer
136	埃塞尔·阿姆斯特朗	117	0	0	0	349	70	1	1	0	0	0	scribe
137	伯妮斯·韦弗	118	0	0	600	442	17	0	1	0	0	393	Body Guild Membership (D3)
138	毕肖普·因奎斯托里奥	119	0	0	600	426	14	0	0	233	0	395	"spirit master, behind Ironfist (D3)"
139	伊娃·森普尔	120	0	0	100	350	14	1	1	0	0	0	instructor
140	盖尔·阿什滕加德	121	0	0	0	447	53	1	1	0	0	0	serf
141	达芬·卡洛维	122	0	0	0	344	23	1	1	0	0	0	counselor
142	斯蒂芬·比格斯	123	0	0	0	439	13	0	0	206	263	0	"axe expert, 2nd door in training (D3)"
143	莉丽·琼	124	0	0	0	345	19	1	1	0	0	0	spell master
144	佩姬·伍兹	125	0	0	0	294	17	0	1	0	0	393	Body Guild Membership (C2)
145	玛利亚	126	0	0	0	0	0	0	0	0	0	0	picture already used by maria the gypsy
146	爱丽丝·奥芬豪斯	127	0	0	0	392	24	1	1	0	0	0	barrister
147	赛勒斯·蒙特布勒	128	0	0	0	391	13	0	0	246	283	0	repair expert (D1)
148	唐纳德·莱特泽	129	0	0	0	487	13	0	0	258	289	0	"learning expert, upstairs self guild (E3)"
149	科迪·里伯	130	0	0	0	419	46	1	1	0	0	0	squire
150	特雷西·弗劳塔	131	0	0	600	438	17	0	1	0	0	394	Mind Guild Membership (D3)
151	卡罗尔·罗西尼	132	0	0	0	394	72	1	1	0	0	0	clerk
152	斯蒂芬妮·帕夫洛夫	133	0	0	0	417	71	1	1	0	0	0	missionary
153	桑德拉·特鲁多尔	134	0	0	-100	333	74	1	0	0	0	0	follower of Baa
154	威尔特·德沃森	135	0	0	0	471	58	0	0	328	0	382	(Self Guild Membership and Rescue Angela)
155	谢勒尔·伊万诺夫	136	0	0	0	-1	0	0	1	333	0	0	Prisoner of the cannibals in the t3 rescue the prisoner quest
156	艾尔斯·弗里德曼	137	0	0	0	293	17	0	1	0	0	394	Mind Guild Membership (C2)
157	贝弗利·斯维特沃特	138	0	0	0	218	4	1	1	0	0	0	scholar
158	弗洛里梅尔·艾维伦	139	0	0	100	220	75	1	1	0	0	0	noble
159	斯泰西·法兰德斯	140	0	0	0	348	74	1	0	0	0	0	follower of baa
160	贝琳达·派克曼	141	0	0	0	347	33	1	1	0	0	0	cook
161	康妮·莱特林	142	0	0	0	340	13	0	0	206	263	0	axe expert (C3)
162	钱德拉·斯特里普林	143	0	0	0	346	52	1	1	0	0	0	农民
163	吉恩·阿克顿	144	0	0	0	418	31	1	1	0	0	0	factor
164	克莱德·达盖特	145	0	0	0	408	13	0	0	250	285	0	meditation expert (D1)
165	凯瑟琳·美斯特	146	0	0	0	539	18	1	0	398	0	0	mystic - allows the use of the teleporter (E2)
166	麦尼西亚	147	0	0	0	320	13	0	0	234	277	0	mind expert (C2)
167	安伯·普拉特	148	0	0	100	331	36	1	1	0	0	0	bard
168	卡桑德拉·迪蒙	149	0	0	0	381	42	1	1	0	0	0	acolyte
169	米歇尔·布莱克谢尔	150	0	0	0	318	13	0	0	232	276	0	spirit expert (C2)
170	卡莉·鹿特丹	151	0	0	0	330	77	0	0	0	0	0	child
171	盖贝里·卡特曼	152	0	0	0	295	3	0	0	305	0	0	Alchemist who gives retrieve Ethric's skull quest
172	凯茜·路德维希	153	0	0	0	338	13	0	0	244	282	0	merchant expert (C3)
173	希拉·鲁姆普斯	154	0	0	0	483	13	0	0	242	281	0	"identify expert, above tavern (E3)"
174	朱迪思·舒梅克	155	0	0	0	380	60	1	1	0	0	0	cobbler
175	塞莱娜·菌柄	156	0	0	-100	538	45	1	1	0	0	0	pirate
176	威尔玛·罗斯文	157	0	0	0	292	17	0	1	0	0	395	Spirit Guild Membership (C2)
177	伊万·马格亚	158	0	0	0	283	13	0	0	256	288	0	disarm expert (C2)
178	尼古拉斯·罗斯	159	0	1600	800	239	13	0	0	238	279	0	light expert (B1)
179	伯尼·鹿特丹	160	0	0	100	330	0	0	1	116	0	0	Harpy Feather Buyer (C2)
180	卡奥·塞勒姆	161	0	0	400	458	14	0	0	227	0	389	air master (E2)
181	布朗温·梅克	162	0	0	400	248	14	0	0	217	0	0	Shield Master (B2)
182	兰德尔·诺里斯	163	0	0	0	449	9	1	1	0	0	0	navigator
183		164	0	0	0	0	0	0	0	0	0	0	picture of melody silver
184	海蒂·斯特朗普	165	0	0	100	329	75	1	1	0	0	0	noble
185	伊格	166	0	0	0	478	13	0	0	214	267	0	"blaster expert, behind goblin camp (E3)"
186	伊里斯·波普费尔德	167	0	0	100	328	36	1	1	0	0	0	bard
187	贾森·特拉弗勒	168	0	800	0	284	14	0	0	249	0	0	bodybuilding master (C2)
188	德斯蒙德·威勒	169	0	0	0	241	14	0	0	211	0	0	bow master (B1)
189	杰克·克劳	170	0	0	0	337	13	0	0	212	266	0	mace expert (C3)
190	哈里特·沃特斯	171	0	0	0	379	57	1	1	0	0	0	cooper
191	阿维莉娅·阿希德	172	0	0	0	343	22	1	1	0	0	0	scout
192	凯文·沃奇	173	0	0	0	-1	52	0	1	0	0	0	农民 turned to stone in t8
193	雪莉·卡耐基	124	0	0	0	-1	0	0	0	327	0	0	"Rescue the Sharry quest, becomes healer in 2D 471 in New Sorpigal"
194	乔·汉德勒邦	175	0	0	0	261	19	1	1	0	0	0	spell master
195	安吉拉·德沃森	176	0	0	0	-1	77	0	0	330	0	0	Child for the d2 rescue the lost child quest
196	亚瑟·欧李雷	177	0	0	-300	457	0	0	0	218	269	383	leather expert (E2)
197	安布罗斯·布鲁斯	178	0	0	-800	256	13	0	0	240	280	0	dark expert (B2)
198	弗莱彻·托蒙加斯特	179	0	0	0	-1	52	0	1	0	0	0	农民 turned to stone in t8
199	以利亚·斯凯拉克	180	0	0	0	448	77	1	1	0	0	0	child
200	卡尔罗·托米尼	181	0	0	0	297	35	0	0	331	0	0	Gives the t3 rescue the prisoner quest
201	埃米尔·利姆	182	0	0	0	245	37	0	0	355	0	0	Jewelled Egg Quest
202	克恩·卡耐基	183	0	0	0	342	15	1	1	0	0	0	arms master
203	洛根·达什尔	184	0	0	0	322	13	0	0	204	262	0	dagger expert (C2)
204	佛萝茜·塞特林	185	0	0	0	341	58	1	1	0	0	0	potter
205	多洛雷斯·菲舍尔	186	0	0	0	378	6	1	1	0	0	0	tracker
206	伯顿·卢瑟福	187	0	800	0	339	14	0	0	209	0	0	spear master (C3)
207	布福德·提·奥曼	188	0	0	0	470	24	0	0	308	0	381	(Elemental Guild and kill Spider Queen)
208	杰克·范因普	189	0	0	0	300	13	0	0	224	272	0	fire expert (C2)
209	李克斯拉·范因普	190	0	0	0	300	42	1	1	0	0	0	acolyte
210	朱尔斯·米尔斯	191	0	0	-600	271	14	0	0	205	0	0	dagger master (C1)
211	瑞安·特里克尔	192	0	0	0	277	13	0	0	247	0	0	repair master (C1)
212	玛利亚·特里潘	193	0	0	0	251	33	0	0	334	0	0	Gives the free Blackshire from the curse quest
213	谢丽尔·邓肯	194	0	0	0	485	13	0	0	226	273	0	"air expert, above bank (E3)"
214	伍德罗·奥尔布赖特	195	0	0	0	298	13	0	0	222	271	0	plate expert (C2)
215	德罗巴·马潘兹	196	0	0	0	243	27	1	1	0	0	0	fool
216	塔罗	197	0	0	0	466	13	0	0	230	275	0	"earth expert, west 5 poor houses (E3)"
217	玛德琳·陶尔斯	198	0	0	0	376	21	1	1	0	0	0	merchant
218	法比安·森	199	0	0	0	313	30	1	1	0	0	0	quarter master
219	班达·加荣	221	0	0	0	557	0	0	1	135	0	0	Lamp Trader (B3)
220	实留本多理	201	0	0	0	324	77	0	1	0	0	0	child
221	连凯	202	0	0	0	377	59	1	1	0	0	0	weaver
222	金银甫	203	0	0	0	236	23	1	1	0	0	0	counselor
223	实留本仁美	204	0	0	0	324	13	0	0	228	274	0	water expert (C2)
224	西拉·达翁	205	0	0	100	235	14	1	1	0	0	0	instructor
225	阿卜杜拉·马格里布	206	0	0	0	469	13	0	0	236	278	0	"body expert, west 5 poor houses (E3)"
226	希塔妮娅·雷蒂亚尼	207	0	0	0	315	58	1	1	0	0	0	potter
227	西格里伍	208	0	0	0	390	13	0	0	208	264	0	spear expert (D1)
228	米拉·汉	209	0	0	0	464	47	1	1	0	0	0	psychic
229	诺里奥·阿里加纳卡	210	0	0	600	456	14	0	0	251	0	0	meditation master (E2)
230	索西·波顿尼基	211	0	0	-200	415	13	0	0	252	286	0	perception expert (D2)
231	莉娅·鲁	212	0	0	0	411	77	0	1	0	0	0	child
232	罗迪尼亚·希达拉	213	0	0	0	244	43	1	1	0	0	0	piper
233	因蒂希尔·维兰蒂	214	0	0	0	356	29	1	1	0	0	0	porter
234	塔里诺·加玛	215	0	0	0	225	62	1	1	0	0	0	miller
235	阿克巴	216	0	0	0	357	30	1	1	0	0	0	quarter master
236	李·提扎尔	217	0	0	0	325	13	0	0	230	275	0	earth expert (C2)
237	宋·鲁	218	0	0	0	411	40	1	1	0	0	0	water master
238	佐达恩·德尔菲	219	0	0	0	326	13	0	0	226	273	0	air expert (C2)
239	洛瑞·陶	220	0	0	0	312	74	1	0	0	0	0	follower of baa
240	斯里·雷蒂亚尼	238	0	0	0	315	77	0	1	0	0	0	child
241	黛拉·周	239	0	0	0	0	77	0	1	0	0	0	child
242	格黑·马苏	249	0	0	0	359	43	1	1	0	0	0	piper
243	西莉卡·托里纳	251	0	0	100	450	39	1	1	0	0	0	wind master
244	米拉达·斯通	252	0	0	0	372	38	1	1	0	0	0	cartographer
245	丽贝卡·卡拉维	253	0	0	-600	255	17	0	1	0	0	397	Dark Guild Membership (B2)
246	弗吉尼亚·斯坦德里吉	254	0	0	600	367	17	0	1	0	0	396	Light Guild Membership (D1)
247	达娜·费恩斯特	256	0	0	0	0	0	0	0	0	0	0	"proprietor light guild, picture already used"
248	洛克希娜·斯莫伦斯卡	257	0	0	0	427	25	1	1	0	0	0	tinker
249	贝丝·汤普森	258	0	0	100	360	40	1	1	0	0	0	water master
250	威尔玛·库克	259	0	0	100	307	41	1	1	0	0	0	gate master
251	莱斯娅·马杜克	260	0	0	-100	540	51	1	1	0	0	0	burglar
252	米罗·希奈克	263	0	0	0	399	35	1	1	0	0	0	horseman
253	安阿瓦	271	0	0	0	374	29	1	1	0	0	0	porter
254	米西·米西·纳努克	273	0	0	0	358	55	1	1	0	0	0	laborer
255	苏朗满	274	0	0	-1000	216	14	0	0	241	0	0	dark master (A2)
256	尼根	278	0	0	0	373	15	1	1	0	0	0	arms master
257	寅长嘉智子	283	0	0	100	420	36	1	1	0	0	0	bard
258	贾斯伯·莱斯	289	0	0	0	366	14	0	0	201	0	0	staff master (D1)
259	伊绍·提扎尔	295	0	0	0	325	77	1	1	0	0	0	child
260	海瑟·米切尔	296	0	0	0	240	49	1	1	0	0	0	negotiator
261	琳达·尼科尔斯	297	0	0	0	421	17	1	1	0	0	0	apprentice
262	斯威特南塔·伊尔库茨克	298	0	0	0	422	19	1	1	0	0	0	spell master
263	雷切尔·赫茨尔	299	0	0	-600	279	17	0	1	0	0	397	Dark Guild Membership (C1)
264	罗斯玛丽·雷雅未克	300	0	0	0	306	21	1	1	0	0	0	merchant
265	米里娅姆·博伊尔	301	0	0	0	302	16	1	1	0	0	0	weapons master
266	娜奥米·温德	302	0	0	0	261	41	1	1	0	0	0	gate master
267	埃里诺·范德贝尔特	303	0	0	0	385	7	0	0	310	0	0	Gives the deface the altar quest
268	格特鲁德·瓦勒	304	0	0	0	262	39	1	1	0	0	0	wind master
269	阿曼达·范德坎普	305	0	0	-100	280	76	1	1	0	0	0	gambler
270	莎拉·奎因	306	0	0	0	282	12	1	1	0	0	0	master healer
271	德莉亚·博瓦纳	307	0	0	0	262	40	1	1	0	0	0	water master
272	奇罗尼	375	0	0	1000	444	14	0	0	239	0	0	Light Master (E1)
273	罗西塔·亚历山大	316	0	0	100	281	75	1	1	0	0	0	noble
274	劳	325	0	0	0	309	63	1	1	0	0	0	carpenter
275	尼科比	328	0	0	0	310	22	1	1	0	0	0	scout
276	博勒加德·沃尔夫	358	0	0	-100	311	50	1	1	0	0	0	duper
277	莱赛德·法雷尔	381	0	0	0	303	77	0	1	0	0	0	child
278	贝基·霍尔姆斯	382	0	0	0	278	77	0	1	0	0	0	child
279	金·阿斯特罗盖特	383	0	0	0	424	77	0	1	0	0	0	child
280	威廉·塔克	384	0	0	0	258	77	0	1	0	0	0	child
281	丹尼斯·约翰逊	385	0	0	0	0	77	0	1	0	0	0	Stable proprietor picture used
282	珍妮弗·赫茨尔	386	0	0	0	279	77	0	1	0	0	0	child
283	克里斯托弗·史密斯	387	0	0	0	431	77	0	1	0	0	0	child
284	乔治·阿尔蒙德	389	0	0	0	305	64	1	1	0	0	0	stonecutter
285	丹尼尔·卡耐基	390	0	0	0	342	77	0	1	0	0	0	child
286	嘉莉·卡拉维	391	0	0	0	255	77	0	1	0	0	0	child
287	迪尼·马格里布	392	0	0	0	469	77	0	1	0	0	0	child
288	黑加·毛瑟	345	0	0	0	472	18	0	0	312	0	383	(Thief Guild Membership and Cobra Eggs)
289	巴拉德·恩特	362	0	0	0	263	32	1	1	0	0	0	banker
290	温斯顿·舒则	352	0	0	0	416	42	0	0	315	0	0	Gives destroy wicked crystal quest
291	贾尼斯	537	0	0	0	89	72	0	0	3	0	399	Gives Goblinwatch and Temple of Baa quest - Monster Hunt
292	欧尼斯特	538	0	0	0	90	72	0	0	0	0	399	Monster Hunt
293	杰克	536	0	0	0	91	72	0	0	0	0	399	Monster Hunt
294	约翰·席尔瓦的幽灵	394	0	0	0	-1	0	0	0	298	299	300	Ghost in d12
295	幽灵巴塞萨	393	0	0	0	-1	0	0	0	338	339	340	Paladin ghost in d17
296	尤克	552	0	0	0	486	0	0	0	347	0	0	Goblin guard in Goblinwatch
297	阿里乌斯·佩雷斯	225	0	0	0	-1	0	0	0	0	0	0	Toll bridge NPC
298	烈火爵士	395	0	0	0	-1	0	0	0	357	358	359	Lord of Fire NPC in d4
299	普雷斯腾·斯蒂尔	539	0	0	0	165	0	0	0	375	0	0	Osric Temper's councilman
300	多莉·哥德曼	540	0	0	0	165	0	0	0	376	0	0	Loretta's councilwoman
301	艾萨克·洛克威尔	541	0	0	0	165	0	0	0	377	0	0	Anthony Stone's councilman
302	欧拉夫·海德尔	542	0	0	0	165	0	0	0	378	0	0	Stromgard's councilman
303	欧几里得·开普勒	543	0	0	0	165	0	0	0	379	0	0	Newton's councilman
304	斯里克·席尔瓦托恩	544	0	0	0	165	0	0	0	380	0	0	the traitor
305	劳里达·弗丽斯	528	0	0	0	-1	0	0	0	365	0	0	loretta for the first druid promo
306	劳里达·弗丽斯	528	0	0	0	-1	0	0	0	366	0	0	loretta for the second druid promo
307	竞技场主人	649	0	0	0	-1	0	0	0	400	0	0	Arena Master for Arena
308	斯洛旺·阿卡诺斯	1	0	0	0	204	1	1	1	0	0	0	Smith
309	布赖恩·特拉梅尔	2	0	0	0	205	2	1	1	0	0	0	Armorer
310	肯·乔马斯	3	0	0	0	211	3	1	1	0	0	0	Alchemist
311	克里斯蒂安·维拉	4	0	0	0	212	4	1	1	0	0	0	Scholar
