							
	NPC	Random	Join				
50	Duper	10	200	Thief		每个角色的经商术提高八点，声誉下降一个等级。%01花费你得到的所有金币的百分之%17。	许多人会在谈话中不知不觉地放弃原先的立场，作出一些他们自己也会认为不可思议的荒唐决定。其实技巧很简单，就是不停的说话，使对方无暇思考你的真正意图。如果你付我200个金币并分给我所发现的金币的百分之%17，我就和你在一起传授你这项技能。
51	Burglar	10	2000	Thief		每个角色的陷阱拆卸术提高八点。声誉下降一个等级。%01不会花你一文钱。	想要拆卸陷阱吗？自从我出狱后三年来我一直干这个行当。如果你需要的话，我就跟你们走，我不取分文，只想增加点经验。
52	Peasant	10	1	Peasant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
53	Serf	10	1	Peasant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
54	Tailor	10	5	Merchant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
55	Laborer	10	1	Peasant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
56	Farmer	10	1	Peasant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
57	Cooper	10	5	Merchant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
58	Potter	10	2	Merchant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
59	Weaver	10	2	Merchant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
60	Cobbler	10	3	Merchant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
61	Ditch Digger	10	1	Peasant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
62	Miller	10	2	Peasant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
63	Carpenter	10	5	Merchant			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
64	Stone Cutter	10	4	Fanatic			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
65	Jester	10	10	Fanatic			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
66	Trapper	10	5	Adventurer			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
67	Beggar	10	1	Fanatic			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
68	Rustler	10	3	Thief			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
69	Hunter	10	5	Adventurer			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
70	Scribe	10	10	Scholar			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
71	Missionary	10	10	Priest			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
72	Clerk	10	8	Official			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
73	Guard	10	10	Guard			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
74	Follower of Baa	10	1	Fanatic			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
75	Noble	10	100	Noble			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
76	Gambler	10	10	Thief			好吧，尽管我身无长技，但是个相当不错的旅行伴侣。你只要管我吃饱，再给些零花钱，我就乐意跟你们去探险！
77	Child	??	1	Peasant			尽管我没有什么技能可以帮助你，但跟你们走可以不用呆在学校里，还能不干活了，真是太棒了！
	Random Total	760					
