Name	Id	Radius	Height	Invisible	Untouchable	Temporary	LifetimeInSFT	NoPickup	NoGravity	InterceptAction	Bounce	TrailParticles	TrailFire	TrailLine	SFTGroup	LifeTime	Speed	ParticleR	ParticleG	ParticleB	ParticleA
explosion	6101	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Harm	7030	16	16	-	-	x	-	x	x	x	-	-	-	-	spell70	768	4000	0	0	0	0
explosion	7031	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Flying Fist	7090	16	16	-	-	x	-	x	x	x	-	-	-	-	spell76	768	4000	0	0	0	0
explosion	7091	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Light Bolt	8000	16	16	-	-	x	-	x	x	x	-	-	-	-	null	768	4000	0	0	0	0
explosion	8001	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Destroy Undead	8010	16	16	-	-	x	-	x	x	x	-	-	-	-	null	768	4000	0	0	0	0
explosion	8011	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Paralyze	8030	16	16	-	-	x	-	x	x	x	-	-	-	-	null	768	4000	0	0	0	0
explosion	8031	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Prismatic Light	8060	16	16	-	-	x	-	x	x	x	-	-	-	-	spell84	768	4000	0	0	0	0
explosion	8061	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Sunray	8090	16	16	-	-	x	-	x	x	x	-	-	-	-	spell87	128	8000	0	0	0	0
explosion	8091	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Toxic Cloud	9010	16	16	-	-	x	-	x	x	x	-	-	-	-	spell90	768	2000	0	0	0	0
explosion	9011	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Shrinking Ray	9030	16	16	-	-	x	-	x	x	x	-	-	-	-	spell92	768	4000	0	0	0	0
explosion	9031	16	16	-	-	x	-	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Shrap Metal	9040	16	16	-	-	x	-	x	x	x	-	-	-	-	spell93	768	4000	0	0	0	0
explosion	9041	16	16	-	-	x	x	x	x	-	-	-	-	-	spell57c	8	0	0	0	0	0
Control Undead	9050	16	16	-	-	x	x	x	x	-	-	-	-	-	spell94	72	0	0	0	0	0
Dark Grasp	9070	16	16	-	-	x	-	x	x	x	-	-	-	-	null	768	4000	0	0	0	0
explosion	9071	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Dragon Breath	9080	16	16	-	-	x	-	x	x	x	-	-	-	-	spell97	768	4000	0	0	0	0
explosion	9081	16	16	-	-	x	x	x	x	-	-	-	-	-	spell97c	64	0	0	0	0	0
Souldrinker	9100	16	16	-	-	x	-	x	x	-	-	-	-	-	null	0	0	0	0	0	0
explosion	9110	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Blind	10020	16	16	-	-	x	-	x	x	x	-	-	-	-	spell98	768	4000	0	0	0	0
explosion	10021	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
DarkFire Bolt	10030	16	16	-	-	x	-	x	x	x	-	-	-	-	spell99	768	4000	0	0	0	0
explosion	10031	16	16	-	-	x	x	x	x	-	-	-	-	-	spell99x	8	0	0	0	0	0
LifeDrain	11000	16	16	-	-	x	-	x	x	x	-	-	-	-	spell107	768	4000	0	0	0	0
explosion	11001	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Vampire Charm	11020	16	16	-	-	x	-	x	x	x	-	-	-	-	spell60	768	4000	0	0	0	0
explosion	11021	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Fear	12000	16	16	-	-	x	-	x	x	x	-	-	-	-	null	768	4000	0	0	0	0
explosion	12001	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Breath Weapon 2	12010	16	16	-	-	x	-	x	x	x	-	-	-	-	spell100	768	4000	0	0	0	0
explosion	12011	16	16	-	-	x	x	x	x	-	-	-	-	-	spell100x	8	0	0	0	0	0
Air	500	16	16	-	-	x	-	x	x	x	-	-	-	-	spell101	768	6000	0	0	0	0
Earth	505	16	16	-	-	x	-	x	x	x	-	-	-	-	spell102	768	4000	0	0	0	0
Fire	510	16	16	-	-	x	-	x	x	x	-	-	-	-	spell103	768	4000	0	0	0	0
Water	515	16	16	-	-	x	-	x	x	x	-	-	-	-	spell104	768	4000	0	0	0	0
Body	520	16	16	-	-	x	-	x	x	x	-	-	-	-	spell105	768	4000	0	0	0	0
Mind	525	16	16	-	-	x	-	x	x	x	-	-	-	-	spell105	768	4000	0	0	0	0
Spirit	530	16	16	-	-	x	-	x	x	x	-	-	-	-	spell105	768	4000	0	0	0	0
Light	535	16	16	-	-	x	-	x	x	x	-	-	-	-	spell106	768	4000	0	0	0	0
Dark	540	16	16	-	-	x	-	x	x	x	-	-	-	-	spell107	768	4000	0	0	0	0
Arrow	545	16	16	-	-	x	-	x	x	x	-	-	-	-	arrow	768	4000	0	0	0	0
FireArrow	550	16	16	-	-	x	-	x	x	x	-	-	-	-	FrArw	768	4000	0	0	0	0
Laser	555	16	16	-	-	x	-	x	x	x	-	-	-	-	lzrbolt	768	6000	0	0	0	0
explosion	556	16	16	-	-	x	x	x	x	-	-	-	-	-	null	0	0	0	0	0	0
Cannonball	560	16	16	-	-	x	-	x	-	x	-	-	-	-	spell70c	768	4000	0	0	0	0
explosive death	600	16	16	-	-	x	-	x	x	x	-	-	-	-	null	0	0	0	0	0	0
explosion	601	16	16	-	-	x	x	x	x	-	-	-	-	-	spell97c	64	0	0	0	0	0
FireTrap	811	16	16	-	-	x	x	x	x	-	-	-	-	-	spell103	48	0	0	0	0	0
ElecTrap	812	16	16	-	-	x	x	x	x	-	-	-	-	-	spell101	48	0	0	0	0	0
ColdTrap	813	16	16	-	-	x	x	x	x	-	-	-	-	-	spell104	48	0	0	0	0	0
PoisonTrap	814	16	16	-	-	x	x	x	x	-	-	-	-	-	spell105	48	0	0	0	0	0
launchobject	570	16	16	-	-	x	-	x	-	-	-	-	-	-	null	768	3000	0	0	0	0
Splash	800	16	16	-	-	x	x	x	x	-	-	-	-	-	splash	96	0	0	0	0	0
Cylops Projectile	560	16	16	-	-	x	-	x	-	x	-	-	-	-	boulder	768	3000	0	0	0	0
Will O' Wisp Heart	81	64	64	-	-	-	-	-	-	-	x	-	-	-	obj133	0	0	0	0	0	0
Dragon Turtle Fang	82	64	64	-	-	-	-	-	-	-	x	-	-	-	obj134	0	0	0	0	0	0
small pile of coins	83	64	64	-	-	-	-	-	-	-	x	-	-	-	obj187	0	0	0	0	0	0
medium pile of coins	84	64	64	-	-	-	-	-	-	-	x	-	-	-	obj188	0	0	0	0	0	0
large pile of coins	85	64	64	-	-	-	-	-	-	-	x	-	-	-	obj189	0	0	0	0	0	0
letter	86	64	64	-	-	-	-	-	-	-	x	-	-	-	obj251	0	0	0	0	0	0
Urn of Ashes	87	64	64	-	-	-	-	-	-	-	x	-	-	-	obj259	0	0	0	0	0	0
Nightshade Brazier	88	64	64	-	-	-	-	-	-	-	x	-	-	-	obj272	0	0	0	0	0	0
Dragon Leader's Egg	89	64	64	-	-	-	-	-	-	-	x	-	-	-	obj285	0	0	0	0	0	0
Heart of Fire	92	64	64	-	-	-	-	-	-	-	x	-	-	-	obj261	0	0	0	0	0	0
Heart of Water	93	64	64	-	-	-	-	-	-	-	x	-	-	-	obj262	0	0	0	0	0	0
Heart of Air	94	64	64	-	-	-	-	-	-	-	x	-	-	-	obj263	0	0	0	0	0	0
Heart of Earth	95	64	64	-	-	-	-	-	-	-	x	-	-	-	obj264	0	0	0	0	0	0
Conflux Key	96	64	64	-	-	-	-	-	-	-	x	-	-	-	obj250	0	0	0	0	0	0
Lost Book of Kehl	97	64	64	-	-	-	-	-	-	-	x	-	-	-	obj294	0	0	0	0	0	0
Sarcophagus of Korbu	98	64	64	-	-	-	-	-	-	-	x	-	-	-	obj265	0	0	0	0	0	0
Puzzle Box	145	64	64	-	-	-	-	-	-	-	x	-	-	-	obj361	0	0	0	0	0	0
Vial of Grave Earth	100	64	64	-	-	-	-	-	-	-	x	-	-	-	obj268	0	0	0	0	0	0
Drum of Victory	101	64	64	-	-	-	-	-	-	-	x	-	-	-	obj269	0	0	0	0	0	0
Remains of Korbu	102	64	64	-	-	-	-	-	-	-	x	-	-	-	obj109	0	0	0	0	0	0
Lich Jar	103	64	64	-	-	-	-	-	-	-	x	-	-	-	obj276	0	0	0	0	0	0
Ring of Keys	104	64	64	-	-	-	-	-	-	-	x	-	-	-	obj277	0	0	0	0	0	0
Idol of the Snake	105	64	64	-	-	-	-	-	-	-	x	-	-	-	obj278	0	0	0	0	0	0
Big Brass Ring	106	64	64	-	-	-	-	-	-	-	x	-	-	-	obj279	0	0	0	0	0	0
Naga Hide	107	64	64	-	-	-	-	-	-	-	x	-	-	-	obj280	0	0	0	0	0	0
Dire Wolf Pelt	108	64	64	-	-	-	-	-	-	-	x	-	-	-	obj281	0	0	0	0	0	0
Flute	109	64	64	-	-	-	-	-	-	-	x	-	-	-	obj282	0	0	0	0	0	0
Royal Wasp Jelly	110	64	64	-	-	-	-	-	-	-	x	-	-	-	obj283	0	0	0	0	0	0
Dragonbane Flower	111	64	64	-	-	-	-	-	-	-	x	-	-	-	obj287	0	0	0	0	0	0
Bone of Doom	112	64	64	-	-	-	-	-	-	-	x	-	-	-	obj271	0	0	0	0	0	0
Druid Circlet of Power	113	64	64	-	-	-	-	-	-	-	x	-	-	-	obj310	0	0	0	0	0	0
Wyvern Horn	114	64	64	-	-	-	-	-	-	-	x	-	-	-	obj311	0	0	0	0	0	0
Pirate Hat	115	64	64	-	-	-	-	-	-	-	x	-	-	-	obj275	0	0	0	0	0	0
Tobersk Fruit	116	64	64	-	-	-	-	-	-	-	x	-	-	-	obj295	0	0	0	0	0	0
Tobersk Pulp	117	64	64	-	-	-	-	-	-	-	x	-	-	-	obj296	0	0	0	0	0	0
Tobersk Brandy	118	64	64	-	-	-	-	-	-	-	x	-	-	-	obj297	0	0	0	0	0	0
Heartwood of Jadame	119	64	64	-	-	-	-	-	-	-	x	-	-	-	obj298	0	0	0	0	0	0
Enchanted Amulets	120	64	64	-	-	-	-	-	-	-	x	-	-	-	null	0	0	0	0	0	0
Dried Sunfish	121	64	64	-	-	-	-	-	-	-	x	-	-	-	obj300	0	0	0	0	0	0
Silver Dust of the Sea	122	64	64	-	-	-	-	-	-	-	x	-	-	-	obj301	0	0	0	0	0	0
Ground Wyvern Horn	123	64	64	-	-	-	-	-	-	-	x	-	-	-	obj302	0	0	0	0	0	0
Ogre Ear	124	64	64	-	-	-	-	-	-	-	x	-	-	-	obj303	0	0	0	0	0	0
Wasp Stingers	125	64	64	-	-	-	-	-	-	-	x	-	-	-	obj304	0	0	0	0	0	0
Green Apple	126	64	64	-	-	-	-	-	-	-	x	-	-	-	obj305	0	0	0	0	0	0
Horseshoe	127	64	64	-	-	-	-	-	-	-	x	-	-	-	obj284	0	0	0	0	0	0
Enchanted Amulet	128	64	64	-	-	-	-	-	-	-	x	-	-	-	obj306	0	0	0	0	0	0
Wheel of Frelandeau	129	64	64	-	-	-	-	-	-	-	x	-	-	-	obj307	0	0	0	0	0	0
Log of Eldenbrie	130	64	64	-	-	-	-	-	-	-	x	-	-	-	obj308	0	0	0	0	0	0
Ball of Dunduck	131	64	64	-	-	-	-	-	-	-	x	-	-	-	obj309	0	0	0	0	0	0
Anointed Herb Potion	132	64	64	-	-	-	-	-	-	-	x	-	-	-	obj270	0	0	0	0	0	0
Iron-laced ore	133	64	64	-	-	-	-	-	-	-	x	-	-	-	obj353	0	0	0	0	0	0
Siertal-laced ore	134	64	64	-	-	-	-	-	-	-	x	-	-	-	obj354	0	0	0	0	0	0
Phylt-laced ore	135	64	64	-	-	-	-	-	-	-	x	-	-	-	obj355	0	0	0	0	0	0
Kergar-laced ore	136	64	64	-	-	-	-	-	-	-	x	-	-	-	obj356	0	0	0	0	0	0
Erudine-laced ore	137	64	64	-	-	-	-	-	-	-	x	-	-	-	obj357	0	0	0	0	0	0
Stalt-laced ore	138	64	64	-	-	-	-	-	-	-	x	-	-	-	obj358	0	0	0	0	0	0
Power Stone	139	64	64	-	-	-	-	-	-	-	x	-	-	-	obj288	0	0	0	0	0	0
Power Stone	140	64	64	-	-	-	-	-	-	-	x	-	-	-	obj289	0	0	0	0	0	0
Arcane Key	141	64	64	-	-	-	-	-	-	-	x	-	-	-	obj290	0	0	0	0	0	0
Ogre Key	142	64	64	-	-	-	-	-	-	-	x	-	-	-	obj312	0	0	0	0	0	0
Gem of Restoration	143	64	64	-	-	-	-	-	-	-	x	-	-	-	null	0	0	0	0	0	0
Zircon	144	64	64	-	-	-	-	-	-	-	x	-	-	-	obj366	0	0	0	0	0	0
Iolite	146	64	64	-	-	-	-	-	-	-	x	-	-	-	obj367	0	0	0	0	0	0
Citrine	147	64	64	-	-	-	-	-	-	-	x	-	-	-	obj368	0	0	0	0	0	0
Amber	148	64	64	-	-	-	-	-	-	-	x	-	-	-	obj369	0	0	0	0	0	0
Amethyst	149	64	64	-	-	-	-	-	-	-	x	-	-	-	obj370	0	0	0	0	0	0
Topaz	150	64	64	-	-	-	-	-	-	-	x	-	-	-	obj371	0	0	0	0	0	0
Emerald	151	64	64	-	-	-	-	-	-	-	x	-	-	-	obj372	0	0	0	0	0	0
