Name	Id	Type	Is3D
pickup	145	swap	-
fixit	146	swap	-
mixpotion	147	swap	-
gong	148	swap	-
flute	149	swap	-
harp	150	swap	-
church	151	swap	-
chimes	152	swap	-
splash	153	swap	-
star1	154	system	-
star2	155	system	-
star4	157	system	-
eradicate	158	system	-
eleccircle	159	system	-
encounter	160	swap	-
bubbling cauldron01	161	0	-
memorycrystal	162	0	-
openbook	163	system	-
closebook	164	system	-
teleport	165	swap	-
wolfhowl	166	0	-
quest	205	system	-
wood door0101	167	0	x
dr_lock401	168	0	x
wood door0201	169	0	x
dr_lock101	170	0	x
wood door0301	171	0	x
dr_lock101	172	0	x
wood door0401	173	0	x
dr_lock101	174	0	x
wood door0501	175	0	x
dr_lock401	176	0	x
stone door0101	177	0	x
stone doorclse0101	178	0	x
stone door0201	179	0	x
stone doorclse0101	180	0	x
stone door0301	181	0	x
stone doorclse0101	182	0	x
stone door0401	183	0	x
stone doorclse0101	184	0	x
stone door0501	185	0	x
stone doorclse0101	186	0	x
Alarm Bell 1	187	swap	-
Alarm Bell 2	188	swap	-
Cargo Elevator	189	swap	-
Cargo Elevatorb	190	swap	-
Church Bell	191	swap	-
Going Down	192	swap	-
Going Downb	193	swap	-
Going Up	194	swap	-
Going Upb	195	swap	-
Tone1	196	swap	-
Tone2	197	swap	-
Tone3	198	swap	-
Tone4	199	swap	-
Alarm Bell 1b	200	swap	-
Alarm Bell 2b	201	swap	-
humming	202	swap	-
hesgone	203	swap	-
death	204	swap	-
TorchLight	10000	swap	-
04firebolt01	10010	swap	-
04firebolt03	10011	swap	-
TorchLight2	10020	swap	-
Fireaura01	10030	swap	-
Haste	10040	swap	-
06fireball01	10050	swap	-
Fireball2	10051	swap	-
08fireblast03	10060	swap	-
06fireball03	10061	swap	-
Immolation	10070	swap	-
Meteor Shower 1	10080	swap	-
09metoershower03	10081	swap	-
Inferno	10090	swap	-
Incinerate	10100	swap	-
11Incinerate03	10101	swap	-
12WizardEye03	11000	swap	-
FeatherFall	11010	swap	-
14p	11020	swap	-
15Sparks01	11030	swap	-
15sparks03	11031	swap	-
29unlock03	11040	swap	-
shield02_character-portrait	11050	swap	-
18LightningBolt03	11060	swap	-
wizard_eye_interface-image	11070	swap	-
20implosion03	11080	swap	-
21fly03	11090	swap	-
Starburst	11100	swap	-
22Starburst03	11101	swap	-
23Awaken03	12000	swap	-
Poison Spray	12010	swap	-
24coldbeam03	12011	swap	-
Water Resistance	12020	swap	-
Ice Bolt	12030	swap	-
28icebolt03	12031	swap	-
Waterwalk	12040	swap	-
Dispell Magic	12050	swap	-
39blades03	12060	swap	-
20implosion03	12061	swap	-
Enchant Item	12070	swap	-
Town Portal	12080	swap	-
IceBlast	12090	swap	-
IceBlast2	12091	swap	-
Lloyds beacon	12100	swap	-
Stun1	13000	swap	-
34Stun03	13001	swap	-
44MassDistortion03	13010	swap	-
Earth Resistance	13020	swap	-
37DeadlySwarm03	13030	swap	-
Deadly Swarm Explosion	13031	swap	-
Stoneskin	13040	swap	-
92shapmetal01	13050	swap	-
40stonetoflesh03	13060	swap	-
rockblast_projectile	13070	swap	-
41rockblast03	13071	swap	-
Day of Protection	13080	swap	-
43deathblossom01	13090	swap	-
43deathblossom03	13091	swap	-
44MassDistortion01	13100	swap	-
Detect Life	14000	swap	-
Bless	14010	swap	-
Fate	14020	swap	-
54sharedlife03	14030	swap	-
49RemoveCurse03	14040	swap	-
Preservation	14050	swap	-
51heroism03	14060	swap	-
28icebolt01	14070	swap	-
51heroism03	14080	swap	-
53raisedead03	14090	swap	-
51heroism03	14100	swap	-
57removefear03	15000	swap	-
MindBlast_Frnt_projectile	15010	swap	-
58mindblast03	15011	swap	-
Mind resistance	15020	swap	-
Telepathy	15030	swap	-
Heroism	15040	swap	-
60cureparalasis03	15050	swap	-
63feeblemind02	15060	swap	-
65psychicshock03	15070	swap	-
64cureinsanity03	15080	swap	-
Psychic Shock	15090	swap	-
58mindblast03	15091	swap	-
Enslave	15100	swap	-
Cure Weakness	16000	swap	-
Heal	16010	swap	-
69protectionfrompoison03	16020	swap	-
harm_rear_projectile	16030	swap	-
Harm	16031	swap	-
Regeneration	16040	swap	-
72curepoison03	16050	swap	-
hammerhands_character-portrait	16060	swap	-
74curedisease03	16070	swap	-
awaken2	16080	swap	-
Flying Fist	16090	swap	-
76flyingfist03	16091	swap	-
Power Cure	16100	swap	-
02Flame01	17000	swap	-
02Flame03	17001	swap	-
55resurection03	17010	swap	-
Recharge Item	17020	swap	-
Paralyze	17030	swap	-
Sparks	17040	swap	-
Day of the Gods	17050	swap	-
Prismatic Light	17060	swap	-
94dayofprotection03	17070	swap	-
9armageddon01	17080	swap	-
sunray	17090	swap	-
86sunray03	17091	swap	-
Devine Intervention	17100	swap	-
Reanimate	18000	swap	-
Toxic Cloud	18010	swap	-
90toxiccloud03	18011	swap	-
Vampric Weapon	18020	swap	-
Shrink ray	18030	swap	-
Shrapmetal_projectile_bb	18040	swap	-
92shapmetal03	18041	swap	-
Control Undead	18050	swap	-
Sacrifice2	18060	swap	-
Soul Drinker	18070	swap	-
Dragon Breath	18080	swap	-
dragonbreath_explosion	18081	swap	-
9armageddon02	18090	swap	-
95fingerofdeath01	18100	swap	-
100 Glamour	19000	swap	-
101 Travelers' boon	19010	swap	-
102 Blind	19020	swap	-
102 Blind-2	19021	swap	-
103 Darkfire bolt	19030	swap	-
111 Lifedrain	20000	swap	-
112 Levitate	20010	swap	-
113 Hypno magic	20020	swap	-
114 Gusty shimmer	20030	swap	-
122 Fear	21000	swap	-
123 Flame blast	21010	swap	-
21Fly	21020	swap	-
125 Wing flaps	21030	swap	-
Lizardman_peasant attk	1000	0	-
Lizardman_peasant death	1001	0	-
Lizardman_peasant wince	1002	0	-
Lizardman_peasant aware	1003	0	-
Lizardman_warrior attk	1010	0	-
Lizardman_warrior death	1011	0	-
Lizardman_wince attk	1012	0	-
Lizardman_warrior aware	1013	0	-
Coutal attk	1020	0	-
Coutal death	1021	0	-
Coutal wince	1022	0	-
Coutal aware	1023	0	-
pirate_warrior Attack	1030	0	-
pirate_warrior Death	1031	0	-
pirate_warrior Wince	1032	0	-
pirate_crossbow attk	1040	0	-
pirate_crossbow death	1041	0	-
pirate_crossbow wince	1042	0	-
pirate_mage Attk	1050	0	-
pirate_mage Death	1051	0	-
pirate_mage Wince	1052	0	-
Darkelf_male attk	1060	0	-
Darkelf_male death	1061	0	-
Darkelf_male wince	1062	0	-
Darkelf_female attk	1070	0	-
Darkelf_female death	1071	0	-
Darkelf_female wince	1072	0	-
Darkelf_warrior attk	1080	0	-
Darkelf_warrior death	1081	0	-
Darkelf_warrior wince	1082	0	-
ogre_peasant Attack	1090	0	-
ogre_peasant Death	1091	0	-
ogre_peasant Wince	1092	0	-
ogre_peasant Aware	1093	0	-
ogre_warrior Attack	1100	0	-
ogre_warrior Death	1101	0	-
ogre_warrior Wince	1102	0	-
ogre_warrior Aware	1103	0	-
wererat human Attack	1110	0	-
wererat human Death	1111	0	-
wererat human Wince	1112	0	-
wererat ratman Attack	1120	0	-
wererat ratman Death	1121	0	-
wererat ratman Wince	1122	0	-
wererat ratman Aware	1123	0	-
wererat rat Attack	1130	0	-
wererat rat Death	1131	0	-
wererat rat Wince	1132	0	-
wererat rat Aware	1133	0	-
dragon_hunter attk	1140	0	-
dragon_hunter death	1141	0	-
dragon_hunter wince	1142	0	-
cleric attk	1150	0	-
cleric death	1151	0	-
cleric wincewav	1152	0	-
cleric aware	1153	0	-
Darkelf_female attk	1160	0	-
Darkelf_female death	1161	0	-
Darkelf_female wince	1162	0	-
Darkelf_female aware	1163	0	-
vampie Attack	1170	0	-
vampie Death	1171	0	-
vampie Wince	1172	0	-
vampie Aware	1173	0	-
Necromancer attk	1180	0	-
Necromancer death	1181	0	-
Necromancer wince	1182	0	-
Necromancer aware	1183	0	-
troll warrior Attack	1190	0	-
troll warrior Death	1191	0	-
troll warrior Wince	1192	0	-
troll warrior Aware	1193	0	-
troll peasant Attack	1200	0	-
troll peasant Death	1201	0	-
troll peasant Wince	1202	0	-
troll peasant Aware	1203	0	-
Minotaur attk	1210	0	-
Minotaur death	1211	0	-
Minotaur wince	1212	0	-
Minotaur aware	1213	0	-
Minotaur_peasant attk	1220	0	-
Minotaur_peasant death	1221	0	-
Minotaur_peasant wince	1222	0	-
Minotaur_peasant aware	1223	0	-
crystal dragon attk	1230	0	-
crystal dragon death	1231	0	-
crystal dragon wince	1232	0	-
crystal dragon aware	1233	0	-
Fire_elemental attk	1240	0	-
Fire_elemental death	1241	0	-
Fire_elemental wince	1242	0	-
Fire_elemental aware	1243	0	-
water elemental Attack	1250	0	-
water elemental Death	1251	0	-
water elemental Wince	1252	0	-
water elemental Aware	1253	0	-
Earth_elemental attk	1260	0	-
Earth_elemental death	1261	0	-
Earth_elemental wince	1262	0	-
Earth_elemental aware	1263	0	-
airelemental attk	1270	0	-
airelemental death	1271	0	-
airelemental wince	1272	0	-
airelemental aware	1273	0	-
dire_wolf attk	1280	0	-
dire_wolf death	1281	0	-
dire_wolf wince	1282	0	-
dire_wolf aware	1283	0	-
crystal dragon attk	1290	0	-
crystal dragon death	1291	0	-
crystal dragon wince	1292	0	-
crystal dragon aware	1293	0	-
Cyclops attk	1300	0	-
Cyclops death	1301	0	-
Cyclops wince	1302	0	-
Cyclops aware	1303	0	-
serpentman Attack	1310	0	-
serpentman Death	1311	0	-
serpentman Wince	1312	0	-
serpentman Aware	1313	0	-
willowisp Attack	1320	0	-
willowisp Death	1321	0	-
willowisp Wince	1322	0	-
willowisp Aware	1323	0	-
Centaur attk	1330	0	-
Centaur death	1331	0	-
Centaur wince	1332	0	-
efreet attk	1340	0	-
efreet death	1341	0	-
efreet wince	1342	0	-
efreet aware	1343	0	-
Ogre_Mage attack	1350	0	-
Ogre_Mage death	1351	0	-
Ogre_Mage wince	1352	0	-
Ogre_Mage aware	1353	0	-
unicorn Attack	1360	0	-
unicorn Death	1361	0	-
unicorn Wince	1362	0	-
unicorn Aware	1363	0	-
crystal dragon attk	1370	0	-
crystal dragon death	1371	0	-
crystal dragon wince	1372	0	-
crystal dragon aware	1373	0	-
thunderbird Attack	1380	0	-
thunderbird Death	1381	0	-
thunderbird Wince	1382	0	-
thunderbird Aware	1383	0	-
wasp warrior Attack	1390	0	-
wasp warrior Death	1391	0	-
wasp warrior Wince	1392	0	-
wasp warrior Aware	1393	0	-
wyvern Attack	1400	0	-
wyvern Death	1401	0	-
wyvern Wince	1402	0	-
wyvern Aware	1403	0	-
gorgon attk	1410	0	-
gorgon death	1411	0	-
gorgon wince	1412	0	-
gorgon aware	1413	0	-
salamanderman Attack	1420	0	-
salamanderman Death	1421	0	-
salamanderman Wince	1422	0	-
salamanderman Aware	1423	0	-
Phoenix attk	1430	0	-
Phoenix death	1431	0	-
Phoenix wince	1432	0	-
Phoenix aware	1433	0	-
triton Attack	1440	0	-
triton Death	1441	0	-
triton Wince	1442	0	-
triton Aware	1443	0	-
turtle dragon Attack	1450	0	-
turtle dragon Death	1451	0	-
turtle dragon Wince	1452	0	-
turtle dragon Aware	1453	0	-
ravenman Attack	1460	0	-
ravenman Death	1461	0	-
ravenman Wince	1462	0	-
ravenman Aware	1463	0	-
Malvolent attk	1470	0	-
Malvolent death	1471	0	-
Malvolent wince	1472	0	-
Malvolent aware	1473	0	-
plane guardian Attack	1480	0	-
plane guardian Death	1481	0	-
plane guardian Wince	1482	0	-
plane guardian Aware	1483	0	-
crystal_walker attk	1490	0	-
crystal_walker death	1491	0	-
crystal_walker wince	1492	0	-
crystal_walker aware	1493	0	-
gorgon attk	1500	0	-
gorgon death	1501	0	-
gorgon wince	1502	0	-
gorgon aware	1503	0	-
etherknight attk	1510	0	-
etherknight death	1511	0	-
etherknight wince	1512	0	-
etherknight aware	1513	0	-
juggeraut attk	1520	0	-
juggeraut death	1521	0	-
juggeraut wince	1522	0	-
juggeraut aware	1523	0	-
gog attk	1530	0	-
gog death	1531	0	-
gog wince	1532	0	-
gog aware	1533	0	-
bone dragon attk	1540	0	-
bone dragon death	1541	0	-
bone dragon wincewav	1542	0	-
bone dragon aware	1543	0	-
Bedraggled Peasant death	1551	0	-
Bedraggled Peasant wince	1552	0	-
Naga attk	1560	0	-
Naga death	1561	0	-
Naga wince	1562	0	-
Naga aware	1563	0	-
skeleton archer Attack	1570	0	-
skeleton archer Death	1571	0	-
skeleton archer Wince	1572	0	-
skeleton archer Aware	1573	0	-
Dark_dwarf attk	1580	0	-
Dark_dwarf death	1581	0	-
Dark_dwarf wince	1582	0	-
pirate_warrior Attack	1600	0	-
pirate_warrior Death	1601	0	-
pirate_warrior Wince	1602	0	-
pirate_crossbow attk	1610	0	-
pirate_crossbow death	1611	0	-
pirate_crossbow wince	1612	0	-
pirate_mage Attk	1620	0	-
pirate_mage Death	1621	0	-
pirate_mage Wince	1622	0	-
crystal dragon attk	1630	0	-
crystal dragon death	1631	0	-
crystal dragon wince	1632	0	-
crystal dragon aware	1633	0	-
Human_mercanary attk	1640	0	-
Human_mercanary death	1641	0	-
Human_mercanary wince	1642	0	-
Human_mercanary aware	1643	0	-
01Female_Wince	0	0	-
01Male_Wince	0	0	-
02Female_Wince	0	0	-
02Male_Wince	0	0	-
03Female_Wince	0	0	-
03Male_Wince	0	0	-
04Female_Wince	0	0	-
04Male_Wince	0	0	-
05Female_Wince	0	0	-
05Male_Wince	0	0	-
pc5001c	5000	swap	-
pc5001d	5001	swap	-
pc5002a	5002	swap	-
pc5002b	5003	swap	-
pc5003a	5004	swap	-
pc5003d	5005	swap	-
pc5004b	5006	swap	-
pc5004d	5007	swap	-
pc5005c	5008	swap	-
pc5005d	5009	swap	-
pc5006c	5010	swap	-
pc5006d	5011	swap	-
pc5007b	5012	swap	-
pc5007d	5013	swap	-
pc5008c	5014	swap	-
pc5008e	5015	swap	-
pc5009b	5016	swap	-
pc5009e	5017	swap	-
pc5010a	5018	swap	-
pc5010d	5019	swap	-
pc5011c	5020	swap	-
pc5011f	5021	swap	-
pc5012a	5022	swap	-
pc5012d	5023	swap	-
pc5013e	5024	swap	-
pc5013f	5025	swap	-
pc5014b	5026	swap	-
pc5014c	5027	swap	-
pc5015a	5028	swap	-
pc5015b	5029	swap	-
pc5016b	5030	swap	-
pc5016c	5031	swap	-
pc5017a	5032	swap	-
pc5017f	5033	swap	-
pc5018b	5034	swap	-
pc5018c	5035	swap	-
pc5019b	5036	swap	-
pc5019g	5037	swap	-
pc5020d	5038	swap	-
pc5020f	5039	swap	-
pc5021c	5040	swap	-
pc5021e	5041	swap	-
pc5022a	5042	swap	-
pc5022c	5043	swap	-
pc5023c	5044	swap	-
pc5023d	5045	swap	-
pc5024c	5046	swap	-
pc5024e	5047	swap	-
pc5025a	5048	swap	-
pc5025c	5049	swap	-
pc5026c	5050	swap	-
pc5026d	5051	swap	-
pc5027d	5052	swap	-
pc5027j	5053	swap	-
pc5028b	5054	swap	-
pc5028d	5055	swap	-
pc5029c	5056	swap	-
pc5029e	5057	swap	-
pc5030c	5058	swap	-
pc5030g	5059	swap	-
pc5040a	5060	swap	-
pc5040b	5061	swap	-
pc5032a	5062	swap	-
pc5032b	5063	swap	-
pc5033a	5064	swap	-
pc5033c	5065	swap	-
pc5031a	5066	swap	-
pc5031b	5067	swap	-
pc5034a	5072	swap	-
pc5034b	5073	swap	-
pc5035e	5074	swap	-
pc5035f	5075	swap	-
pc5036a	5076	swap	-
pc5036b	5077	swap	-
pc5037a	5078	swap	-
pc5037b	5079	swap	-
pc5038a	5080	swap	-
pc5038b	5081	swap	-
pc5039a	5082	swap	-
pc5039b	5083	swap	-
pc5042a	5084	swap	-
pc5042b	5085	swap	-
pc5041a	5086	swap	-
pc5041b	5087	swap	-
pc5043a	5092	swap	-
pc5043b	5093	swap	-
pc5101d	5100	swap	-
pc5101e	5101	swap	-
pc5102a	5102	swap	-
pc5102b	5103	swap	-
pc5103c	5104	swap	-
pc5103d	5105	swap	-
pc5104b	5106	swap	-
pc5104c	5107	swap	-
pc5105c	5108	swap	-
pc5105e	5109	swap	-
pc5106c	5110	swap	-
pc5106e	5111	swap	-
pc5107c	5112	swap	-
pc5107d	5113	swap	-
pc5108a	5114	swap	-
pc5108b	5115	swap	-
pc5109a	5116	swap	-
pc5109e	5117	swap	-
pc5110a	5118	swap	-
pc5110b	5119	swap	-
pc5111a	5120	swap	-
pc5111b	5121	swap	-
pc5112a	5122	swap	-
pc5112d	5123	swap	-
pc5113b	5124	swap	-
pc5113e	5125	swap	-
pc5114d	5126	swap	-
pc5114e	5127	swap	-
pc5115b	5128	swap	-
pc5115e	5129	swap	-
pc5116a	5130	swap	-
pc5116c	5131	swap	-
pc5117d	5132	swap	-
pc5117e	5133	swap	-
pc5118c	5134	swap	-
pc5118d	5135	swap	-
pc5119b	5136	swap	-
pc5119d	5137	swap	-
pc5120c	5138	swap	-
pc5120e	5139	swap	-
pc5121a	5140	swap	-
pc5121d	5141	swap	-
pc5122a	5142	swap	-
pc5122e	5143	swap	-
pc5123a	5144	swap	-
pc5123b	5145	swap	-
pc5124c	5146	swap	-
pc5124d	5147	swap	-
pc5125a	5148	swap	-
pc5125b	5149	swap	-
pc5126c	5150	swap	-
pc5126d	5151	swap	-
pc5127b	5152	swap	-
pc5127d	5153	swap	-
pc5128a	5154	swap	-
pc5128e	5155	swap	-
pc5129a	5156	swap	-
pc5129b	5157	swap	-
pc5130a	5158	swap	-
pc5130b	5159	swap	-
pc5131a	5160	swap	-
pc5131b	5161	swap	-
pc5132a	5162	swap	-
pc5132b	5163	swap	-
pc5133a	5164	swap	-
pc5133b	5165	swap	-
pc5134a	5166	swap	-
pc5134b	5167	swap	-
pc5135a	5172	swap	-
pc5135b	5173	swap	-
pc5136a	5174	swap	-
pc5136b	5175	swap	-
pc5137a	5176	swap	-
pc5137b	5177	swap	-
pc5138a	5178	swap	-
pc5138b	5179	swap	-
pc5139a	5180	swap	-
pc5139d	5181	swap	-
pc5140a	5182	swap	-
pc5140b	5183	swap	-
pc5142a	5186	swap	-
pc5142b	5187	swap	-
pc5143a	5192	swap	-
pc5143b	5193	swap	-
pc5201a	5200	swap	-
pc5201c	5201	swap	-
pc5202b	5202	swap	-
pc5202c	5203	swap	-
pc5203b	5204	swap	-
pc5203d	5205	swap	-
pc5204b	5206	swap	-
pc5204c	5207	swap	-
pc5205b	5208	swap	-
pc5205d	5209	swap	-
pc5206a	5210	swap	-
pc5206b	5211	swap	-
pc5207b	5212	swap	-
pc5207d	5213	swap	-
pc5208c	5214	swap	-
pc5208d	5215	swap	-
pc5209c	5216	swap	-
pc5209d	5217	swap	-
pc5210c	5218	swap	-
pc5210e	5219	swap	-
pc5211b	5220	swap	-
pc5211d	5221	swap	-
pc5212a	5222	swap	-
pc5212c	5223	swap	-
pc5213c	5224	swap	-
pc5213e	5225	swap	-
pc5214a	5226	swap	-
pc5214c	5227	swap	-
pc5215a	5228	swap	-
pc5215c	5229	swap	-
pc5216b	5230	swap	-
pc5216c	5231	swap	-
pc5217b	5232	swap	-
pc5217c	5233	swap	-
pc5218c	5234	swap	-
pc5218d	5235	swap	-
pc5219a	5236	swap	-
pc5219d	5237	swap	-
pc5220b	5238	swap	-
pc5220d	5239	swap	-
pc5221c	5240	swap	-
pc5221d	5241	swap	-
pc5222a	5242	swap	-
pc5222b	5243	swap	-
pc5223c	5244	swap	-
pc5223d	5245	swap	-
pc5224b	5246	swap	-
pc5224c	5247	swap	-
pc5225a	5248	swap	-
pc5225b	5249	swap	-
pc5226a	5250	swap	-
pc5226b	5251	swap	-
pc5227b	5252	swap	-
pc5227c	5253	swap	-
pc5228a	5254	swap	-
pc5228b	5255	swap	-
pc5229a	5256	swap	-
pc5229c	5257	swap	-
pc5230a	5258	swap	-
pc5230b	5259	swap	-
pc5231a	5260	swap	-
pc5231d	5261	swap	-
pc5232a	5262	swap	-
pc5232c	5263	swap	-
pc5233a	5264	swap	-
pc5233b	5265	swap	-
pc5234a	5266	swap	-
pc5234b	5267	swap	-
pc5235a	5272	swap	-
pc5235b	5273	swap	-
pc5236a	5274	swap	-
pc5236b	5275	swap	-
pc5237a	5276	swap	-
pc5237b	5277	swap	-
pc5238a	5278	swap	-
pc5238b	5279	swap	-
pc5239a	5280	swap	-
pc5239b	5281	swap	-
pc5240a	5282	swap	-
pc5240b	5283	swap	-
pc5242a	5286	swap	-
pc5242b	5287	swap	-
pc5243a	5292	swap	-
pc5243b	5293	swap	-
pc5301a	5300	swap	-
pc5301b	5301	swap	-
pc5302a	5302	swap	-
pc5302b	5303	swap	-
pc5303a	5304	swap	-
pc5303c	5305	swap	-
pc5304a	5306	swap	-
pc5304b	5307	swap	-
pc5305a	5308	swap	-
pc5305b	5309	swap	-
pc5306a	5310	swap	-
pc5306b	5311	swap	-
pc5307a	5312	swap	-
pc5307b	5313	swap	-
pc5308a	5314	swap	-
pc5308b	5315	swap	-
pc5309a	5316	swap	-
pc5309b	5317	swap	-
pc5310a	5318	swap	-
pc5310b	5319	swap	-
pc5311a	5320	swap	-
pc5311b	5321	swap	-
pc5312a	5322	swap	-
pc5312b	5323	swap	-
pc5313a	5324	swap	-
pc5313b	5325	swap	-
pc5314a	5326	swap	-
pc5314b	5327	swap	-
pc5315a	5328	swap	-
pc5315b	5329	swap	-
pc5316a	5330	swap	-
pc5316b	5331	swap	-
pc5317a	5332	swap	-
pc5317b	5333	swap	-
pc5318a	5334	swap	-
pc5318b	5335	swap	-
pc5319a	5336	swap	-
pc5319b	5337	swap	-
pc5320a	5338	swap	-
pc5320b	5339	swap	-
pc5321a	5340	swap	-
pc5321b	5341	swap	-
pc5322a	5342	swap	-
pc5322b	5343	swap	-
pc5323a	5344	swap	-
pc5323b	5345	swap	-
pc5324a	5346	swap	-
pc5324b	5347	swap	-
pc5325a	5348	swap	-
pc5325b	5349	swap	-
pc5326a	5350	swap	-
pc5326b	5351	swap	-
pc5327a	5352	swap	-
pc5327b	5353	swap	-
pc5328a	5354	swap	-
pc5328b	5355	swap	-
pc5329a	5356	swap	-
pc5329b	5357	swap	-
pc5330a	5358	swap	-
pc5330b	5359	swap	-
pc5331a	5360	swap	-
pc5331b	5361	swap	-
pc5332a	5362	swap	-
pc5332b	5363	swap	-
pc5333a	5364	swap	-
pc5333b	5365	swap	-
pc5334a	5366	swap	-
pc5334b	5367	swap	-
pc5335a	5372	swap	-
pc5335b	5373	swap	-
pc5336a	5374	swap	-
pc5336b	5375	swap	-
pc5337a	5376	swap	-
pc5337b	5377	swap	-
pc5338a	5378	swap	-
pc5338b	5379	swap	-
pc5339a	5380	swap	-
pc5339b	5381	swap	-
pc5340a	5382	swap	-
pc5340b	5383	swap	-
pc5342a	5386	swap	-
pc5342b	5387	swap	-
pc5343a	5392	swap	-
pc5343b	5393	swap	-
pc5401b	5400	swap	-
pc5401c	5401	swap	-
pc5402a	5402	swap	-
pc5402d	5403	swap	-
pc5403a	5404	swap	-
pc5403c	5405	swap	-
pc5404a	5406	swap	-
pc5404d	5407	swap	-
pc5405a	5408	swap	-
pc5405b	5409	swap	-
pc5406b	5410	swap	-
pc5406d	5411	swap	-
pc5407b	5412	swap	-
pc5407c	5413	swap	-
pc5408a	5414	swap	-
pc5408d	5415	swap	-
pc5409b	5416	swap	-
pc5409d	5417	swap	-
pc5410b	5418	swap	-
pc5410c	5419	swap	-
pc5411a	5420	swap	-
pc5411d	5421	swap	-
pc5412a	5422	swap	-
pc5412c	5423	swap	-
pc5413a	5424	swap	-
pc5413b	5425	swap	-
pc5414a	5426	swap	-
pc5414b	5427	swap	-
pc5415a	5428	swap	-
pc5415d	5429	swap	-
pc5416a	5430	swap	-
pc5416c	5431	swap	-
pc5417a	5432	swap	-
pc5417b	5433	swap	-
pc5418b	5434	swap	-
pc5418c	5435	swap	-
pc5419b	5436	swap	-
pc5419c	5437	swap	-
pc5420a	5438	swap	-
pc5420c	5439	swap	-
pc5421a	5440	swap	-
pc5421b	5441	swap	-
pc5422a	5442	swap	-
pc5422b	5443	swap	-
pc5423a	5444	swap	-
pc5423c	5445	swap	-
pc5424a	5446	swap	-
pc5424b	5447	swap	-
pc5425a	5448	swap	-
pc5425b	5449	swap	-
pc5426b	5450	swap	-
pc5426c	5451	swap	-
pc5427a	5452	swap	-
pc5427b	5453	swap	-
pc5428a	5454	swap	-
pc5428b	5455	swap	-
pc5429b	5456	swap	-
pc5429c	5457	swap	-
pc5430a	5458	swap	-
pc5430b	5459	swap	-
pc5431a	5460	swap	-
pc5431b	5461	swap	-
pc5432a	5462	swap	-
pc5432b	5463	swap	-
pc5433a	5464	swap	-
pc5433b	5465	swap	-
pc5434a	5466	swap	-
pc5434b	5467	swap	-
pc5435a	5472	swap	-
pc5435b	5473	swap	-
pc5436a	5474	swap	-
pc5436b	5475	swap	-
pc5437a	5476	swap	-
pc5437b	5477	swap	-
pc5438a	5478	swap	-
pc5438b	5479	swap	-
pc5439a	5480	swap	-
pc5439b	5481	swap	-
pc5440a	5482	swap	-
pc5440b	5483	swap	-
pc5442a	5486	swap	-
pc5442b	5487	swap	-
pc5443a	5492	swap	-
pc5443b	5493	swap	-
pc5501b	5500	swap	-
