Global Text	
481	Encounter!
482	You don't have enough food to rest
483	Set %s as the Ready Spell
484	Select a spell then click here to set a QuickSpell
485	Cast %s
486	Select %s
487	You have already mastered this skill!
488	You don't have enough skill points!
489	"You have %d gold, %d in the Bank"
490	You found %d gold and an item (%s)!
491	Can't cast Meteor Shower indoors!
492	Can't cast Inferno outdoors!
493	Can't cast Jump while airborne! 
494	Can not cast Fly indoors!
495	Can't cast Starburst indoors!
496	No valid target exists! 
497	Can't cast Prismatic Light outdoors!
498	Can't cast MoonRay indoors!
499	Can't cast Armageddon indoors!
500	You have %lu gold
501	You have %lu food
502	You find %lu food
503	You lose %lu gold
504	You lose %lu food
505	Reading...
506	Roderick
507	Alexis
508	Serena
509	Zoltan
510	Saintly
511	Angelic
512	Glorious
513	Honorable
514	Respectable
515	Average
516	Bad
517	Vile
518	Despicable
519	Monstrous
520	Notorious
521	Nothing here
522	SP Cost
523	Recall Beacon
524	Once again you've cheated death! …
525	Time in Enroth
526	Time
527	Thank You!
528	I can offer you nothing further.
529	"Sorry, but we are unable to train you."
530	Moon
531	Location
532	Please try back in 
533	"I cannot join you, you're party is full"
534	Become %s in %s for %lu gold
535	Learn
536	"With your skills, you should be working here as a teacher."
537	Train to level %d for %d gold
538	You need %d more experience to train to level %d
539	Buy Items
540	Sell Items
541	Identify Items
542	Repair Items
543	Special Items
544	Seek knowledge elsewhere %s the %s
545	Castle Ironfist
546	New Sorpigal
547	Free Haven
548	Arena
549	Blackshire
550	Kriegspire
551	White Cap
552	Silver Cove
553	Darkmoor
554	Mist
555	Bootleg Bay West
556	Volcano
557	Hermit's Isle
558	Child
559	Island North
560	Island South
561	"Sorry, come back another day"
562	do anything
563	Pack is Full!
564	Hic...
565	Have a Drink first...
566	Dusk
567	Night
568	Club
569	Done!
570	Good as New!
571	Ready Spell: %s
572	Scroll Left
573	Scroll Right
574	"Welcome to the Arena of Life and Death.  Remember, you are only allowed one arena combat per visit.  To fight an arena battle, select the option that best decsribes your abilities and return to me- if you survive…"
575	Please wait while I summon the monsters.  Good luck.
576	Congratulations on your win… here's your stuff… %u gold.
577	Get back in there you whimps…
578	Page
579	Squire
580	Knight
581	Lord
582	You already won this trip to the Arena…
583	No saving in the Arena
584	Click here to remove your Quick Spell
585	Item is not of high enough quality
586	Not enough spell points
587	Attack Bonus
588	Attack Damage
589	Shoot Bonus
590	Shoot Damage
591	Charmed
592	Shrunk
593	Slowed
594	Feebleminded
595	Wand
