Q Bit	Quest Note Text	Notes	Owner
220		Ring of Keys - I lost it	
221		"Dadeross' Letter to Fellmoon - I lost it, taken event g 28"	
222		"Blackmail Letter - I lost it, taken event g 32"	
223		Took Sub to Regna	TomO
224		Cannonball of Dominion - I lost it	
225		dead questbit for internal use(bling)	Riki
226		game Init stuff in area one	Riki
227		Turn on Temple Bypass tele in area one	Riki
228		You have seen the Endgame movie	Riki
229		You have Pissed off the Necros	0
230		You have Pissed off the clerics	0
231		The were-rats are mad at you	0
232		Set when you talk to S'ton	0
233		You have Pissed of the Dragons	0
234		You have Pissed of the Dragon hunters	0
235		Have talked to Escaton	TomO
236	_(TRANS)_	 	James
237		You got a flute	0
238		Talked to Masul before the alliance	TomO
239		for riki	0
240		for riki	0
241		Got the heart of water	Riki
242		Got the heart of fire	Riki
243		Got the heart of air	Riki
244		Got the heart of earth	Riki
245		Annointed Herb Potion - I lost it!	 
246		Drum of Victory - I lost it!	 
247		Bone of Doom - I lost it!	 
248		Vial of Grave Dirt - I lost it!	 
249		Puzzle Box - I lost it!	 
250		Bought Item fruit	0
251		Bought Item pulp	0
252		Bought Item brandy	0
253		Bought heartwood	0
254		Bought amulets	0
255		Bought Sunfish	0
256		Bought Item Silver Dust of the Sea	0
257		Bought Item Forged Credit Vouchers	0
258		Bought Item Ground Wyvern Horn	0
259		Can't keep buying fruit	0
260		Can't keep buying pulp	0
261		Can't keep buying brandy	0
262		Can't keep buying heartwood	0
263		Can't keep buying amulets	0
264		Can't keep buying sinfish	0
265		Can't keep buying Silver Dust of the Sea	0
266		Can't keep buying Forged Credit Vouchers	0
267		Can't keep buying Ground Wyvern horn	0
268		Area 1 buoy	0
269		Area 1 buoy	0
270		Reagent spout area 1	0
271		Reagent spout area 1	0
272		Reagant spout area 2	0
273		Reagant spout area 2	0
274		Area 2 buoy	0
275		Reagant spout area 3	0
276		Reagant spout area 3	0
277		Reagant spout area 4	0
278		Reagant spout area 4	0
279		Reagant spout area 6	0
280		Reagant spout area 6	0
281		Reagant spout area 6	0
282		False Report - I lost it!	0
283		Eclipse - I lost it!	0
284	_(TRANS)_		TomO
285		Got the Tele scroll in area 13	Riki
286		Did the conflux key quest	Riki
287	0	0	0
288	0	0	0
289	0	0	0
290	0	0	0
291	0	0	0
292	0	0	0
293	0	0	0
294	0	0	0
295	0	0	0
296	0	0	0
297	0	0	0
298	0	0	0
299	0	0	0
300		TP Switch Jadam	
301		TP Buff Alvar	
302		TP Buff Ravenshore	
303		TP Buff Baltazar's Lair	
304		TP Buff Regna	
305		TP Buff Shadowspire	
306		TP Buff Daggerwound islands	
307		TP Switch Antagrich	
308		TP Switch Enroth	
309		TP Switch Global	
310		TP Buff Blackshire	
311		TP Buff Free Haven	
312		TP Buff Misty Islands	
313		TP Buff New Sorpigal	
314		TP Buff Silver Cove	
315		TP Buff Frozen Highlands	
316	0	0	0
317	0	0	0
318	0	0	0
319	0	0	0
320	0	0	0
321	0	0	0
322	0	0	0
323	0	0	0
324	0	0	0
325	0	0	0
326	0	0	0
327	0	0	0
328	0	0	0
329	0	0	0
330	0	0	0
331	0	0	0
332	0	0	0
333	0	0	0
334	0	0	0
335	0	0	0
336	0	0	0
337	0	0	0
338	0	0	0
339	0	0	0
340	0	0	0
341	0	0	0
342	0	0	0
343	0	0	0
344	0	0	0
345	0	0	0
346	0	0	0
347	0	0	0
348	0	0	0
349	0	0	0
350	0	0	0
351	0	0	0
352	0	0	0
353	0	0	0
354	0	0	0
355	0	0	0
356	0	0	0
357	0	0	0
358	0	0	0
359	0	0	0
360	0	0	0
361	0	0	0
362	0	0	0
363	0	0	0
364	0	0	0
365	0	0	0
366	0	0	0
367	0	0	0
368	0	0	0
369	0	0	0
370	0	0	0
371	0	0	0
372	0	0	0
373	0	0	0
374	0	0	0
375	0	0	0
376	0	0	0
377	0	0	0
378	0	0	0
379	0	0	0
380	0	0	0
381	0	0	0
382	0	0	0
383	0	0	0
384	0	0	0
385	0	0	0
386	0	0	0
387	0	0	0
388	0	0	0
389	0	0	0
390	0	0	0
391	0	0	0
392	0	0	0
393	0	0	0
394	0	0	0
395	0	0	0
396	0	0	0
397	0	0	0
398	0	0	0
399	0	0	0
400		Roster Character In Party 1	0
401		Roster Character In Party 2	0
402		Roster Character In Party 3	0
403		Roster Character In Party 4	0
404		Roster Character In Party 5	0
405		Roster Character In Party 6	0
406		Roster Character In Party 7	0
407		Roster Character In Party 8	0
408		Roster Character In Party 9	0
409		Roster Character In Party 10	0
410		Roster Character In Party 11	0
411		Roster Character In Party 12	0
412		Roster Character In Party 13	0
413		Roster Character In Party 14	0
414		Roster Character In Party 15	0
415		Roster Character In Party 16	0
416		Roster Character In Party 17	0
417		Roster Character In Party 18	0
418		Roster Character In Party 19	0
419		Roster Character In Party 20	0
420		Roster Character In Party 21	0
421		Roster Character In Party 22	0
422		Roster Character In Party 23	0
423		Roster Character In Party 24	0
424		Roster Character In Party 25	0
425		Roster Character In Party 26	0
426		Roster Character In Party 27	0
427		Roster Character In Party 28	0
428		Roster Character In Party 29	0
429		Roster Character In Party 30	0
430		Roster Character In Party 31	0
431		Roster Character In Party 32	0
432		Roster Character In Party 33	0
433		Roster Character In Party 34	0
434		Roster Character In Party 35	0
435		Roster Character In Party 36	0
436		Roster Character In Party 37	0
437		Roster Character In Party 38	0
438		Roster Character In Party 39	0
439		Roster Character In Party 40	0
440		Roster Character In Party 41	0
441		Roster Character In Party 42	0
442		Roster Character In Party 43	0
443		Roster Character In Party 44	0
444		Roster Character In Party 45	0
445		Roster Character In Party 46	0
446		Roster Character In Party 47	0
447		Roster Character In Party 48	0
448		Roster Character In Party 49	0
449		Roster Character In Party 50	0
450	0	0	0
451	0	0	0
452	0	0	0
453	0	0	0
454	0	0	0
455	0	0	0
456	0	0	0
457	0	0	0
458	0	0	0
459	0	0	0
460	0	0	0
461	0	0	0
462	0	0	0
463	0	0	0
464	0	0	0
465	0	0	0
466	0	0	0
467	0	0	0
468	0	0	0
469	0	0	0
470	0	0	0
471	0	0	0
472	0	0	0
473	0	0	0
474	0	0	0
475	0	0	0
476	0	0	0
477	0	0	0
478	0	0	0
479	0	0	0
480	0	0	0
481	0	0	0
482	0	0	0
483	0	0	0
484	0	0	0
485	0	0	0
486	0	0	0
487	0	0	0
488	0	0	0
489	0	0	0
490	0	0	0
491	0	0	0
492	0	0	0
493	0	0	0
494	0	0	0
495	0	0	0
496	0	0	0
497	0	0	0
498	0	0	0
499	0	0	0
500	0	0	0
501	0	0	0
502	0	0	0
503	0	0	0
504	0	0	0
505	0	0	0
506	0	0	0
507	0	0	0
508	0	0	0
509	0	0	0
510	0	0	0
511	0	0	0
512	0	0	0
513	_(TRANS)_	0	Bryan
514	_(TRANS)_	0	Bryan
515	_(TRANS)_	0	Bryan
516	_(TRANS)_	0	Bryan
517	_(TRANS)_	0	Bryan
518	_(TRANS)_	0	Bryan
519		Finished Scavenger Hunt	Bryan
520		Brought red potion	Bryan
521		Brought seashell	Bryan
522		Brought longbow	Bryan
523		Brought tile	Bryan
524		Brought instrument	Bryan
525		Brought hat	Bryan
526		Accepted Fireball wand from Malwick	Bryan
527		Able to use boat to get off Emerald Island	Bryan
528	_(TRANS)_	0	Bryan
529		No more docent babble	Bryan
530	_(TRANS)_	0	Bryan
531	_(TRANS)_	0	Bryan
532		Watchtower 6.  Weight in the appropriate box.  Important for Global event 47 (Spy promotion)	
533	_(TRANS)_	0	Bryan
534	_(TRANS)_	0	Bryan
535		Killed dragon when on Crusader quest	Bryan
536	_(TRANS)_	0	Bryan
537		Mini-dungeon Area 5.  Rescued/Captured Alice Hargreaves.	Bryan
538	_(TRANS)_	0	Bryan
539	_(TRANS)_	0	Bryan
540	_(TRANS)_	0	Bryan
541	_(TRANS)_	0	Bryan
542	_(TRANS)_	0	Bryan
543	_(TRANS)_	0	Bryan
544	_(TRANS)_	0	Bryan
545	_(TRANS)_	0	Bryan
546	_(TRANS)_	0	Bryan
547	_(TRANS)_	0	Bryan
548	_(TRANS)_	0	Bryan
549	_(TRANS)_	0	Bryan
550	_(TRANS)_	0	Bryan
551	_(TRANS)_	0	Bryan
552		Talked to the Oldest Tree	Bryan
553		Solved Tree quest	Bryan
554	_(TRANS)_	0	Bryan
555	_(TRANS)_	0	Bryan
556	_(TRANS)_	0	Bryan
557	_(TRANS)_	0	Bryan
558		Player Castle.  Golem should appear in castle bit.	Bryan
559	_(TRANS)_	0	Bryan
560	_(TRANS)_	0	Bryan
561	_(TRANS)_	0	Bryan
562		Visited all stonehenges	
563		Visited stonehenge 1 (area 9)	
564		Visited stonehenge 2 (area 13)	
565		Visited stonehenge 3 (area 14)	
566	_(TRANS)_	0	Bryan
567	_(TRANS)_	0	Bryan
568		Watchtower 6.  Taken the weight from the upper gatehouse.  Spy promo quest	
569		Solved the code puzzle.  Ninja promo quest	
570		Destroyed critter generator in dungeon.  Warrior Mage promo quest.	
571		Won five arena championships at [something] difficulty level.  Champion promo quest.	Bryan
572		Robbed Elven treasury.  Black Knight promo quest.	
573		Collected 10000 gold in bounties.  Bounty Hunter promo quest.	Bryan
574		Purified the Altar of Evil.  Priest of Light promo quest.	
575		Defaced the Altar of Good.  Priest of Dark promo quest.	
576		Activate boat to area 9.  Priest promo quest	
577		Barrow downs.   Returned the bones of the Dwarf King.  Arch Druid promo quest.	
578		Placed Golem torso	Bryan
579		Placed Golem left leg	Bryan
580		Placed Golem right leg	Bryan
581		Placed Golem left arm	Bryan
582		Placed Golem left leg	Bryan
583		Placed Golem head	Bryan
584		Placed Golem Abbey normal head	Bryan
585		Finished constructing Golem with Abbey normal head	Bryan
586		Finished constructing Golem with normal head	Bryan
587	_(TRANS)_	Given by butler at the door to the player castle.	
588	_(TRANS)_		Bryan
589	_(TRANS)_		Bryan
590	_(TRANS)_		Bryan
591	_(TRANS)_		Bryan
592		Gave plans to elfking	Bryan
593		Gave Loren to Catherine	Bryan
594		Gave false plans to elfking (betray)	Bryan
595		Gave false Loren to Catherine (betray)	Bryan
596		Gave artifact to humans	Bryan
597		Gave artifact to elves	Bryan
598		Gave weapons to humans	Bryan
599		Gave weapons to elves	Bryan
600		Talked to Catherine	Bryan
601		Talked to elfking	Bryan
602		Told Catherine about fake prisoner	Bryan
603		Told Elfking about fake plans	Bryan
604		Fort Riverstride.  Opened chest with plans	
605		Tularean Caves.  Got Loren	
606	_(TRANS)_		Bryan
607	_(TRANS)_		Bryan
608		Built Castle to Level 3 (good)NO LONGER USED(Riki)	Bryan
609		Built Castle to Level 3 (evil)NO LONGER USED(Riki)	Bryan
610		Built Castle to Level 2 (rescued dwarf guy)	Bryan
611		Chose the path of Light	Bryan
612		Chose the path of Dark	Bryan
613	_(TRANS)_		Bryan
614		Completed Proving Grounds without killing a single creature	Bryan
615	_(TRANS)_		Bryan
616	_(TRANS)_	0	Bryan
617		Slayed Xenofex	0
618	_(TRANS)_	0	Bryan
619		Slayed the vampire	0
620	_(TRANS)_	0	Bryan
621	_(TRANS)_	0	Bryan
622		Finished Necro Proving Grounds	Bryan
623		Finished Necro Task 2 - Temple of Light	Bryan
624		Finished Necro Task 3 - Soul Jars	Bryan
625		Finished Necro Task 4 - Clanker's Lab	Bryan
626		Finished Wizard Proving Grounds	Bryan
627		Finished Wizard Task 2 - Temple of Dark	Bryan
628		Finished Wizard Task 3 - Wine Cellar	Bryan
629		Finished Wizard Task 4 - Soul Jars	Bryan
630		Killed Good MM3 Person	Bryan
631		Killed Evil MM3 Person	Bryan
632		Got Hive part	Bryan
633		Got the sci-fi part	Bryan
634	_(TRANS)_	0	Bryan
635	_(TRANS)_	0	Bryan
636	_(TRANS)_	0	Bryan
637	_(TRANS)_	0	Bryan
638		Destroyed the magical defenses in Clanker's Lab	0
639	_(TRANS)_	0	Bryan
640	_(TRANS)_	0	Bryan
641		Completed Breeding Pit.	0
642	_(TRANS)_	0	0
643	_(TRANS)_	0	0
644		Butler only shows up once (area 2)	Pete
645		Player castle timer only happens once	Pete
646		Arbiter Messenger only happens once	Pete
647		Player castle goblins are all dead	Riki
648		Party doesn't come back to Out01 temple anymore	Bryan
649		Artifact Messenger only happens once	Riki
650		Killed specific monster (Armsmaster GM quest) - important for Bob	Bryan
651		Completed fountain quest (Water Magic GM) - important for Bob	Bryan
652		Cleaned out the haunted mansion (Cavalier promo)	Bryan
653		"Only give Markham's vase once (Markham's manor, Thief promo)."	Bryan
654		Killed all monsters in Haunted mansion	Bryan
655		Killed all monsters in Bandit cave	Bryan
656		Alice Hargreaves in building only once	Bryan
657		Membership to the School of Sorcery Scroll Shop	Bryan
658	_(TRANS)_	0	0
659		Gave artifact to arbiter	Bryan
660		Got Lich Jar from Walls of Mist	Bryan
661		Got Lich Jar from Thunderfist Mountain	Bryan
662		Got Lich Jar from Castle Gloaming	Bryan
663	_(TRANS)_	0	0
664	_(TRANS)_	0	0
665	_(TRANS)_	0	0
666		Got Scroll of Waves	0
667	_(TRANS)_	Barrow Lantern Quest	James
668	_(TRANS)_	Haldar's Remains Quest	James
669	_(TRANS)_	Davrik's Ring Quest	James
670	_(TRANS)_		James
671	_(TRANS)_		James
672		Got Signet ring out of chest	Tim
673		Got magic dust out of chest 	Tim
674		Got lantern of light	Tim
675		Got perfect bow out of chest	Tim
676		Visited Obelisk in Area 2	Riki
677		Visited Obelisk in Area 3	Riki
678		Visited Obelisk in Area 4	Riki
679		Visited Obelisk in Area 5	Riki
680		Visited Obelisk in Area 6	Riki
681		Visited Obelisk in Area 7	Riki
682		Visited Obelisk in Area 8	Riki
683		Visited Obelisk in Area 9	Riki
684		Visited Obelisk in Area 10	Riki
685		Visited Obelisk in Area 11	Riki
686		Visited Obelisk in Area 12	Riki
687		Visited Obelisk in Area 13	Riki
688		Visited Obelisk in Area 14	Riki
689		Visited Obelisk in Area 39	Riki
690		Open final Obelisk Chest	Riki
691	_(TRANS)_		Bryan
692	_(TRANS)_		Bryan
693	_(TRANS)_	Goto Merc Guild	Bryan
694	_(TRANS)_	Do the Merc Guild Quest	Bryan
695		Failed either goto or do guild quest	Bryan
696		Killed all castle monsters	Bryan
697		Killed all outdoor monsters	Bryan
698	_(TRANS)_	0	Bryan
699	_(TRANS)_	0	Bryan
700		Killed all Erathian Griffins	Bryan
701		Killed all Bracada Desert Griffins	Bryan
702		Finished with Malwick & Assc.	Riki
703		Turn on map in mdtXX(Dwarven Barrow)	Riki
704		Turn on map in mdkXX(Dwarven Barrow)	Riki
705		Turn on map in mdrXX(Dwarven Barrow)	Riki
706	_(TRANS)_	0	0
707	_(TRANS)_	0	0
708		Find second entrance to Watchtower6	James
709		Entered Faerie Mound	James
710		Archibald in Clankers Lab now	0
711		Take the Associate's Tapestry	0
712	_(TRANS)_		0
713		Placed item 617 in out14(statue)	0
714		Place item 618 in out13(statue)	0
715		Place item 619 in out06(statue)	0
716	_(TRANS)_	0	0
717	_(TRANS)_	0	0
718		TP Buff Harmondale	0
719		TP Buff Erathia	0
720		TP Buff Tularean Forest	0
721		TP Buff Celeste	0
722		TP Buff The Pit	0
723		TP Buff Nighon	0
724		Vase - I lost it	0
725		Dagger - I lost it	0
726		Scroll of Waves - I lost it	0
727		Cipher - I lost it	0
728		Worn Belt - I lost it	0
729		Heart of Wood - I lost it	0
730		Map to Evenmorn - I lost it	0
731		Golem Head - I lost it	0
732		Abby normal head - I lost it	0
733		Right arm - I lost it	0
734		Left arm - I lost it	0
735		Right leg - I lost it	0
736		Left leg - I lost it	0
737		Torso - I lost it	0
738		Book of Divine Intervention - I lost it	0
739		Dragon Egg - I lost it	0
740		Dwarf Bones - I lost it	0
741		Lich Jar (Empty) - I lost it	0
742		Elixir - I lost it	0
743		Lich Jar Case - I lost it	0
744		Altar Piece (Good) - I lost it	0
745		Altar Piece (Evil) - I lost it	0
746		Control Cube - I lost it	0
747		Wetsuit - I lost it	0
748		Final Part - I lost it	0
749		Lich Jar (Full) - I lost it	0
750		Won all Arcomage games	0
751		Got the Divine Intervention	0
752		Talked to Roland	0
753		Perfect bow - I lost it	0
754		Opened chest with shadow mask	0
755		Killed High Preist of Baa	0
756		Finished ArcoMage Quest - Get the treasure	0
757	_(TRANS)_	For Blinging	0
758		Visited The Land of the giants	0
759		Control Cube only once	0
760		Took area 2 hill fort	0
761		Don't get ambushed	0
762		Bought Item 1	0
763		Bought Item 2	0
764		Bought Item 3	0
765		Bought Item 4	0
766		Bought Item 5	0
767		Bought Item 6	0
768		Can't keep buying 1	0
769		Can't keep buying 2	0
770		Can't keep buying 3	0
771		Can't keep buying 4	0
772		Can't keep buying 5	0
773		Can't keep buying 6	0
774		Time for Gobs to appear in area 2(raiding camp)	0
775		Area 12 Archibald only once	0
776		Took Roland Painting	0
777		Took Archi Painting	0
778		Took Angel Painting	0
779		South Signal Fire Out02	0
780		North Signal Fire Out02	0
781		West Siganl Fire Out02	0
782		Your friends are mad at you 	0
783		Finished MM7 Story	
784		Finished MM6 Story	0
785	0	0	0
786	0	0	0
787	0	0	0
788	0	0	0
789	0	0	0
790	0	0	0
791	0	0	0
792	0	0	0
793	0	0	0
794	0	0	0
795	0	0	0
796	0	0	0
797	0	0	0
798	0	0	0
799	0	0	0
800	0	0	0
801	0	0	0
802	0	0	0
