News # 	Text	Notes / Topic	
59	Group 8		
60	Group 9		
61	_(TRANS)_	Southern Village Group in Harmondale	
62	_(TRANS)_	Lords	
63	_(TRANS)_	Tent camp in Erathia	
64	_(TRANS)_	Steadwick	
65	_(TRANS)_	Elven capitol	
66	_(TRANS)_	Pierpont	
67	_(TRANS)_	Walking dead	
68	_(TRANS)_	Deyja	
69	_(TRANS)_	Stable and Tele dwellers in Bracada	
70	_(TRANS)_	Eastern village and boat dwellers in Bracada	
71	_(TRANS)_	Ridge walkers in Bracada	
72	_(TRANS)_	Celeste	
73	_(TRANS)_	Welcome	
74	_(TRANS)_	Peasents in first area of the pit	
75	_(TRANS)_	Peasents in the second area of the pit	
76	_(TRANS)_	Peasents in the third area of the pit	
77	_(TRANS)_	Peasents in main town of nighon	
78	_(TRANS)_	Peasents in western town of Nighon	
79	_(TRANS)_	Peasents in Eastern village of Nighon	
80	_(TRANS)_	Peasents in the Mercenary guild village	
81	_(TRANS)_	Peasents in the wharf town	
82	_(TRANS)_	Peasents in the village area	
83	_(TRANS)_	Peasents in the Dock area	
84	_(TRANS)_	Peasents good endgame	
85	_(TRANS)_	Peasents evil endgame	
86	_(TRANS)_	Peasants in 6/7 endgame	
87	_(TRANS)_	Peasants in 5/8 endgame	
88	_(TRANS)_		
89	_(TRANS)_		
90	_(TRANS)_		
91	_(TRANS)_		
92	_(TRANS)_		
93	_(TRANS)_		
94	_(TRANS)_		
95	_(TRANS)_		
96	_(TRANS)_		
97	_(TRANS)_		
98	_(TRANS)_		
99	_(TRANS)_		
100	_(TRANS)_		
101	_(TRANS)_		
102	_(TRANS)_	_(TRANS)_	
103	_(TRANS)_	_(TRANS)_	
104	_(TRANS)_	_(TRANS)_	
105	_(TRANS)_	_(TRANS)_	
106	_(TRANS)_	_(TRANS)_	
107	_(TRANS)_	_(TRANS)_	
108	_(TRANS)_	_(TRANS)_	
109	_(TRANS)_	_(TRANS)_	
110	_(TRANS)_	_(TRANS)_	
111	_(TRANS)_	_(TRANS)_	
112	_(TRANS)_	_(TRANS)_	
113	_(TRANS)_	_(TRANS)_	
114	_(TRANS)_	_(TRANS)_	
115	_(TRANS)_	_(TRANS)_	
116	_(TRANS)_	_(TRANS)_	
117	_(TRANS)_	_(TRANS)_	
118	_(TRANS)_	_(TRANS)_	
119	_(TRANS)_	_(TRANS)_	
120	_(TRANS)_	_(TRANS)_	
121	_(TRANS)_	_(TRANS)_	
122	_(TRANS)_	_(TRANS)_	
123	_(TRANS)_	_(TRANS)_	
124	_(TRANS)_	_(TRANS)_	
125	_(TRANS)_	_(TRANS)_	
126	_(TRANS)_	_(TRANS)_	
127	_(TRANS)_	_(TRANS)_	
128	_(TRANS)_	_(TRANS)_	
129	_(TRANS)_	_(TRANS)_	
130	_(TRANS)_	_(TRANS)_	
131	_(TRANS)_	_(TRANS)_	
132	_(TRANS)_	_(TRANS)_	
133	_(TRANS)_	_(TRANS)_	
134	_(TRANS)_	_(TRANS)_	
135	_(TRANS)_	_(TRANS)_	
136	_(TRANS)_	_(TRANS)_	
137	_(TRANS)_	_(TRANS)_	
138	_(TRANS)_	_(TRANS)_	
139	_(TRANS)_	_(TRANS)_	
140	_(TRANS)_	_(TRANS)_	
141	_(TRANS)_	_(TRANS)_	
142	_(TRANS)_	_(TRANS)_	
143	_(TRANS)_	_(TRANS)_	
144	_(TRANS)_	_(TRANS)_	
145	_(TRANS)_	_(TRANS)_	
146	_(TRANS)_	_(TRANS)_	
147	_(TRANS)_	_(TRANS)_	
148	_(TRANS)_	_(TRANS)_	
149	_(TRANS)_	_(TRANS)_	
150	_(TRANS)_	_(TRANS)_	
151	_(TRANS)_	_(TRANS)_	
152	_(TRANS)_	_(TRANS)_	
153	_(TRANS)_	_(TRANS)_	
154	_(TRANS)_	_(TRANS)_	
155	_(TRANS)_	_(TRANS)_	
156	_(TRANS)_	_(TRANS)_	
157	_(TRANS)_	_(TRANS)_	
158	_(TRANS)_	_(TRANS)_	
159	_(TRANS)_	_(TRANS)_	
160	_(TRANS)_	_(TRANS)_	
161	_(TRANS)_	_(TRANS)_	
162	_(TRANS)_	_(TRANS)_	
163	_(TRANS)_	_(TRANS)_	
164	_(TRANS)_	_(TRANS)_	
165	_(TRANS)_	_(TRANS)_	
166	_(TRANS)_	_(TRANS)_	
167	_(TRANS)_	_(TRANS)_	
168	_(TRANS)_	_(TRANS)_	
169	_(TRANS)_	_(TRANS)_	
170	_(TRANS)_	_(TRANS)_	
171	_(TRANS)_	_(TRANS)_	
172	_(TRANS)_	_(TRANS)_	
173	_(TRANS)_	_(TRANS)_	
174	_(TRANS)_	_(TRANS)_	
175	_(TRANS)_	_(TRANS)_	
176	_(TRANS)_	_(TRANS)_	
177	_(TRANS)_	_(TRANS)_	
178	_(TRANS)_	_(TRANS)_	
179	_(TRANS)_	_(TRANS)_	
180	_(TRANS)_	_(TRANS)_	
181	_(TRANS)_	_(TRANS)_	
182	_(TRANS)_	_(TRANS)_	
183	_(TRANS)_	_(TRANS)_	
184	_(TRANS)_	_(TRANS)_	
185	_(TRANS)_	_(TRANS)_	
186	_(TRANS)_	_(TRANS)_	
187	_(TRANS)_	_(TRANS)_	
188	_(TRANS)_	_(TRANS)_	
189	_(TRANS)_	_(TRANS)_	
190	_(TRANS)_	_(TRANS)_	
191	_(TRANS)_	_(TRANS)_	
192	_(TRANS)_	_(TRANS)_	
193	_(TRANS)_	_(TRANS)_	
194	_(TRANS)_	_(TRANS)_	
195	_(TRANS)_	_(TRANS)_	
196	_(TRANS)_	_(TRANS)_	
197	_(TRANS)_	_(TRANS)_	
198	_(TRANS)_	_(TRANS)_	
199	_(TRANS)_	_(TRANS)_	
200	_(TRANS)_	_(TRANS)_	
201	_(TRANS)_	_(TRANS)_	
202	_(TRANS)_	_(TRANS)_	
203	_(TRANS)_	_(TRANS)_	
204	_(TRANS)_	_(TRANS)_	
205	_(TRANS)_	_(TRANS)_	
206	_(TRANS)_	_(TRANS)_	
207	_(TRANS)_	_(TRANS)_	
208	_(TRANS)_	_(TRANS)_	
209	_(TRANS)_	_(TRANS)_	
210	_(TRANS)_	_(TRANS)_	
211	_(TRANS)_	_(TRANS)_	
212	_(TRANS)_	_(TRANS)_	
213	_(TRANS)_	_(TRANS)_	
214	_(TRANS)_	_(TRANS)_	
215	_(TRANS)_	_(TRANS)_	
216	_(TRANS)_	_(TRANS)_	
217	_(TRANS)_	_(TRANS)_	
218	_(TRANS)_	_(TRANS)_	
219	_(TRANS)_	_(TRANS)_	
220	_(TRANS)_	_(TRANS)_	
221	_(TRANS)_	_(TRANS)_	
222	_(TRANS)_	_(TRANS)_	
223	_(TRANS)_	_(TRANS)_	
224	_(TRANS)_	_(TRANS)_	
225	_(TRANS)_	_(TRANS)_	
226	_(TRANS)_	_(TRANS)_	
227	_(TRANS)_	_(TRANS)_	
228	_(TRANS)_	_(TRANS)_	
229	_(TRANS)_	_(TRANS)_	
230	_(TRANS)_	_(TRANS)_	
231	_(TRANS)_	_(TRANS)_	
232	_(TRANS)_	_(TRANS)_	
233	_(TRANS)_	_(TRANS)_	
234	_(TRANS)_	_(TRANS)_	
235	_(TRANS)_	_(TRANS)_	
236	_(TRANS)_	_(TRANS)_	
237	_(TRANS)_	_(TRANS)_	
238	_(TRANS)_	_(TRANS)_	
239	_(TRANS)_	_(TRANS)_	
240	_(TRANS)_	_(TRANS)_	
241	_(TRANS)_	_(TRANS)_	
242	_(TRANS)_	_(TRANS)_	
243	_(TRANS)_	_(TRANS)_	
244	_(TRANS)_	_(TRANS)_	
245	_(TRANS)_	_(TRANS)_	
246	_(TRANS)_	_(TRANS)_	
247	_(TRANS)_	_(TRANS)_	
248	_(TRANS)_	_(TRANS)_	
249	_(TRANS)_	_(TRANS)_	
250	_(TRANS)_	_(TRANS)_	
251	_(TRANS)_	_(TRANS)_	
252	_(TRANS)_	_(TRANS)_	
253	_(TRANS)_	_(TRANS)_	
254	_(TRANS)_	_(TRANS)_	
255	_(TRANS)_	_(TRANS)_	
256	_(TRANS)_	_(TRANS)_	
257	_(TRANS)_	_(TRANS)_	
258	_(TRANS)_	_(TRANS)_	
259	_(TRANS)_	_(TRANS)_	
260	_(TRANS)_	_(TRANS)_	
261	_(TRANS)_	_(TRANS)_	
262	_(TRANS)_	_(TRANS)_	
263	_(TRANS)_	_(TRANS)_	
264	_(TRANS)_	_(TRANS)_	
265	_(TRANS)_	_(TRANS)_	
266	_(TRANS)_	_(TRANS)_	
267	_(TRANS)_	_(TRANS)_	
268	_(TRANS)_	_(TRANS)_	
269	_(TRANS)_	_(TRANS)_	
270	_(TRANS)_	_(TRANS)_	
271	_(TRANS)_	_(TRANS)_	
272	_(TRANS)_	_(TRANS)_	
273	_(TRANS)_	_(TRANS)_	
274	_(TRANS)_	_(TRANS)_	
275	_(TRANS)_	_(TRANS)_	
276	_(TRANS)_	_(TRANS)_	
277	_(TRANS)_	_(TRANS)_	
278	_(TRANS)_	_(TRANS)_	
279	_(TRANS)_	_(TRANS)_	
280	_(TRANS)_	_(TRANS)_	
281	_(TRANS)_	_(TRANS)_	
282	_(TRANS)_	_(TRANS)_	
283	_(TRANS)_	_(TRANS)_	
284	_(TRANS)_	_(TRANS)_	
285	_(TRANS)_	_(TRANS)_	
286	_(TRANS)_	_(TRANS)_	
287	_(TRANS)_	_(TRANS)_	
288	_(TRANS)_	_(TRANS)_	
289	_(TRANS)_	_(TRANS)_	
290	_(TRANS)_	_(TRANS)_	
291	_(TRANS)_	_(TRANS)_	
292	_(TRANS)_	_(TRANS)_	
293	_(TRANS)_	_(TRANS)_	
294	_(TRANS)_	_(TRANS)_	
295	_(TRANS)_	_(TRANS)_	
296	_(TRANS)_	_(TRANS)_	
297	_(TRANS)_	_(TRANS)_	
298	_(TRANS)_	_(TRANS)_	
299	_(TRANS)_	_(TRANS)_	
300	_(TRANS)_	_(TRANS)_	
301	_(TRANS)_	_(TRANS)_	
302	_(TRANS)_	_(TRANS)_	
303	_(TRANS)_	_(TRANS)_	
304	_(TRANS)_	_(TRANS)_	
305	_(TRANS)_	_(TRANS)_	
306	_(TRANS)_	_(TRANS)_	
307	_(TRANS)_	_(TRANS)_	
308	_(TRANS)_	_(TRANS)_	
309	_(TRANS)_	_(TRANS)_	
310	_(TRANS)_	_(TRANS)_	
311	_(TRANS)_	_(TRANS)_	
312	_(TRANS)_	_(TRANS)_	
313	_(TRANS)_	_(TRANS)_	
314	_(TRANS)_	_(TRANS)_	
315	_(TRANS)_	_(TRANS)_	
316	_(TRANS)_	_(TRANS)_	
317	_(TRANS)_	_(TRANS)_	
318	_(TRANS)_	_(TRANS)_	
319	_(TRANS)_	_(TRANS)_	
320	_(TRANS)_	_(TRANS)_	
321	_(TRANS)_	_(TRANS)_	
322	_(TRANS)_	_(TRANS)_	
323	_(TRANS)_	_(TRANS)_	
324	_(TRANS)_	_(TRANS)_	
325	_(TRANS)_	_(TRANS)_	
326	_(TRANS)_	_(TRANS)_	
327	_(TRANS)_	_(TRANS)_	
328	_(TRANS)_	_(TRANS)_	
329	_(TRANS)_	_(TRANS)_	
330	_(TRANS)_	_(TRANS)_	
331	_(TRANS)_	_(TRANS)_	
332	_(TRANS)_	_(TRANS)_	
333	_(TRANS)_	_(TRANS)_	
334	_(TRANS)_	_(TRANS)_	
335	_(TRANS)_	_(TRANS)_	
336	_(TRANS)_	_(TRANS)_	
337	_(TRANS)_	_(TRANS)_	
338	_(TRANS)_	_(TRANS)_	
339	_(TRANS)_	_(TRANS)_	
340	_(TRANS)_	_(TRANS)_	
341	_(TRANS)_	_(TRANS)_	
342	_(TRANS)_	_(TRANS)_	
343	_(TRANS)_	_(TRANS)_	
344	_(TRANS)_	_(TRANS)_	
345	_(TRANS)_	_(TRANS)_	
346	_(TRANS)_	_(TRANS)_	
347	_(TRANS)_	_(TRANS)_	
348	_(TRANS)_	_(TRANS)_	
349	_(TRANS)_	_(TRANS)_	
350	_(TRANS)_	_(TRANS)_	
351	_(TRANS)_	_(TRANS)_	
352	_(TRANS)_	_(TRANS)_	
353	_(TRANS)_	_(TRANS)_	
354	_(TRANS)_	_(TRANS)_	
355	_(TRANS)_	_(TRANS)_	
356	_(TRANS)_	_(TRANS)_	
357	_(TRANS)_	_(TRANS)_	
358	_(TRANS)_	_(TRANS)_	
359	_(TRANS)_	_(TRANS)_	
360	_(TRANS)_	_(TRANS)_	
361	_(TRANS)_	_(TRANS)_	
362	_(TRANS)_	_(TRANS)_	
363	_(TRANS)_	_(TRANS)_	
364	_(TRANS)_	_(TRANS)_	
365	_(TRANS)_	_(TRANS)_	
366	_(TRANS)_	_(TRANS)_	
367	_(TRANS)_	_(TRANS)_	
368	_(TRANS)_	_(TRANS)_	
369	_(TRANS)_	_(TRANS)_	
370	_(TRANS)_	_(TRANS)_	
371	_(TRANS)_	_(TRANS)_	
372	_(TRANS)_	_(TRANS)_	
373	_(TRANS)_	_(TRANS)_	
374	_(TRANS)_	_(TRANS)_	
375	_(TRANS)_	_(TRANS)_	
376	_(TRANS)_	_(TRANS)_	
377	_(TRANS)_	_(TRANS)_	
378	_(TRANS)_	_(TRANS)_	
379	_(TRANS)_	_(TRANS)_	
380	_(TRANS)_	_(TRANS)_	
381 M	_(TRANS)_	_(TRANS)_
382	_(TRANS)_	_(TRANS)_
383	_(TRANS)_	_(TRANS)_
384	_(TRANS)_	_(TRANS)_
385	_(TRANS)_	_(TRANS)_
386	_(TRANS)_	_(TRANS)_
387	_(TRANS)_	_(TRANS)_
388	_(TRANS)_	_(TRANS)_
389	_(TRANS)_	_(TRANS)_
390	_(TRANS)_	_(TRANS)_
391	_(TRANS)_	_(TRANS)_
392	_(TRANS)_	_(TRANS)_
393	_(TRANS)_	_(TRANS)_
394	_(TRANS)_	_(TRANS)_
395	_(TRANS)_	_(TRANS)_
396	_(TRANS)_	_(TRANS)_
397	_(TRANS)_	_(TRANS)_
398	_(TRANS)_	_(TRANS)_
399	_(TRANS)_	_(TRANS)_
400	_(TRANS)_	_(TRANS)_
401	_(TRANS)_	_(TRANS)_
402	_(TRANS)_	_(TRANS)_
403	_(TRANS)_	_(TRANS)_
404	_(TRANS)_	_(TRANS)_
405	_(TRANS)_	_(TRANS)_
406	_(TRANS)_	_(TRANS)_
407	_(TRANS)_	_(TRANS)_
408	_(TRANS)_	_(TRANS)_
409	_(TRANS)_	_(TRANS)_
410	_(TRANS)_	_(TRANS)_
411	_(TRANS)_	_(TRANS)_
412	_(TRANS)_	_(TRANS)_
413	_(TRANS)_	_(TRANS)_
414	_(TRANS)_	_(TRANS)_
415	_(TRANS)_	_(TRANS)_
416	_(TRANS)_	_(TRANS)_
417	_(TRANS)_	_(TRANS)_
418	_(TRANS)_	_(TRANS)_
419	_(TRANS)_	_(TRANS)_
420	_(TRANS)_	_(TRANS)_
421	_(TRANS)_	_(TRANS)_
422	_(TRANS)_	_(TRANS)_
423	_(TRANS)_	_(TRANS)_
424	_(TRANS)_	_(TRANS)_
425	_(TRANS)_	_(TRANS)_
426	_(TRANS)_	_(TRANS)_
427	_(TRANS)_	_(TRANS)_
428	_(TRANS)_	_(TRANS)_
429	_(TRANS)_	_(TRANS)_
430	_(TRANS)_	_(TRANS)_
431	_(TRANS)_	_(TRANS)_
432	_(TRANS)_	_(TRANS)_
433	_(TRANS)_	_(TRANS)_
434	_(TRANS)_	_(TRANS)_
435	_(TRANS)_	_(TRANS)_
436	_(TRANS)_	_(TRANS)_
437	_(TRANS)_	_(TRANS)_
438	_(TRANS)_	_(TRANS)_
439	_(TRANS)_	_(TRANS)_
440	_(TRANS)_	_(TRANS)_
441	_(TRANS)_	_(TRANS)_
442	_(TRANS)_	_(TRANS)_
443	_(TRANS)_	_(TRANS)_
444	_(TRANS)_	_(TRANS)_
445	_(TRANS)_	_(TRANS)_
446	_(TRANS)_	_(TRANS)_
447	_(TRANS)_	_(TRANS)_
448	_(TRANS)_	_(TRANS)_
449	_(TRANS)_	_(TRANS)_
450	_(TRANS)_	_(TRANS)_
451	_(TRANS)_	_(TRANS)_
452	_(TRANS)_	_(TRANS)_
453	_(TRANS)_	_(TRANS)_
454	_(TRANS)_	_(TRANS)_
455	_(TRANS)_	_(TRANS)_
456	_(TRANS)_	_(TRANS)_
457	_(TRANS)_	_(TRANS)_
458 T	_(TRANS)_	_(TRANS)_
459	_(TRANS)_	_(TRANS)_
460	_(TRANS)_	_(TRANS)_
461	_(TRANS)_	_(TRANS)_
462	_(TRANS)_	_(TRANS)_
463	_(TRANS)_	_(TRANS)_
464	_(TRANS)_	_(TRANS)_
465	_(TRANS)_	_(TRANS)_
466	_(TRANS)_	_(TRANS)_
467	_(TRANS)_	_(TRANS)_
468	_(TRANS)_	_(TRANS)_
469	_(TRANS)_	_(TRANS)_
470	_(TRANS)_	_(TRANS)_
471	_(TRANS)_	_(TRANS)_
472	_(TRANS)_	_(TRANS)_
473	_(TRANS)_	_(TRANS)_
474	_(TRANS)_	_(TRANS)_
475	_(TRANS)_	_(TRANS)_
476	_(TRANS)_	_(TRANS)_
477	_(TRANS)_	_(TRANS)_
478	_(TRANS)_	_(TRANS)_
479	_(TRANS)_	_(TRANS)_
480	_(TRANS)_	_(TRANS)_
481	_(TRANS)_	_(TRANS)_
482	_(TRANS)_	_(TRANS)_
483	_(TRANS)_	_(TRANS)_
484	_(TRANS)_	_(TRANS)_
485	_(TRANS)_	_(TRANS)_
486	_(TRANS)_	_(TRANS)_
487	_(TRANS)_	_(TRANS)_
488	_(TRANS)_	_(TRANS)_
489	_(TRANS)_	_(TRANS)_
490	_(TRANS)_	_(TRANS)_
491	_(TRANS)_	_(TRANS)_
492	_(TRANS)_	_(TRANS)_
493	_(TRANS)_	_(TRANS)_
494	_(TRANS)_	_(TRANS)_
495	_(TRANS)_	_(TRANS)_
496	_(TRANS)_	_(TRANS)_
497	_(TRANS)_	_(TRANS)_
498	_(TRANS)_	_(TRANS)_
499	_(TRANS)_	_(TRANS)_
500	_(TRANS)_	_(TRANS)_
501	_(TRANS)_	_(TRANS)_
502	_(TRANS)_	_(TRANS)_
503	_(TRANS)_	_(TRANS)_
504	_(TRANS)_	_(TRANS)_
505	_(TRANS)_	_(TRANS)_
506	_(TRANS)_	_(TRANS)_
507	_(TRANS)_	_(TRANS)_
508	_(TRANS)_	_(TRANS)_
509	_(TRANS)_	_(TRANS)_
510	_(TRANS)_	_(TRANS)_
511	_(TRANS)_	_(TRANS)_
512	_(TRANS)_	_(TRANS)_
513	_(TRANS)_	_(TRANS)_
514	_(TRANS)_	_(TRANS)_
515	_(TRANS)_	_(TRANS)_
516	_(TRANS)_	_(TRANS)_
517	_(TRANS)_	_(TRANS)_
518	_(TRANS)_	_(TRANS)_
519	_(TRANS)_	_(TRANS)_
520	_(TRANS)_	_(TRANS)_
521	_(TRANS)_	_(TRANS)_
522	_(TRANS)_	_(TRANS)_
523	_(TRANS)_	_(TRANS)_
524	_(TRANS)_	_(TRANS)_
525	_(TRANS)_	_(TRANS)_
526	_(TRANS)_	_(TRANS)_
527	_(TRANS)_	_(TRANS)_
528	_(TRANS)_	_(TRANS)_
529	_(TRANS)_	_(TRANS)_
530	_(TRANS)_	_(TRANS)_
531	_(TRANS)_	_(TRANS)_
532	_(TRANS)_	_(TRANS)_
533	_(TRANS)_	_(TRANS)_
534	_(TRANS)_	_(TRANS)_
535 W	_(TRANS)_	_(TRANS)_
536	_(TRANS)_	_(TRANS)_
537	_(TRANS)_	_(TRANS)_
538	_(TRANS)_	_(TRANS)_
539	_(TRANS)_	_(TRANS)_
540	_(TRANS)_	_(TRANS)_
541	_(TRANS)_	_(TRANS)_
542	_(TRANS)_	_(TRANS)_
543	_(TRANS)_	_(TRANS)_
544	_(TRANS)_	_(TRANS)_
545	_(TRANS)_	_(TRANS)_
546	_(TRANS)_	_(TRANS)_
547	_(TRANS)_	_(TRANS)_
548	_(TRANS)_	_(TRANS)_
549	_(TRANS)_	_(TRANS)_
550	_(TRANS)_	_(TRANS)_
551	_(TRANS)_	_(TRANS)_
552	_(TRANS)_	_(TRANS)_
553	_(TRANS)_	_(TRANS)_
554	_(TRANS)_	_(TRANS)_
555	_(TRANS)_	_(TRANS)_
556	_(TRANS)_	_(TRANS)_
557	_(TRANS)_	_(TRANS)_
558	_(TRANS)_	_(TRANS)_
559	_(TRANS)_	_(TRANS)_
560	_(TRANS)_	_(TRANS)_
561	_(TRANS)_	_(TRANS)_
562	_(TRANS)_	_(TRANS)_
563	_(TRANS)_	_(TRANS)_
564	_(TRANS)_	_(TRANS)_
565	_(TRANS)_	_(TRANS)_
566	_(TRANS)_	_(TRANS)_
567	_(TRANS)_	_(TRANS)_
568	_(TRANS)_	_(TRANS)_
569	_(TRANS)_	_(TRANS)_
570	_(TRANS)_	_(TRANS)_
571	_(TRANS)_	_(TRANS)_
572	_(TRANS)_	_(TRANS)_
573	_(TRANS)_	_(TRANS)_
574	_(TRANS)_	_(TRANS)_
575	_(TRANS)_	_(TRANS)_
576	_(TRANS)_	_(TRANS)_
577	_(TRANS)_	_(TRANS)_
578	_(TRANS)_	_(TRANS)_
579	_(TRANS)_	_(TRANS)_
580	_(TRANS)_	_(TRANS)_
581	_(TRANS)_	_(TRANS)_
582	_(TRANS)_	_(TRANS)_
583	_(TRANS)_	_(TRANS)_
584	_(TRANS)_	_(TRANS)_
585	_(TRANS)_	_(TRANS)_
586	_(TRANS)_	_(TRANS)_
587	_(TRANS)_	_(TRANS)_
588	_(TRANS)_	_(TRANS)_
589	_(TRANS)_	_(TRANS)_
590	_(TRANS)_	_(TRANS)_
591	_(TRANS)_	_(TRANS)_
592	_(TRANS)_	_(TRANS)_
593	_(TRANS)_	_(TRANS)_
594	_(TRANS)_	_(TRANS)_
595	_(TRANS)_	_(TRANS)_
596	_(TRANS)_	_(TRANS)_
597	_(TRANS)_	_(TRANS)_
598	_(TRANS)_	_(TRANS)_
599	_(TRANS)_	_(TRANS)_
600	_(TRANS)_	_(TRANS)_
601	_(TRANS)_	_(TRANS)_
602	_(TRANS)_	_(TRANS)_
603	_(TRANS)_	_(TRANS)_
604	_(TRANS)_	_(TRANS)_
605	_(TRANS)_	_(TRANS)_
606	_(TRANS)_	_(TRANS)_
607	_(TRANS)_	_(TRANS)_
608	_(TRANS)_	_(TRANS)_
609	_(TRANS)_	_(TRANS)_
610	_(TRANS)_	_(TRANS)_
611	_(TRANS)_	_(TRANS)_
612 T	_(TRANS)_	_(TRANS)_
613	_(TRANS)_	_(TRANS)_
614	_(TRANS)_	_(TRANS)_
615	_(TRANS)_	_(TRANS)_
616	_(TRANS)_	_(TRANS)_
617	_(TRANS)_	_(TRANS)_
618	_(TRANS)_	_(TRANS)_
619	_(TRANS)_	_(TRANS)_
620	_(TRANS)_	_(TRANS)_
621	_(TRANS)_	_(TRANS)_
622	_(TRANS)_	_(TRANS)_
623	_(TRANS)_	_(TRANS)_
624	_(TRANS)_	_(TRANS)_
625	_(TRANS)_	_(TRANS)_
626	_(TRANS)_	_(TRANS)_
627	_(TRANS)_	_(TRANS)_
628	_(TRANS)_	_(TRANS)_
629	_(TRANS)_	_(TRANS)_
630	_(TRANS)_	_(TRANS)_
631	_(TRANS)_	_(TRANS)_
632	_(TRANS)_	_(TRANS)_
633	_(TRANS)_	_(TRANS)_
634	_(TRANS)_	_(TRANS)_
635	_(TRANS)_	_(TRANS)_
636	_(TRANS)_	_(TRANS)_
637	_(TRANS)_	_(TRANS)_
638	_(TRANS)_	_(TRANS)_
639	_(TRANS)_	_(TRANS)_
640	_(TRANS)_	_(TRANS)_
641	_(TRANS)_	_(TRANS)_
642	_(TRANS)_	_(TRANS)_
643	_(TRANS)_	_(TRANS)_
644	_(TRANS)_	_(TRANS)_
645	_(TRANS)_	_(TRANS)_
646	_(TRANS)_	_(TRANS)_
647	_(TRANS)_	_(TRANS)_
648	_(TRANS)_	_(TRANS)_
649	_(TRANS)_	_(TRANS)_
650	_(TRANS)_	_(TRANS)_
651	_(TRANS)_	_(TRANS)_
652	_(TRANS)_	_(TRANS)_
653	_(TRANS)_	_(TRANS)_
654	_(TRANS)_	_(TRANS)_
655	_(TRANS)_	_(TRANS)_
656	_(TRANS)_	_(TRANS)_
657	_(TRANS)_	_(TRANS)_
658	_(TRANS)_	_(TRANS)_
659	_(TRANS)_	_(TRANS)_
660	_(TRANS)_	_(TRANS)_
661	_(TRANS)_	_(TRANS)_
662	_(TRANS)_	_(TRANS)_
663	_(TRANS)_	_(TRANS)_
664	_(TRANS)_	_(TRANS)_
665	_(TRANS)_	_(TRANS)_
666	_(TRANS)_	_(TRANS)_
667	_(TRANS)_	_(TRANS)_
668	_(TRANS)_	_(TRANS)_
669	_(TRANS)_	_(TRANS)_
670	_(TRANS)_	_(TRANS)_
671	_(TRANS)_	_(TRANS)_
672	_(TRANS)_	_(TRANS)_
673	_(TRANS)_	_(TRANS)_
674	_(TRANS)_	_(TRANS)_
675	_(TRANS)_	_(TRANS)_
676	_(TRANS)_	_(TRANS)_
677	_(TRANS)_	_(TRANS)_
678	_(TRANS)_	_(TRANS)_
