Note bit	Autonote Text	Category		
100	_(TRANS)_	teacher		
101	_(TRANS)_	teacher		
102	_(TRANS)_	teacher		
103	_(TRANS)_	teacher		
104	_(TRANS)_	teacher		
105	_(TRANS)_	teacher		
106	_(TRANS)_	teacher		
107	_(TRANS)_	teacher		
108	_(TRANS)_	teacher		
109	_(TRANS)_	teacher		
110		teacher		
111		teacher		
112		teacher		
113	_(TRANS)_	teacher		
114	_(TRANS)_	teacher		
115	_(TRANS)_	teacher		
116	_(TRANS)_	teacher		
117	_(TRANS)_	teacher		
118	_(TRANS)_	teacher		
119	_(TRANS)_	teacher		
120	_(TRANS)_	teacher		
121	_(TRANS)_	teacher		
122	_(TRANS)_	teacher		
123	_(TRANS)_	teacher		
124	_(TRANS)_	teacher		
125	_(TRANS)_	teacher		
126	_(TRANS)_	teacher		
127	_(TRANS)_	teacher		
128	_(TRANS)_	teacher		
129	_(TRANS)_	teacher		
130	_(TRANS)_	teacher		
131	_(TRANS)_	teacher		
132	_(TRANS)_	teacher		
133	_(TRANS)_	teacher		
134	_(TRANS)_	teacher		
135	_(TRANS)_	teacher		
136	_(TRANS)_	teacher		
137	_(TRANS)_	teacher		
138	_(TRANS)_	teacher		
139	_(TRANS)_	teacher		
140	_(TRANS)_	teacher		
141	_(TRANS)_	teacher		
142	_(TRANS)_	teacher		
143	_(TRANS)_	teacher		
144	_(TRANS)_	teacher		
145	_(TRANS)_	teacher		
146	_(TRANS)_	teacher		
147	_(TRANS)_	teacher		
148	_(TRANS)_	teacher		
149	_(TRANS)_	teacher		
150	_(TRANS)_	teacher		
151	_(TRANS)_	teacher		
152	_(TRANS)_	teacher		
153	_(TRANS)_	teacher		
154	_(TRANS)_	teacher		
155	_(TRANS)_	teacher		
156	_(TRANS)_	teacher		
157	_(TRANS)_	teacher		
158	_(TRANS)_	teacher		
159	_(TRANS)_	teacher		
160	_(TRANS)_	teacher		
161	_(TRANS)_	teacher		
162	_(TRANS)_	teacher		
163	_(TRANS)_	teacher		
164	_(TRANS)_	teacher		
165	_(TRANS)_	teacher		
166	_(TRANS)_	teacher		
167	_(TRANS)_	teacher		
168	_(TRANS)_	teacher		
169	_(TRANS)_	teacher		
170	_(TRANS)_	teacher		
171	_(TRANS)_	teacher		
172	_(TRANS)_	teacher		
173	_(TRANS)_	teacher		
174	_(TRANS)_	teacher		
175	_(TRANS)_	teacher		
176	_(TRANS)_	teacher		
177	_(TRANS)_	teacher		
178	_(TRANS)_	teacher		
179	_(TRANS)_	teacher		
180	_(TRANS)_	teacher		
181	_(TRANS)_	teacher		
182	_(TRANS)_	teacher		
183	_(TRANS)_	teacher		
184	_(TRANS)_	teacher		
185	dodging expert unused	teacher		
186	dodging master unused	teacher		
187	dodging gm unused	teacher		
188	unarmed expert unused	teacher		
189	unarmed master unused	teacher		
190	unarmed gm unused	teacher		
191	_(TRANS)_	teacher		
192	_(TRANS)_	teacher		
193	_(TRANS)_	teacher		
194	_(TRANS)_	teacher		
195	_(TRANS)_	teacher		
196	_(TRANS)_	teacher		
197	stealing expert unused	teacher		
198	stealing master unused	teacher		
199	stealing gm unused	teacher		
200	_(TRANS)_	teacher		
201	_(TRANS)_	teacher		
202	_(TRANS)_	teacher		
203	_(TRANS)_	teacher		
204	_(TRANS)_	teacher		
205	_(TRANS)_	teacher		
206	_(TRANS)_	stat		
207	_(TRANS)_	stat		
208	_(TRANS)_	stat		
209	_(TRANS)_	stat		
210	_(TRANS)_	stat		
211	_(TRANS)_	stat		
212	_(TRANS)_	stat		
213	_(TRANS)_	stat		
214	_(TRANS)_	stat		
215	_(TRANS)_	stat		
216	_(TRANS)_	stat		
217	_(TRANS)_	stat		
218	_(TRANS)_	stat		
219	_(TRANS)_	stat		
220	_(TRANS)_	stat		
221	_(TRANS)_	stat		
222	_(TRANS)_	stat		
223	_(TRANS)_	stat		
224	_(TRANS)_	stat		
225	_(TRANS)_	stat		
226	_(TRANS)_	stat		
227	_(TRANS)_	stat		
228	_(TRANS)_	stat		
229	_(TRANS)_	stat		
230	_(TRANS)_	stat		
231	_(TRANS)_	stat		
232	_(TRANS)_	stat		
233	_(TRANS)_	seer		
234	_(TRANS)_	seer		
235	_(TRANS)_	seer		
236	_(TRANS)_	seer		
237	_(TRANS)_	seer		
238	_(TRANS)_	seer		
239	_(TRANS)_	seer		
240	_(TRANS)_	seer		
241	_(TRANS)_	seer		
242	_(TRANS)_	seer		
243	_(TRANS)_	seer		
244	_(TRANS)_	seer		
245	_(TRANS)_	seer		
246	_(TRANS)_	seer		
247	_(TRANS)_	seer		
248	_(TRANS)_	seer		
249	_(TRANS)_	seer		
250	_(TRANS)_	seer		
251	_(TRANS)_	seer		
252	_(TRANS)_	seer		
253	_(TRANS)_	seer		
254	_(TRANS)_	seer		
255	_(TRANS)_	seer		
256	_(TRANS)_	seer		
257	_(TRANS)_	Misc		
258	_(TRANS)_	Stat		
259	_(TRANS)_	Stat		
260	_(TRANS)_	Stat		
261	_(TRANS)_	Stat		
262	_(TRANS)_	Stat		
263	_(TRANS)_	Stat		
264	_(TRANS)_	Stat		
265	_(TRANS)_	Stat		
266	_(TRANS)_	Stat		
267	_(TRANS)_	Stat		
268	_(TRANS)_	Stat		
269	_(TRANS)_	Stat		
270	_(TRANS)_	Stat		
271	_(TRANS)_	Stat		
272	_(TRANS)_	Stat		
273	_(TRANS)_	Stat		
274	_(TRANS)_	Stat		
275	_(TRANS)_	Stat		
276	_(TRANS)_	Stat		
277	_(TRANS)_	Stat		
278	_(TRANS)_	Stat		
279	_(TRANS)_	Stat		
280	_(TRANS)_	Stat		
281	_(TRANS)_	Stat		
282	_(TRANS)_	Stat		
283	_(TRANS)_	Stat		
284	_(TRANS)_	Stat		
285	_(TRANS)_	Stat		
286	_(TRANS)_	Stat		
287	_(TRANS)_	Stat		
288	_(TRANS)_	Stat		
289	_(TRANS)_	Misc		
290	_(TRANS)_	Misc		
291	_(TRANS)_	Misc		
292	_(TRANS)_	Misc		
293	_(TRANS)_	Misc		
294	_(TRANS)_	Misc		
295	_(TRANS)_	Misc		
296	_(TRANS)_	Misc		
297	_(TRANS)_	Misc		
298	_(TRANS)_	Misc		
299	_(TRANS)_	Misc		
300	0	Stat		
301	0	Stat		
302	0	Stat		
303	0	Stat		
304	0	Stat		
305	0	Stat		
306	0	Stat		
307	0	misc		
308	0	Stat		
309	_(TRANS)_	Obelisk		
310	_(TRANS)_	Obelisk		
311	_(TRANS)_	Obelisk		
312	_(TRANS)_	Obelisk		
313	_(TRANS)_	Obelisk		
314	_(TRANS)_	Obelisk		
315	_(TRANS)_	Obelisk		
316	_(TRANS)_	Obelisk		
317	_(TRANS)_	Obelisk		
318	_(TRANS)_	Obelisk		
319	_(TRANS)_	Obelisk		
320	_(TRANS)_	Obelisk		
321	_(TRANS)_	Obelisk		
322	_(TRANS)_	Obelisk		
323	_(TRANS)_	teacher		
324	_(TRANS)_	teacher		
325	_(TRANS)_	teacher		
326	_(TRANS)_	teacher		
327	_(TRANS)_	teacher		
328	_(TRANS)_	teacher		
329	_(TRANS)_	teacher		
330	_(TRANS)_	teacher		
331	_(TRANS)_	teacher		
332	_(TRANS)_	teacher		
333	_(TRANS)_	teacher		
334	_(TRANS)_	teacher		
335	_(TRANS)_	teacher		
336	_(TRANS)_	teacher		
337	_(TRANS)_	teacher		
338	_(TRANS)_	teacher		
339	_(TRANS)_	teacher		
340	_(TRANS)_	teacher		
341	_(TRANS)_	teacher		
342	_(TRANS)_	teacher		
343	_(TRANS)_	teacher		
344	_(TRANS)_	teacher		
345	_(TRANS)_	teacher		
346	_(TRANS)_	teacher		
347	_(TRANS)_	teacher		
348	_(TRANS)_	teacher		
349	_(TRANS)_	teacher		
350	_(TRANS)_	teacher		
351	_(TRANS)_	teacher		
352	_(TRANS)_	teacher		
353	_(TRANS)_	teacher		
354	_(TRANS)_	teacher		
355	_(TRANS)_	teacher		
356	_(TRANS)_	teacher		
357	_(TRANS)_	teacher		
358	_(TRANS)_	teacher		
359	_(TRANS)_	teacher		
360	_(TRANS)_	teacher		
361	_(TRANS)_	teacher		
362	_(TRANS)_	teacher		
363	_(TRANS)_	teacher		
364	_(TRANS)_	teacher		
365	_(TRANS)_	teacher		
366	_(TRANS)_	teacher		
367	_(TRANS)_	teacher		
368	_(TRANS)_	teacher		
369	_(TRANS)_	teacher		
370	_(TRANS)_	teacher		
371	_(TRANS)_	teacher		
372	_(TRANS)_	teacher		
373	_(TRANS)_	teacher		
374	_(TRANS)_	teacher		
375	_(TRANS)_	teacher		
376	_(TRANS)_	teacher		
377	_(TRANS)_	teacher		
378	_(TRANS)_	teacher		
379	_(TRANS)_	teacher		
380	_(TRANS)_	teacher		
381	_(TRANS)_	teacher		
382	_(TRANS)_	teacher		
383	_(TRANS)_	teacher		
384	_(TRANS)_	teacher		
385	_(TRANS)_	teacher		
386	_(TRANS)_	teacher		
387	_(TRANS)_	teacher		
388	_(TRANS)_	teacher		
389	_(TRANS)_	teacher		
390	_(TRANS)_	teacher		
391	_(TRANS)_	Stat		
392	_(TRANS)_	Stat		
393	_(TRANS)_	Stat		
394	_(TRANS)_	Award		
395	_(TRANS)_	Award		
396	_(TRANS)_	Award		
397	_(TRANS)_	Award		
398	_(TRANS)_	Award		
399	_(TRANS)_	Stat		
400		misc		
401	_(TRANS)_	Stat		
402	_(TRANS)_	Stat		
403	_(TRANS)_	Stat		
404	_(TRANS)_	Stat		
405	_(TRANS)_	Stat		
406	_(TRANS)_	Stat		
407	_(TRANS)_	Stat		
408	_(TRANS)_	Stat		
409	_(TRANS)_	Stat		
410	_(TRANS)_	Stat		
411	_(TRANS)_	Stat		
412	_(TRANS)_	Stat		
413	_(TRANS)_	Stat		
414	_(TRANS)_	Stat		
415	_(TRANS)_	Stat		
416	_(TRANS)_	Stat		
417	_(TRANS)_	Stat		
418	_(TRANS)_	Stat		
419	_(TRANS)_	Stat		
420	_(TRANS)_	Stat		
421	_(TRANS)_	Stat		
422	_(TRANS)_	Stat		
423	_(TRANS)_	Stat		
424	_(TRANS)_	Stat		
425	_(TRANS)_	Stat		
426	_(TRANS)_	Stat		
427	_(TRANS)_	Stat		
428	_(TRANS)_	Stat		
429	_(TRANS)_	Stat		
430	_(TRANS)_	Stat		
431	_(TRANS)_	Stat		
432	_(TRANS)_	Stat		
433	_(TRANS)_	Stat		
434	_(TRANS)_	Stat		
435	_(TRANS)_	Stat		
436	_(TRANS)_	Stat		
437	_(TRANS)_	Stat		
438	_(TRANS)_	Stat		
439	_(TRANS)_	misc		
440	_(TRANS)_	Stat		
441	_(TRANS)_	Stat		
442	_(TRANS)_	obelisk		
443	_(TRANS)_	obelisk		
444	_(TRANS)_	obelisk		
445	_(TRANS)_	obelisk		
446	_(TRANS)_	obelisk		
447	_(TRANS)_	obelisk		
448	_(TRANS)_	obelisk		
449	_(TRANS)_	obelisk		
450	_(TRANS)_	obelisk		
451	_(TRANS)_	obelisk		
452	_(TRANS)_	obelisk		
453	_(TRANS)_	obelisk		
454	_(TRANS)_	obelisk		
455	_(TRANS)_	obelisk		
456	_(TRANS)_	obelisk		
457	_(TRANS)_	misc		
458	_(TRANS)_	misc		
459	_(TRANS)_	misc		
460	_(TRANS)_	misc		
461	_(TRANS)_	misc		
462	_(TRANS)_	misc		
463	_(TRANS)_	misc		
464	_(TRANS)_	misc		
465	_(TRANS)_	misc		
466	_(TRANS)_	misc		
467	_(TRANS)_	misc		
468	_(TRANS)_	misc		
469	_(TRANS)_	misc		
470	_(TRANS)_	misc		
471	_(TRANS)_	seer		
472	_(TRANS)_	seer		
473	_(TRANS)_	seer		
474	_(TRANS)_	seer		
475	_(TRANS)_	seer		
476	_(TRANS)_	seer		
477	_(TRANS)_	seer		
478	_(TRANS)_	seer		
479	_(TRANS)_	seer		
480	_(TRANS)_	misc		
481	_(TRANS)_	misc		
482	_(TRANS)_	misc		
483	_(TRANS)_	misc		
484	_(TRANS)_	misc		
485	_(TRANS)_	misc		
486	_(TRANS)_	misc		
487	_(TRANS)_	misc		
488	_(TRANS)_	misc		
489	_(TRANS)_	misc		
490	_(TRANS)_	misc		
491	_(TRANS)_	misc		
492	_(TRANS)_	misc		
493	_(TRANS)_	Misc		
494	_(TRANS)_	Misc		
495	_(TRANS)_	Misc		
496	_(TRANS)_	Misc		
497	_(TRANS)_	Misc		
498	_(TRANS)_	Misc		
499	_(TRANS)_	Misc		
500	_(TRANS)_	Misc		
501	_(TRANS)_	Misc		
502	_(TRANS)_	Misc		
503	_(TRANS)_	Misc		
504	_(TRANS)_	Misc		
505	_(TRANS)_	Misc		
506	_(TRANS)_	Misc		
507	_(TRANS)_	Misc		
508	_(TRANS)_	Misc		
509	_(TRANS)_	Misc		
510	_(TRANS)_	Misc		
511	_(TRANS)_	Misc		
512	_(TRANS)_	Misc		
513	_(TRANS)_	Misc		
514	_(TRANS)_	Misc		
515	_(TRANS)_	Misc		
516	_(TRANS)_	Misc		
517	_(TRANS)_	Misc		
518	_(TRANS)_	Misc		
519	_(TRANS)_	Misc		
520	_(TRANS)_	Misc		
521	_(TRANS)_	Misc		
522	_(TRANS)_	Misc		
523	_(TRANS)_	Misc		
524	_(TRANS)_	Misc		
525	_(TRANS)_	Misc		
526	_(TRANS)_	Misc		
527	_(TRANS)_	Misc		
528	_(TRANS)_	Misc		
529	_(TRANS)_	Misc		
530	_(TRANS)_	Misc		
531	_(TRANS)_	Misc		
532	_(TRANS)_	Misc		
533	_(TRANS)_	Misc		
534	_(TRANS)_	Misc		
535	_(TRANS)_	Misc		
536	_(TRANS)_	Misc		
537	_(TRANS)_	Misc		
538	_(TRANS)_	Misc		
539	_(TRANS)_	Misc		
540	_(TRANS)_	Misc		
541	_(TRANS)_	Misc		
542	_(TRANS)_	Misc		
543	_(TRANS)_	Misc		
544	_(TRANS)_	Misc		
545	_(TRANS)_	Misc		
546	_(TRANS)_	Misc		
547	_(TRANS)_	Misc		
548	_(TRANS)_	Misc		
549	_(TRANS)_	Misc		
550	_(TRANS)_	Misc		
551	_(TRANS)_	Misc		
552	_(TRANS)_	Misc		
553	_(TRANS)_	Misc		
554	_(TRANS)_	Misc		
555	_(TRANS)_	Misc		
556	_(TRANS)_	Misc		
557	_(TRANS)_	Misc		
558	_(TRANS)_	Misc		
559	_(TRANS)_	Misc		
560	_(TRANS)_	Misc		
561	_(TRANS)_	Misc		
562	_(TRANS)_	Misc		
563	_(TRANS)_	Misc		
564	_(TRANS)_	Misc		
565	_(TRANS)_	Misc		
566	_(TRANS)_	Misc		
567	_(TRANS)_	Misc		
568	_(TRANS)_	Misc		
569	_(TRANS)_	Misc		
570	_(TRANS)_	Misc		
571	_(TRANS)_	Misc		
572	_(TRANS)_	Misc		
573	_(TRANS)_	Misc		
574	_(TRANS)_	Misc		
575	_(TRANS)_	Misc		
576	_(TRANS)_	Misc		
577	_(TRANS)_	Misc		
578	_(TRANS)_	Misc		
579	_(TRANS)_	Misc		
580	_(TRANS)_	Misc		
581	_(TRANS)_	Misc		
582	_(TRANS)_	Misc		
583	_(TRANS)_	Misc		
584	_(TRANS)_	Misc		
585	_(TRANS)_	Misc		
586	_(TRANS)_	Misc		
587	_(TRANS)_	Misc		
588	_(TRANS)_	Misc		
589	_(TRANS)_	Misc		
590	_(TRANS)_	Misc		
591	_(TRANS)_	Misc		
592	_(TRANS)_	Misc		
593	_(TRANS)_	Misc		
594	_(TRANS)_	Misc		
595	_(TRANS)_	Misc		
596	_(TRANS)_	Misc		
597	_(TRANS)_	Misc		
598	_(TRANS)_	Misc		
599	_(TRANS)_	Misc		
600	_(TRANS)_	Misc		
601	_(TRANS)_	Misc		
602	_(TRANS)_	Misc		
603	_(TRANS)_	Misc		
604	_(TRANS)_	Misc		
605	_(TRANS)_	Misc		
606	_(TRANS)_	Misc		
607	_(TRANS)_	Misc		
608	_(TRANS)_	Misc		
609	_(TRANS)_	Misc		
610	_(TRANS)_	Misc		
611	_(TRANS)_	Misc		
612	_(TRANS)_	Misc		
613	_(TRANS)_	Misc		
614	_(TRANS)_	Misc		
615	_(TRANS)_	Misc		
616	_(TRANS)_	Misc		
617	_(TRANS)_	Misc		
618	_(TRANS)_	Misc		
619	_(TRANS)_	Misc		
620	_(TRANS)_	Misc		
621	_(TRANS)_	Misc		
622	_(TRANS)_	Misc		
623	_(TRANS)_	Misc		
624	_(TRANS)_	Misc		
625	_(TRANS)_	Misc		
626	_(TRANS)_	Misc		
627	_(TRANS)_	Misc		
628	_(TRANS)_	Misc		
629	_(TRANS)_	Misc		
630	_(TRANS)_	Misc		
631	_(TRANS)_	Misc		
632	_(TRANS)_	Misc		
633	_(TRANS)_	Misc		
634	_(TRANS)_	Misc		
635	_(TRANS)_	Misc		
636	_(TRANS)_	Misc		
637	_(TRANS)_	Misc		
638	_(TRANS)_	Misc		
639	_(TRANS)_	Misc		
640	_(TRANS)_	Misc		
641	_(TRANS)_	Misc		
642	_(TRANS)_	Misc		
643	_(TRANS)_	Misc		
644	_(TRANS)_	Misc		
645	_(TRANS)_	Misc		
646	_(TRANS)_	Misc		
647	_(TRANS)_	Misc		
648	_(TRANS)_	Misc		
649	_(TRANS)_	Misc		
650	_(TRANS)_	Misc		
651	_(TRANS)_	Misc		
652	_(TRANS)_	Misc		
653	_(TRANS)_	Misc		
654	_(TRANS)_	Misc		
655	_(TRANS)_	Misc		
656	_(TRANS)_	Misc		
657	_(TRANS)_	Misc		
658	_(TRANS)_	Misc		
659	_(TRANS)_	Misc		
660	_(TRANS)_	Misc		
661	_(TRANS)_	Misc		
662	_(TRANS)_	Misc		
663	_(TRANS)_	Misc		
664	_(TRANS)_	Misc		
665	_(TRANS)_	Misc		
666	_(TRANS)_	Misc		
667	_(TRANS)_	Misc		
668	_(TRANS)_	Misc		
669	_(TRANS)_	Misc		
670	_(TRANS)_	Misc		
671	_(TRANS)_	Misc		
672	_(TRANS)_	Misc		
673	_(TRANS)_	Misc		
674	_(TRANS)_	Misc		
675	_(TRANS)_	potion		
676	_(TRANS)_	potion		
677	_(TRANS)_	potion		
678	_(TRANS)_	potion		
679	_(TRANS)_	potion		
680	_(TRANS)_	potion		
681	_(TRANS)_	potion		
682	_(TRANS)_	potion		
683	_(TRANS)_	potion		
684	_(TRANS)_	potion		
685	_(TRANS)_	potion		
686	_(TRANS)_	potion		
687	_(TRANS)_	potion		
688	_(TRANS)_	potion		
689	_(TRANS)_	potion		
690	_(TRANS)_	potion		
691	_(TRANS)_	potion		
692	_(TRANS)_	potion		
693	_(TRANS)_	potion		
694	_(TRANS)_	potion		
695	_(TRANS)_	potion		
696	0	Misc		
