Id	Name	NotIdentifiedName 	Notes
22	Crystal Dagger	Dagger	"These daggers are often carried by members of the Necromancers' Guild. The crystals used for the blades are found in the Shadowspire mountains. They are incredibly sharp, but have a tendency to shatter."
23	Merchantman's Dagger	Dagger	This dagger is a typical example of those produced by the weaponsmiths of Alvar. It is made of hardened steel and has excellent balance.
24	Master's Dagger	Dagger	"Daggers of this quality are rare indeed. Made of erudine and rare woods, finished in gold, and set with a sizable ruby, this would be a rich man's extravagance if it were not also so effective a weapon."
25	Fanged Blade	Dagger	The grip on this blade has clearly been rewrapped many times. It is said that such blades were used by the first Vampires who appeared millennia before the Silence. Could this possibly be one of those ancient weapons?
26	Long Dagger	Long Dagger	"With a blade in length between sword and dagger, these weapons are meant for the knife fighter who desires a bit of extra reach. This particular weapon is of mediocre workmanship in soft steel."
27	Alvarian Poignard	Long Dagger	"At many social functions in Alvar, it is deemed inappropriate to carry a sword. It is common for Elven warriors to carry a smaller blade in case things become uncivil."
28	Regnan Fighting Knife	Long Dagger	"Not wishing to be encumbered by a shield, many Regnan pirate raiders fight with a cutlass in one hand and one of these shorter blades in the other."
29	Twilight Kris	Long Dagger	This wavy bladed long dagger of the best quality steel is the product of the Twilight weaponsmiths. The bat wing guard set with a blood red ruby marks it as the weapon of a Vampire.
30	Dueling Long Dagger	Long Dagger	"While they present a united front to the rest of the world, there is much internal strife among the Vampires of Shadowspire. By custom, very serious differences are settled in battle using these deadly blades of exquisite craftwork."
31	Stone Axe	Axe	"Not much more than fire-hardened sticks lashed to sharp stones, these crude implements make for poor tools and weapons."
32	Battle Hatchet	Axe	"Often carried by mounted knights as a secondary arm, battle hatchets are preferred by some who carry them to the exclusion to any sword."
33	Battleaxe	Axe	These heavy axes are meant to be carried one-handed for use against both armored and unarmored foes.
34	Dwarven Battleaxe	Axe	"While the blacksmiths of the Jadamean Dark Dwarves are not as skilled as their Erathian counterparts, they still produce a product superior to most of what is otherwise available."
35	Minotaur Battleaxe	Axe	"Forged by the Minotaurs for their wars with the Ogres, these axes are forged of a secret alloy formula. Their edges are difficult to dull and even harder to sharpen."
36	Two-Handed Axe	Two-Handed Axe	"As much an implement for working wood as a weapon, this crude axe can still deliver a telling blow."
37	Footman's Axe	Two-Handed Axe	"Capable of splitting armor, these two-handed axes are a favorite among soldiers facing mounted knights."
38	Minotaur War Axe	Two-Handed Axe	These two-handed axes are commonly used by Minotaurs who have the strength necessary to handle their great weight.
39	Elite Minotaur Axe	Two-Handed Axe	"These axes of superior workmanship are issued only to members of The Blackened Horn, the elite warriors who guard Minotaur holy sites."
40	Minotaur Herdsman Axe	Two-Handed Axe	Minotaur herdsmen lead their troops into battle wielding these devastating war axes of superlative balance and workmanship.
41	Ogre Fighting Stick	Spear	"A fire-hardened and sharpened sapling studded with thorns, spears like these are used by Ogre troops for drill and basic combat training. "
42	Steel Spear	Spear	"Basic spears are found stockpiled in the armories of many races, and for good reason - they are effective and deadly weapons. This particular one is of Minotaur origin."
43	Elven Long Spear	Spear	The fine craftsmanship and balance of this alloy steel headed spear mark it as the work of the weaponsmiths of Alvar.
44	War Spear	Spear	"This spear is built for battle. Far to heavy to be wielded by the part-time militiaman, it is built for the professional warrior who prefers the spear to other weapons."
45	Dragon Harpoon	Spear	"The back-barbed stalt steel head of this weapon is designed to deal grievous damage to even the most ancient of dragons. Naturally, it is the spearfighter's choice for dispatching all foes."
46	Improvised Voulge	Halberd	This simple poleaxe appears to have been made by attaching the blade of a farm implement to a poorly crafted spear.
47	Halberd	Halberd	"A versatile weapon combining the qualities of an axe and a spear, the halberd is designed to perform in formation and individual close quarter fighting."
48	Beaked Halberd	Halberd	This improved halberd has a spiked blade opposite its axe face to provide both balance and a means of penetrating plate armor.
49	Minotaur Campaign Pole-axe	Halberd	"When the Minotaurs went to war with the Frost Giants of faraway Vori, their king Balthazar commissioned this polearm to arm his troops. He reportedly said, ""Since they will be gone so long, arm them with something versatile."""
50	Labyrinth Grapple	Halberd	Minotaurs have very little tolerance for intruders in their hallowed mazes. This fact is well evidenced in the attention paid to weapons constructed for the labyrinth guards.
51	Hayfork	Trident	"Though a common farming implement, this hayfork is of sturdy construction and could be an excellent, if improvised, weapon."
52	Infantry Fork	Trident	"A highly specialized piece of equipment intended to equalize contests between foot soldiers and mounted, armored opponents, these modified spears are effective if slightly clumsy weapons."
53	Lizardman Trident	Trident	The blacksmiths on the Dagger Wound Islands craft a wide variety of spearheads. This trident is one of their most unusual designs. The barbed tines cause extra damage during straight thrusting attacks.
54	Regnan Trident	Trident	No Regnan ship leaves port without a cache of tridents. Boarding attacks against their galleys seldom succeed against massed walls of their erudine tines.
55	Triton Trident	Trident	The first thing one notices when first handling this trident is that it is unusually cool to the touch. The second is a sense that the dragon turtle bone tines seem to seek vulnerabilities in their targets' defenses as if guided by an unseen hand.
56	Hunting Bow	Bow	These lightweight bows of simple construction are meant for bringing down small game animals - not for direct combat. 
57	Recurve Bow	Bow	Recurved bowstaves allows an archer to pull a heavier bow than they might otherwise be able to. Greater pull weight means greater arrow speed for increase range and damage.
58	Snakewood Bow	Bow	"The human soldiers of Enroth carry bows made from the native snakewood tree. The strong, flexible wood makes a sturdy bow."
59	Elven Warbow	Bow	"By laminating together layers of wood, steel, and bone the bowsmiths of Alvar have created a bow of perfect balance, strength and accuracy. The process consumes a lot of time, craft and expensive materials which explains the steep price these bows command."
60	Devilbone Bow	Bow	Dark Elven bowsmiths have discovered that unusual characteristics of the Kreegan spinal column make it the best material for heavy bowstaves. A clever arrangement of composite pulleys make it possible for those of less than superhuman strength to pull these mighty weapons.
61	Light Crossbow	Crossbow	"Because of their ease of use, crossbows like these are stockpiled in militia armories everywhere. Their low pull strength and mediocre workmanship however, make them only moderately effective."
62	Blood Drop Crossbow	Crossbow	"A light crossbow of good quality, these weapons feature a grooved table, basic sights and a smooth releasing nut."
63	Hunting Crossbow	Crossbow	"Built for use in the field, this medium crossbow is designed for hunting, but is equally effective as a battle weapon."
64	Caravaner's Crossbow	Crossbow	The Merchants of Alvar like to see their caravan guards well armed. This well-crafted heavy crossbow has a cranked drawing mechanism.
65	Regnan Crossbow	Crossbow	The pirates of Regna Island have spent centuries perfecting their crossbow design. The resulting weapon has a crystal lensed sight and bowstaves of pure stalt - which would make the bow impossible to cock if not for the crank draw of erudine alloy.
66	Mace	Mace	"A slight improvement over the common club, maces are better balanced, more durable, and deliver greater damage."
67	Flail	Flail	"Though evolved from the farm implement which shares its name, the flail's great reach and striking power make it a fearsome weapon."
68	Temple Mace	Mace	The sunray corona circling the head of this well made mace serves as a devotional declaration for Temple of the Sun clerics; it also greatly increases the damage of its blows. 
69	Reverend Sceptre	Mace	"As much a symbol of office as weapon, these finely crafted maces are carried by inner circle Sun Temple priests. Its highly decorated shaft belies the effectiveness of the gilded erudine-steel head."
70	Trollish War Mace	Mace	"While most races have concentrated on developing bladed weapons, the Trolls have always been content to refine the simple bludgeon. This brutal weapon forged as a single piece of stalt alloy is the finest example of their craft."
71	Sledgehammer	Hammer	"This hammer is more a construction tool than a weapon. Still, it could deliver a telling, if clumsy, blow."
72	Field Hammer	Hammer	This hammer was designed as secondary infantry arm designed to finish off armored opponents who have fallen to the ground.
73	Warhammer	Hammer	"An improved version of the field hammer, this weapon is heavier, better balanced and more durable. While it requires strength to wield, it is a terrible sight to armored and unarmored foes alike."
74	Sun Hammer	Hammer	"Clerics of the Sun are prohibited from using bladed weapons. That they carry such fine warhammers is the natural result of this restriction. As an added measure of devotion, a reverse image of their sun symbol is embossed on the striking face."
75	Trollish Maul	Hammer	It is necessary to handle this weapon to appreciate its perfect grip and balance. The hammer's head is carved from a single mineral crystal. Trollish weaponsmiths spend a lifetime mastering the shaping technique to produce a head that retains incredible hardness without being shatter prone.
76	Barbed Club	Club	"A wooden head and handle studded with short iron spikes, the simple club's best attribute is that it can be constructed from found materials."
77	Thornbark Club	Club	The Trolls of the Ironsand Desert make these clubs by fire-hardening the fantastically tough root wood of the thornbark tree.
78	Overlord's Club	Club	Troll tribal chieftains must win their position through trial by combat. The winner keeps his club as a symbol of office. The losers' clubs often find their way into the weapon marketplace.
79	Journey Staff	Staff	Many dangers face the Jadamean traveler. Even the least battle-minded carry some sort of weapon. These iron ended walking sticks are a common choice.
80	Orb Staff	Staff	This staff is topped with a head of polished turquoise to give it greater striking force.
81	Priestly Staff	Staff	"This finely decorated staff is the product of Lizardman craft. Wrapped with exotic leathers, and ended with a bronze footcap and striker, these staves are carried by Lizardman priests as a symbol of station."
82	Serpent Staff	Staff	"These rare staffs may appear unwieldy, but they are the product of sorcery. In combat they flex with animal intelligence to work in blows through their targets' defenses."
83	Bone Staff	Staff	"Fashioned from the spinal bones of wyverns and crowned by a dragon's lower spikeplate, these staves are the product of necromantic weaponcraft. It is unusual to find one of these deadly weapons that is not also carrying a powerful enchantment."
84	Leather Jerkin	Leather Armor	"This armor of thick, supple leather studded with brass offers minimal protection against blows."
85	Hardened Leather Vest	Leather Armor	This item of leather armor has been hardened to offer increased protection. It is comfortable and light though offers little coverage.
86	Caravaner's Leather	Leather Armor	"This is the type of armor worn most often by those guarding Alverian merchant caravans. A hardened and internally braced breastplate covers an undersuit of tough but supple hide, offering the wearer full body protection with a minimal hampering of movement."
87	Regnan Leather	Leather Armor	"Though seemingly too thin to offer solid protection, this armor of Regnan design holds a subtle enchantment which makes the leather nearly steel tough. Additionally, a secret process makes the suit resistant to salt water corrosion."
88	Alvarian Leather	Leather Armor	Leather armor sets of this quality are of the finest produced by the Alvarian Armorers' Guild. The stalt-alloy edged panels are virtually inpenetrable; their clever interlockings give the wearer excellent freedom of movement.
89	Rusty Mail Vest	Chainmail	This corroded ring mail vest has seen better days. It has been field repaired in many places and even has a large patch of thinner mail salvaged from a piece of chain cowl.
90	Steel Chainmail	Chainmail	Constructed of strong steel this is the type of armor worn by the rank and file foot soldiers of many armies.
91	Minotaur Chainmail	Chainmail	"Of a design originally created by the Minotaurs for their Vori campaigns, this type of chainmail, with its good coverage and fine construction, has proven popular among other races. Now the armorsmiths of Bathazar Lair construct it in sizes for any with ready gold to spend."
92	Siertal Chainmail	Chainmail	The Alvarian Dark Elves guard their siertal-alloy formula carefully. Chainmail made from this metal is both light and capable of turning the hardest blades.
93	Erudine Chainmail	Chainmail	"Another master product of the Alvarian Armorers' Guild, this hybrid suit of plate and mail is made of siertal-alloy finished erudine with an attention to craftsmanship worthy of the precious materials."
94	Rusty Breastplate	Plate Armor	This piece of plate armor salvaged from a larger suit is so corroded it is a question whether it is equipment for a warrior or junk for the scrap man.
95	Banded Plate	Plate Armor	"Bands of steel cover the mid-torso of this chain and plate chest armor. While lighter and simpler to construct than continuously formed plate, this armor offers less protection than heavier plate."
96	Minotaur Plate	Plate Armor	"An example of the work produced by the Minotaur armorers of Balthazar Lair, this plate armor provides excellent mid-section protection. The arms are left free in the Minotaur-style."
97	Dark Knight Plate	Plate Armor	"Though lined with felt and red velvet, and decorated with enamel and gilding, this armor is no showpiece. The siertal-alloy plates are light, but tough enough that they must have been worked with tools with erudine working faces."
98	Dragoning Plate	Plate Armor	"The technique for making plate armor of erudine sheets is not known on Jadame. In fact, it is only produced by the master armorer, Derrick Goreth of Erathia who spent a lifetime constructing his famed White Light Forgeworks."
99	Trollish Shield	Large Shield	"A simple wooden shield of Trollish make, the design is often copied by apprentice armorsmiths just learning their craft."
100	Thornbark Shield	Large Shield	"Made from thornbark tree heartwood and rimmed with iron, this shield is sturdy, if a bit heavy."
101	Regnan Tournament Shield	Large Shield	"Every ten moons, the Regnans hold a great festival which includes a tournament of arms. The noble class contestants spare no expense in the commissioning of shields that are light, but tough enough to shelter them from harm."
102	Veteran Shield	Large Shield	"In the Demon Wars of Erathia, the Humans found that only erudine armor was proof against the fiery attacks of their foes. Bit by bit, pieces of this armor - like this shield - have made their way to Jadame."
103	Dragon Hunter's Shield	Large Shield	"The town of Kriegspire in Enroth had a problem with Dragons. These shields were their answer. Magically bound layers of erudine, stalt-steel and hydra leather, make a nearly unbreakable material resistant to most Dragon breath weapons."
104	Wooden Buckler	Small Shield	This small shield is gripped in the off-weapon hand. The wielder is much dependent on agility to make use of its scant defensive coverage.
105	Caravaner's Small Shield	Small Shield	"Caravan guards traveling Merchant of Alvar trade routes must often cover long distances on foot. This shield, like the rest of their equipment is well made and lightweight."
106	Calvary Shield	Small Shield	"A favorite among mounted knights, these steel shields are strong enough to turn aside the points of pikemen."
107	Death Head Shield	Small Shield	The Necromancers' Guild likes to arm its undead armies well. Their elite infantry carry these erudine alloy shield of great strength.
108	Eldritch Shield	Small Shield	"There are only twelve of these shields in known existence. Their bodies are made of an alloy that appears to seethe with the color of coal fire. Their rims are made of another unknown metal that is soft enough to catch blades, but doesn't gouge or scratch."
109	Helm	Helm	This cap of soft iron and unhardened leather provides a small measure of protection from blows to the head.
110	Lizardman Helm	Helm	Iron and leather helms of this sort are produced by blacksmiths everywhere. This one is of Lizardman manufacture and sports genuine ram horns.
111	Full Helm	Helm	Steel helms of this design are commissioned in large numbers by the Merchants of Alvar who issue them to mounted caravan guards.
112	Battle Helm	Helm	This full helmet is of superior materials and workmanship. The structurally weaker areas around the eye and nose slits are reinforced with siertal.
113	Dragon Helm	Helm	The faceplate of this superior helmet hinges on nearly invisible seams so that when closed it provides a snug fit and full face coverage. Only the most well-aimed blows have a chance of penetrating through.
114	Cloth Hat	Hat	A loose fitting hat made of sturdy cloth.
115	Festival Hat	Hat	Hats decorated with cheap glass gems are worn by Regnans on festival occassions--of which they have many.
116	Merchantman's Hat	Hat	"This pleated cap of velvet, lined and edged with black rabbit fur is decorated with a small enameled medallion. "
117	Leather Belt	Belt	A simple belt of cured leather. It is decorated with iron studs and closes with a pinned hasp.
118	Sturdy Belt	Belt	A thick leather belt. The studs and buckle are made of brass.
119	Wyvern Leather Belt	Belt	Wyvern leather is very tough and difficult to obtain. It is prized by Shadowspire leathercrafters because it becomes black when tanned--a color favored by their vampire and necromancer clientele.
120	Steel Belt	Belt	This well crafted belt is made of enameled steel. It has two cleverly concealed side hinges and has a latching clasp in back.
121	Artificer's Belt	Belt	Finely crafted belts of dragon leather are made to hold enchantments. This one is worked in gold and circled by thin bands of siertal.
122	Traveler's Cloak	Cloak	This warm cloak of dyed wool also offers a small amount of protection from weapon attacks.
123	Moon Temple Cloak	Cloak	The blue dye used to color the glove leather cloaks worn by Moon Temple clerics is derived from the frond petal flowers which grow only in the Mount Nighon region of Erathia.
124	Alvar Cloak	Cloak	"Made in Alvar, cloaks of this quality are often seen on the shoulders of the more wealthy members of the Alvarian Merchant Guild."
125	Necromancer Cloak	Cloak	Clearly a cloak made for a practitioner of the dark arts. This fine cloak is worked with arcane designs embroidered in darkened silver thread.
126	Vampire Cloak	Cloak	"This high collared, jet black cloak of wyvern leather is lined in red velvet--a style much favored by the elder vampires of Shadowspire."
127	Leather Gloves	Gauntlets	These gloves of poorly cured leather are worn by workmen everywhere.
128	Troll Gauntlets	Gauntlets	These leather gloves of Trollish make are studded with iron spikes at the knuckles.
129	Steel Gauntlets	Gauntlets	"Made of hinged plates of steel, these gauntlets offer good protection, but have a tendency to pinch."
130	Minotaur Gauntlets	Gauntlets	Siertal-alloy makes these gauntlets light and tough. Superior workmanship make them comfortable and flexible.
131	Crusader's Gauntlets	Gauntlets	These gauntlets are master crafted from pure erudine marking them as the product of Derrick Goreth's White Light Forgeworks.
132	Walking Boots	Boots	"Built more for comfort than combat, these boots of soft leather offer good protection from mud and sharp stones, but are not meant to turn weapon blows."
133	Hardened Leather Boots	Boots	The leather of these boots has been stiffened for greater protection. They are thick soled and lined with a thin layer of softer leather.
134	Regnan Boots	Boots	These steel capped boots are commonly worn by Regnan warriors. The leather parts are treated to make them waterproof.
135	Alvarian Boots	Boots	"Made by the Alvarian Elves, these boots are internally reinforced by bands of siertal-alloy. Their soles are softer than most boots making them quieter stepping."
136	Dragonning Boots	Boots	"Dragon hunters require unusually hardy protective gear, their boots not excepting. These boots are constructed with erudine-alloy shells lined with wyvern leather."
137	Bronze Ring	Ring	A simple bauble of very little value.
138	Gold Ring	Ring	A ring of soft gold rendered with half-hearted craftsmanship as a means of conveniently carrying a small amount of wealth.
139	Pearl Ring	Ring	A silver ring set with a good quality pearl.
140	Gemstone Ring	Ring	This gold ring is decorated with a variety of tiny gems giving it a multicolored sparkle.
141	Amethyst Ring	Ring	A ring set with three amethysts. The largest is an excellent stone - richly and evenly purple with a perfect cut.
142	Necromatic Ring	Ring	"Though made of semi-precious silver, this ring is highly valuable because it is well suited to holding enchantments of medium power."
143	Ruby Ring	Ring	"This simply elegant ring is set with a single, oval ruby of high quality - pigeon blood red, perfectly cut and clear of imperfections."
144	Vampire's Ring	Ring	"Worn only by elder Vampires of great power, it is said that a part of their life force is invested in the ring's creation. This would certainly explain their ability to hold powerful enchantments."
145	Sun Opal Ring	Ring	Sun opals shine with a mild inner light. They are extremely rare and coveted by elemental magicians.
146	Focal Ring	Ring	"The ""stone"" of this platinum ring is actually a tiny interplanar portal which draws power from realms beyond. The strength limit of the enchantments such rings can hold is the skill and knowledge of the enchanter."
147	Brass Charm	Amulet	These stamp formed and lacquered baubles are cheap trinkets sold to pilgrims as keepsake mementos.
148	Jade Amulet	Amulet	A large polished jade stone decorates and adds value to this simple amulet.
149	Blood Talisman	Amulet	"Made by necromancers to hold dark magics, other sorcerers have recognized their worth for other uses."
150	Shadow Sect Medallion	Amulet	"Formed in white and yellow gold, inlaid with jade, and studded with peridots, these amulets are worn by members of the secret Shadow Sect hidden beneath their clothing."
151	Locus Amulet	Amulet	"The pinnacle of artificer tradecraft, these amulets wrought in platinum and set with a perfect sapphire can contain enchantments of nearly unimaginable potency."
152	Witch's Wand of Fire	Wand	"The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon."
153	Witch's Wand of Sparks	Wand	"The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon."
154	Witch's Wand of Poison	Wand	"The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon."
155	Witch's Wand of Stunning	Wand	"The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon."
156	Witch's Wand of Harming	Wand	"The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon."
157	Shaman's Wand of Light	Wand	"Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon."
158	Shaman's Wand of Ice	Wand	"Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon."
159	Shaman's Wand of Lashing	Wand	"Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon."
160	Shaman's Wand of Mind	Wand	"Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon."
161	Shaman's Wand of Swarms	Wand	"Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon."
162	Wizard Wand of Fireballs	Wand	"A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon."
163	Wizard Wand of Acid	Wand	"A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon."
164	Wizard Wand of Lightning	Wand	"A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon."
165	Wizard Wand of Blades	Wand	"A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon."
166	Wizard Wand of Berzerking	Wand	"A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon."
167	Serpent Wand of Blasting	Wand	"Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon."
168	Serpent Wand of the Fist	Wand	"Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon."
169	Serpent Wand of Rocks	Wand	"Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon."
170	Serpent Wand of Paralysis	Wand	"Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon."
171	Arcane Wand of Clouds	Wand	"Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon."
172	Necrotic Wand of Implosion	Wand	"A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon."
173	Necrotic Wand of Distortion	Wand	"A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon."
174	Necrotic Wand of Shrapnel	Wand	"A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon."
175	Necrotic Wand of Shrinking	Wand	"A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon."
176	Necrotic Wand of Incineration	Wand	"A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon."
177	Zircon	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
178	Iolite	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
179	Citrine	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
180	Amber	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
181	Amethyst	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
182	Topaz	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
183	Emerald	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
184	Sapphire	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
185	Ruby	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
186	Diamond	Gemstone	"A gem quality stone. It has no magical properties, so you might as well sell it."
187	Gold	Gold	Gold
188	Gold	Gold	Gold
189	Gold	Gold	Gold
190	Dimension door	Scroll	"A spell scroll.  (To cast this spell, pick the scroll up and right-click over a character's portrait in the inventory screen.)"
191	_misc191	0	
192	_misc192	0	
193	_misc193	0	
194	_misc194	0	
195	_misc195	0	
196	_misc196	0	
197	Gold	Gold	Gold
198	Gold	Gold	Gold
199	Gold	Gold	Gold
200	Widowsweep Berries	Reagent	"An ingredient with alchemical properties, widowsweep berries can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)"
201	Wolf's Eye	Reagent	"An ingredient with alchemical properties, wolf eyes can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)"
202	Phial of Gog Blood	Reagent	"An ingredient with alchemical properties, gog blood can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)"
203	Ruby	Reagent	"An ingredient with alchemical properties, rubies can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)"
204	Phoenix Feather	Reagent	"An ingredient with alchemical properties, phoenix feathers can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)"
205	Phima Root	Reagent	"An ingredient with alchemical properties, phima roots can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)"
206	Meteor Fragment	Reagent	"An ingredient with alchemical properties, meteor fragments can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)"
207	Will O' Wisp Heart	Reagent	"An ingredient with alchemical properties, will o' wisp hearts can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)"
208	Datura	Reagent	"An ingredient with alchemical properties, datura can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)"
209	Dragon Turtle Fang	Reagent	"An ingredient with alchemical properties, dragon turtle fangs can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)"
210	Poppy Pod	Reagent	"An ingredient with alchemical properties, poppy pods can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)"
211	Thornbark	Reagent	"An ingredient with alchemical properties, thornbark can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)"
212	Sulfur	Reagent	"An ingredient with alchemical properties, sulfur can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)"
213	Garnet	Reagent	"An ingredient with alchemical properties, garnets can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)"
214	Unicorn Horn	Reagent	"An ingredient with alchemical properties, unicorn horns can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)"
215	Mushroom	Reagent	"An ingredient with alchemical properties, mushrooms can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)"
216	Obsidian	Reagent	"An ingredient with alchemical properties, obsidian can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)"
217	Wasp Wing	Reagent	"An ingredient with alchemical properties, wasp wings can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)"
218	Mercury	Reagent	"An ingredient with alchemical properties, mercury can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)"
219	Philosopher's Stone	Reagent	"An ingredient with alchemical properties, philosopher's stones can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)"
