Skill	Description	Normal	Expert	Master	GrandMaster
Mind	心智魔法属于攻击魔法，包括关于心理状态的魔法，如诱惑、恐惧和心灵感应等。精于此道的专家和大师可以学会更多该系魔法。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
Body	肢体魔法属于治疗和增强体质的魔法。它可治疗疾病，也能治愈中毒。精于此道的专家和大师可以学会更多该系魔法。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
Light	光明魔法是游戏中威力最强的魔法之一，只有牧师和术士方能使用。你的队员在游戏开始时不能学习这种魔法，只能在探险途中逐渐掌握。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
Dark	暗黑魔法是游戏中最强大的魔法，只限于牧师和术士使用。一旦施放该魔法，后果不堪设想，它还会带来意想不到的负面效应。你的队员在游戏开始时不能学习这种魔法。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
Identify Item	物品和装备只有经鉴定后方能正确使用。如果你的技术等级足够高的话，只要在物品上点击鼠标右键就可对之自动鉴定。只有达到专家或大师等级才能正确鉴定物品。	可以鉴定物品	能力加倍	能力加两倍	100%鉴定成功
Merchant	经商术能使你在买卖物品时得到最合理的价格。	在买卖物品时得到最合理的价格	能力加倍	能力加两倍	以原价买卖物品
Repair	修补术能让你修补破损物品。技术越高，物品修补得越完美。达到专家或大师等级就可修补复杂物件和神器。只要在物品上点击鼠标右键即可自动修复。	可以修补破损物品	能力加倍	能力加两倍	100%修补成功
Bodybuilding	健身术可直接提高队员的生命值。它可提高该队员的基础等级。专家级可再把总值提高1倍，大师级可提高2倍。	提高队员的生命值	能力加倍	能力加两倍	能力加三倍
Meditation	冥想术可直接提高队员的魔法值，使他(她)的基础等级得到提高(术士4倍)。达到专家级可再把总值提高1倍，大师级提高2倍。	提高队员的魔法值	能力加倍	能力加两倍	能力加三倍
Perception	洞察术可以提高你的洞察力，易于发现陷井以免受其伤害，它还能使队员看见隐藏的财宝。达到专家和大师级就可躲避各类复杂的陷井。	发现隐藏的陷井和财宝	能力加倍	能力加两倍	100%成功
Diplomacy	交际术使你在与人打交道，例如行乞、行贿或威胁时游刃有余。手段越高明，你的声誉受此类行为影响越小。达到专家和大师级能分别使交际术提高一倍和两倍。	减少行乞、行贿或威胁等行为对声誉的影响	能力加倍	能力加两倍	此处为宗师级别介绍
Thievery	不用	此处为普通级别介绍	此处为专家级别介绍	此处为大师级别介绍	此处为宗师级别介绍
Disarm Traps	拆卸术可使你在接近陷井时自动排除险情。技术越高，成功拆除陷井的概率越大。专家和大师能分别使成功拆除陷井的概率提高一倍和两倍。	接近陷井时自动排除险情	能力加倍	能力加两倍	100%成功
Dodging	躲避术只有在你没有穿上铠甲或使用盾牌时才可生效。等级提高以后，该项技能可以提高你的防御等级。	提高防御等级	提高防御等级(两倍效果)	提高防御等级(三倍效果)	穿上皮甲时也能使用该技能
Unarmed	空手搏斗术是指空手搏击的能力，所以队员手持武器时该技能无效。等级提高以后，队员空手搏击的命中率会上升。	技能值可以增加攻击点数	技能值可以增加杀伤力	技能值可以增加攻击点数和杀伤力(两倍效果)	可以躲避攻击，概率等于技能值
Identify Monster	 怪物鉴定术可以让你掌握怪物的资料。等级越高，鉴定成功的概率越大，资料也越详细。 	掌握怪物的生命值和防御等级	掌握怪物的攻击方式和杀伤力	知道怪物能够使用的魔法	知道怪物的魔法防御力
Armsmaster	武器使用术可以提高队员使用所有武器的能力。它一开始可以减少恢复时间，等级提高以后可以提高攻击点数和杀伤力。	缩短恢复时间	技能值可以增加近程武器的攻击点数	技能值可以增加近程武器的杀伤力	技能值可以增加近程武器的攻击点数和杀伤力(两倍效果)
Stealing	偷窃术能让队员从店里以及人们身上偷东西。等级越高，成功的概率越大。不过，如果偷窃失败的话，你将会遇到麻烦。	可以进行偷窃	能力加倍	能力加两倍	能力加三倍
Alchemy	学会炼金术后，你的队员可以自己配制药剂，等级越高，配制出来的药剂越复杂。另外，它还能提高药剂的效力。	可以自己调配药剂	可以自己调配复合药剂	可以自己调配白药剂	可以自己调配黑药剂
Learning	学习术可直接增加队员的经验值。每点技术值将使经验值增加一个百分点，例如五点技术值使一百点经验值提高到一百零五点。专家可使点数提高一倍，大师使点数提高两倍。	增加所获得的经验值	能力加倍	能力加两倍	能力加三倍
