2D Events by Type ( NPC's present are from NPC database)																		Schedules		Other Exits		Questbit	Enter																																										
#	#	Type	Map	Picture	Name	Proprieter Name	Title	Picture	State	Rep	Per	Val	A	B	C	Notes:	Notes(2):	Open	Closed	Pic	Map	Restrictions	Text																																										
35	7	Magic Shop	7	24	奇幻魔法商店	波纳德	魔法师	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
36	8	Magic Shop	8	22	埃尔德斯的魔法商店	埃尔德斯	魔法师	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
37	9	Magic Shop	10	25	神秘宝物	拉丝诺	魔法师	0	0	0	0	3	1.5		21			18	6	0	0	0	0																																										
38	10	Magic Shop	39	23	精致宝物	多泽	魔法师	0	0	0	0	2.5	1.5		14			6	18	0	0	0	0																																										
39	11	Magic Shop	0	21	神圣之物	科比	魔法师	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
40	12	Magic Shop	0	21	神秘力量	独眼龙	魔法师	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
41	13	Magic Shop	0	21	神秘之页	赛伦特	魔法师	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
42	1	Alchemist	1	7	蓝瓶	凯斯瑞	炼金术士	0	0	0	0	2	1		7			6	18	0	0	0	0																																										
43	2	Alchemist	2	7	灵丹妙药	杰西卡	炼金术士	0	0	0	0	2	1		7			6	18	0	0	0	0																																										
44	3	Alchemist	3	7	梦幻之瓶	马格莉特	炼金术士	0	0	0	0	3	1		7			6	18	0	0	0	0																																										
45	4	Alchemist	4	12	神奇药剂	舒曼迪克	炼金术士	0	0	0	0	3	1		7			6	18	0	0	0	0																																										
46	5	Alchemist	5	8	黑色药瓶	阿什	炼金术士	0	0	0	0	4	1.5		14			18	6	0	0	0	0																																										
47	6	Alchemist	6	10	埃德蒙德的圣瓶	埃德蒙德	炼金术士	0	0	0	0	4	1.5		14			6	18	0	0	0	0																																										
48	7	Alchemist	7	10	忠诚法师	茱丽安	炼金术士	0	0	0	0	5	2		14			6	18	0	0	0	0																																										
49	8	Alchemist	8	8	地狱的诱惑	诺加德	炼金术士	0	0	0	0	5	2		14			18	6	0	0	0	0																																										
50	9	Alchemist	39	9	强力药剂	迪格	炼金术士	0	0	0	0	4	1		7			6	18	0	0	0	0																																										
51	10	Alchemist	21	7	魔法之瓶	塞恩德	炼金术士	0	0	0	0	4	1		7			6	18	0	0	0	0																																										
52	11	Alchemist	0	7	芳香之屋	卡西里恩	炼金术士	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
53	12	Alchemist	0	7	紧急援助	阿格塔	炼金术士	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
54	1	Stables	2	27	胜利驿站	克里斯迪	驿站主人	0	0	0	0	2	1					6	18	0	0	0	0																																										
55	2	Stables	3	27	皇家战马	亚瑟	驿站主人	0	0	0	0	3	1					6	18	0	0	0	0																																										
56	3	Stables	4	32	胡尔的种马	胡尔	驿站主人	0	0	0	0	3	1					6	18	0	0	0	0																																										
57	4	Stables	5	28	忠诚战马	杰斯帕	驿站主人	0	0	0	0	5	1					18	6	0	0	0	0																																										
58	5	Stables	6	30	钻石之旅	艾文	驿站主人	0	0	0	0	5	1					6	18	0	0	0	0																																										
59	6	Stables	13	27	神奇战马	威廉姆	驿站主人	0	0	0	0	10	1					6	18	0	0	0	0																																										
60	7	Stables	14	32	豪华马车	华伦	驿站主人	0	0	0	0	10	1					6	18	0	0	0	0																																										
61	8	Stables	0	27	Placeholder	利斯	驿站主人	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
62	9	Stables	0	27	Placeholder	范尔	驿站主人	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
63	1	Boats	1	19	马格莉特号	尼尔森	船长	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
64	2	Boats	3	19	凯瑟琳王后号	克利斯托芬	船长	0	0	0	0	2	1					6	18	0	0	0	0																																										
65	3	Boats	4	19	海上精灵号	哈斯莱	船长	0	0	0	0	2	1					6	18	0	0	0	0																																										
66	4	Boats	6	19	漂亮宝贝号	阿迪科	船长	0	0	0	0	5	1					6	18	0	0	0	0																																										
67	5	Boats	9	19	神圣之帆号	德克特	船长	0	0	0	0	10	1					6	18	0	0	0	0																																										
68	6	Boats	11	19	无敌号	杰米斯	船长	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
69	7	Boats	13	19	独角鲸号	李尔	船长	0	0	0	0	5	1					6	18	0	0	0	0																																										
70	8	Boats	14	19	追风号	迪因	船长	0	0	0	0	5	1					6	18	0	0	0	0																																										
71	9	Boats	9	19	迷雾号	麦克斯威尔	船长	0	0	0	0	10	1					6	18	0	0	0	0																																										
72	10	Boats	0	19	Placeholder	Placeholder	船长	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
73	11	Boats	0	19	Placeholder	Placeholder	船长	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
74	1	Temple	1	39	医师帐篷	劳瑞恩	医师	0	0	0	0	10	1					1	24	0	0	0	0																																										
75	2	Temple	2	193	维尔宁大教堂	林泽	医师	0	0	0	0	25	1					1	24	0	0	0	0																																										
76	3	Temple	3	193	抚慰之屋	泰伯特	医师	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
77	4	Temple	4	44	治疗之屋	乔纳森	医师	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
78	5	Temple	5	40	暗黑之地	阿莫汉	医师	0	0	0	0	40	1.5					13	12	0	0	0	0																																										
79	6	Temple	6	42	安祥之屋	雷吉纳尔德	医师	0	0	0	0	40	1.5					1	24	0	0	0	0																																										
80	7	Temple	7	42	治疗之屋	伯森	医师	0	0	0	0	50	2					1	24	0	0	0	0																																										
81	8	Temple	8	40	恢复之屋	泽文	医师	0	0	0	0	50	2					13	12	0	0	0	0																																										
82	9	Temple	10	43	祝福神庙	穆雷	医师	0	0	0	0	100	2.5					13	12	0	0	0	0																																										
83	10	Temple	13	193	泰塔利亚神庙	特蕾萨	医师	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
84	11	Temple	14	44	镇定之庙	西蒙	医师	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
85	12	Temple	39	41	石之庙	艾德文	医师	0	0	0	0	40	1.5					1	24	0	0	0	0																																										
86	13	Temple	21	193	避难所	路斯纳	医师	0	0	0	0	5	1					1	24	0	0	0	0																																										
87	14	Temple	0	39	神圣之地	贝尔	医师	0	0	0	0	1.5	1					1	24	0	0	0	0																																										
88	15	Temple	0	39	医师帐篷	希瑟	医师	0	0	0	0	1.5	1					1	24	0	0	0	0																																										
89	1	Training	1	51	海岛训练所	泰杰恩	导师	0	0	0	0	10	1				5	6	18	0	0	0	0																																										
90	2	Training	2	51	基本技能训练所	海德	导师	0	0	0	0	20	1				15	6	18	0	0	0	0																																										
91	3	Training	3	51	皇家训练所	泰比斯	导师	0	0	0	0	25	1				25	6	18	0	0	0	0																																										
92	4	Training	4	56	正义之地	科劳亚斯	导师	0	0	0	0	25	1				25	6	18	0	0	0	0																																										
93	5	Training	7	54	荣誉之地	内罗	导师	0	0	0	0	30	1.5				200	6	18	0	0	0	0																																										
94	6	Training	8	52	烈焰训练所	卡汉	导师	0	0	0	0	30	1.5				200	18	6	0	0	0	0																																										
95	7	Training	10	55	斗士训练所	阿根特斯	导师	0	0	0	0	50	2.5				No Max	18	6	0	0	0	0																																										
96	8	Training	13	51	勇者训练所	维斯帕	导师	0	0	0	0	40	2				50	6	18	0	0	0	0																																										
97	9	Training	14	56	埃里训练所	加斯廷	导师	0	0	0	0	80	2				50	6	18	0	0	0	0																																										
98	10	Training	39	53	战争学校	安格斯	导师	0	0	0	0	40	3				100	6	18	0	0	0	0																																										
99	11	Training	1	51	Placeholder	Constantine	导师	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
100	12	Training	1	51	Placeholder	Constantine	导师	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
101	13	Training	1	51	Placeholder	Constantine	导师	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
102	1	Town Hall	2	45	 哈蒙代尔市政厅	福瑞德里克	公务员	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
103	2	Town Hall	3	45	斯坦德威克市政厅	劳伦斯	公务员	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
104	3	Town Hall	4	50	匹尔邦特市政厅	斯丹芬尼	公务员	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
105	4	Town Hall	7	48	黎明之厅	阿卡勒斯	公务员	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
106	5	Town Hall	8	46	午夜之厅	科雷	公务员	0	0	0	0	1.5	1					18	6	0	0	0	0																																										
107	1	Tavern	1	33	双叶旅店	阿隆	旅店老板	0	0	0	0	6	1					5	2	0	0	0	0																																										
108	2	Tavern	2	33	迎宾旅店	科比	旅店老板	0	0	0	0	6	1					5	2	0	0	0	0																																										
109	3	Tavern	3	33	狮鹫旅店	安德鲁	旅店老板	0	0	0	0	12	1					5	2	0	0	0	0																																										
110	4	Tavern	4	38	翡翠旅店	艾米尔	旅店老板	0	0	0	0	12	1					5	2	0	0	0	0																																										
111	5	Tavern	5	34	怪物旅店	卡西亚	旅店老板	0	0	0	0	14	1					17	14	0	0	0	0																																										
112	6	Tavern	6	36	宾至如归旅店	比斯莫	旅店老板	0	0	0	0	14	1					5	2	0	0	0	0																																										
113	7	Tavern	7	36	美酒佳肴旅店	乔塞夫	旅店老板	0	0	0	0	30	1.5					5	2	0	0	0	0																																										
114	8	Tavern	8	34	旅行之家	保罗	旅店老板	0	0	0	0	30	1.5					17	14	0	0	0	0																																										
115	9	Tavern	9	33	法师旅店	温斯顿	旅店老板	0	0	0	0	6	1					5	2	0	0	0	0																																										
116	10	Tavern	10	37	幸运旅店	菲力	旅店老板	0	0	0	0	60	2					17	14	0	0	0	0																																										
117	11	Tavern	11	35	矿工旅店	欧弗恩	旅店老板	0	0	0	0	18	1					5	2	0	0	0	0																																										
118	12	Tavern	13	33	忠诚佣兵旅店	凯尔	旅店老板	0	0	0	0	20	1.5					5	2	0	0	0	0																																										
119	13	Tavern	14	38	勇士旅店	科诺	旅店老板	0	0	0	0	20	1.5					5	2	0	0	0	0																																										
120	14	Tavern	39	35	克劳格旅店	克劳格	旅店老板	0	0	0	0	20	1.5					5	2	0	0	0	0																																										
121	15	Tavern	0	33	骑士旅店	麦克	旅店老板	0	0	0	0	6	1					8	2	0	0	0	0																																										
122	16	Tavern	0	33	美景旅店	沙莫斯	旅店老板	0	0	0	0	6	1					8	2	0	0	0	0																																										
123	17	Tavern	0	33	 格里安旅店	 格里安	旅店老板	0	0	0	0	6	1					8	2	0	0	0	0																																										
124	18	Tavern	0	33	舒适旅店	艾拉雷	旅店老板	0	0	0	0	6	1					8	2	0	0	0	0																																										
125	19	Tavern	0	33	英雄旅店	豪伯特	旅店老板	0	0	0	0	6	1					8	2	0	0	0	0																																										
126	20	Tavern	0	33	优雅旅店	莫雷	旅店老板	0	0	0	0	6	1					8	2	0	0	0	0																																										
127	21	Tavern	0	33	天堂鸟旅店	泰里亚	旅店老板	0	0	0	0	6	1					8	2	0	0	0	0																																										
128	1	Bank	2	13	信托银行	达那尔	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
129	2	Bank	3	13	埃拉西亚银行	阿利斯	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
130	3	Bank	4	18	大自然银行	布里门	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
131	4	Bank	7	16	富贵银行	莱恩尔	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
132	5	Bank	8	14	富豪银行	格勒德	银行家	0	0	0	0	1	1					18	6	0	0	0	0																																										
133	6	Bank	13	13	投资银行	莎普	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
134	7	Bank	14	18	信誉银行	达夫	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
135	8	Bank	39	15	实业银行	莱奥特	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
136	9	Bank	0	13	Placeholder	Placeholder	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
137	10	Bank	0	13	Placeholder	Placeholder	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
138	11	Bank	0	13	Placeholder	Placeholder	银行家	0	0	0	0	1	1					6	18	0	0	0	0																																										
139	1	Fire Guild	1	67	初级火魔法行会	赛斯里克	行会首领	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
140	2	Fire Guild	2	67	中级火魔法行会	佳尼	行会首领	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
141	3	Fire Guild	4	67	高级火魔法行会	艾力恩	行会首领	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
142	4	Fire Guild	10	67	顶级火魔法行会	罗哈	行会首领	0	0	0	0	5	2.5		28			18	6	0	0	0	0																																										
143	1	Air Guild	1	63	初级空气魔法行会	珍尼	行会首领	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
144	2	Air Guild	2	63	中级空气魔法行会	帕妮	行会首领	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
145	3	Air Guild	4	63	高级空气魔法行会	布里斯	行会首领	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
146	4	Air Guild	7	63	顶级空气魔法行会	萨莫	行会首领	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
147	1	Water Guild	2	71	初级水魔法行会	拉伦	行会首领	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
148	2	Water Guild	4	71	中级水魔法行会	阿萨纳	行会首领	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
149	3	Water Guild	6	71	高级水魔法行会	伦德	行会首领	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
150	4	Water Guild	9	71	顶级水魔法行会	范奥伦	行会首领	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
151	1	Earth Guild	2	66	初级土系魔法行会	帕伯	行会首领	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
152	2	Earth Guild	4	66	中级土系魔法行会	赛力奥	行会首领	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
153	3	Earth Guild	39	66	高级土系魔法行会	艾里贺斯	行会首领	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
154	4	Earth Guild	8	66	顶级土系魔法行会	贝尔德	行会首领	0	0	0	0	5	2.5		28			18	6	0	0	0	0																																										
155	1	Spirit Guild	1	70	初级灵魂魔法行会	菲艾特	行会首领	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
156	2	Spirit Guild	2	70	中级灵魂魔法行会	维利	行会首领	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
157	3	Spirit Guild	5	70	高级灵魂魔法行会	斯莱尼特	行会首领	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
158	4	Spirit Guild	3	70	顶级灵魂魔法行会	莫兰德	行会首领	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
159	1	Mind Guild	2	69	初级心智魔法行会	莱里克	行会首领	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
160	2	Mind Guild	3	69	中级心智魔法行会	阿格塔	行会首领	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
161	3	Mind Guild	13	69	高级心智魔法行会	赛富林	行会首领	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
162	4	Mind Guild	14	69	顶级心智魔法行会	雷吉娜	行会首领	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
163	1	Body Guild	1	64	初级肢体魔法行会	斯坦迪斯	行会首领	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
164	2	Body Guild	2	64	中级肢体魔法行会	吉伦德	行会首领	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
165	3	Body Guild	3	64	高级肢体魔法行会	恩伯斯特	行会首领	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
166	4	Body Guild	14	64	顶级肢体魔法行会	阿拉密斯	行会首领	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
167	1	Light Guild	6	68	初级光明魔法行会	莱维斯	行会首领	0	0	0	0	4	2		14			6	18	0	0	0	0																																										
168	2	Light Guild	7	68	高级光明魔法行会	赛因	行会首领	0	0	0	0	5	2.5		14			6	18	0	0	0	0																																										
169	1	Dark Guild	5	65	初级暗黑魔法行会	普泽斯	行会首领	0	0	0	0	4	2		14			18	6	0	0	0	0																																										
170	2	Dark Guild	8	65	高级暗黑魔法行会	安格维斯	行会首领	0	0	0	0	5	2.5		14			18	6	0	0	0	0																																										
171	1	Self Guild	1	65	Placeholder	Placeholder	行会首领	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
172	2	Self Guild	1	65	Placeholder	Placeholder	行会首领	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
173	1	Castle Entrance	2	192	哈蒙代尔城堡	Placeholder		0	0	0	0	1.5				129		6	18	0	0	0	0																																										
174	2	Throne	1	168	宫殿	Placeholder		0	0	0	0	1.5				168				0	0	0	0																																										
175	1	Castle Entrance	3	133	格芬哈特城堡	Placeholder		0	0	0	0	1.5				133		6	18	0	0	0	0																																										
176	2	Throne	1	169	宫殿	Placeholder		0	0	0	0	1.5				169		6	18	0	0	0	0																																										
177	1	Castle Entrance	4	134	那文城堡	Placeholder		0	0	0	0	1.5				134		6	18	0	0	0	0																																										
178	2	Throne	1	170	宫殿	Placeholder		0	0	0	0	1.5				170		6	18	0	0	0	0																																										
179	1	Castle Entrance	8	144	黄昏城堡	Placeholder		0	0	0	0	1.5				1		6	18	0	0	0	0																																										
180	2	Throne	1	172	宫殿	Placeholder		0	0	0	0	1.5				172		18	6	0	0	0	0																																										
181	1	Castle Entrance	7	141	光辉城堡	Placeholder		0	0	0	0	1.5				1		6	18	0	0	0	0																																										
182	2	Throne	1	171	宫殿	Placeholder		0	0	0	0	1.5				171		6	18	0	0	0	0																																										
183	1	Castle Entrance	1	1	枯木城堡	Placeholder		0	0	0	0	1.5				1		6	18	0	0	0	0																																										
184	2	Throne	1	181	宫殿	Placeholder		0	0	0	0	1.5				Kastore		18	6	0	0	0	0																																										
185	1	Master Thief	1	173	盗贼之王			0	0	0	0	1.5				1				0	0	0	0																																										
186	1	Lord and Judge	1	72	马克汉姆的总部	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
187	1	Jail	1	167	监狱	Placeholder		0	0	0	0	1.5								0	0	0	0																																										
188	1	Seer Good	2	179	仲裁人	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
189	1	The Seer	2	178	仲裁人	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
190	1	Seer Evil	2	180	仲裁人	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
191	1	Dungeon Ent	1	127	月亮神庙	Placeholder		0	0	0	0	1.5						6	18	3	0	0	0																																										
192	2	Dungeon Ent	1	128	龙穴	Placeholder		0	0	0	0	1.5						6	18	3	0	0	0																																										
193	3	Dungeon Ent	2	129	哈蒙代尔城堡	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
194	4	Dungeon Ent	2	130	悬崖洞穴	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
195	5	Dungeon Ent	3	131	埃拉西亚下水道	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
196	6	Dungeon Ent	3	132	利文斯德要塞	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
197	7	Dungeon Ent	4	135	图拉利昂洞穴	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
198	8	Dungeon Ent	4	136	科兰克实验室	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
199	9	Dungeon Ent	5	137	地狱之厅	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
200	10	Dungeon Ent	5	138	6号了望塔	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
201	11	Dungeon Ent	6	139	魔法学院	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
202	12	Dungeon Ent	6	140	红色矮人矿井	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
203	13	Dungeon Ent	7	142	迷雾之墙	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
204	14	Dungeon Ent	7	143	光明神庙	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
205	15	Dungeon Ent	8	145	再生之地	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
206	16	Dungeon Ent	8	146	暗黑神庙	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
207	17	Dungeon Ent	9	147	月亮神庙	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
208	18	Dungeon Ent	9	148	太阳神庙	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
209	19	Dungeon Ent	10	149	桑达非斯山脉	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
210	20	Dungeon Ent	10	150	迷宫	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
211	21	Dungeon Ent	11	154	石头城	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
212	22	Dungeon Ent	12	156	星座之地	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
213	23	Dungeon Ent	13	160	雇佣兵行会	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
214	24	Dungeon Ent	13	161	潮水洞穴	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
215	25	Dungeon Ent	13	162	酒窖	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
216	26	Dungeon Ent	14	163	泰坦城堡	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
217	27	Dungeon Ent	14	164	羊鸣教神庙	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
218	28	Dungeon Ent	14	165	山下之厅	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
219	29	Dungeon Ent	15	166	林肯号	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
220	2	Castle Dun Ent	1	1	Placeholder	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
221	3	Castle Dun Ent	1	1	Placeholder	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
222	1	Pyramid Ent	1	1	Placeholder	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
223	1	Hive Ent	1	1	Placeholder	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
224	1	House 224	1	73	唐纳·理斯的住处			0	0	0	0	1.5																																																					
225	2	House 225	1	74	米尔·路基的住处			0	0	0	0	1.5																																																					
226	3	House 226	1	75	瓦兰达的住处			0	0	0	0	1.5																																																					
227	4	House P4	1	73	227号房			0	0	0	0	1.5																																																					
228	5	House P5	1	74	228号房			0	0	0	0	1.5																																																					
229	6	House P6	1	75	229号房			0	0	0	0	1.5																																																					
230	7	House P7	1	73	230号房			0	0	0	0	1.5																																																					
231	8	House P8	1	74	231号房			0	0	0	0	1.5																																																					
232	9	House P9	1	75	232号房			0	0	0	0	1.5																																																					
