#	Greeting 1	Greeting 2	Notes	Owner
1	我是马克汉姆爵士，本次寻宝大赛的主办者。	啊，你们回来了，情况进展得怎么样了？		Markham
35	千万不要到这个洞里去，那里面住着一条可怕的龙，到洞里去的人没一个能活着出来。要是你们实在想进去，点击洞门就行了。	千万不要到这个洞里去，那里面住着一条可怕的龙，到洞里去的人没一个能活着出来。要是你们实在想进去，点击洞门就行了。	Fire Dragon Cave	Docent cheat
36	这就是月亮神庙，现在里面尽是些蝙蝠老鼠，十分讨厌。不过说不定里面有比赛要找的物品，你们可以进去碰碰运气，点击洞门就行了。	这就是月亮神庙，现在里面尽是些蝙蝠老鼠，十分讨厌。不过说不定里面有比赛要找的物品，你们可以进去碰碰运气，点击洞门就行了。	Temple of the Moon	Docent cheat
37	我就是盗贼大师比尔·拉斯克，是这里至高无上的统治者。在我的王国里发生的所有事情无论大小我都知道得清清楚楚，很高兴能为你们效劳。	很高兴又见到你们了，有什么事要我帮忙？	Normal	William Lasker
38	我就是盗贼大师比尔·拉斯克，是这里至高无上的统治者。你们杀了我不少手下，我本来应该干掉你们，但这样会遭到你们的朋友的报复。好了，以前的事咱们就一笔勾销了，我们来做笔交易吧。你们想知道些什么，付些钱我就会告诉你们。	你们好，杀人犯，又想来探听什么消息？	Killed Thieves	William Lasker
39	你们好，能为你们效劳吗？	你们好，要为你们效劳吗？	Spy	William Lasker
40	你们好，我就是塞克尼特·恩德斯，亡灵巫师行会的杀手大师，很高兴见到你们，和我一起喝杯茶吧！ 	嗨，伙计，今天怎么有空来我这儿，还是先喝杯茶吧！	Tea no (normal)	Seknit Undershadow
41	嗨，伙计，最近过得不错吧，和我一起喝杯茶，怎么样？	嗨，伙计，最近过得不错吧，和我一起喝杯茶，怎么样？	Tea yes	Seknit Undershadow
42	嗨，你们好，我的杀手朋友，想上我这儿来喝茶，我随时欢迎！	嗨，你们好，我的杀手朋友，想上我这儿来喝茶，我随时欢迎！	Assassin	Seknit Undershadow
43	你们好，我叫查尔斯·科切特，是除强扶弱的勇士，很高兴能为你们效劳。	嗨，伙计，咱们又见面了，最近过得怎么样？	Normal	Sir Charles Quixote
44	咱们决不能容忍怪兽们再这样猖狂下去了，该是我们出手的时候了。	咱们决不能容忍怪兽们再这样猖狂下去了，该是我们出手的时候了。	Crusader Quest	Sir Charles Quixote
45	我们得尽快把埃莉斯营救出来。谁知道这伙恶魔还要怎么样折磨这个可怜的姑娘。别在这里说闲话了，让我们快点行动吧！	我们得尽快把埃莉斯营救出来。谁知道这伙恶魔还要怎么样折磨这个可怜的姑娘。别在这里说闲话了，让我们快点行动吧！	Hero Quest	Sir Charles Quixote
46	你们好，伟大的英雄！天下受苦受难的百姓们正盼着你们，快去吧！	你们好，伟大的英雄！天下受苦受难的百姓们正盼着你们，快去吧！	Hero	Sir Charles Quixote
47	你们好，你们看起来不象是威廉姆的人。	我要回家。	Good	Alice Hargreaves
48	你们好，我不认识你们。	你们想干什么？	Evil	Alice Hargreaves
49	你们好，我就是威廉姆·斯塔格，见到你们很高兴。	嗨，咱们又见面了，有什么事要我效劳？	Normal	William Setag
50	欢迎你们，魔头！我这里已经很久没人来过了。	欢迎你们，魔头！我这里已经很久没人来过了。	Villain	William Setag
51	你们好，我就是巴斯洛缪·海墨尔，这个神庙的主人，有什么要我效劳的吗？	很高兴又见到你们，有什么要我效劳的吗？	Normal	Bartholomew Hume
52	你们好，我的智者朋友，愿为你们效劳。	嗨，咱们又见面了，有什么事要我帮忙？	Master	Bartholomew Hume
53	你们好，我的朋友，我想你们已经找到那个坟墓了。	你们好，我的朋友，我想你们已经找到那个坟墓了。	Dungeon event greeting	Bartholomew Hume
54	我就是斯丹芬尼·山德，举世闻名的忍术大师。	嗨，咱们又见面了，有什么事我可以帮忙的？	Normal	Stephan Sand
55	你们现在是伟大的忍者了，我已经把忍术倾囊传授给你们了，希望你们能从中获益。	你们现在已经是伟大的忍者了，我已经把忍术倾囊传授给你们了，希望你们能从中获益。	Ninja	Stephan Sand
56	你们好，我就是马克大师，天下闻名的神箭手。在过去四年里我一直是埃里箭术大赛的冠军。现在就看你们的了！	我们又见面了，有什么事要我帮忙的？	Normal	Lawrence Mark
57	欢迎你们，我的朋友！你们终于找到完美之弓了，不过要赢得埃里的箭术大赛，那可不那么容易，冠军还将属于我！	欢迎你们，我的朋友！你们终于找到神弓了，不过要赢得埃里的箭术大赛，那可不那么容易，冠军还将属于我！	Master Archer	Lawrence Mark
58	欢迎你们，我的朋友。(斯尼克压低嗓音问)想要拜我为师吗？	你们没什么要紧事最好别来麻烦我！	Normal	Steagal Snick
59	啊，我的徒弟们，你们真是太出色了，好好用这张神弓为我争光吧！	啊，我的徒弟们，你们真是太出色了，好好用这张神弓为我争光吧！	Sniper	Steagal Snick
60	你们好！(立德手持利刃迎风虚斩)你们是来向我请教武艺的吗？(她行了个骑士礼)很乐意能帮助你们！	嗨，咱们又见面了！今天又想来学点什么？	Normal	Leda Rowan
61	嗨，我的朋友，你们如此英勇无畏，真不愧勇士的称号。我真为你们骄傲！	嗨，我的朋友，你们如此英勇无畏，真不愧勇士的称号。我真为你们骄傲！	Champion	Leda Rowan
62	啊，你们要是想学打架的本领，那可是找对人了。不过我传授的本领可能对你们中的剑客更有用。	伙计们，有想来学点新东西？	Normal	Frederick Og
63	(福瑞德里克把手一拦)谁都别想过去！(他眨巴一下眼睛)哦，是你们，那么就另当别论了，想来学点什么？	(福瑞德里克把手一拦)谁都别想过去！(他眨巴一下眼睛)哦，是你们，那么就另当别论了，想来学点什么？	Black Knight	Frederick Og
64	(里桑德脱帽鞠躬)你们好，我就是里桑德·斯维特，负责把猎手转职为游骑兵。你们要是有兴趣的话可以完成这项转职任务，好处可是很多的呦！	哈哈，哈蒙代尔城堡的主人又回来了。有什么事吗，我的朋友？	Normal	Lysander Sweet
65	你们为森林办了件大好事，我们得好好感谢你。有你的帮助，我们就放心了，愿天神能保佑你们！	你们为森林办了件大好事，我们得好好感谢你。有你的帮助，我们就放心了，愿天神能保佑你们！	Ranger Lord	Lysander Sweet
66	嗨，别磨磨蹭蹭的。古话说“一寸光阴一寸金，寸金难买寸光阴”。(埃伯登泽凑近你小声说)我可不喜欢和懒鬼打交道，你们不会是懒鬼吧！	嗨，时间就是生命，你们怎么还在这里瞎磨蹭？	Normal	Ebednezer Sour
67	啊，你们这么快就完成任务回来了，(埃伯登泽诡秘地一笑)真了不起。祝贺你们，现在可以成为赏金猎人了。	啊，你们这么快就完成任务回来了，(埃伯登泽诡秘地一笑)真了不起。祝贺你们，现在可以成为赏金猎人了。	Bounty Hunter	Ebednezer Sour
68	欢迎来到我的领地，勇士们。你们能找到这里真是不容易，多少人要来见我们，可成功者寥寥无几。不过老实告诉你，上我们这里来的人很少想回去的。	我的朋友，你们既然到了这里，干吗还要回去呢？和我们在一起多么逍遥自在，谁不想过我们神仙过的日子呢？在我们这里“山中一日，世已千年”，你们在这里可以好好享受人生，何必去外面受苦呢？	Normal	Faerie King
69	你们好，朋友。(老树低沉地说)有人偷走了古树之心，整个森林都为之震怒，这伙盗贼必将付出血的代价。	你们就是上次来找我的人吧，你们都长得一个模样，我可分不清楚。不过管不了这么多了，能和人说话总是件好事，先听听我编的歌谣吧。	Normal	Oldest Tree
70	听说有人要帮我们夺回古树之心，希望他们能信守诺言。如今的人类只知道索取，根本不知道什么是奉献。	你们就是上次来找我的人吧，你们都长得一个模样，我可分不清楚。不过管不了这么多了，能和人说话总是件好事，先听听我编的歌谣吧。	On the Ranger Lord quest	Oldest Tree
71	哦，你们就是以前找我说话的那些人，我认得你们。啊，你们把古树之心夺回来了，真了不起。这下森林该太平了，尊敬的英雄们，我们会永远记住你们的。	哦，你们就是以前找我说话的那些人，我认得你们。啊，你们把古树之心夺回来了，真了不起。这下森林该太平了，尊敬的英雄们，我们会永远记住你们的。	Finished the Heart quest	Oldest Tree
72	(高级神父迪万微笑地点着头)你们的到来使我这里蓬筚生辉，能为你们效劳吗，我的朋友？	(高级神父迪万微笑地点着头)你们的到来使我这里篷荜生辉，能为你们效劳吗，我的朋友？	Normal	Rebecca Devine
73	啊，神父们，你们的到来使我这里篷荜生辉。你们能加入我们的教派，真是荣幸！	啊，神父们，你们的到来使我这里篷荜生辉。你们能加入我们的教派，真是荣幸！	Priest of Light	Rebecca Devine
74	见到你们真荣幸，需要帮忙吗？	见到你们真荣幸，需要帮忙吗？	Normal	Daedalus Falk
75	欢迎你们，神父。祝贺你们成为暗黑神父。	你们好，教友。随时愿为你们效劳！	Priest of Dark	Daedalus Falk
76	我就是托马斯·格雷。愿为你们效劳。(格雷法师张开双手深深鞠躬)	(托马斯·格雷微微一笑)愿为你们效劳，我的朋友。	Normal	Thomas Grey
77	啊，你们已经是光明魔法师了，真了不起。祝贺你们！	很高兴能为你们效劳，我的朋友。	Archmage	Thomas Grey
78	(暗黑魔法师紧紧盯着你)谁敢惹我，就凭你们这些人，还不够格呢！快走吧！	为什么你们老是象苍蝇一样盯着我，快滚！(暗黑魔法师双眼通红地望着你们)	Normal	Halfgild Wynac
79	(暗黑魔法师的嗓音嘶哑而又颤抖)啊，你们终于成为暗黑魔法师了，你们将终生忍受非人的痛苦，好好修炼吧！	为什么你们老是象苍蝇一样盯着我，快滚！(暗黑魔法师双眼通红地望着你们)	Lich	Halfgild Wynac
80	现在我们已经是同道了，让我们并肩作战，闯荡天下吧！	能和你们做朋友真荣幸，有什么要帮忙的吗？	Normal	Anthony Green
81	如果你能成功的话，我将亲自为你主持转职的仪式。你的所作所为都是替天行道而已，不必有什么顾忌。	能和你们做朋友真荣幸，有什么要帮忙的吗？	Arch Druid	Anthony Green
82	啊，哈蒙代尔的领主们，是哪阵风把你们吹来了。我就是托尔·安文，尼根邪恶主教的领袖，很高兴见到你们。	啊，咱们又见面了，有什么事吗？	Normal	Tor Anwyn
83	祝贺你们成为邪恶主教，现在你们已经鲜有敌手了。能在这么短的时间里获得如此成就，真为你们高兴。	啊，咱们又见面了，有什么事吗？	Warlock	Tor Anwyn
84	悉听号令，我的主人。	悉听号令，我的主人。	Possible Golem explanation	Golem
85	啊，你们是哈蒙代尔城堡的新主人，我等了你们很久了。现在有一伙可恶的大耳怪霸占了城堡，死活不肯搬出来。而且他们还在这里鱼肉乡里，作威作福，简直无法无天。现在你们来了，这下我们有救了。我现在到镇子的客栈里等你们，等你们把大耳怪赶走了，可以上那里来找我。	那些大耳怪正在城堡里逍遥快活，该是教训他们的时候了。主人，你们现在是我们唯一的指望了，快去把他们赶跑吧！	Kill the goblins	Butler
86	你们好，我的主人！	你们好，我的主人！	Goblins are killed	Butler
87	哦，你们就是哈蒙代尔城堡的领主。我是国王贺斯法九世。你们上这儿来有什么事吗？	怎么又回来了。比赛开始的时间快到了，别来烦我了，大家都有正经事要干。	Normal	Dwarf King
88	欢迎你们，哈蒙代尔的领主，石头城愿为你效劳。	欢迎你们，哈蒙代尔的领主，石头城愿为你效劳。	Rescued all the dwarves	Dwarf King
89	每个人都复活了。美杜莎女妖逃跑了？	谢谢你们救了我，愿为你们效劳。	Normal	Dwarf Engineer
90	啊，救命啊！咦，你们是谁？	谢谢你们救了我，愿为你们效劳。	Normal	Dwarf Prisoner
91	(艾尔伦夫人幽雅地鞠躬)我就是艾尔伦·洛克维。埃拉西亚的代表。很高兴能和你见面。 	哦，是你们，我的领主，有什么事吗？	Normal	Ellen Rockway
92	你们好，我叫埃兰·汉尼，来自埃里的使者，很高兴能和你们合作。	有什么事吗，我的朋友？	Normal	Alain Hani
93	马克汉姆说你是哈蒙代尔的新主人，欢迎你的到来，我们感到非常荣幸。我们坐下来聊聊吧！	我现在很忙，不想受到别人的打扰。	Normal	Queen Catherine
94	啊，原来是你们。我已经知道你们把假的囚犯交给了埃拉西亚，这种背叛行为理应处死。可现在战争已经结束了，我们可以不计较你们以前的所作所为，但我们以后再也不会相信你们了。	我现在很忙，不想受到别人的打扰。	Betrayed me	Queen Catherine
95	听说哈蒙代尔有了新的领主，原来就是你们。看来我该把你们的名字记下来，好让你们遗臭万年。哈哈，我是开玩笑的。好吧，咱们言归正传，你们到我这儿来想干什么？	又是你们，来自哈蒙代尔的蠢货，有话快说吧，我可没功夫和你们耍嘴皮子。	Normal	ElfKing
96	你们还有胆子回来见我。我们已经发现了，正是你们提供了假的利文斯德要塞的地图，才使我们这次进攻一败涂地。(国王微微冷笑)我们损兵折将，死了那么多人，就全是因为你们。(国王继续狂笑，突然紧紧盯着你们)对你们这些人，就是千刀万剐都难解我心头之恨。可惜现在战争已经结束了，再对你们动手又要被埃拉西亚抓到把柄了。好了，这次就饶了你们的狗命，快滚吧，别让我再见到你们。	又是你们，来自哈蒙代尔的蠢货，有话快说吧，我可没功夫和你们耍嘴皮子。	Betrayed me	ElfKing
97	主人，埃拉西亚的使者托我把这封信转交给你。他说这封信十万火急，必须立即亲手交给你，快看看吧，上面写些什么？	主人，埃拉西亚的使者托我把这封信转交给你。他说这封信十万火急，必须立即亲手交给你，快看看吧，上面写些什么？	Artifact	Messenger
98	你们好，哈蒙代尔的领主们。我就是公证人格瑞。长年以来我一直负责调解交战双方，使他们能和平共处。这可是一件吃力不讨好的工作。即使我一直秉公断事，铁面无私，仍会遭到别人的怨恨，有多少人能够理解我呢？	啊，你们又回来了。现在情况非常紧急，埃拉西亚和埃里又准备磨刀动枪，兵戈相见了。你闻到这里的火药味了吗？	Normal	Arbiter
99	"你们好，哈蒙代尔的领主们。我就是怀特，来自布拉卡达的使者。你应该听说过布拉卡达这个地方，它是与埃拉西亚南部比邻的一个法师王国。现在你们可是至关重要的人物了。公证人格瑞遭到了不幸，你们必须另外找一个调解人来解决埃里和埃拉西亚之间的纠纷。

我想你们该到我们布拉卡达找费尔维泽，他应该是最合适的人选。如果你们能听从我的劝告的话，将大大有利于布拉卡达和哈蒙代尔两国关系的发展。"	"啊，我们又见面了，哈蒙代尔的领主们。我希望你们能认真考虑一下我的建议，挑选费尔维泽作为交战双方的调解人，形势的发展已经不允许我们再拖下去了，希望你们能尽快作出令人满意的决定。 

其实你们要做的只是到布拉卡达来要求费尔维泽为这次战争的调解人，把他请到哈蒙代尔和双方会晤就行了。我相信凭他的能力，会马上平息这场迫在眉睫的战争。"	Normal	Wizard Ambassador
100	"很高兴见到你们，哈蒙代尔的领主。我就是来自迪雅的使者斯克尔。你们应该听说过迪雅吧，它是与埃拉西亚西北部比邻的亡灵巫师王国。你们要是对我们至高无上的亡灵魔法有兴趣，我倒可以帮忙，哈哈。
现在公证人格瑞已经死了，你们必须尽快找一个继任者。我想你们应该来我们迪雅，有一个叫德冯·斯利恩的很合适担当这个职位，凭他的能力足以和解这场一触即发的战争。  

如果你们能听从我的劝告的话，将大大有利于迪雅和哈蒙代尔两国关系的发展，对我们大家都有好处，好好考虑一下吧。"	"啊，我的领主们，你们还没有作出决定，得快点了。要知道你们这次选择对你我双方都很重要。

 德冯·斯利恩就住在埃拉西亚西北面的迪雅。你们必须把他请到哈蒙代尔对交战双方进行调解，凭他的能力足以和解这场一触即发的战争。  
"	Normal	Necro Ambassador
101	"你们是哈蒙代尔的新主人吧。我就是 德冯·斯利恩。老实跟你说吧，我是亡灵巫师这一边的人。迪雅之所以要你选我当调解人，是因为埃拉西亚和埃里都是我们的敌人，我自然不会偏向任何一方的。而且办成此事，你就选择了黑暗之路，就是我们迪雅的朋友了。

亡灵巫师的名声虽然不好听，其实我们钻研的是天下至高无上的魔法。生与死，灵魂与肉体，这就是大自然生生不息的力量的源泉，是物质存在的最高形式。如此高深的魔法本质，自然不是常人所能理解的。虽然我们的魔法曲高和寡，但仍然值得为其奉献一生，甚至不惜用生命来捍卫它。
你们选择了我当调解人，也就成为我们亡灵巫师的朋友，可以与我们一起探索深奥的亡灵魔法。但要记住，你们一旦作出决定，是不容更改的。"	"还在考虑吗，你们现在到底还顾虑什么？

如今的战争持续时间越长对我们越有利。最好埃拉西亚和埃里两败俱伤，这样我们就可以渔翁得利了。

你要是想成为我们的盟友，就快按照我们说的去办。

最要紧的是，这样你就选择了黑暗之路，这可是一个不容更改，决定你们一生的抉择。"	Normal	Evil Arbiter
102	好了，既然你们已经选择我当调解人，快把我带到哈蒙代尔城堡公证人格瑞以前住的房子去吧，晚了就来不及了。	现在我们必须尽快赶到哈蒙代尔城堡公证人格瑞以前住的房子去。到了那里我就可以工作了。	Chosen	Evil Arbiter
103	你们这次帮了我们的大忙，迪雅的领袖，阿基巴德·艾恩法斯特想见见你们。你们可以从迪雅的地狱之厅进入地狱城，阿基巴德正在那里的黄昏城堡等你们呢，可别让他久等了。	啊，很高兴又见到你们，迪雅对你们的这次行动非常满意，有什么要我效劳的吗？	Installed	Evil Arbiter
104	"啊，你们终于来了，我已经等了很久了。我就是费尔维泽，尽管我是埃拉西亚的人，但在这场战争的调解中会秉公断事，铁面无私的。而且你们要明白，选择我当调解人就是选择了光明之路。

如果你们能选我，我会使交战双方尽快停止战斗，尽可能的减少伤亡。现在一切都掌握在你们的手中。
看来你们应该选择光明之路，成为我们的盟友，要记住，你们的这次决定是不容更改的。"	"还没有考虑好吗？选择事态发展已经非常紧急了，还磨蹭什么！

快点选择我当调解人吧，只有我能平息这场战争，这样天下百姓都会感激你的。
你们应该尽快选择光明之路，和我们布拉卡达结成朋友，不要去理睬迪雅，谁不想堂堂正正做个好人呢？

记住，最要紧的是你们必须选择光明之路。这个决定别无选择，不容更改。"	Normal	Good Arbiter
105	啊，你们终于选我当调解人了。好了，我们快走吧。我们必须尽快赶到哈蒙代尔公证人格瑞以前住的屋子，交战双方说好在那里碰头的。	现在我们必须尽快赶到哈蒙代尔城堡公证人格瑞以前住的房子去。到了那里我就可以展开工作，结束这场战争了。	Chosen	Good Arbiter
106	由于你们这次行动非常出色，法师之王格文·马格努斯想见见你们。你们现在快去布拉卡达，可以通过那里的远距离传送器到塞莱斯特，国王正在光辉城堡等你们呢，快去吧，别让他久等了。	啊，很高兴又见到你们，布拉卡达对你们的这次行动非常满意，有什么要我效劳的吗？	Installed	Good Arbiter
107	"啊，你们就是哈蒙代尔的新主人，很高兴见到你们。我已经听说你们的功绩了，确实很了不起。我想布拉卡达和哈蒙代尔之间将迎来一个和平友好的新时代。既然你们已经选择了我们光明之路，我们就是盟友了。但我的大臣们认为你们还必须完成法师之路的考验，不然他们还会心存忧虑，不知你们的本领到底怎样。

不过我对你们一直很有信心。放心吧，这个考验对你们来说应该是轻而易举的。什么时候准备好了，就可以来找我。不用着急，我不会催你们的。"	啊，你们又回来了，怎么样，准备好接受我的小小考验了吗？	Normal	Gavin Magnus
