Q Bit	Quest Note Text	Notes	Owner
140		Killed all Dire Wolves in Ravenshore	James
141		Dire Wolf Questbit for Riki	Riki
142	Deliver Fire Resistance Potions to the six southernmost houses of Rust.  Return to Hobert in Rust.		James
143		Delivered potion to house 1	James
144		Delivered potion to house 2	James
145		Delivered potion to house 3	James
146		Delivered potion to house 4	James
147		Delivered potion to house 5	James
148		Delivered potion to house 6	James
149		Southern houses of Rust all have Potions of Fire Resistance.	James
150	Find a Dragonbane Flower for Calindril in Garrote Gorge.	 	James
151		Found Dragonbane for Dragon Hunters	James
152	Find a Dragonbane Flower for the Balion Tearwing in the Garrote Gorge Dragon Caves.	 	James
153		Found Dragonbane for Dragons	James
154	Kill all the Dragons in the Garrote Gorge wilderness area. Return to Avalon in Garrote Gorge.	 	James
155		Killed all Dragons in Garrote Gorge Area	James
156		Questbit set for Riki	James
157	Kill all the Dragon Hunter's in the Garrote Gorge wilderness area. Return to Jerin Flame-eye in the Garrote Gorge Dragon Caves.	 	James
158		Killed all Dragon Hunters in Garrote Gorge wilderness area	James
159		Questbit set for Riki	James
160	Find the Legendary Drum of Victory. Return it to Zelim in Garrote Gorge.	 	James
161		Found the Drum of Victory	James
162	Find Iseldir's Puzzle Box for Benefice of Shadowspire.	 	James
163		Found  Iseldir's Puzzle Box	James
164	Find a Vial of Grave Dirt. Return it to Halien in Shadowspire.	 	James
165		Found Vial of Grave Dirt	James
166	Find the Bone of Doom for Tantilion of Shadowspire.	 	James
167		Found Bone of Doom	James
168		Found the treasure of the Dread Pirate Stanley!	James
169		Named Novice Bounty Hunter by the Guild of Bounty Hunters	James
170		Named Journeyman Bounty Hunter by the Guild of Bounty Hunters	James
171		Named Novice Master Hunter by the Guild of Bounty Hunters	James
172	Challenge the Arcomage Champion in each tavern of Jadame.	 	James
173	"Win a game of Arcomage in all eleven taverns, then return to Tonk Blueswan in Ravenshore."	 	James
174		Won all Arcomage games	James
175		Finished ArcoMage Quest - Get the treasure	James
176	Find a wheel of Frelandeau Cheese. Bring it to Asael Fromago in Alvar.		TomO
177	Find a log of Eldenbrie Cheese. Bring it to Asael Fromago in Alvar.		TomO
178	Find a ball of Dunduck Cheese. Bring it to Asael Fromago in Alvar.		TomO
179		Quests 176-178 done.	TomO
180		Ravenshore Town Portal	Riki
181		Alvar Town Portal	Riki
182		Twiling Town Portal	Riki
183		Hareckburg Town Portal	Riki
184		Balthazar Town Portal	Riki
185		Blood Drop Town Portal	Riki
186		Obelisk Area 1	Riki
187		Obelisk Area 2	Riki
188		Obelisk Area 3	Riki
189		Obelisk Area 4	Riki
190		Obelisk Area 5	Riki
191		Obelisk Area 6	Riki
192		Obelisk Area 7	Riki
193		Obelisk Area 8	Riki
194		Obelisk Area 13	Riki
195		Kill then unicorn King(only happens once)	Riki
196		Met the PC in the Abandoned temple in area one	Riki
197		Door to the passage under regna from the northern watch tower is unlocked	0
198		Door to the passage under regna from the southern watch tower is unlocked	0
199		Ebonest - I lost it	
200		Sword of Whistlebone - I lost it	
201		Axe of Baltahzar - I lost it	
202		Urn of Ashes - I lost it	
203		Nightshade Brazier - I lost it	
204		"Dragon Leader's Egg - I lost it, taken event g49, g64"	
205		Heart of Fire - I lost it	
206		Heart of Water - I lost it	
207		Heart of Air - I lost it	
208		Heart of Earth - I lost it	
209		Conflux Key - I lost it	
210		Lost Book of Kehl - I lost it	
211		Sarcophagus of Korbu - I lost it	
212		Power Stone - I lost it	
213		Power Stone - I lost it	
214		Pirate Leader's Key - I lost it	
215		Prison Key - I lost it	
216		Prison Key - I lost it	
217		Gem of Restoration - I lost it	
218		Prophesies of the Sun - I lost it	
219		Remains of Korbu - I lost it	
220		Ring of Keys - I lost it	
221		"Dadeross' Letter to Fellmoon - I lost it, taken event g 28"	
222		"Blackmail Letter - I lost it, taken event g 32"	
223		Took Sub to Regna	TomO
224		Cannonball of Dominion - I lost it	
225		dead questbit for internal use(bling)	Riki
226		game Init stuff in area one	Riki
227		Turn on Temple Bypass tele in area one	Riki
228		You have seen the Endgame movie	Riki
229		You have Pissed off the Necros	0
230		You have Pissed off the clerics	0
231		The were-rats are mad at you	0
232		Set when you talk to S'ton	0
233		You have Pissed of the Dragons	0
234		You have Pissed of the Dragon hunters	0
235		Have talked to Escaton	TomO
236	Find the treasure of the Dread Pirate Stanley.	 	James
237		You got a flute	0
238		Talked to Masul before the alliance	TomO
239		for riki	0
240		for riki	0
241		Got the heart of water	Riki
242		Got the heart of fire	Riki
243		Got the heart of air	Riki
244		Got the heart of earth	Riki
245		Annointed Herb Potion - I lost it!	 
246		Drum of Victory - I lost it!	 
247		Bone of Doom - I lost it!	 
248		Vial of Grave Dirt - I lost it!	 
249		Puzzle Box - I lost it!	 
250		Bought Item fruit	0
251		Bought Item pulp	0
252		Bought Item brandy	0
253		Bought heartwood	0
254		Bought amulets	0
255		Bought Sunfish	0
256		Bought Item Silver Dust of the Sea	0
257		Bought Item Forged Credit Vouchers	0
258		Bought Item Ground Wyvern Horn	0
259		Can't keep buying fruit	0
260		Can't keep buying pulp	0
261		Can't keep buying brandy	0
262		Can't keep buying heartwood	0
263		Can't keep buying amulets	0
264		Can't keep buying sinfish	0
265		Can't keep buying Silver Dust of the Sea	0
266		Can't keep buying Forged Credit Vouchers	0
267		Can't keep buying Ground Wyvern horn	0
268		Area 1 buoy	0
269		Area 1 buoy	0
270		Reagent spout area 1	0
271		Reagent spout area 1	0
272		Reagant spout area 2	0
273		Reagant spout area 2	0
274		Area 2 buoy	0
275		Reagant spout area 3	0
276		Reagant spout area 3	0
277		Reagant spout area 4	0
278		Reagant spout area 4	0
279		Reagant spout area 6	0
280		Reagant spout area 6	0
281		Reagant spout area 6	0
282		False Report - I lost it!	0
283		Eclipse - I lost it!	0
284	"Return to Fellmoon in Ravenshore and report your success in blackmailing the wererat smuggler, Arion Hunter."		TomO
285		Got the Tele scroll in area 13	Riki
286		Did the conflux key quest	Riki
287	0	0	0
288	0	0	0
289	0	0	0
290	0	0	0
291	0	0	0
292	0	0	0
293	0	0	0
294	0	0	0
295	0	0	0
296	0	0	0
297	0	0	0
298	0	0	0
299	0	0	0
300		TP Switch Jadam	
301		TP Buff Alvar	
302		TP Buff Ravenshore	
303		TP Buff Baltazar's Lair	
304		TP Buff Regna	
305		TP Buff Shadowspire	
306		TP Buff Daggerwound islands	
307		TP Switch Antagrich	
308		TP Switch Enroth	
309		TP Switch Global	
310		TP Buff Blackshire	
311		TP Buff Free Haven	
312		TP Buff Misty Islands	
313		TP Buff New Sorpigal	
314		TP Buff Silver Cove	
315		TP Buff Frozen Highlands	
316	0	0	0
317	0	0	0
318	0	0	0
319	0	0	0
320	0	0	0
321	0	0	0
322	0	0	0
323	0	0	0
324	0	0	0
325	0	0	0
326	0	0	0
327	0	0	0
328	0	0	0
329	0	0	0
330	0	0	0
331	0	0	0
332	0	0	0
333	0	0	0
334	0	0	0
335	0	0	0
336	0	0	0
337	0	0	0
338	0	0	0
339	0	0	0
340	0	0	0
341	0	0	0
342	0	0	0
343	0	0	0
344	0	0	0
345	0	0	0
346	0	0	0
347	0	0	0
348	0	0	0
349	0	0	0
350	0	0	0
351	0	0	0
352	0	0	0
353	0	0	0
354	0	0	0
355	0	0	0
356	0	0	0
357	0	0	0
358	0	0	0
359	0	0	0
360	0	0	0
361	0	0	0
362	0	0	0
363	0	0	0
364	0	0	0
365	0	0	0
366	0	0	0
367	0	0	0
368	0	0	0
369	0	0	0
370	0	0	0
371	0	0	0
372	0	0	0
373	0	0	0
374	0	0	0
375	0	0	0
376	0	0	0
377	0	0	0
378	0	0	0
379	0	0	0
380	0	0	0
381	0	0	0
382	0	0	0
383	0	0	0
384	0	0	0
385	0	0	0
386	0	0	0
387	0	0	0
388	0	0	0
389	0	0	0
390	0	0	0
391	0	0	0
392	0	0	0
393	0	0	0
394	0	0	0
395	0	0	0
396	0	0	0
397	0	0	0
398	0	0	0
399	0	0	0
400		Roster Character In Party 1	0
401		Roster Character In Party 2	0
402		Roster Character In Party 3	0
403		Roster Character In Party 4	0
404		Roster Character In Party 5	0
405		Roster Character In Party 6	0
406		Roster Character In Party 7	0
407		Roster Character In Party 8	0
408		Roster Character In Party 9	0
409		Roster Character In Party 10	0
410		Roster Character In Party 11	0
411		Roster Character In Party 12	0
412		Roster Character In Party 13	0
413		Roster Character In Party 14	0
414		Roster Character In Party 15	0
415		Roster Character In Party 16	0
416		Roster Character In Party 17	0
417		Roster Character In Party 18	0
418		Roster Character In Party 19	0
419		Roster Character In Party 20	0
420		Roster Character In Party 21	0
421		Roster Character In Party 22	0
422		Roster Character In Party 23	0
423		Roster Character In Party 24	0
424		Roster Character In Party 25	0
425		Roster Character In Party 26	0
426		Roster Character In Party 27	0
427		Roster Character In Party 28	0
428		Roster Character In Party 29	0
429		Roster Character In Party 30	0
430		Roster Character In Party 31	0
431		Roster Character In Party 32	0
432		Roster Character In Party 33	0
433		Roster Character In Party 34	0
434		Roster Character In Party 35	0
435		Roster Character In Party 36	0
436		Roster Character In Party 37	0
437		Roster Character In Party 38	0
438		Roster Character In Party 39	0
439		Roster Character In Party 40	0
440		Roster Character In Party 41	0
441		Roster Character In Party 42	0
442		Roster Character In Party 43	0
443		Roster Character In Party 44	0
444		Roster Character In Party 45	0
445		Roster Character In Party 46	0
446		Roster Character In Party 47	0
447		Roster Character In Party 48	0
448		Roster Character In Party 49	0
449		Roster Character In Party 50	0
450	0	0	0
451	0	0	0
452	0	0	0
453	0	0	0
454	0	0	0
455	0	0	0
456	0	0	0
457	0	0	0
458	0	0	0
459	0	0	0
460	0	0	0
461	0	0	0
462	0	0	0
463	0	0	0
464	0	0	0
465	0	0	0
466	0	0	0
467	0	0	0
468	0	0	0
469	0	0	0
470	0	0	0
471	0	0	0
472	0	0	0
473	0	0	0
474	0	0	0
475	0	0	0
476	0	0	0
477	0	0	0
478	0	0	0
479	0	0	0
480	0	0	0
481	0	0	0
482	0	0	0
483	0	0	0
484	0	0	0
485	0	0	0
486	0	0	0
487	0	0	0
488	0	0	0
489	0	0	0
490	0	0	0
491	0	0	0
492	0	0	0
493	0	0	0
494	0	0	0
495	0	0	0
496	0	0	0
497	0	0	0
498	0	0	0
499	0	0	0
500	0	0	0
501	0	0	0
502	0	0	0
503	0	0	0
504	0	0	0
505	0	0	0
506	0	0	0
507	0	0	0
508	0	0	0
509	0	0	0
510	0	0	0
511	0	0	0
512	0	0	0
513	Return a red potion to the Judge on Emerald Island.	0	Bryan
514	Return a seashell to the Judge on Emerald Island.	0	Bryan
515	Return a longbow to the Judge on Emerald Island.	0	Bryan
516	Return a floor tile to the Judge on Emerald Island.	0	Bryan
517	Return a musical instrument to the Judge on Emerald Island.	0	Bryan
518	Return a wealthy hat to the Judge on Emerald Island.	0	Bryan
519		Finished Scavenger Hunt	Bryan
520		Brought red potion	Bryan
521		Brought seashell	Bryan
522		Brought longbow	Bryan
523		Brought tile	Bryan
524		Brought instrument	Bryan
525		Brought hat	Bryan
526		Accepted Fireball wand from Malwick	Bryan
527		Able to use boat to get off Emerald Island	Bryan
528	Find the missing contestants on Emerald Island and bring back proof to Lord Markham.	0	Bryan
529		No more docent babble	Bryan
530	"Go to Lord Markham's estate in Tatalia, steal the vase there, and return it to William Lasker in the Erathian Sewers."	0	Bryan
531	"Go to Watchtower 6 in the Deyja Moors, and move the weight from the top of the tower to the bottom of the tower.  Then return to William Lasker in the Erathian Sewers."	0	Bryan
532		Watchtower 6.  Weight in the appropriate box.  Important for Global event 47 (Spy promotion)	
533	Go to the Celestial Court in Celeste and kill Lady Eleanor Carmine.  Return with proof to Seknit Undershadow in the Deyja Moors.	0	Bryan
534	"Kill Wromthrax the Heartless in his cave in Tatalia, then talk to Sir Charles Quixote."	0	Bryan
535		Killed dragon when on Crusader quest	Bryan
536	Rescue Alice Hargreaves from William's Tower in the Deyja Moors then talk to Sir Charles Quixote.	0	Bryan
537		Mini-dungeon Area 5.  Rescued/Captured Alice Hargreaves.	Bryan
538	Capture Alice Hargreaves from her residence in Castle Gryphonheart and return her to William's Tower in the Deyja Moors.	0	Bryan
539	Find the lost meditation spot in the Dwarven Barrows.	0	Bryan
540	"Go to the Temple of Baa in Avlee and kill the High Priest of Baa, then return to Bartholomew Hume in Harmondale."	0	Bryan
541	"Crack the code in the School of Sorcery in the Bracada Desert to reveal the location of the Tomb of Ashwar Nog'Nogoth.  Discover the tomb's location, enter it, and then return it to Stephan Sand in the Pit."	0	Bryan
542	Retrieve the Perfect Bow from the Titans' Stronghold in Avlee and return it to Lawrence Mark in Harmondale.	0	Bryan
543	Sabotage the lift in the Red Dwarf Mines in the Bracada Desert then return to Steagal Snick in Avlee.	0	Bryan
544	Retrieve the Perfect Bow from the Titans' Stronghold in Avlee and return it to Steagal Snick in Avlee.	0	Bryan
545	Win five arena challenges then return to Leda Rowan in the Bracada Desert.	0	Bryan
546	Destroy all the undead in the Haunted House in the Barrow Downs and return to Frederick Org in Erathia.	0	Bryan
547	Raid the Elven Treasury at Castle Navan in the Tularean Forest and return to Frederick Org in Erathia.	0	Bryan
548	Calm the trees in the Tularean Forest by speaking to the Oldest Tree then return to Lysander Sweet in the Bracada Desert.	0	Bryan
549	Solve the secret to the entrance of the Faerie Mound in Avlee and speak to the Faerie King.	0	Bryan
550	"Collect 10,000 gold worth of bounties from the Bounty Hunts in the town halls, then return to Ebednezer Sower in the Tularean Forest."	0	Bryan
551	Find the Heart of the Forest in the Mercenary Guild in Tatalia and return it to the Oldest Tree in the Tularean Forest.	0	Bryan
552		Talked to the Oldest Tree	Bryan
553		Solved Tree quest	Bryan
554	Purify the Altar of Evil in the Temple of the Moon on Evenmorn Isle then return to Rebecca Devine in Celeste.	0	Bryan
555	Find the lost pirate map in the Tidewater Caverns in Tatalia and return to Daedalus Falk in the Deyja Moors.	0	Bryan
556	Deface the Altar of Good in the Temple of the Sun on Evenmorn Isle then return to Daedalus Falk in the Deyja Moors.	0	Bryan
557	"Collect the six golem pieces and construct a complete golem, then return to Thomas Grey in the School of Sorcery."	0	Bryan
558		Player Castle.  Golem should appear in castle bit.	Bryan
559	Find the Book of Divine Intervention in the Breeding Zone in the Pit and return it to Thomas Grey in the School of Sorcery.	0	Bryan
560	Retrieve the lich jars from the Proving Grounds in Celeste and bring them back to Halfgild Wynac in the Pit.	0	Bryan
561	"Visit the three stonehenge monoliths in Tatalia, the Evenmorn Islands, and Avlee, then return to Anthony Green in the Tularean Forest."	0	Bryan
562		Visited all stonehenges	
563		Visited stonehenge 1 (area 9)	
564		Visited stonehenge 2 (area 13)	
565		Visited stonehenge 3 (area 14)	
566	"Retrieve the bones of the Dwarf King from the tunnels between Stone City and Nighon and place them in their proper resting place in the Barrow Downs, then return to Anthony Green in the Tularean Forest."	0	Bryan
567	Retrieve the dragon egg from the Dragon Cave in the Land of the Giants and return it to Tor Anwyn in Mount Nighon.	0	Bryan
568		Watchtower 6.  Taken the weight from the upper gatehouse.  Spy promo quest	
569		Solved the code puzzle.  Ninja promo quest	
570		Destroyed critter generator in dungeon.  Warrior Mage promo quest.	
571		Won five arena championships at [something] difficulty level.  Champion promo quest.	Bryan
572		Robbed Elven treasury.  Black Knight promo quest.	
573		Collected 10000 gold in bounties.  Bounty Hunter promo quest.	Bryan
574		Purified the Altar of Evil.  Priest of Light promo quest.	
575		Defaced the Altar of Good.  Priest of Dark promo quest.	
576		Activate boat to area 9.  Priest promo quest	
577		Barrow downs.   Returned the bones of the Dwarf King.  Arch Druid promo quest.	
578		Placed Golem torso	Bryan
579		Placed Golem left leg	Bryan
580		Placed Golem right leg	Bryan
581		Placed Golem left arm	Bryan
582		Placed Golem left leg	Bryan
583		Placed Golem head	Bryan
584		Placed Golem Abbey normal head	Bryan
585		Finished constructing Golem with Abbey normal head	Bryan
586		Finished constructing Golem with normal head	Bryan
587	"Clean out Castle Harmondale and return to the Butler in the tavern, On the House, in Harmondale."	Given by butler at the door to the player castle.	
588	Rescue the dwarves from the Red Dwarf Mines and return to the Dwarf King in Stone City in the Barrow Downs.		Bryan
589	Retrieve plans from Fort Riverstride and return them to Eldrich Parson in Castle Navan in the Tularean Forest.		Bryan
590	Rescue Loren Steel from the Tularean Caves in the Tularean Forest and return him to Queen Catherine.		Bryan
591	Retrieve Gryphonheart's Trumpet from the battle in the Tularean Forest and return it to whichever side you choose.		Bryan
592		Gave plans to elfking	Bryan
593		Gave Loren to Catherine	Bryan
594		Gave false plans to elfking (betray)	Bryan
595		Gave false Loren to Catherine (betray)	Bryan
596		Gave artifact to humans	Bryan
597		Gave artifact to elves	Bryan
598		Gave weapons to humans	Bryan
599		Gave weapons to elves	Bryan
600		Talked to Catherine	Bryan
601		Talked to elfking	Bryan
602		Told Catherine about fake prisoner	Bryan
603		Told Elfking about fake plans	Bryan
604		Fort Riverstride.  Opened chest with plans	
605		Tularean Caves.  Got Loren	
606	Give false Riverstride plans to Eldrich Parson in Castle Navan in the Tularean Forest.		Bryan
607	Return the Loren imposter to Queen Catherine in Castle Gryphonheart in Erathia.		Bryan
608		Built Castle to Level 3 (good)NO LONGER USED(Riki)	Bryan
609		Built Castle to Level 3 (evil)NO LONGER USED(Riki)	Bryan
610		Built Castle to Level 2 (rescued dwarf guy)	Bryan
