NPC Data (Special)			Group			Current	Profession	Greet	Join	Event	Event	Event	Event	Event	Event	
86	Schmecker	1369	0	0	0	561	0	0	0	195	196	197	0	0	0	(4) Royal Wasp Jelly Secondary Quest
87	Calindril	1301	0	0	0	566	0	0	0	213	0	0	0	0	0	(5) Dragon Hunters Dragonbane Secondary Quest
88	Castigeir	1164	0	0	0	615	0	0	0	238	239	240	0	0	0	(7) Potion of Pure Personallity Quest
89	Balion Tearwing	1040	0	0	0	574	0	0	0	216	0	0	0	0	0	(5) Dragons Dragonbane Secondary Quest
90	Avalon	1310	0	0	0	562	0	0	0	219	0	0	0	0	0	(5) Kill All Dragons Secondary quest
91	Jerin Flame-eye	1039	0	0	0	572	0	0	0	221	0	0	0	0	0	(5) Kill All Dragon Hunters Secondary Quest
92	Zelim	1304	0	0	0	540	0	0	0	223	224	0	0	0	0	(5) Drum of Vicotry Secondary Quest
93	Tantilion	1283	0	0	0	606	0	0	0	226	227	0	0	0	0	(6) Bone of Doom Secondary Quest
94	Benefice	1284	0	0	0	594	0	0	0	229	728	0	0	0	0	(6) Puzzle Box Secondary Quest
95	Hallien	1263	0	0	0	588	0	0	0	235	236	0	0	0	0	(6) Vial of Grave Dirt Secondary Quest
96	One-Eye	1193	0	0	0	654	0	0	0	249	247	248	0	0	0	(13) Lost Treasure of the Dread Pirate Stanley Secondary Quest
97	Long-Tail	1464	0	0	0	876	0	0	0	250	251	584	0	0	0	(1) Simple Trading Triangle
98	Treblid	1161	0	0	0	805	0	0	0	252	253	0	0	0	0	(2) Simple Trading Triangle
99	Gibere	1450	0	0	0	535	0	0	0	254	255	0	0	0	0	(3) Simple Trading Triangle
100	Mylander	1152	0	0	0	617	0	0	0	256	257	0	0	0	0	(7) Long Trading Triangle
101	Whisper	1238	0	0	0	592	0	0	0	258	259	0	0	0	0	(6) Long Trading Triangle 
102	Irabelle Hunter	1168	0	0	0	0	0	0	0	741	0	0	0	0	0	Arion Hunters daughter
103	Pavel	1198	0	0	0	658	0	98	0	260	261	0	0	0	0	(13) Long trading Triangle
104	Journey	1272	0	0	0	591	0	0	0	262	263	0	0	0	0	(6) Mysterious Trading Triangle
105	Neblick	1426	0	0	0	897	0	0	0	264	265	0	0	0	0	(2) Mysterious Trading Triangle
106	Cagnor	1344	0	0	0	674	0	0	0	266	267	0	0	0	0	(8) Mysterious Trading Triangle
107	Blazen Stormlance	1062	0	0	0	0	0	115	0	53	54	55	0	0	0	(6) Part of Knight Promotion Quest
108	Dread Pirate Stanley	1186	0	0	0	236	0	0	0	298	0	0	0	0	0	(13) False Report Secondary Quest
109	Bryant Conlan	1308	0	0	0	895	0	0	0	579	577	578	0	0	0	(2) Bounty Hunter Quest
110	Cahalli Evenall	1434	0	0	0	523	0	0	0	579	577	578	0	0	0	(3) Bounty Hunter Quest
111	Harry Merit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	Aerie Luodrin	1395	0	0	0	834	0	49	0	303	421	422	0	0	0	Expert Sword (2)
113	Jaycin Cardron	1192	0	0	0	538	0	49	0	304	420	422	0	0	0	Master Sword (5)
114	Miyon Dragontracker	1305	0	0	0	645	0	49	0	305	420	421	0	0	0	Grand Master Sword (13)
115	Herald Foestryke	1302	0	0	0	540	0	49	0	309	427	428	0	0	0	Expert Axe (5)
116	Jasp Hunter	1362	0	0	0	907	0	49	0	310	426	428	0	0	0	Master Axe (2)
117	Garic Senjac	1319	0	0	0	635	0	49	0	311	426	427	0	0	0	Grand Master Axe (8)
118	Puddle Thain	1369	0	0	0	793	0	49	0	300	418	419	0	0	0	Expert Staff (2)
119	Celia Stone	1369	0	0	0	553	0	49	0	301	417	419	571	0	0	Master Staff (4)
120	Tristen Stillwater	1257	0	0	0	599	0	49	0	302	417	418	0	0	0	Grand Master Staff (6)
121	Matric Townsaver	1455	0	0	0	871	0	49	0	312	430	431	0	0	0	Expert Spear (2)
122	Ashandra Withersmythe	1408	0	0	0	509	0	49	0	313	429	431	0	0	0	Master Spear (3)
123	Yarrow	1487	0	0	0	876	0	49	0	314	429	430	0	0	0	Grand Master Spear (1)
124	Lori Vespers	1404	0	0	0	510	0	49	0	306	424	425	0	0	0	Expert Dagger (3)
125	Jobber 	1159	0	0	0	874	0	49	0	307	423	425	0	0	0	Master Dagger (2)
126	Karla Nirses	1182	0	0	0	646	0	49	0	308	423	424	0	0	0	Grand Master Dagger (13)
127	Shivan Keeneye	1482	0	0	0	804	0	49	0	315	433	434	0	0	0	Expert Bow (1)
128	Oberic Nosewort	1425	0	0	0	905	0	49	0	316	432	434	0	0	0	Master Bow (2)
129	Solis	1453	0	0	0	511	0	49	0	317	432	433	0	0	0	Grand Master Bow (3)
130	Lisha Sourbrow	1378	0	0	0	871	0	49	0	318	436	437	0	0	0	Expert Mace (2)
131	Robert Morningstar	1346	0	0	0	539	0	49	0	319	435	437	0	0	0	Master Mace (5)
132	Brother Hearthsworn	1362	0	0	0	554	0	49	0	320	435	436	572	0	0	Grand Master Mace (4)
133	Thadin 	1480	0	0	0	792	0	49	0	327	442	443	0	0	0	Exper Leather (1)
134	Shamus Hollyfield	1333	0	0	0	639	0	49	0	328	441	443	0	0	0	Master Leather (8)
135	Medwari Elmsmire	1377	0	0	0	555	0	49	0	329	441	442	573	0	0	Grand Master Leather (4)
136	Tobren Forgewright	1414	0	0	0	796	0	49	0	330	445	446	0	0	0	Expert Chain (2)
137	Halian Eversmyle	1188	0	0	0	512	0	49	0	331	444	446	0	0	0	Master Chain (3)
138	Seline Burnkindle	1398	0	0	0	647	0	49	0	332	444	445	0	0	0	Grand Master Chain (13)
139	Bone	1475	0	0	0	833	0	49	0	333	448	449	292	0	0	Expert Plate (1)
140	Botham	1307	0	0	0	896	0	49	0	334	447	449	0	0	0	Master Plate (2)
141	Sethine Ironfist	1294	0	0	0	541	0	49	0	335	447	448	0	0	0	Grand Master Plate (5)
142	Qillain Moore	1437	0	0	0	513	0	49	0	324	439	440	0	0	0	Expert Shield (3)
143	Sheldon Nightwood	1270	0	0	0	584	0	49	0	325	438	440	0	0	0	Master Shield (6)
144	Peryn Reaverston	1312	0	0	0	542	0	49	0	326	438	439	0	0	0	Grand Master Shield (5)
145	Taren Temper	1446	0	0	0	891	0	49	0	336	451	452	0	0	0	Expert Fire_Magic (2)
146	Solomon Steele	1430	0	0	0	522	0	49	0	337	450	452	0	0	0	Master Fire_Magic (3)
147	Burn	1149	0	0	0	543	0	49	0	338	450	451	0	0	0	Grand Master Fire_Magic (11)
148	Ulbrecht Pederton	1160	0	0	0	785	0	49	0	342	457	458	0	0	0	Expert Water_Magic (2)
149	Gregory Mist	1369	0	0	0	556	0	49	0	343	456	458	574	0	0	Master Water_Magic (4)
150	Black Current	1134	0	0	0	545	0	49	0	344	456	457	0	0	0	Grand Master Water_Magic (12)
151	Reshie 	1470	0	0	0	870	0	49	0	339	454	455	0	0	0	Expert Air_Magic (1)
152	Hollis Stormeye	1336	0	0	0	641	0	49	0	340	453	455	0	0	0	Master Air_Magic (7)
153	Cloud Nedlon	1139	0	0	0	672	0	49	0	341	453	454	0	0	0	Grand Master Air_Magic (9)
154	Ostrin Grivic	1463	0	0	0	882	0	49	0	345	460	461	0	0	0	Expert Earth_Magic (1)
155	Dorothy Sablewood	1387	0	0	0	521	0	49	0	346	459	461	0	0	0	Master Earth_Magic (2)
156	Griven	1144	0	0	0	696	0	49	0	347	459	460	0	0	0	Grand Master Earth_Magic (10)
157	Straton Hawthorne	1164	0	0	0	903	0	49	0	348	463	464	0	0	0	Expert Spirit_Magic (2)
158	Bethold Kern	1303	0	0	0	569	0	49	0	349	462	464	0	0	0	Master Spirit_Magic (5)
159	Lasiter Ravensight	1154	0	0	0	610	0	49	0	350	462	463	0	0	0	Grand Master Spirit_Magic (7)
160	Shane Krewlen	1460	0	0	0	514	0	49	0	351	466	467	0	0	0	Expert Mind_Magic (3)
161	Barbara Lotts	1339	0	0	0	638	0	49	0	352	465	467	0	0	0	Master Mind_Magic (8)
162	Gilad Dreamwright	1287	0	0	0	611	0	49	0	353	465	466	0	0	0	Grand Master Mind_Magic (7)
163	Zevah Poised	1486	0	0	0	813	0	49	0	354	469	470	290	0	0	Expert Body_Magic (1)
164	Tugor Arin	1309	0	0	0	563	0	49	0	355	468	470	0	0	0	Master Body_Magic (5)
165	Critias Snowtree	1164	0	0	0	612	0	49	0	356	468	469	0	0	0	Grand Master Body_Magic (7)
166	Archibald Dawnsglow	1159	0	0	0	853	0	49	0	357	472	473	0	0	0	Expert Light_Magic (2)
167	Lunius Dawnbringer	1195	0	0	0	613	0	49	0	358	471	473	0	0	0	Master Light_Magic (7)
168	Aldrin Cleareye	1162	0	0	0	648	0	49	0	359	471	472	0	0	0	Grand Master Light_Magic (13)
169	Patwin Darkenmore	1456	0	0	0	515	0	49	0	360	475	476	0	0	0	Expert Dark_Magic (3)
170	Carla Umberpool	1184	0	0	0	595	0	49	0	361	474	476	0	0	0	Master Dark_Magic (6)
171	Sithicus Shadowrunner	1221	0	0	0	649	0	49	0	362	474	475	0	0	0	Grand Master Dark_Magic (13)
172	Flynn Shador	1218	0	0	0	585	0	49	0	366	523	524	0	0	0	Expert Vampire(6)
173	Douglas Dirthmoore	1223	0	0	0	581	0	49	0	367	522	524	0	0	0	Master Vampire (6)
174	Payge Arachnia	1206	0	0	0	580	0	49	0	368	522	523	0	0	0	Grand Master Vampire (6)
175	Fedwin Dervish	1422	0	0	0	516	0	49	0	363	526	527	0	0	0	Expert Dark Elf (3)
176	Lanshee Caverhill	1402	0	0	0	889	0	49	0	364	525	527	0	0	0	Master Dark Elf (2)
177	Ton Agraynel	1421	0	0	0	517	0	49	0	365	525	526	0	0	0	Grand Master Dark Elf (3)
178	Ishton	1040	0	0	0	572	0	49	0	369	529	530	0	0	0	Expert Dragon(5)
179	Erthint	1039	0	0	0	573	0	49	0	370	528	530	0	0	0	Master Dragon (5)
180	Klain Scarwing	1039	0	0	0	574	0	49	0	371	528	529	0	0	0	Grand Master Dragon (5)
181	Chevon Wist	1480	0	0	0	795	0	49	0	393	499	500	0	0	0	Expert Disarm_Trap (1)
182	Kelli Lightfingers	1187	0	0	0	518	0	49	0	394	498	500	0	0	0	Master Disarm_Trap (3)
183	Gareth Lifter	1422	0	0	0	650	0	49	0	395	498	499	0	0	0	Grand Master Disarm_Trap (13)
184	Silk Nightwalker	1433	0	0	0	519	0	49	0	387	493	494	0	0	0	Expert Perception (3)
185	Helga Steeleye	1266	0	0	0	593	0	49	0	388	492	494	0	0	0	Master Perception (6)
186	Balan Suretrail	1334	0	0	0	629	0	49	0	389	492	493	0	0	0	Grand Master Perception (8)
187	Fishner Thomb	1477	0	0	0	823	0	49	0	375	481	482	291	0	0	Expert Merchant (1)
188	Fenton Iverson	1447	0	0	0	530	0	49	0	376	480	482	0	0	0	Master Merchant (3)
189	Raven Quicktoungue	1387	0	0	0	883	0	49	0	377	480	481	0	0	0	Grand Master Merchant (2)
190	Petra Mithrit	1292	0	0	0	614	0	49	0	414	520	521	0	0	0	Expert Learning (7)
191	Garret Mistspring	1256	0	0	0	579	0	49	0	415	519	521	0	0	0	Master Learning (6)
192	Wanda Lightsworn	1295	0	0	0	564	0	49	0	416	519	520	0	0	0	Grand Master Learning (5)
193	Alton Putnam	1315	0	0	0	892	0	49	0	384	490	491	0	0	0	Expert Meditation (2)
194	Gretchin Nevermore	1405	0	0	0	527	0	49	0	385	489	491	0	0	0	Master Meditation (7)
195	Lenord Nightcrawler	1224	0	0	0	578	0	49	0	386	489	490	0	0	0	Grand Master Meditation (6)
196	Menasaur 	1485	0	0	0	852	0	49	0	381	487	488	0	0	0	Expert Body_building (1)
197	Kenneth Otterton	1347	0	0	0	565	0	49	0	382	486	488	0	0	0	Master Body_Building (5)
198	Mikel Smithson	1376	0	0	0	558	0	49	0	383	486	487	576	0	0	Grand Master Body_Building (4)
199	Kyra Sparkmen	1416	0	0	0	520	0	49	0	372	478	479	0	0	0	Expert Identify_Item (1)
200	Eithian 	1464	0	0	0	798	0	49	0	373	477	479	0	0	0	Master Identify_Item (3)
201	Elzbet Roggen	1228	0	0	0	587	0	49	0	374	477	478	0	0	0	Grand Master Identify_Item (6)
202	Evandar Lotts	1163	0	0	0	904	0	49	0	378	484	485	0	0	0	Expert Repair_Item (2)
203	Quick Jeni 	1296	0	0	0	570	0	49	0	379	483	485	0	0	0	Master Reapir_Item (5)
204	Qethrin Tonk	1160	0	0	0	615	0	49	0	380	483	484	0	0	0	Grand Master Repair_Item (7)
205	Tessa Maker	1289	0	0	0	567	0	49	0	402	508	509	0	0	0	Expert Identify_Monster (5)
206	Matric Keenedge	1282	0	0	0	616	0	49	0	403	507	509	0	0	0	Master Identify_Monster (7)
207	Blacken Stonecleaver	1303	0	0	0	898	0	49	0	404	507	508	0	0	0	Grand Master Identify_Monster (2)
208	Norbert Slayer	1310	0	0	0	568	0	49	0	405	511	512	0	0	0	Expert Armsmaster (5)
209	Lasatin the Scarred	1485	0	0	0	843	0	49	0	406	510	512	293	0	0	Master Armsmaster (1)
210	Jasper Steelcoif	1189	0	0	0	651	0	49	0	407	510	511	0	0	0	Grand Master Armsmaster (13)
211	Tabitha Watershed	1378	0	0	0	524	0	49	0	411	517	518	0	0	0	Expert Alchemy (3)
212	Kethry Treasurestone	1176	0	0	0	617	0	49	0	412	516	518	0	0	0	Master Alchemy (7)
213	Ich 	1482	0	0	0	795	0	49	0	413	516	517	0	0	0	Grand Master Alchemy (1)
214	Kethric Tarent	1375	0	0	0	560	0	49	0	390	496	497	0	0	0	Expert Regeneration (4)
215	William Sampson	1157	0	0	0	618	0	49	0	391	495	497	0	0	0	Master Regeneration (7)
216	Ush the Many Tailed	1464	0	0	0	885	0	49	0	392	495	496	0	0	0	Grand Master Regeneration (1)
217	Elsie Apple	1415	0	0	0	799	0	60	0	676	0	0	0	0	0	Hint NPC in Ravenshore
218	Jillian Applebee	1378	0	0	0	844	0	62	0	679	0	0	0	0	0	Hint NPC in Ravenshore
219	Chadric Benson	1314	0	0	0	541	0	0	0	675	0	0	0	0	0	Hint NPC in DH camp
220	Mortie Bith	1154	0	0	0	675	0	61	0	678	0	0	0	0	0	Hint NPC in Shadowspire
221	Aznog Black	1369	0	0	0	824	0	0	0	677	0	0	0	0	0	Troll Hint NPC in Ravenshore
222	Tonk Blueswan	1297	0	0	0	880	0	0	0	0	597	0	0	0	0	Arcomange Secondary Quest (2)
223	Turgon Bombah	1459	0	0	0	548	0	106	0	594	0	0	0	0	0	Ore Weapon (3)
224	Karn Bowes	1441	0	0	0	536	0	106	0	595	0	0	0	0	0	Ore Armor (3)
225	Kerin Bremen	1414	0	0	0	537	0	106	0	596	0	0	0	0	0	Ore Item (3)
226	Claderin Brightspear	1232	0	0	0	583	0	106	0	594	0	0	0	0	0	Ore Item (6)
227	Cardric Caverhill	1218	0	0	0	597	0	106	0	595	0	0	0	0	0	Ore Item (6)
228	Brother Crane	1268	0	0	0	673	0	106	0	596	0	0	0	0	0	Ore Item (6)
229	Poundlin Deerhunter	1395	0	0	0	867	0	58	0	672	0	0	0	0	0	"Ravenshore, Vault of Time Hint"
230	Isram Delver	1308	0	0	0	539	0	58	0	674	0	0	0	0	0	Hint NPC in DH camp
231	Dotes	1376	0	0	0	909	0	0	0	661	663	0	0	0	0	Hint Npc
232	Weldrik Falconeye	1311	0	0	0	571	0	93	0	711	0	0	0	0	0	Hint Npc
233	Dekian Farswell	1445	0	0	0	551	0	58	0	709	0	0	0	0	0	Hint Npc
234	Brand Featherwind	1442	0	0	0	552	0	58	0	710	0	0	0	0	0	Hint Npc
235	Kindle Fellburn	1401	0	0	0	602	0	58	0	712	0	0	0	0	0	Hint Npc
236	Ashen Fiddlebone	1423	0	0	0	604	0	94	0	714	0	0	0	0	0	Hint Npc
237	Sethrik Fist 	1422	0	0	0	607	0	95	0	715	0	0	0	0	0	Hint Npc
238	Bigfist Slowstepper	1371	0	0	0	553	0	94	0	716	0	0	0	0	0	Hint Npc
239	Zephyr	1140	0	0	0	667	0	96	0	717	0	0	0	0	0	Hint Npc
240	Lara Gallowswell	1399	0	0	0	603	0	58	0	713	0	0	0	0	0	Hint Npc
241	Gizmo Bertram 	1456	0	0	0	861	0	0	0	663	665	0	0	0	0	Hint Npc
242	Heather Goblinreaver	1361	0	0	0	557	0	0	0	668	671	0	0	0	0	Hint Npc
243	Benjamin Greenstorm	1367	0	0	0	558	0	0	0	669	0	0	0	0	0	Hint Npc
244	Julian Greensward	1363	0	0	0	559	0	0	0	670	0	0	0	0	0	Hint Npc
245	Myles Greydawn	1439	0	0	0	533	0	0	0	664	0	0	0	0	0	Hint Npc
246	Xavier Havest	1458	0	0	0	529	0	0	0	665	0	0	0	0	0	Hint Npc
247	Ethan Hillsman	1438	0	0	0	888	0	0	0	661	0	0	0	0	0	Hint Npc
248	Holden	1362	0	0	0	814	0	0	0	662	671	0	0	0	0	Hint Npc
249	Karlin Ivers	1410	0	0	0	777	0	0	0	663	662	0	0	0	0	Hint Npc
250	Samuel Jack	1364	0	0	0	762	0	0	0	660	0	0	0	0	0	Hint Npc
251	Payge Karrand	1405	0	0	0	893	0	0	0	659	665	0	0	0	0	Hint Npc
252	Brigham Kinney	1424	0	0	0	901	0	0	0	658	663	0	0	0	0	Hint Npc
253	Thomas Laraselle	1444	0	0	0	886	0	0	0	657	666	0	0	0	0	Hint Npc
254	Asael Fromago	1457	0	0	0	525	0	57	0	654	655	656	0	0	0	Cheese Connoisseur in Alvar
255	Bazalath	1039	0	0	0	572	0	0	0	673	0	0	0	0	0	Dragon Hint NPC in Dragon Cave
