#	Greeting 1	Greeting 2	Notes	Owner
1	"I am Lord Markham, the benefactor providing the castle that is the prize of the this contest."	"Nice to see you again, how are you doing on the hunt?"		Markham
33	"This building is where you may find the Fire Guild.  You must have a membership to use the services of the Guild, which include spell purchase and skill teaching.  To become a Fire Guild member, you must first visit Carolyn in her house a little way southeast of here and purchase a membership.  Also remember, a character who wishes to learn a Fire spell must have the Fire magic skill!"	"This building is where you may find the Fire Guild.  You must have a membership to use the services of the Guild, which include spell purchase and skill teaching.  To become a Fire Guild member, you must first visit Carolyn in her house a little way southeast of here and purchase a membership.  Also remember, a character who wishes to learn a Fire spell must have the Fire magic skill!"	Fire Guild	Docent cheat
34	Be careful!  You are about to enter an area of the island that is infested with Dragonflies.  They are quite dangerous!  Lord Markham is NOT responsible if you are injured or even killed venturing into this part of the island.  You have been warned!	Be careful!  You are about to enter an area of the island that is infested with Dragonflies.  They are quite dangerous!  Lord Markham is NOT responsible if you are injured or even killed venturing into this part of the island.  You have been warned!	Dragonflies	Docent cheat
35	"Um…It isn't wise to enter this cave.  A terrible dragon lives within, and few who enter leave alive.  If you really want to enter, just click on the back wall of the cave…"	"Um…It isn't wise to enter this cave.  A terrible dragon lives within, and few who enter leave alive.  If you really want to enter, just click on the back wall of the cave…"	Fire Dragon Cave	Docent cheat
36	"This is the entrance to the old Temple of the Moon.  It is infested with small vermin that can give a nasty bite, but it's not too dangerous.  It's possible there are items for the scavenger hunt within, so you should consider searching here at some point.  To enter, just click on the back wall of this cave."	"This is the entrance to the old Temple of the Moon.  It is infested with small vermin that can give a nasty bite, but it's not too dangerous.  It's possible there are items for the scavenger hunt within, so you should consider searching here at some point.  To enter, just click on the back wall of this cave."	Temple of the Moon	Docent cheat
37	"I’m Bill Lasker, and I am the Master Thief.  [Bill makes a sweeping gesture with one arm, taking in the whole of the sewers.] I am undisputed ruler of all I survey, and I hear of everything that happens in my mighty kingdom.  I am at your service."	"Welcome back.  Is your visit for business, or conversation?  I’m happy to supply either."	Normal	William Lasker
38	"I’m Bill Lasker, and I am the Master Thief.  I rule this underground kingdom, and am responsible for the welfare of the thieves who live down here.  You have been killing my subjects.  I would strike against you, but I fear your allies would destroy me.  So I will deal with you, but my prices will be higher.  What do you want?"	"[spits] Hello, Thief killer.  What do you want?"	Killed Thieves	William Lasker
39	"Greetings Rogues, how may I be of service?"	"Greetings Rogues, how may I be of service?"	Spy	William Lasker
40	"Greetings.  I am Seknit Undershadow, Master Assassin for the Enforcement Arm of the Necromancer’s Guild.  I am pleased to meet you.  Would you like a cup of tea?"	"Ah, welcome my friends.  How are you doing today?  You really should try my tea this time."	Tea no (normal)	Seknit Undershadow
41	"Ah, welcome my friends.  I hope you are doing well.  How about a spot of tea today?"	"Ah, welcome my friends.  I hope you are doing well.  How about a spot of tea today?"	Tea yes	Seknit Undershadow
42	"Hello again, fellow Assassins.  My tea and company are always yours."	"Hello again, fellow Assassins.  My tea and company are always yours."	Assassin	Seknit Undershadow
43	"Hail.  I am Sir Charles Quixote.  I am the humble champion of the people, and I am at thy service."	"Well met, my friends.  How goes the struggle against the forces of evil?"	Normal	Sir Charles Quixote
44	Why do we dally?  Even now that monster could be laying waste to the countryside!  Tally Ho!	Why do we dally?  Even now that monster could be laying waste to the countryside!  Tally Ho!	Crusader Quest	Sir Charles Quixote
45	Why do we delay rescuing Alice?  Who knows what plans the fiend has for this innocent girl?  Let us replace talk with action and rescue the poor girl at once!	Why do we delay rescuing Alice?  Who knows what plans the fiend has for this innocent girl?  Let us replace talk with action and rescue the poor girl at once!	Hero Quest	Sir Charles Quixote
46	Salutations Heroes!  I am certain thou hast much to accomplish before we dally about.	Salutations Heroes!  I am certain thou hast much to accomplish before we dally about.	Hero	Sir Charles Quixote
47	Hello?  You don't look like William's normal people.	I just want to go home.	Good	Alice Hargreaves
48	Hello?  I don't think I've seen you before.	Now what do you want?	Evil	Alice Hargreaves
49	"Good day.  William Setag, Villain Extraordinare, at your service.  Good to make your acquaintance."	A pleasure to see you again.  How may I assist you?	Normal	William Setag
50	Villains!  Welcome!  Too rarely do my villainous friends pay me visits.	Villains!  Welcome!  Too rarely do my villainous friends pay me visits.	Villain	William Setag
51	"Hello.  I am Bartholomew Hume, Master of this monastery.  Is there something I can help you with?"	"Hello again, do you need anything?"	Normal	Bartholomew Hume
52	"Fellow Masters!  It is good to see you, how may I do you service?"	"Greetings again, Masters.  How can Bartholomew aid you?"	Master	Bartholomew Hume
53	"Hello, my pupils.  I see you have found the proper tomb."	"Hello, my pupils.  I see you have found the proper tomb."	Dungeon event greeting	Bartholomew Hume
54	"I am Stephan Sand, Master of the…aggressive side of the disciplined life.  Once I was a monk, now I am something greater."	Hello again.  Tell me what it is you desire.	Normal	Stephan Sand
55	"Now that you've achieved the exhalted status of Ninja, I have nothing further to give you.  I hope my teachings take you far."	"Now that you've achieved the exaulted status of Ninja, I have nothing further to give you.  I hope my teachings take you far."	Ninja	Stephan Sand
56	"How are you doing?  [Lawrence bows deeply) I am Master Mark, champion bowman.  I've won the Annual Avlee Tourney for the past 4 years!  But enough of me, how about yourselves?  "	We meet again.  Need something?	Normal	Lawrence Mark
57	"Welcome my friends!  That's a fine weapon you have there, but don't think for a moment you'll best me in this year's Tourney--I'm still the Master!"	"Welcome my friends!  That's a fine weapon you have there, but don't think for a moment you'll best me in this year's Tourney--I'm still the Master!"	Master Archer	Lawrence Mark
58	"Welcome.  [Mr. Snick barely speaks above a whisper.  There is a small, white scar at the base of his throat] Are you here to be trained?"	"You have a reason... [Snick wheezes] for troubling me, I hope?"	Normal	Steagal Snick
59	"Students…[Mr. Snick rasps the word, then smiles] no longer.  I am proud to have helped you on your way.  Use your new weapon…[wheeze] wisely."	"Students…[Mr. Snick rasps the word, then smiles] no longer.  I am proud to have helped you on your way.  Use your new weapon…[wheeze] wisely."	Sniper	Steagal Snick
60	"Well met!  [Leda draws her blade and chops smartly at the wind] Are you here to fight, or here to learn?  Either way [her flourish ends in a knight's salute] I'm happy to oblige!"	"Hail, and well met!  [Leda grins and shakes her head] I love saying that!  So.  What can I do for you today?"	Normal	Leda Rowan
61	"Hail, champions!  Your courage and skill has all the tongues in the Kingdom wagging!  I am very proud of you!"	"Hail, champions!  Your courage and skill has all the tongues in the Kingdom wagging!  I am very proud of you!"	Champion	Leda Rowan
62	"So!  You wish to learn to fight?  Well, you've found the right man.  For those of you who are Knights, anyway.  If you're not a knight, you still benefit from my teachings, but not as much."	"Back for more teaching, kid?"	Normal	Frederick Og
63	"[Frederick rises hastily to his feet] None shall pass! [he blinks and rubs his eyes] Oh.  It's you.  Sorry, I thought you were someone else.  How goes the villainy?"	"[Frederick rises hastily to his feet] None shall pass! [he blinks and rubs his eyes] Oh.  It's you.  Sorry, I thought you were someone else.  How goes the villainy?"	Black Knight	Frederick Og
64	"[Lysander doffs his hat and bows deeply] Salutations!  I am Lysander Sweet, and I am in charge of promoting Hunters to Rangers.  I have a task in mind if I think you're up to it.  It should prove quite educational!"	"The Lords of Harmondale return!  I am honored.  What is your pleasure, my lords?"	Normal	Lysander Sweet
65	"Your good works have served the forest well.  And, I can see, the experience has served you well in turn.  May you continue to reap the rewards of your good deeds, my friends!"	"Your good works have served the forest well.  And, I can see, the experience has served you well in turn.  May you continue to reap the rewards of your good deeds, my friends!"	Ranger Lord	Lysander Sweet
66	"Hmmm. Make it quick!  You look like time wasters to me.  There's nothing worse.  You know, when I was a boy, my elders didn't tolerate no one lolligaggin around.  No slackers, neither.  [Ebednezer squints and leans closer to you] You're not one of them, are you?  Slackers? 'Cause I don't talk to slackers."	Time!  Everyone wastin' my time! [Ebednezer mutters something incoherent under his breath for awhile] You're still here?  	Normal	Ebednezer Sour
67	"Bounty Hunters.  [Ebednezer smiles slowly and evilly]  Now THERE'S a job!  Yes sir.  Get things done righteo quick, I'll venture. Heh."	"Bounty Hunters.  [Ebednezer smiles slowly and evilly]  Now THERE'S a job!  Yes sir.  Get things done righteo quick, I'll say. Heh."	Bounty Hunter	Ebednezer Sour
68	"[The little king bows] Welcome to my realm, mortals!  Few attain the door, and for that, I commend thee.  But now that you stand at the threshold of Faerie, know that few return that dare to enter."	"Mortals!  You have found a way in, but can you remember the way out?  [the king laughs] Twisty the way, and treacherous the path!  Stay, instead, and feast with us!  The centuries pass like lazy Sunday afternoons!"	Normal	Faerie King
69	"Ah, travellers. [the tree speaks VERY slowly] How.  Are.  You.  Today?   The trees are quite disturbed.  Angry.  The Heart of the Wood has been stolen by Walkers.  The Walkers will pay in blood until the Heart is returned."	"Are you the same Walkers I just talked to?  You all look alike to me.  But the talking is good just same.  Do you have time?  Let.  Me.  Name.  My.  Ancestors.  [The tree sighs happily, and begins]  Leaf-point.  Who.  Spawned. Spotted Bark.  Who.  Spawned.  Three Branches.  Who spawned...[Blah, blah blah]"	Normal	Oldest Tree
70	The trees speak of Walkers who want to return our Heart.  I hope they do.  Walkers take so much.	"Are you the same Walkers I just talked to?  You all look alike to me.  But the talking is good just same.  Do you have time?  Let.  Me.  Name.  My.  Ancestors.  [The tree sighs happily, and begins]  Leaf-point.  Who.  Spawned. Spotted Bark.  Who.  Spawned.  Three Branches.  Who spawned...[Blah, blah blah]"	On the Ranger Lord quest	Oldest Tree
71	"Ohhhhh…It's the Walkers from the South.  I remember you!  You returned the Heart.  The trees are very happy, and promise not to kill any more walkers.  Come and talk to me any time."	"Ohhhhh…It's the Walkers from the South.  I remember you!  You returned the Heart.  The trees are very happy, and promise not to kill any more walkers.  Come and talk to me any time."	Finished the Heart quest	Oldest Tree
72	"[High Priest Devine smiles and inclines her head] Sunlight Reveal, my lords.  How may I help you?"	"[High Priest Devine smiles and inclines her head] Sunlight Reveal, my lords.  How may I help you?"	Normal	Rebecca Devine
73	"Sunlight Reveal, my fellow Priests.  I am so proud to have you as members of our faith!"	"Sunlight Reveal, my fellow Priests.  I am always delighted to see you!"	Priest of Light	Rebecca Devine
74	"[High Priest Falk bows and clasps his hands together] Shadow Conceal, Lords.  How may I be of service?"	"[High Priest Falk bows and clasps his hands together] Shadow Conceal, Lords.  How may I be of service?"	Normal	Daedalus Falk
75	"Shadow Conceal, Brethren.  Congratulations on your promotion to Priests of the Dark."	"Shadow Conceal, Brethren.  My time is always yours."	Priest of Dark	Daedalus Falk
76	"Thomas Grey, at your service!  [The Wizard bows quickly and spreads his palms, smiling] "	"[Thomas Grey offers a peculiar half smile and folds his arms] I am still at your service, my lords!"	Normal	Thomas Grey
77	My fellow Archmages.  Rare is the individual who can achieve this status.  Congratulations!	"I am honored to be graced with your presence, my lords."	Archmage	Thomas Grey
78	"[The Lich stares at you awhile before speaking] Who dares disturb me?  Earthly Lords?  Hmmph.  Your status matters not, once death's door has been passed."	Why do you insist on bothering me?  [The Lich's eyes flare a hellish red for a moment] 	Normal	Halfgild Wynac
79	Death…[The Lich's voice is hoarse and quavery] isn't so bad when you've been through it once or twice.  Life was always more painful to me.  Are you pleased with your new status?	Why do you insist on bothering me?  [The Lich's eyes flare a hellish red for a moment] 	Lich	Halfgild Wynac
80	"Pleasant weather we're having, isn't it?  We are blessed to live in this climate, and have such mild Gods to appease.  Have you offered recently?"	"Fortune be your friend, lords.  Do you seek my advice today?"	Normal	Anthony Green
81	I was pleased to offer the Ceremony of Ascension to you after your brave efforts to lay the dead to rest.  The world breathes easier from your help.	"Fortune be your friend, lords.  Do you seek my advice today?"	Arch Druid	Anthony Green
82	"Foreign Lords!  How interesting!  My familiar said she could smell the earth of the lands across the sea on you.  My name is Tor Anwyn, leader of the Warlocks of Nighon, though not King of Nighon.  That title belongs to another.  Pleased to meet you."	"A delight and a pleasure, lords.  Have you come for business or conversation?"	Normal	Tor Anwyn
83	Congratulations on your promotions to Warlock!  Few can pass the test and find themselves an appropriate familiar.  I'm pleased you were successful.	"A delight and a pleasure, lords.  Have you come for business or conversation?"	Warlock	Tor Anwyn
84	"I am yours to command, master."	"I am yours to command, master."	Possible Golem explanation	Golem
85	"Ah, the new lords! Please excuse the condition of the castle--it's been awhile since anyone has taken proper care of it.  I would have greeted you indoors, but for the Goblins.  A small tribe of them has moved inside.  I've asked them to leave, but they won't listen to me.  They were quite rude, as a matter of fact.  Perhaps you could...talk to them?  I'll be in the On the House Tavern here in Harmondale should you manage to 'convince' them to leave."	"There's still goblins in the castle, my lords.  I hope you don't mind if I wait here while you convince them to leave.  One way or the other."	Kill the goblins	Butler
86	"You rang, my lords?"	"You rang, my lords?"	Goblins are killed	Butler
87	"So.  Lords of Harmondale, eh?  I am King Hothfarr IX, Lord of Stone City.  What do you want?"	Back again?  Don't have much time for [heh!] Contestants.  State your case and move on.  My court is busy.	Normal	Dwarf King
88	"Welcome, Harmondale!  Stone city is at your disposal."	"Welcome, Harmondale!  Stone city is at your disposal."	Rescued all the dwarves	Dwarf King
89	Everybody run!  The Stonesnakes are upon… uh… what?	Thanks for rescuing me.  I am at your service.	Normal	Dwarf Engineer
90	Ahhhhh!  Help!  They're coming  fo… me?  What happened?  Who are you?	Thanks for rescuing me.  I owe you my life.	Normal	Dwarf Prisoner
91	[Lady Ellen curtsies gracefully]  I am Ellen Rockway.  I speak for Erathia on matters of state.  I will be staying here in your court for the duration of your reign.	"Yes, Lords?  What would you like to discuss?"	Normal	Ellen Rockway
92	"Greetings.  I am Alain Hani, Ambassador from Avlee.  I speak for my country, and my word is Avlee's bond.  I will always be available for any business you wish to conduct."	"Avlee is listening, my Lords."	Normal	Alain Hani
93	"Lord Markham tells me you are the new lords of Harmondale.  Welcome to the peerage.  Now, why do you request an audience of me?"	I am very busy.  This had better not be a social visit.	Normal	Queen Catherine
94	"Ah, Harmondale.  Before we conduct business, I would like to say I recently noticed you returned the wrong prisoner from Avlee.  Such a remarkable likeness!  I should execute you, but the war is over, and that would be bad form.  Just remember that your treachery has been...noted."	I am very busy.  This had better not be a social visit.	Betrayed me	Queen Catherine
95	"So, Harmondale has new lords.  Again.  Well, [King Parson looks at his scribe] we better write their names down lest history blinks and misses them, eh?  Haw haw ha!  [Ahem] Yes.  Well, you had a reason for visiting me, right?"	"Harmondale again, hmmm?  Make it quick--my patience is already wearing thin."	Normal	ElfKing
96	"You again?  You know, I was just asking my generals why the attack on Fort Riverstride was such a disaster when someone on my staff noticed the traps on the map YOU gave us were in the wrong places!  [the King chuckles, smiling] Imagine my generals' relief when we all realized that it wasn't incompetence that killed 74 elves, but treachery! Hahahahaha! [King Parson slaps his knee, then abruptly stops laughing and stares at you.]

I would execute the lot of you, but the war is over. In the interests of harmony, you can live.  For now."	"Harmondale again, hmmm?  Make it quick--my patience is already wearing thin."	Betrayed me	ElfKing
97	"My lords, I have an urgent message from the Erathian Ambassador for you.  I am told it has details of an important event that is happening RIGHT NOW, and that you should read it immediately.  Here is the letter."	"My lords, I have an urgent message from the Erathian Ambassador for you.  I am told it has details of an important event that is happening RIGHT NOW, and that you should read it immediately.  Here is the letter."	Artifact	Messenger
98	"How are you doing, my lords?  I am Judge Grey.  I have the unusual job of arbitrating disputes between warring nations.  The position has it's rewards, but you'll never hear the people you're helping thank you.  I always know I'm doing the right thing when both sides are angry with me at once."	"Welcome back, my lords.  Erathia and Avlee are at each other's throats again.  Feeling the heat yet?"	Normal	Arbiter
99	"Ah, greetings!  My lords, I am Ambassador Wright from Bracada.  You know, the wizards on Erathia's southern border.  You've become very important persons!  Since Judge Grey died in your lands, you must choose another Arbiter to help settle the dispute between Erathia and Avlee.  

I formally invite you to visit Bracada and meet Judge Fairweather, who we strongly recommend for the post.  I don't mean to be pushy, but I'm sure you understand your choice will affect future relations between our two governments..."	"My lords, it is always a pleasure to see you.  I must once again urge you to consider our uh, I mean Judge Fairweather for the important post of Arbiter.  Take your time making the decision, but do be quick about it, eh?

Remember, all you have to do is visit Judge Fairweather in Bracada and choose him for the job; then take him to the Arbiter's house here in Harmondale.  I am sure he will put a swift end to this nasty war."	Normal	Wizard Ambassador
100	"A pleasure to meet you, my lords.  My name is Ambassador Scale, and I represent Deyja, the land of the Necromancers northwest of Erathia.  Now, I know what you're thinking--Necromancy!  Yuck!  Isn't that death magic?  Well, it IS, but we merely pursue knowledge for it's own sake; rather noble if you ask me.  We're not so bad.  You should speak with some of the fellows--they really know how to party.  [The Ambassador forces a smile] Ha ha ha!

I invite you to visit Deyja.  When Judge Grey died, you became the ones who must choose his successor.  We have someone in mind who will encourage our enemies to...um...bring this terrible war to an end.  Yes.  I urge you to choose Judge Sleen.  

It would mean so much to us, and we could do so much for you!  Think about it, but don't think too long!"	"My lords.  [Ambassador Scale wrings his hands and smiles in a most unsettling fashion]  You are still trying to make a decision, I see.  You must understand your choice is VERY important to us.  

Perhaps you need directions?  Judge Sleen is in Deyja, which is the country northwest of Erathia.  You must do is visit him and tell him you're choosing him for the job; then take him to the Arbiter's house here in Harmondale.  He will take care of everything from there."	Normal	Necro Ambassador
101	"The new lords of Harmondale, I presume.  I am Judge Sleen.  Let me be frank--my sympathies lie with Deyja and the Necromancers.  We want you to choose me for the job of Arbiter for the war between Erathia and Avlee.  Since both of those countries are the enemies of Deyja, I will be a fair judge.  However, choosing to be the ally of Deyja means CHOOSING WHAT OTHERS CALL ""DARKNESS"".

This darkness business is pure rot.  Necromancy is nothing but the study death and what happens with the spirit after death.  Sure, the results can be a little grisly, but so is making sausage and the practice of law.  And nobody would say those jobs don't have their value.

Choose me and be our ally.  Because if you cannot prove your friendship through this simple act, what else can you be but our enemy?  Remember, though, that once you choose me, you cannot later change your mind.  Your choice is permanent."	"Still considering your choice, I see.  Let me remind you of what's at stake:  [The Ambassador holds up a finger]

The length of the war--The longer it lasts, the better off we'll all be.  Erathia and Avlee will be weaker, and unable to interfere in our affairs.

You will be allying with us.  There are things we can teach you...

Most importantly, YOU WILL CHOOSE THE PATH OF DARKNESS.  This choice cannot be withdrawn."	Normal	Evil Arbiter
