News # 	Text	Notes / Topic	
110	"Goblins are weak creatures, but they tend to attack in large numbers."	Goblins	
111	"Though their physical attacks are weak, these mages can cast various elemental attack spells."	Apprentice Mages	
112	"A powerful artifact, Mordred is a dagger that possesses the ability to steal the health of its victim and transfer that vitality to its wielder."	Mordred	
113	Albert Newton in Mist handles the promotion of Sorcerers to Wizards.	Wizards	
114	"The abandoned temple northwest of town used to be occupied by the Temple of Baa, but they moved out in a hurry one day last year.  Now there's nothing but snakes, bats, and huge spiders."	Abandoned Temple	
115	"When the Temple of Baa moved out of that old temple outside of town, all of the little problems we've been having just…went away.  I tell you, there's something unwholesome about those people.  I'm glad they're gone."	Temple of Baa	
116	"A wizard friend of mine told me the Temple of Baa was laying curses on our town from the abandoned temple just outside town.  One day they tried to lay the Curse of Endless Vermin on us, only they did something wrong and it backfired, infesting their own temple instead.  They moved righty-o quick once that happened."	Curses	
117	"I heard the Temple of Baa abandoned that old temple so quickly they didn't have time to take all their stuff.  It should all still be down there, if you're brave enough to go look for it.  There's a lot of nasty monsters in the way, though, so be careful if you go."	Treasure	
118	"It's been quite a while since New Sorpigal was raided by goblins, but with goblins living in the very place meant to protect us from them, it can't be too long before we're attacked again, can it? "	Goblinwatch	
119	An evil guild of mages has been searching the southeast end of our peninsula for signs of the fabled Fountain of Magic.  They attack anyone who comes near to scare off potential rivals.  Be very careful if you travel in that direction!	Magicians	
120	The three fountains we have here in town are said to draw their water from a spring touched by the gods.  Each one is magical and beneficial to drink from.	Town Fountains	
121	"A raiding party of goblins has staked out the west bridge, hoping to rob and kill travelers.  They aren't very subtle– you can see them from a mile away– but they ARE dangerous.  Watch your step!"	Goblin Raiders	
122	Our town was founded centuries ago as the last major town in Enroth.  We have historically been a point from which colony ships left for the rest of the world.	New Sorpigal	
123	"The fruit on the trees in the orchards of our fair town is quite tasty, and free for all to take.  You should try it sometime!"	Fruit Trees	
124	"Beware of travelling to the islands just off our north shore.  The waters sometime have dangerous monsters, and the islands are none too hospitable, either.  "	Islands	
125	"It's been decades since we were last attacked by pirates from the islands of Regna, and I guess it's about time for us to be attacked again, what with the king missing and all."	Regnan Pirates	
126	"Buccaneers' Lair in New Sorpigal and Mist can teach you dagger, merchant, identify, perception, and disarm trap."	Buccaneers' Lair	
127	"You can learn dagger, merchant, identify, perception, and disarm trap at protection services in Silver Cove and White Cap."	Protection Services	
128	"Blackshire and Free Haven are homes to the Smugglers' Guild, where you can learn dagger, merchant, identify, perception, and disarm trap."	Smugglers' Guild	
129	"Sword, axe, spear, staff, and leather are all taught in Blades' End in both White Cap and New Sorpigal."	Blades' End	
130	"Duelists' Edge in Mist teaches mace, bow, chain, shield, and body building."	Duelists' Edge	
131	"Berserker's Fury in Castle Ironfist can teach you bow, shield, chain, plate, and repair item."	Berserker's Fury	
132	"The Fraternal Order of Silver has recently built a keep just south of Mist.  They used to be such nice people, but now they're so intent on killing evil they destroy anything that isn't perfect, and that's just about everything."	Silver Helms	
133	I love living down here!  Lord Newton never remembers to raise taxes.	Taxes	
134	The islands of Bootleg Bay are home to a few cannibal tribes.  People that visit those islands don't return. 	Bootleg Bay	
135	"The Fountain of Magic is supposed to be south of Bootleg Bay, but not many people have ever found it."	Fountain of Magic	
136	"In the islands south of Mist is the forge of Gharik, one of Archibald's fellow mages.  The place is crawling with elementals– no one ever goes there now."	Gharik's Forge	
137	"On an island north of Mist is Castle Alamos, one of the centers of magical study in Enroth.  All sorts of summoning and alchemy occurs in that castle– it's a dangerous place for the casual visitor."	Castle Alamos	
138	A couple of old temples are said to still stand in the jungle islands of Bootleg Bay.  I wonder if anyone still worships in them?	Temples	
139	"Water elementals prowl the waters near Mist.  As if their powerful physical attacks aren't enough, they can also fire Ice Bolts from a distance."	Water Elementals	
140	"This axe is a hero's dream.  It's enchanted to slay dragons and devils, and does so quite well.  Unfortunately, owners of the axe tend to find such creatures more often then they'd like to."	Conan	
141	"Not many people make it to wizard, and even fewer are promoted to arch mages.  Albert Newton must ask the impossible of those looking to be promoted."	Arch Mages	
142	"Mist was originally intended to be a customs and trading port for dealings with the Eastern islands and countries.  Piracy has severely cut into that trade, so we're not as prosperous as we should be."	Mist	
143	"About 200 miles to the east of us lie the Regnan Islands.  They are inhabited with pirates ruled by an 'emperor' who 'taxes' passing ships that pass near their territory.  The Regnans produce almost nothing on their own, with the exception of weapons and mercenaries."	Regna	
144	I hear you can make a potion of supreme protection by mixing an orange potion with a green potion.	Recipe	
145	"Melody Silver was recently imprisoned by the Silver Helms in their new outpost south of Mist.  They've been acting awfully strange lately, and it's terrible that they seized such a nice young woman.  Someone's got to do something about those people!"	Melody Silver	
146	"The Silver Helms, founded by John Silver, were originally organized to fight brigands and murderers, but they've been harassing citizens for even the most petty crimes recently. "	Vigilantes	
147	"Most of the international trade on our island is with the Kingdom of Erathia, homeland of our good Queen Catherine.  Erathia is the source of most of our precious metals and stone."	Trade	
148	"Years of practicing high sorcery can erode the memory of the sorcerer severely, and there is no cure for it.  Even if there was, it's unlikely the victim would remember to use it! "	Memory	
149	"Albert Newton was promoted to his current position because of his strong support for Roland during the Succession War, even though Archibald offered him much sorcerous knowledge.  Lord Newton must surely be a good man to have refused to support the wicked Archibald, even though it looked like Archibald was going to win."	Succession War	
150	"Although Lord Newton seems weak and forgetful these days, it's good to remember that he was once one of the greatest sorcerers in the land, perhaps the greatest sorcerer ever!  They say that Lord Newton has forgotten more sorcerous knowledge than Archibald ever knew, excepting the school of dark magic."	Lord of Mist	
151	"Buccaneers' Lair in New Sorpigal and Mist can teach you dagger, merchant, identify, perception, and disarm trap."	Buccaneers' Lair	
152	"You can learn dagger, merchant, identify, perception, and disarm trap at Protection Services in Silver Cove and White Cap."	Protection Services	
153	"Blackshire and Free Haven are homes to the Smugglers' Guild, where you can learn dagger, merchant, identify, perception, and disarm trap."	Smugglers' Guild	
154	"Sword, axe, spear, staff, and leather are all taught in Blades' End in both White Cap and New Sorpigal."	Blades' End	
155	"Duelists' Edge in Free Haven teaches mace, bow, chain, shield, and repair item."	Duelists' Edge	
156	"Berserker's Fury in Silver Cove can teach you sword, bow, shield, plate, and body building."	Berserker's Fury	
157	"If you're skilled enough, Calvin Black can teach you ways to improve your staff skill.  He lives in a house right near the Imp Slapper."	Calvin Black	
158	"When Gonzalo isn't spending time in the Imp Slapper, he teaches spear expertise."	Gonzalo Ramirez	
159	"If you're looking to gain expertise in leather armor, Arthur teaches right near the Buccaneers' Lair."	Arthur O'Leery	
160	Bernard teaches expert repair skill just south of the Duelists' Edge.	Bernard Jacobs	
161	The weird creatures that have been summoned around here make people forget that Alamos was the home of some of the best alchemists in the world.  Powerful items must be kept in that castle.	Alamos	
162	"One of the islands to the west has a strange circle of stones.  I think that's used for the Ceremony of the Sun, one of the requirements in Druid promotions."	Circle of Stone	
163	The waters around Castle Alamos teem with sea serpents that attack ships with their icy breath.	Sea Serpent	
164	"Percival is the ultimate ranged attack weapon.  With its rapid fire and dangerous explosive attack, it can wipe out large numbers of enemies at a safe distance."	Percival	
165	"These annoying creatures are immune to magic, but not immune to a good sword blow."	Agar's Pet	
166	"The old Dwarf King is in exile now, but I'll bet he wants his throne back pretty badly."	Rocklin	
167	Snergle hid the key to the innermost chambers of his caverns in the iron mines to the west.	Iron Mines	
168	"Wilbur Humphrey is so scared that something will happen to Nicolai, the Prince has not been allowed to leave the castle in months."	Nicolai	
169	"After Corlagon's defeat in the Succession Wars, he retired to his Estate in the Mire of the Damned to study sorcery.  Rumor has it that he became a lich hoping to survive until Archibald could return."	Corlagon	
170	"The Shadow Guild, an upstart Thieves' Guild, supposedly has a hideout near Castle Ironfist.  I'm sure Anthony Stone would love to see that hideout destroyed."	Shadow Guild	
171	I'm surprised that Nicolai hasn't asked the Oracle for advice; I doubt Regent Humphrey has all the answers.	Oracle	
172	There's still no news on when Catherine will be back from her trip to Erathia.	Catherine	
173	"King Roland's Yacht, the Queen Catherine, hasn't left port in years.  Is it even still seaworthy?"	Yacht	
174	"Lizardmen prowl around the swampy areas south of Castle Ironfist.  They use bows, but the most powerful are wizards that will cast Lightning Bolts when threatened."	Lizardmen	
175	"The Arena of Enroth can be reached through the stables in Ironfist.  You can fight almost any kind of monster there, if you have the taste for that sort of thing.  Lots of people would go every day, but the Arena is only open on Sundays."	Arena	
176	A useful shield that unerringly blocks missile attacks and makes its user more likely to land blows in battle.	Valeria	
177	"Wilbur Humphrey, in Roland's absence, handles the promotions of all paladins to crusaders."	Crusaders	
178	"Lord Corlagon was Archibald's greatest lieutenant during the Succession War, and after his side lost, he retired to his mansion in the swamps somewhere.  It is said that he performed the Ritual of the Endless Night and became a lich a couple of years ago."	Lord Corlagon	
179	"Wilbur Humphrey is Foremost Paladin of the land.  Though many say he is too naïve and unfit to rule while King Roland is gone, people say he is utterly fearless and honest.  I personally think we couldn't possibly find a better man for the job!"	Wilbur Humphrey	
180	The fabulous Circus of the Sun usually sets up a few day's travel down the trade road leading north from Castle Ironfist.  They are always there in December of each year.	Circus of the Sun	
181	There are highwaymen plying the trade road brazenly near the castle.  The Regent must be mightily distracted to permit these ruffians to rob innocent travelers right beneath his nose!	Highwaymen	
182	"The Seer lives in a hut on a mountain near the source of the Silver River that runs from the Steel Mountains, past Castle Ironfist, and into the ocean.  It is said that he helps those who are lost."	The Seer	
183	"Rocklin, former King of the Dwarves, has been deposed by a dwarf named Snergle.  Snergle renamed the mines and caverns formerly operated by Rocklin to, predictably, Snergle's Mine and Snergle's Caverns.  You can find both of those places west of the mountains near Castle Ironfist called the Steel Mountains."	Dwarves	
184	"The swamps of Enroth are home to all manner of unwholesome monsters, many of them undead.  Carry fire and tread lightly if you should ever have to venture there!"	The Swamp	
185	"The road between Castle Ironfist and New Sorpigal has become quite unsafe.  Ordinarily, we only have one group of bandits preying upon travelers…but these days we have not one, not two, but THREE groups of bandits!  First, there is that hideous Temple of Baa, then we have the Dragoon hideout near the south shore somewhere, and finally we have an unauthorized Thieves' Guild open for business near the Castle!  "	Dragoons	
186	Newt teaches expert leather skill south of Castle Ironfist.	Newt Headrow	
187	You can learn expert chain skill from Rich just south of Castle Ironfist.	Rich Hamburg	
188	A little south of Castle Ironfist are four small houses.  Benito teaches expert plate skill in the northmost one.	Benito Tellman	
189	Edgar will teach sufficiently skilled shield users expert techniques.	Edgar Carpenter	
190	Aaron teaches expert sword wielding right next to the weapon shop in Castle Ironfist.	Aaron Strongmun	
191	Expert axe is taught by Stephan in the training grounds.	Stephan Biggs	
192	Helen lives with her friend Tracy right between the King's Crown and the Eagle's Eye.	Helen Teal	
193	Tyler teaches expert disarm right across the street from the training grounds in Castle Ironfist.	Tyler Tailor	
194	Leon teaches expert identify right across the street from the training grounds in Castle Ironfist.	Leon Lazaru	
195	"Olaf lives in a small house behind Castle Ironfist, and teaches expert body building from there."	Olaf Berring	
196	Elton teaches expert learning in one of the towers of Castle Ironfist.	Elton Astrogate	
197	Walter teaches expert diplomacy in one of the towers of Castle Ironfist.	Walter Hargreaves	
198	Behind the King's Crown you can find Terrance Smith.  He'll teach skilled dagger users a few new tricks.	Terrance Smith	
199	I hear there's a reward out for the ones who can put down the Dragoon highwaymen plying the road near the south shore.  Some merchant's offering a LOT of money for the return of his stolen merchandise!	Merchants	
200	"A small order of monks has grown just south of Bootleg Bay, called the Order of the Fist."	Order of the Fist	
201	"The islands of Bootleg Bay hide a pile of pirate treasure.  That is, if you can get past the cannibals and actually find it…"	Pirate Treasure	
202	"The location of the Fountain of Magic is still a mystery.  For some reason, the people that find it never reveal its location."	Fountain of Magic	
203	The Church of the Sun used to have a temple on an island in Bootleg Bay.	Temple	
204	"A powerful crown, Arthur not only boosts all its wearer's physical characteristics, but also their spell points."	Arthur	
205	I've heard that you need to slay an elder dragon to be promoted from Crusader to Hero.  No wonder there are so few Heroes around!	Heroes	
206	"The temple of Tsantsa can be found on one of the large islands south of Silver Cove.  The people that live on that island like to sacrifice captives to their beastly god Tsantsa, and then shrink their heads in the pools of disgusting chemicals they keep in their temple.  The islanders are quite hostile, so be sure to kiss your loved ones goodbye if you have plans to visit the island."	Temple of Tsantsa	
207	"Long abandoned by the Church of the Sun, their temple still stands on a large island east of Free Haven.  A small order of confused monks, misapprehending the true nature of the temple, have somehow made peace with the islanders and moved into the temple– bringing a stolen holy artifact with them.  Now the old temple's insidious magic has affected their minds, making them believe they must defend the temple to the death.  The monks are very unfriendly these days, and attack all who trespass."	Temple of the Sun	
208	Preston teaches expert chain skill just east of the Goblin's Tooth.	Preston Harper	
209	Shoshi can teach you new perception tricks from his house just east of the Goblin's Tooth.	Shoshi Pertoniki	
210	"Winston used to be a member of that new clerical order down here, but he quit.  Apparently he left something behind because he's looking for someone to go back to the Temple of the Fist for him.  He's lives in one of the antechambers of the House of Healing now."	Winston Schezar	
211	Cedric Druthers' splinter group of druids perform ceremonies in a cave west of Silver Cove.	Celestial Order	
212	"The stronghold of the Fraternal Order of Silver is located near Silver Cove.  The Silver Helms seem more violent lately, I wonder why that is?"	Silver Helms	
213	The Warlord's Fortress is to the northwest of Silver Cove.  Only the strongest warriors are enlisted into his army.	The Warlord	
214	The Shadow Guild supposedly has a large guild right near Castle Stone.  I'm surprised Anthony Stone hasn’t discovered its location yet.	Shadow Guild	
215	Not many ships travel to Castle Alamos.  Most captains are afraid of the strange creatures that prowl around the northern seas.	Castle Alamos	
216	Guilds of Light can be found in Silver Cove and Blackshire and Guilds of Dark can be found in Winter Cap and Blackshire.	Light and Dark	
217	"Diamond Gargoyles are the toughest gargoyles around.  They're impossible to kill with physical attacks, so you should use magic to kill them."	Diamond Gargoyle	
218	"Druids can cast a variety of elemental spells when angered, and are often slightly shielded from magical attacks."	Druids	
219	These legendary boots enable their wearer to move faster and react quicker.	Lucius	
220	"To be promoted to Arch Druid, a Greater Druid needs to perform the Ceremony of the Moon in the Temple of the Moon near Free Haven."	Arch Druids	
221	"The fortress of the Warlord watches over the source of the Calimar river as it winds its way past Silver Cove and empties into Bootleg Bay.  Originally established to protect a town planned for that region, the fortress became a magnet for mercenaries and criminals after the town failed and all the settlers moved south to greener pastures."	Warlord's Fortress	
222	"The Monolith overlooks the Silver road that leads from Silver Cove to Free Haven.  It's been an object of fascination and occasional worship for ages.  A long time ago, some group of druids carved a home out of the giant rock, and it has been inhabited by various groups since then.  The druids who currently live there were experimenting with some kind of new magic, and I think something may have gone wrong.  They've been avoiding contact with the outside world for some time now, and refuse to allow visitors to enter the Monolith."	The Monolith	
223	"The town of Silver Cove got its start as a fishing and trading village a few hundred years ago.  With time, our little village grew up to be a full-fledged town.  We have ample room to expand the town, and the land around us is fertile and easy to farm.  We are just a little distant from the rest of the Kingdom, though."	Silver Cove	
224	"The Lady of Silver Cove often seems more interested in amassing her fortune than governing well, but I don't think it's so simple.  She often spends a lot of wealth on town improvements and security, so I guess she can't be all bad."	Loretta Fleise	
225	"The Silver Helm vigilantes have occupied a fortress just north of Silver Cove.  Accusing Lady Fleise of the sin of greed, the Silver Helms have begun to attack her caravans travelling between Silver Cove and Free Haven.  I'm sure she's none too happy about it..."	Vigilantes	
226	"Be careful of travelling the waters north and east of Silver Cove– they're inhabited by giant, man-eating sea serpents!"	Eel Infested Waters	
227	"The Spring Equinox is on March 20th, and the Autumn Equinox is on September 23rd.  It's said that these dates are important magical events."	Equinoxes	
228	"The White Rock Islands north of Silver Cove have long been abandoned by civilized humans, and are now home to the monsters and madmen.  Druids occasionally risk their lives and journey to those islands looking for the fabled Circle of Stones so they can perform the Ceremony of the Sun."	Circle of Stone	
229	"The Silver Helms have been attacking everyone they see as less than 100% behind their fight against evil.  I don't know about you, but I think such an extreme position can't be a good thing– what's Sir John Silver thinking?"	Sir John Silver	
230	"The druids of the Monolith have made a pact with the Netherworld– I know, because I met a druid who escaped from there one night.  He says unspeakable things are happening inside the Monolith, and if something isn't done soon, the outside world may soon learn more than it ever wanted to know about the secrets of the ancient place."	Netherworld Ties	
231	Tina lives with her daughter just east of Town Hall.  She teaches light expertise to skilled apprentices.	Tina Sheltan	
232	You can learn expert repair just west of the Mercenary Guild from Cyrus Montebleu.	Cyrus Montebleu	
233	Clyde teaches expert meditation skill right across the street from the Self Guild.	Clyde Dagget	
234	Sigriv can teach you expert techniques with the spear just south of the training grounds.	Sigriv	
235	"I heard that Eleanor wants the evil druids kicked out of the Monolith to the west, and she's willing to offer a reward to the people that do it.  She's on the east side of town if you want to know more."	Eleanor Vanderbilt	
236	The home of the Necromancers; no one travels to Castle Darkmoor anymore unless they're looking for undead.  I can't imagine the village of Darkmoor surviving much longer without any trade from the rest of Enroth.	Darkmoor	
237	The mountains to the west keep all the horrible creatures of Dragonsand from rampaging across the rest of Enroth.	Dragonsand	
238	"Snergle isn't a good leader, but none of the dwarves dare to stand up to him."	Snergle	
239	Terrax never left Darkmoor after he became a lich.  He could very well still be inside researching new magical spells.	Terrax	
240	The ghosts that haunt the Mire of the Damned can age you past your years with a single touch.	Ghost	
241	"Harpies will curse their unlucky victims.  Fortunately, they're pretty easy to kill."	Harpy	
242	"Even though skeletons are the weakest undead monster, some of them can curse you or fill your hearts with unnatural fear."	Skeleton	
243	"A ring useful for either a cleric or paladin, Igraine boosts the effect of their spells."	Igraine	
244	Osric requires a test of skill for promotion to champion.  Few ever succeed in that test.	Champions	
245	Connie teaches expert axe skill just outside Darkmoor village.	Connie Lettering	
246	Casey teaches expert merchant skill upstairs in the south of Darkmoor village.	Casey Ludwig	
247	Jack teaches expert mace skill across the street from Smoke and Mirrors.	Jack Crow	
248	"Avinril was an important dwarf until the new king Snergle kicked him out.  He's looking for revenge now, and needs help.  I know you can find him in the Haunt out by one of the dwarf mines."	Avinril Smythers	
249	"The Church of the Moon had a temple to the west.  Now, Cedric Druthers' druids use the temple for their ceremonies."	Old Temple	
250	The sewers under Free Haven are crawling with thieves and pests.  I can't imagine anyone WANTING to live in a sewer.	Sewers	
251	I've heard that a strange ship sails in the middle of Temper's lake.	Ship	
252	Cedric Druthers' druids now occupy an old temple of the Church of the Moon to the west of Free Haven.	Celestial Order	
253	The High Council has not once visited the Oracle since these disasters have started happening.  The wisdom of the Oracle could certainly be used now.	Oracle	
254	The pass to White Cap and Castle Stromgard is now patrolled by renegade ogres and greedy humans.	Icewind Pass	
255	"No surprise, archers will fire arrows at you.  However, some archers prefer to use flaming arrows, and the best of them can actually cast Fireball."	Archer	
256	"A sorcerer or archer's best friend, this amulet boosts the effect of elemental magic."	Morgan	
257	Osric Temper handles all the promotions of knights in Enroth.	Cavaliers	
258	"The High Council meets in Free Haven to represent the Lords of Enroth and handle the important business of the Realm.  With trouble brewing in the west, you would think they'd meet more frequently, but they still limit their hours as though nothing were happening!"	The High Council	
259	"Of all the Lords of Enroth, Osric Temper is the most concerned with handling the devils that have been attacking the western towns and villages.  I personally believe he is the only Lord with his head screwed on straight these days!"	Osric Temper	
260	I hear there's a Thieves' Guild in the city with a trap door leading into the Free Haven city sewer.  They must use it to distribute all their stolen loot around town.	Sewer Entrance	
261	The Circus of the Sun usually sets up a few days south of Castle Temper on the west side of the Crescent River.  They stay there during August of every year.	Circus of the Sun	
262	"Though small, the village of Rockham serves as a trading post and rest stop for people travelling around the Kingdom.  'Though all roads may lead to Free Haven, nearly every traveler has to pass through Rockham to get there."	Village of Rockham	
