Global Text	
465	Value
466	You found %lu gold (followers take %lu)!
467	You found %lu gold!
468	Clicking here will spend %d Skill Points
469	You need %d more Skill Points to advance here
470	Get %s
471	You found an item (%s)!
472	am
473	pm
474	Recall to %s
475	Set %s over %s
476	Set to %s
477	You are already resting!
478	You can't rest in turn-based mode!
479	You can't rest here!
480	There are hostile enemies near!
481	Encounter!
482	You don't have enough food to rest
483	Set %s as the Ready Spell
484	Select a spell then click here to set a QuickSpell
485	Cast %s
486	Select %s
487	You have already mastered this skill!
488	You don't have enough skill points!
489	"You have %d total gold, %d in the Bank"
490	You found %d gold and an item (%s)!
491	Can't cast Meteor Shower indoors!
492	Can't cast Inferno outdoors!
493	Can't cast Jump while airborne! 
494	Can not cast Fly indoors!
495	Can't cast Starburst indoors!
496	No valid target exists! 
497	Can't cast Prismatic Light outdoors!
498	Herbalist
499	Can't cast Armageddon indoors!
500	You have %lu gold
501	You have %lu food
502	You find %lu food
503	You lose %lu gold
504	You lose %lu food
505	Reading...
506	Roderick
507	Alexis
508	Serena
509	Zoltan
510	Saintly
511	Angelic
512	Glorious
513	Honorable
514	Respectable
515	Average
516	Bad
517	Vile
518	Despicable
519	Monstrous
520	Notorious
521	Nothing here
522	SP Cost
523	Recall Beacon
524	Once again you've cheated death! …
525	Apothecary
526	Time
527	Thank You!
528	I can offer you nothing further.
529	"Sorry, but we are unable to train you."
530	Moon
531	Location
532	Please try back in 
533	"I cannot join you, you're party is full"
534	Become %s in %s for %lu gold
535	Learn
536	"With your skills, you should be working here as a teacher."
537	Train to level %d for %d gold
538	You need %d more experience to train to level %d
539	Buy Items
540	Sell Items
541	Identify Items
542	Repair Items
543	Special Items
544	Seek knowledge elsewhere %s the %s
545	Castle Ironfist
546	New Sorpigal
547	Free Haven
548	Arena
549	Blackshire
550	Kriegspire
551	White Cap
552	Silver Cove
553	Darkmoor
554	Mist
555	Bootleg Bay West
556	Volcano
557	Hermit's Isle
558	Child
559	Island North
560	Island South
561	"Sorry, come back another day"
562	do anything
563	Pack is Full!
564	Hic...
565	Have a Drink first...
566	Dusk
567	Night
568	Club
569	Done!
570	Good as New!
571	Ready Spell: %s
572	Scroll Left
573	Scroll Right
574	"Welcome to the Arena of Life and Death.  Remember, you are only allowed one arena combat per visit.  To fight an arena battle, select the option that best describes your abilities and return to me- if you survive…"
575	Please wait while I summon the monsters.  Good luck.
576	Congratulations on your win… here's your stuff… %u gold.
577	Get back in there you wimps…
578	Page
579	Squire
580	Knight
581	Lord
582	You already won this trip to the Arena…
583	No saving in the Arena
584	Click here to remove your Quick Spell
585	Item is not of high enough quality
586	Not enough spell points
587	Attack Bonus
588	Attack Damage
589	Shoot Bonus
590	Shoot Damage
591	Charmed
592	Shrunk
593	Slowed
594	Feebleminded
595	Wand
596	Chaplain
597	Diplomat
598	Fallen Wizard
599	Prelate
600	Sage
601	Zombie
602	History
603	Pay Fine
604	Bounty Hunt
605	Current Fine
606	Pay
607	Enslaved
608	Berserk
609	Hour of Power
610	Day of Protection
611	Play Arcomage
612	Save game corrupted!  Code=%d
613	AutoSave.dod
614	New Game
615	Save Game
616	Load Game
617	"Sound, Keyboard, Game Options…"
618	Quit
619	Return to Game
620	Rules
621	Play
622	Victory Conditions
623	Bonus
624	Physical
625	Immune
626	Resistances
627	Resistant
628	Spell
629	Spells
630	?
631	Effects
632	This skill level can not be learned by the %s class.
633	You have to be promoted to %s to learn this skill level.
634	You have to be promoted to %s or %s to learn this skill level.
635	%s stuns %s
636	%s paralyzes %s
637	%s evades damage
638	There are hostile creatures nearby!
639	A tie!
640	You won!
641	You lost!
642	Error
643	by a Tower Building Victory!
644	by Wall Building due to a Tower Building Tie!
645	by a Tower Destruction Victory!
646	by a Resource Victory!
647	by a Resource Victory due to a Tower & Wall Building Tie!
648	This character can't summon any more monsters!
649	Summoned
650	Current Hit Points
651	Hardened
652	You can not do that while you are underwater!
653	Food
654	%s's Jar
655	%s' Jar
656	Game Saved!
657	Water Breathing
658	Collect Prize
659	x: %d  y: %d
660	You are drowning!
661	You are burning!
662	Instructors
663	It will take %d day to cross to %s.
664	Click here to accept this party and continue to the game.
665	Ok Button
666	Clears all party stats and skills.
667	Clear Button
668	Subtract
669	"Subtracts a point from the highlighted skill, returning it to the bonus pool"
670	Add
671	"Adds a point from the highlighted skill, taking it from the bonus pool"
672	"For your numerous crimes and evil deeds, you have been sentenced to one year in prison."
673	You have an outstanding fine of %lu gold.  Pay your fine now or be sentenced to jail for 1 year?
674	Temp Might
675	"Magnificent! No world left behind. Not only have you walked the path of heroes in three different realms, but you have also found and caged the Runaway Chaos responsible for the whole conundrum. Now Enroth, Antagarich, and Jadame may all rest easy. And Verdant has a lot of chronicle work cut out for her."
676	"Magnificent! No world left behind. Not only have you walked the path of heroes in three different realms, but you have also found and caged the Runaway Chaos responsible for the whole conundrum. Now Enroth, Antagarich, and Jadame may all rest easy. And Verdant has a lot of chronicle work cut out for her."
677	Necromancer
678	Lich
679	Cleric
680	Priest of the Sun
681	Knight
682	Champion
683	Troll
684	War Troll
685	Minotaur
686	Minotaur Lord
687	Dark Elf
688	Dark Elf Patriarch
689	Vampire
690	Nosferatu
691	Dragon
692	Great Wyrm
693	Dark Elf Ability
694	Vampire Ability
695	Dragon Ability
696	Armor Halved
697	Melee Only
698	Damage Halved
699	Blind
700	Glamour
701	Mist Form
702	Levitation
703	Party is full!
704	Yes
705	No
706	FORWARD
707	BACKWARD
708	LEFT
709	RIGHT
710	YELL
711	JUMP
712	COMBAT
713	CAST READY
714	ATTACK
715	TRIGGER
716	CAST
717	PASS
718	CHAR CYCLE
719	QUEST
720	QUICK REF
721	REST
722	HISTORY
723	AUTO NOTES
724	MAP BOOK
725	ALWAYS RUN
726	LOOK UP
727	LOOK DOWN
728	CTR VIEW
729	ZOOM IN
730	ZOOM OUT
731	FLY UP
732	FLY DOWN
733	LAND
734	he
735	she
736	him
737	This copy of Might and Magic VIII is unregistered.  Please call Peter Ryu at New World Computing: 818-889-5600 ext: 219
738	Click the Dismiss button again to Dismiss this character...
739	"You cannot save a game called 'Empty'
Please rename this save before continuing…"
740	You cannot dismiss a character in turn based mode!
741	Potion Recipes
742	Fountains
743	Obelisks
744	Seer
745	Miscellaneous
746	Teacher Locations
747	QuikSave.dod
748	Quicksave
749	Saving Game
750	You lack the skill to animate this target.
751	
752	
753	
754	
755	
756	
757	
