2D Events by Type ( NPC's present are from NPC database)																		Schedules		Other Exits		Questbit	Enter																																										
#	#	Type	Map	Picture	Name	Proprieter Name	Title	Picture	State	Rep	Per	Val	A	B	C	Notes:	Notes(2):	Open	Closed	Pic	Map	Restrictions	Text																																										
54	1	Stables	2	27	The J.V.C Corral	Christian	Stablemaster	0	0	0	0	2	1					6	18	0	0	0	0																																										
55	2	Stables	3	27	Royal Steeds	Arthur	Stablemaster	0	0	0	0	3	1					6	18	0	0	0	0																																										
56	3	Stables	4	32	Hu's Stallions	Hu	Stablemaster	0	0	0	0	3	1					6	18	0	0	0	0																																										
57	4	Stables	5	28	Faithful Steeds	Jasper	Stablemaster	0	0	0	0	5	1					18	6	0	0	0	0																																										
58	5	Stables	6	30	Crystal Caravans	Erwin	Stablemaster	0	0	0	0	5	1					6	18	0	0	0	0																																										
59	6	Stables	13	27	Dry Saddles	William	Stablemaster	0	0	0	0	10	1					6	18	0	0	0	0																																										
60	7	Stables	14	32	Plush Coaches	Warren	Stablemaster	0	0	0	0	10	1					6	18	0	0	0	0																																										
61	8	Stables	0	27	Placeholder	Lisha	Stablemaster	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
62	9	Stables	0	27	Placeholder	Faile	Stablemaster	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
63	1	Boats	1	19	Lady Margaret	Nelson	Captain	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
64	2	Boats	3	19	Lady Catherine	Christopher	Captain	0	0	0	0	2	1					6	18	0	0	0	0																																										
65	3	Boats	4	19	Sea Sprite	Halsey	Captain	0	0	0	0	2	1					6	18	0	0	0	0																																										
66	4	Boats	6	19	Enchantress	Adric	Captain	0	0	0	0	5	1					6	18	0	0	0	0																																										
67	5	Boats	9	19	Sacred Sails	Deckert	Captain	0	0	0	0	10	1					6	18	0	0	0	0																																										
68	6	Boats	11	19	Dauntless	Jaymes	Captain	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
69	7	Boats	13	19	Narwhale	Leer	Captain	0	0	0	0	5	1					6	18	0	0	0	0																																										
70	8	Boats	14	19	Wind Runner	Yarin	Captain	0	0	0	0	5	1					6	18	0	0	0	0																																										
71	9	Boats	9	19	Mist Flyer	Maxwell	Captain	0	0	0	0	10	1					6	18	0	0	0	0																																										
72	10	Boats	0	19	Placeholder	Placeholder	Captain	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
73	11	Boats	0	19	Placeholder	Placeholder	Captain	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
74	1	Temple	1	39	Healer's Tent	Lauren	Healer	0	0	0	0	10	1					1	24	0	0	0	0																																										
75	2	Temple	2	193	WelNin Cathedral	Linzie	Healer	0	0	0	0	25	1					1	24	0	0	0	0																																										
76	3	Temple	3	193	House of Solace	Tolbert	Healer	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
77	4	Temple	4	44	Nature's Remedies	Johnathan	Healer	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
78	5	Temple	5	40	Temple of Dark	Armhin	Healer	0	0	0	0	40	1.5					13	12	0	0	0	0																																										
79	6	Temple	6	42	Temple of Light	Reginald	Healer	0	0	0	0	40	1.5					1	24	0	0	0	0																																										
80	7	Temple	7	42	Temple of Light	Bethyn	Healer	0	0	0	0	50	2					1	24	0	0	0	0																																										
81	8	Temple	8	40	Temple of Dark	Zevah	Healer	0	0	0	0	50	2					13	12	0	0	0	0																																										
82	9	Temple	10	43	Offerings and Blessings	Murray	Healer	0	0	0	0	100	2.5					13	12	0	0	0	0																																										
83	10	Temple	13	193	The Order of Tatalia	Theresa	Healer	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
84	11	Temple	14	44	Temple of Tranquility	Simon	Healer	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
85	12	Temple	39	41	Temple of Stone	Edwin	Healer	0	0	0	0	40	1.5					1	24	0	0	0	0																																										
86	13	Temple	21	193	Sanctuary	Rusina	Healer	0	0	0	0	5	1					1	24	0	0	0	0																																										
87	14	Temple	0	39	Holy Ground	Belle	Healer	0	0	0	0	1.5	1					1	24	0	0	0	0																																										
88	15	Temple	0	39	Healer's Tent	Heather	Healer	0	0	0	0	1.5	1					1	24	0	0	0	0																																										
89	1	Training	1	51	Island Training Grounds	Trajan	Instructor	0	0	0	0	10	1				5	6	18	0	0	0	0																																										
90	2	Training	2	51	Basic Principles	Hadrian	Instructor	0	0	0	0	20	1				15	6	18	0	0	0	0																																										
91	3	Training	3	51	In Her Majesty's Service	Tiberius	Instructor	0	0	0	0	25	1				25	6	18	0	0	0	0																																										
92	4	Training	4	56	The Proving Grounds	Claudius	Instructor	0	0	0	0	25	1				25	6	18	0	0	0	0																																										
93	5	Training	7	54	Trial of Honor	Nero	Instructor	0	0	0	0	30	1.5				200	6	18	0	0	0	0																																										
94	6	Training	8	52	Perdition's Flame	Kahn	Instructor	0	0	0	0	30	1.5				200	18	6	0	0	0	0																																										
95	7	Training	10	55	Applied Instruction	Augustus	Instructor	0	0	0	0	50	2.5				No Max	18	6	0	0	0	0																																										
96	8	Training	13	51	Training Essentials	Vespasian	Instructor	0	0	0	0	40	2				50	6	18	0	0	0	0																																										
97	9	Training	14	56	Avlee Gymnaisium	Justinian	Instructor	0	0	0	0	80	2				50	6	18	0	0	0	0																																										
98	10	Training	39	53	War College	Angus	Instructor	0	0	0	0	40	3				100	6	18	0	0	0	0																																										
99	11	Training	1	51	Placeholder	Constantine	Instructor	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
100	12	Training	1	51	Placeholder	Constantine	Instructor	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
101	13	Training	1	51	Placeholder	Constantine	Instructor	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
102	1	Town Hall	2	45	Harmondale Townhall	Frederick	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
103	2	Town Hall	3	45	Steadwick Townhall	Lawrence	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
104	3	Town Hall	4	50	Pierpont Townhall	Stephan	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
105	4	Town Hall	7	48	Hall of Dawn	Icarus 	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
106	5	Town Hall	8	46	Hall of Midnight	Crowley	Clerk	0	0	0	0	1.5	1					18	6	0	0	0	0																																										
107	1	Tavern	1	33	Two Palms Tavern	Aaron	Innkeep	0	0	0	0	6	1					5	2	0	0	0	0																																										
108	2	Tavern	2	33	On the House	Corbie	Innkeep	0	0	0	0	6	1					5	2	0	0	0	0																																										
109	3	Tavern	3	33	Griffin's Rest	Andrew	Innkeep	0	0	0	0	12	1					5	2	0	0	0	0																																										
110	4	Tavern	4	38	Emerald Inn	Emeril	Innkeep	0	0	0	0	12	1					5	2	0	0	0	0																																										
111	5	Tavern	5	34	The Snobbish Goblin	Kasia	Innkeep	0	0	0	0	14	1					17	14	0	0	0	0																																										
112	6	Tavern	6	36	Familiar Place	Bismor	Innkeep	0	0	0	0	14	1					5	2	0	0	0	0																																										
113	7	Tavern	7	36	The Blessed Brew	Joseph	Innkeep	0	0	0	0	30	1.5					5	2	0	0	0	0																																										
114	8	Tavern	8	34	The Vampyre Lounge 	Paul	Innkeep	0	0	0	0	30	1.5					17	14	0	0	0	0																																										
115	9	Tavern	9	33	The Laughing Monk	Winston	Innkeep	0	0	0	0	6	1					5	2	0	0	0	0																																										
116	10	Tavern	10	37	Fortune's Folly	Phillepe	Innkeep	0	0	0	0	60	2					17	14	0	0	0	0																																										
117	11	Tavern	11	35	Miner's Only	Irving	Innkeep	0	0	0	0	18	1					5	2	0	0	0	0																																										
118	12	Tavern	13	33	The Loyal Mercenary	Karl	Innkeep	0	0	0	0	20	1.5					5	2	0	0	0	0																																										
119	13	Tavern	14	38	The Potted Pixie	Conor	Innkeep	0	0	0	0	20	1.5					5	2	0	0	0	0																																										
120	14	Tavern	39	35	Grogg's Grog	Grogg	Innkeep	0	0	0	0	20	1.5					5	2	0	0	0	0																																										
121	15	Tavern	0	33	Knightly Pursuits	Michael	Innkeep	0	0	0	0	6	1					8	2	0	0	0	0																																										
122	16	Tavern	0	33	The Last Resort	Shamus	Innkeep	0	0	0	0	6	1					8	2	0	0	0	0																																										
123	17	Tavern	0	33	Garrion's Roadhouse	Garrion	Innkeep	0	0	0	0	6	1					8	2	0	0	0	0																																										
124	18	Tavern	0	33	Creature Comforts	Alacrity	Innkeep	0	0	0	0	6	1					8	2	0	0	0	0																																										
125	19	Tavern	0	33	So You Want to be a Hero?	Hobart	Innkeep	0	0	0	0	6	1					8	2	0	0	0	0																																										
126	20	Tavern	0	33	The Elegant Orc	Morley	Innkeep	0	0	0	0	6	1					8	2	0	0	0	0																																										
127	21	Tavern	0	33	The Bird Paradise	Talia	Innkeep	0	0	0	0	6	1					8	2	0	0	0	0																																										
128	1	Bank	2	13	The Vault	Dannar	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
129	2	Bank	3	13	Bank of Erathia	Arlis	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
130	3	Bank	4	18	Nature's Stockpile	Bremen	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
131	4	Bank	7	16	Material Wealth	Riyan	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
132	5	Bank	8	14	Frozen Assets	Greed	Banker	0	0	0	0	1	1					18	6	0	0	0	0																																										
133	6	Bank	13	13	The Depository	Tharpe	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
134	7	Bank	14	18	Halls of Gold	Daniv	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
135	8	Bank	39	15	Mineral Wealth	Rialt	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
136	9	Bank	0	13	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
137	10	Bank	0	13	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
138	11	Bank	0	13	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
139	1	Fire Guild	1	67	Initiate Guild of Fire	Sethric	Guildmaster	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
140	2	Fire Guild	2	67	Adept Guild of Fire	Jani	Guildmaster	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
141	3	Fire Guild	4	67	Master Guild of Fire	Halion	Guildmaster	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
142	4	Fire Guild	10	67	Paramount Guild of Fire	Rohan	Guildmaster	0	0	0	0	5	2.5		28			18	6	0	0	0	0																																										
143	1	Air Guild	1	63	Initiate Guild of Air	Jenny	Guildmaster	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
144	2	Air Guild	2	63	Adept Guild of Air	Pearl	Guildmaster	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
145	3	Air Guild	4	63	Master Guild of Air	Breeze	Guildmaster	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
146	4	Air Guild	7	63	Paramount Guild of Air	Summer	Guildmaster	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
147	1	Water Guild	2	71	Initiate Guild of Water	Ullen	Guildmaster	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
148	2	Water Guild	4	71	Adept Guild of Water	Arthra	Guildmaster	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
149	3	Water Guild	6	71	Master Guild of Water	Lund	Guildmaster	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
150	4	Water Guild	9	71	Paramount Guild of Water	Faolain	Guildmaster	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
151	1	Earth Guild	2	66	Initiate Guild of Earth	Pebble	Guildmaster	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
152	2	Earth Guild	4	66	Adept Guild of Earth	Cyrino	Guildmaster	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
153	3	Earth Guild	39	66	Master Guild of Earth	Ariha	Guildmaster	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
154	4	Earth Guild	8	66	Paramount Guild of Earth	Beld	Guildmaster	0	0	0	0	5	2.5		28			18	6	0	0	0	0																																										
155	1	Spirit Guild	1	70	Initiate Guild of Spirit	Fialt	Guildmaster	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
156	2	Spirit Guild	2	70	Adept Guild of Spirit	Wally	Guildmaster	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
157	3	Spirit Guild	5	70	Master Guild of Spirit	Serenity	Guildmaster	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
158	4	Spirit Guild	3	70	Paramount Guild of Spirit	Merluynd	Guildmaster	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
159	1	Mind Guild	2	69	Initiate Guild of Mind	Lyric	Guildmaster	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
160	2	Mind Guild	3	69	Adept Guild of Mind	Agatha	Guildmaster	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
161	3	Mind Guild	13	69	Master Guild of Mind	Sevrin	Guildmaster	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
162	4	Mind Guild	14	69	Paramount Guild of Mind	Regina	Guildmaster	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
163	1	Body Guild	1	64	Initiate Guild of Body	Standish	Guildmaster	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
164	2	Body Guild	2	64	Adept Guild of Body	Jerald	Guildmaster	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
165	3	Body Guild	3	64	Master Guild of Body	Ubrecht	Guildmaster	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
166	4	Body Guild	14	64	Paramount Guild of Body	Aramis	Guildmaster	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
167	1	Light Guild	6	68	Guild of Illumination	Lews	Guildmaster	0	0	0	0	4	2		14			6	18	0	0	0	0																																										
168	2	Light Guild	7	68	Guild of Enlightenment	Therin	Guildmaster	0	0	0	0	5	2.5		14			6	18	0	0	0	0																																										
169	1	Dark Guild	5	65	Guild of Twilight	Porthos	Guildmaster	0	0	0	0	4	2		14			18	6	0	0	0	0																																										
170	2	Dark Guild	8	65	Guild of Night	Anguish	Guildmaster	0	0	0	0	5	2.5		14			18	6	0	0	0	0																																										
171	1	Self Guild	1	65	Placeholder	Placeholder	Guildmaster	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
172	2	Self Guild	1	65	Placeholder	Placeholder	Guildmaster	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
173	1	Castle Entrance	2	192	Castle Harmondale	Placeholder		0	0	0	0	1.5				129		6	18	0	0	0	0																																										
174	2	Throne	1	168	Throne Room	Placeholder		0	0	0	0	1.5				168				0	0	0	0																																										
175	1	Castle Entrance	3	133	Castle Gryphonheart	Placeholder		0	0	0	0	1.5				133		6	18	0	0	0	0																																										
176	2	Throne	1	169	Throne Room	Placeholder		0	0	0	0	1.5				169		6	18	0	0	0	0																																										
177	1	Castle Entrance	4	134	Castle Navan	Placeholder		0	0	0	0	1.5				134		6	18	0	0	0	0																																										
178	2	Throne	1	170	Throne Room	Placeholder		0	0	0	0	1.5				170		6	18	0	0	0	0																																										
179	1	Castle Entrance	8	144	Castle Gloaming	Placeholder		0	0	0	0	1.5				1		6	18	0	0	0	0																																										
180	2	Throne	1	172	Throne Room	Placeholder		0	0	0	0	1.5				172		18	6	0	0	0	0																																										
181	1	Castle Entrance	7	141	Castle Lambent	Placeholder		0	0	0	0	1.5				1		6	18	0	0	0	0																																										
182	2	Throne	1	171	Throne Room	Placeholder		0	0	0	0	1.5				171		6	18	0	0	0	0																																										
183	1	Castle Entrance	1	1	Castle Deadwood	Placeholder		0	0	0	0	1.5				1		6	18	0	0	0	0																																										
184	2	Throne	1	181	Throne Room	Placeholder		0	0	0	0	1.5				Kastore		18	6	0	0	0	0																																										
185	1	Master Thief	1	173	Master Thief			0	0	0	0	1.5				1				0	0	0	0																																										
186	1	Lord and Judge	1	72	Markham's Headquarters	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
187	1	Jail	1	167	Prison	Placeholder		0	0	0	0	1.5								0	0	0	0																																										
188	1	Seer Good	2	179	Arbiter	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
189	1	The Seer	2	178	Arbiter	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
190	1	Seer Evil	2	180	Arbiter	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
191	1	Dungeon Ent	1	127	Temple of the Moon	Placeholder		0	0	0	0	1.5						6	18	3	0	0	0																																										
192	2	Dungeon Ent	1	128	Dragon's Lair	Placeholder		0	0	0	0	1.5						6	18	3	0	0	0																																										
193	3	Dungeon Ent	2	129	Castle Harmondale	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
194	4	Dungeon Ent	2	130	White Cliff Caves	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
195	5	Dungeon Ent	3	131	Erathian Sewer	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
196	6	Dungeon Ent	3	132	Fort Riverstride	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
197	7	Dungeon Ent	4	135	Tularean Caves	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
198	8	Dungeon Ent	4	136	Clanker's Laboratory	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
199	9	Dungeon Ent	5	137	Hall of the Pit	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
200	10	Dungeon Ent	5	138	Watchtower 6	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
201	11	Dungeon Ent	6	139	School of Sorcery	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
202	12	Dungeon Ent	6	140	Red Dwarf Mines	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
203	13	Dungeon Ent	7	142	Walls of Mist	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
204	14	Dungeon Ent	7	143	Temple of the Light	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
205	15	Dungeon Ent	8	145	Breeding Zone	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
206	16	Dungeon Ent	8	146	Temple of the Dark	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
207	17	Dungeon Ent	9	147	Grand Temple of the Moon	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
208	18	Dungeon Ent	9	148	Grand Temple of the Sun	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
209	19	Dungeon Ent	10	149	Thunderfist Mountain	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
210	20	Dungeon Ent	10	150	The Maze	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
211	21	Dungeon Ent	11	154	Stone City	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
212	22	Dungeon Ent	12	156	Colony Zod	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
213	23	Dungeon Ent	13	160	Mercenary Guild	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
214	24	Dungeon Ent	13	161	Tidewater Caverns	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
215	25	Dungeon Ent	13	162	Wine Cellar	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
216	26	Dungeon Ent	14	163	Titan's Stronghold	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
217	27	Dungeon Ent	14	164	Temple of Baa	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
218	28	Dungeon Ent	14	165	Hall under the Hill	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
219	29	Dungeon Ent	15	166	The Lincoln	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
220	30	Dungeon Ent	10	157	Tunnels to Eeofol	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
221	31	Dungeon Ent	10	151	Thunderfist Mountain	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
222	32	Dungeon Ent	10	151	Nighon Tunnels	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
223	1	Hive Ent	1	1	Placeholder	Placeholder		0	0	0	0	1.5						6	18	0	0	0	0																																										
224	1	House 224	1	73	Donna Wyrith's Residence			0	0	0	0	1.5																																																					
225	2	House 225	1	74	Mia Lucille' Home			0	0	0	0	1.5																																																					
