Text Number From NPC Events.Doc		Notes
257	_(TRANS)_	Master disarm traps training
258	_(TRANS)_	Expert learning training
259	_(TRANS)_	Master learning training
260	_(TRANS)_	Location of Staff Master Teacher
261	_(TRANS)_	Location of Sword Master Teacher
262	_(TRANS)_	Location of Dagger Master Teacher
263	_(TRANS)_	Location of Axe Master Teacher
264	_(TRANS)_	Location of Spear Master Teacher
265	_(TRANS)_	Location of Bow Master Teacher
266	_(TRANS)_	Location of Mace Master Teacher
267	_(TRANS)_	Location of Blaster Master Teacher
268	_(TRANS)_	Location of Shield Master Teacher
269	_(TRANS)_	Location of Leather Master Teacher
270	_(TRANS)_	Location of Chain Master Teacher
271	_(TRANS)_	Location of Plate Master Teacher
272	_(TRANS)_	Location of Fire Master Teacher
273	_(TRANS)_	Location of Air Master Teacher
274	_(TRANS)_	Location of Water Master Teacher
275	_(TRANS)_	Location of Earth Master Teacher
276	_(TRANS)_	Location of Spirit Master Teacher
277	_(TRANS)_	Location of Mind Master Teacher
278	_(TRANS)_	Location of Body Master Teacher
279	_(TRANS)_	Location of Light Master Teacher
280	_(TRANS)_	Location of Dark Master Teacher
281	_(TRANS)_	Location of Identify Master Teacher
282	_(TRANS)_	Location of Merchant Master Teacher
283	_(TRANS)_	Location of Repair Master Teacher
284	_(TRANS)_	Location of Body Building Master Teacher
285	_(TRANS)_	Location of Meditation Master Teacher
286	_(TRANS)_	Location of Perception Master Teacher
287	_(TRANS)_	Location of Diplomacy Master Teacher
288	_(TRANS)_	Location of Disarm Master Teacher
289	_(TRANS)_	Location of Learning Master Teacher
290	_(TRANS)_	
291	_(TRANS)_	
292	_(TRANS)_	
293	_(TRANS)_	
294	_(TRANS)_	
295	_(TRANS)_	
296	_(TRANS)_	
297	_(TRANS)_	
298	_(TRANS)_	
299	_(TRANS)_	
300	_(TRANS)_	
301	_(TRANS)_	
302	_(TRANS)_	
303	_(TRANS)_	
304	_(TRANS)_	
305	_(TRANS)_	
306	_(TRANS)_	
307	Put Text Here 307	
308	_(TRANS)_	
309	_(TRANS)_	
310	_(TRANS)_	
311	_(TRANS)_	
312	_(TRANS)_	
313	_(TRANS)_	
314	_(TRANS)_	
315	_(TRANS)_	
316	_(TRANS)_	
317	_(TRANS)_	
318	_(TRANS)_	
319	_(TRANS)_	
320	_(TRANS)_	
321	_(TRANS)_	
322	_(TRANS)_	
323	_(TRANS)_	
324	_(TRANS)_	
325	_(TRANS)_	
326	_(TRANS)_	
327	_(TRANS)_	
328	_(TRANS)_	
329	_(TRANS)_	
330	_(TRANS)_	
331	_(TRANS)_	
332	_(TRANS)_	
333	_(TRANS)_	
334	_(TRANS)_	
335	_(TRANS)_	
336	_(TRANS)_	
337	_(TRANS)_	
338	_(TRANS)_	
339	_(TRANS)_	
340	_(TRANS)_	
341	_(TRANS)_	
342	_(TRANS)_	
343	Put Text Here 343	
344	Put Text Here 344	
345	Put Text Here 345	
346	Put Text Here 346	
347	_(TRANS)_	
348	_(TRANS)_	
349	_(TRANS)_	
350	_(TRANS)_	
351	_(TRANS)_	
352	_(TRANS)_	
353	_(TRANS)_	
354	_(TRANS)_	
355	_(TRANS)_	
356	_(TRANS)_	
357	_(TRANS)_	
358	_(TRANS)_	
359	_(TRANS)_	
360	_(TRANS)_	
361	Put Text Here 361	
362	_(TRANS)_	
363	_(TRANS)_	
364	_(TRANS)_	
365	_(TRANS)_	
366	_(TRANS)_	
367	Put Text Here 367	
368	Put Text Here 368	
369	Put Text Here 369	
370	Put Text Here 370	
371	Put Text Here 371	
372	Put Text Here 372	
373	Put Text Here 373	
374	Put Text Here 374	
375	_(TRANS)_	
376	_(TRANS)_	
377	_(TRANS)_	
378	_(TRANS)_	
379	_(TRANS)_	
380	_(TRANS)_	
381	_(TRANS)_	
382	_(TRANS)_	
383	_(TRANS)_	
384	_(TRANS)_	
385	_(TRANS)_	
386	_(TRANS)_	
387	_(TRANS)_	
388	_(TRANS)_	
389	_(TRANS)_	
390	_(TRANS)_	
391	_(TRANS)_	
392	_(TRANS)_	
393	_(TRANS)_	
394	_(TRANS)_	
395	_(TRANS)_	
396	_(TRANS)_	
397	_(TRANS)_	
398	_(TRANS)_	
399	_(TRANS)_	
400	_(TRANS)_	
401	_(TRANS)_	
402	_(TRANS)_	
403	_(TRANS)_	
404	_(TRANS)_	
405	_(TRANS)_	
406	_(TRANS)_	
407	_(TRANS)_	
408	_(TRANS)_	
409		
410	_(TRANS)_	
411	_(TRANS)_	
412	_(TRANS)_	
413	_(TRANS)_	
414	_(TRANS)_	
415	_(TRANS)_	
416	_(TRANS)_	
417	_(TRANS)_	
418	_(TRANS)_	
419	_(TRANS)_	
420	_(TRANS)_	
421	_(TRANS)_	
422	_(TRANS)_	
423	_(TRANS)_	
424	_(TRANS)_	
425	_(TRANS)_	
426	_(TRANS)_	
427	_(TRANS)_	
428	_(TRANS)_	
429	_(TRANS)_	
430	_(TRANS)_	
431	_(TRANS)_	
432	_(TRANS)_	
433	_(TRANS)_	
434	_(TRANS)_	
435	_(TRANS)_	
436	_(TRANS)_	
437	_(TRANS)_	
438	_(TRANS)_	
439	_(TRANS)_	
440	_(TRANS)_	
441	_(TRANS)_	
442	_(TRANS)_	
443	_(TRANS)_	
444	_(TRANS)_	
445	_(TRANS)_	
446	_(TRANS)_	
447	_(TRANS)_	
448	_(TRANS)_	
449	_(TRANS)_	
450	_(TRANS)_	
451	_(TRANS)_	
452	_(TRANS)_	
453	_(TRANS)_	
454	_(TRANS)_	
455	_(TRANS)_	
456	_(TRANS)_	
457	_(TRANS)_	
458		
459		
460		
461		
462		
463		
464		
465		
466		
467		
468		
469		
470		
471		
472		
473		
474		
475		
476		
477		
478		
479		
480		
481		
482		
483		
484		
485		
486		
487		
488		
489		
490		
491		
492		
493		
494		
495		
496		
497		
498		
499		
500		
501	_(TRANS)_	I do not believe these topics are currently being used.
502	_(TRANS)_	I do not believe these topics are currently being used.
503	_(TRANS)_	I do not believe these topics are currently being used.
504	_(TRANS)_	I do not believe these topics are currently being used.
505	_(TRANS)_	I do not believe these topics are currently being used.
506	_(TRANS)_	I do not believe these topics are currently being used.
507	_(TRANS)_	I do not believe these topics are currently being used.
508	_(TRANS)_	I do not believe these topics are currently being used.
509	_(TRANS)_	I do not believe these topics are currently being used.
510	_(TRANS)_	I do not believe these topics are currently being used.
511	_(TRANS)_	I do not believe these topics are currently being used.
512	_(TRANS)_	I do not believe these topics are currently being used.
513	_(TRANS)_	I do not believe these topics are currently being used.
514	_(TRANS)_	I do not believe these topics are currently being used.
515	_(TRANS)_	I do not believe these topics are currently being used.
516	_(TRANS)_	I do not believe these topics are currently being used.
517	_(TRANS)_	I do not believe these topics are currently being used.
518		
519		
520		
521		
522		
523		
524		
525		
