															
															
#	Fire Spells		Res	Short Name	A	X	M	魔法说明	标准级	专家级	大师级				
25	3	御寒奇术	none	御寒奇术	3	3	3	提高所有角色的防冻能力。并且持续时间为魔法等级乘以一小时。	防御力为每魔法等级一点	防御力为每魔法等级二点	防御力为每魔法等级三点				
26	4	毒液喷发	Pois	毒液喷发	4	4	4	可以向你正前方的怪兽喷射毒液。尽管攻击力较差，但因为大多数怪兽不具防毒能力，所以非常有效。每次发射的攻击力为二点加上自身魔法等级的1-2倍。	恢复速度中等，可以发射一束	恢复较快，可以发射三束	恢复最快，可以发射五束				
27	5	凌波微步	none	凌波微步	5	5	5	它只能在室外使用。可以使你的角色在水面行走自如。	持续时间为五分钟乘以魔法等级	持续时间为十分钟乘以魔法等级	持续时间为一小时乘以魔法等级				
28	6	霹雳寒冰	Cold	霹雳寒冰	8	8	8	可以向单一目标发射寒冰霹雳。攻击力为自身魔法等级的1-7倍。	恢复速度中等	恢复较快	恢复最快				
29	7	天赋魔力	none	天赋魔力	10	10	10	使角色点化普通物品使其具有魔力。成功率为10%乘以魔法等级数。只有达到大师级水平才可以点化武器。	点化威力较弱	点化威力较强	可以点化武器				
30	8	酸弹飞射	Pois	酸弹飞射	15	15	15	可以向单一目标发射强酸。它的攻击力为九点加上自身魔法等级的1-9倍，并且百发百中。绝大多数怪兽不具有抗酸能力。	恢复速度中等	恢复较快	恢复最快				
31	9	时空之门	none	时空之门	20	20	20	该魔法可把队伍远距离传送到上次去过的镇子中央喷泉边。成功概率为10%乘以魔法等级。	只在室外有效	可以在室内使用	在任何地点均有效，并可直达目的地				
32	10	寒冰爆裂	Cold	寒冰爆裂	25	25	25	可以向正前方的目标发射冰球。当冰球击中目标会散出七块碎片向四周发散，但不会危及角色自身。每块碎片的攻击力为十二点加上自身魔法等级的1-2倍。	恢复较慢	恢复较快	恢复最快				
33	11	时空道标	none	时空道标	30	30	30	该项魔法可以让你在将来想要远程传送回来的地点上设置一个标记（道标）。道标持续而不消失的时间的长短根据你的水系魔法等级和头衔（普通/专家/大师）而定。当你想传送回某个旧道标处，或是想设置一个新道标，或是想更新一个旧道标时，请施展该魔法。	有一个道标，持续时间为一小时乘以魔法等级	有三个道标，持续时间为一天乘以魔法等级	有五个道标，持续时间为一周乘以魔法等级				
	Earth Spells		Res					魔法说明							
34	1	晕眩重击	Magic	晕眩重击	1	1	1	可以使你用魔法击打怪兽使其失去知觉，但不能取它性命。你的魔法等级越多，该魔法的威力越大。	威力一般	威力较大	威力最大				
35	2	魔法神箭	Phys	魔法神箭	2	1	0	可以产生并发射魔法箭。不同于其他魔法，它的准确性极差。当你达到该魔法的大师级水准，就可以不消耗点数而发射魔法。每箭的攻击力为3-8点。	消耗二点魔法值	消耗一点魔法值，恢复较快	不消耗魔法，恢复最快				
36	3	御魔奇术	none	御魔奇术	3	3	3	提高你的角色防御魔法的能力。	每个魔法等级提高防御力一点	每个魔法等级提高防御力二点	每个魔法等级提高防御力三点				
37	4	致命毒蜂	Phys	致命毒蜂	4	4	4	可以使你召唤大批蜇人蜂袭击单一的目标。每群蜂群的攻击力为五点加上自身魔法等级的1-3倍。该魔法百试不爽，并且无人能抵御该魔法攻击。	恢复速度中等	恢复较快	恢复最快				
38	5	护体石肤	none	护体石肤	5	5	5	提高某个角色的铠甲等级，增加点数为五点加上魔法等级。	持续时间为一小时加上五分钟乘以魔法等级	对所有角色有效	持续时间为一小时加上十五分钟乘以魔法等级				
39	6	旋转飞镖	Phys	旋转飞镖	8	8	8	可以向单一目标发射旋转刀刃。每片刀刃的攻击力为自身魔法等级的1-5倍。	恢复速度中等	恢复较快	恢复最快				
40	7	解除石化	none	解除石化	10	10	10	如果及时发射此魔法可以破解石化魔法，恢复原形。魔法的点数越多，等级越高，它可以破解的受害时间就越长（只要没有超过恢复临界点）。但超过了有效救治时间，又没有普渡众生魔法，要破解魔法只能去神庙救治。	可以破解的最长石化时间为三分钟乘以魔法等级	可以破解的最长石化时间为一小时乘以魔法等级	可以破解的最长石化时间为一天乘以魔法等级				
41	8	巨石轰击	Phys	巨石轰击	15	15	15	可以向目标发射魔法石，石头只有击中目标才会爆炸，并且可能伤害你自己。爆炸威力为魔法等级的1-8倍。	恢复速度中等	恢复较快	恢复最快				
42	9	石化大法	Magic	石化大法	20	20	20	可以使目标暂时变成石头。任何进攻对这些石头像都无能为力。	持续时间为五分钟乘以魔法等级	持续时间为十分钟乘以魔法等级	持续时间为二十分钟乘以魔法等级				
43	10	死亡之花	Phys	死亡之花	25	25	25	可以向空中发射魔法石，该石头落地后产生的爆炸威力极大，范围极广。攻击力为二十点加上自身的魔法等级。它只能在室外使用。	恢复速度中等	恢复较快，有效范围较大	恢复最快，有效范围最大				
44	11	力压千钧	Magic	力压千钧	30	30	30	可以瞬间使目标的重量急剧增加，从而攻击其内部机能。攻击力为该目标生命值的25%加上魔法等级的2%。攻击对象越庞大，攻击力就越大。	恢复较慢	恢复较快	恢复最快				
	Spirit Spells		Res					魔法说明							
45	1	幽灵神箭	Magic	幽灵神箭	1	1	0	可以向单一目标发射具有反精神能量的外质霹雳。该魔法有时会错过目标，但灵魂魔法的高超技能可以弥补其攻击成功率。它的攻击力为1-6点。	恢复速度中等	恢复较快	不消耗魔法				
46	2	圣灵佑佐	none	圣灵佑佐	2	2	2	可以帮助角色在肉搏战和飞弹袭击中提高攻击成功率。该角色的攻击成功率增加点数为五点加上魔法等级。	持续时间为一小时加上五分钟乘以魔法等级	对所有角色有效	持续时间为一小时加上十五分钟乘以魔法等级				
47	3	回春妙手	none	回春妙手	3	3	3	可以使一个角色的生命值恢复3-7点。该项技能越高，恢复时间越快。	修补3-7点生命值	修补6-9点生命值	修补7-11点生命值				
48	4	幸运之日	none	幸运之日	4	4	4	暂时增加单个角色的运气点数。	运气值增加十点加每个魔法等级二点	运气值增加十点加每个魔法等级三点	对所有角色有效				
49	5	驱魔除咒	none	驱魔除咒	5	5	5	如果及时使用该魔法可以破解所受魔法。魔法等级越多，等级越高，可以破解魔法的受害时间越长（没有超过恢复临界点）。但超过了有效救治时间，又没有普渡众生魔法，破解魔法只有去神庙治疗。	可以救治的最长被诅咒时间为三分钟乘以魔法等级	可以救治的最长被诅咒时间为一小时乘以魔法等级	可以救治的最长被诅咒时间为一天乘以魔法等级				
50	6	守护天使	none	守护天使	8	8	8	为你的角色寻求神灵的保护，在死亡后把你的队伍带到你上次去的神庙治疗。你要花费死亡时身上携带的一半金币作为医疗费。该魔法持续为一小时乘以魔法等级。	每个角色复生各剩一点生命值	每个角色复生各剩一半生命值	每个角色复生并且生命值加满				
51	7	天赐神力	none	天赐神力	10	10	10	一旦角色成功击中目标，该魔法可提高其攻击力。增加点数为五点加上灵魂魔法等级。	持续时间为一小时加上五分钟乘以魔法等级	对所有角色有效	持续时间为一小时加上十五分钟乘以魔法等级				
52	8	驱散亡灵	Magic	驱散亡灵	15	15	15	使所有视野范围内的亡灵怪兽全部望风而逃。该魔法的有效时间为三分钟加上三分钟乘以魔法等级。	恢复速度中等	恢复较快	恢复最快				
53	9	死而复生	none	死而复生	20	20	20	如果及时施放该魔法可以有起死回生的作用。灵魂魔法的点数越多，等级越高，可以救治的死亡持续时间就越长（没有达到恢复临界点）。但超过有效救治时间，又没有普渡众生魔法，要破解所中魔法只有去神庙治疗。使用该魔法会使你的身体状况降到虚弱。	可以救治的最长死亡时间为三分钟乘以魔法等级	可以救治的最长死亡时间为一小时乘以魔法等级	可以救治的最长死亡时间为一天乘以魔法等级				
54	10	分享生命	none	分享生命	25	25	25	该魔法可以平均分配你的角色的生命值。所有角色的生命值相加，再加上每魔法等级一点额外的生命值，然后平均分配给每个角色。但是角色所得到的生命值不能超过其最大值。	每个魔法等级增加一点全员总生命值	每个魔法等级增加二点全员总生命值	每个魔法等级增加三点全员总生命值				
55	11	转世重生	none	转世重生	30	30	30	如果你及时发射该魔法可以使你的灰飞烟灭（尸体也被毁）的角色重新生机勃勃。该项技能点数越多，等级越高，可以救治的灰飞烟灭持续时间就越长（没有超过恢复临界点）。否则只有去神庙治疗。发射该魔法会使你的身体处于虚弱状态。	可以救治的最长灰飞烟灭时间为三分钟乘以魔法等级	可以救治的最长灰飞烟灭时间为一小时乘以魔法等级	可以救治的最长灰飞烟灭时间为一天乘以魔法等级				
	Mind Spells		Res					魔法说明							
56	1	点化智慧	none	点化智慧	1	1	1	可以暂时提高一个角色的智力值和性格值。	智力和性格的增加值为十点加上每个魔法等级二点	智力和性格的增加值为十点加上每个魔法等级三点	对所有角色都有效				
57	2	驱逐恐惧	none	驱逐恐惧	2	2	2	如果及时发射该魔法可以摆脱恐惧心理。心智魔法的点数越多，等级越高，可以解除的恐惧心理持续时间就越长（没有达到恢复临界点）。但超过有效救治时间，又没有普渡众生魔法，要解除恐惧只有去神庙治疗。	可以治疗的最长恐惧时间为三分钟乘以魔法等级	可以治疗的最长恐惧时间为一小时乘以魔法等级	可以治疗的最长恐惧时间为一天乘以魔法等级				
58	3	惊心动魄	Magic	惊心动魄	3	3	3	可以向单一目标的精神系统发射心理的强力霹雳。它的攻击力为五点加上魔法等级的1-2倍。	恢复速度中等	恢复较快	恢复最快				
59	4	百发百中	none	百发百中	4	4	4	暂时提高一个角色的精确值。	精确增加值为十点加上每个魔法等级二点	精确增加值为十点加上每个魔法等级三点	对所有角色有效				
60	5	治愈麻痹	none	治愈麻痹	5	5	5	如果你及时发射该魔法可以治疗麻痹。心智魔法的点数越多，等级越高，可以解除的麻痹持续时间越长（没有达到恢复临界点）。但超过有效救治时间又没有普渡众生魔法，要解除麻痹只有去神庙治疗。	可以救治的最长麻痹时间为三分钟乘以魔法等级	可以救治的最长麻痹时间为一小时乘以魔法等级	可以救治的最长麻痹时间为一天乘以魔法等级				
61	6	消除敌意	Magic	消除敌意	8	8	8	可以使单一目标平息怒气，消除对你的敌意。但如果它遭到攻击，将立刻重新还击。	持续时间为三分钟乘以魔法等级	持续时间为六分钟乘以魔法等级	持续时间为十二分钟乘以魔法等级				
62	7	凶神恶煞	Magic	凶神恶煞	10	10	10	可以使你视野范围内的怪物全部望风而逃。但如果怪兽遭到攻击，此咒会立刻失效。该魔法对亡灵怪兽无能为力。它的有效时间为三分钟乘以魔法等级。	恢复速度中等	恢复较快	恢复最快				
63	8	封魔禁咒	Magic	封魔禁咒	15	15	15	该魔法可以使目标丧失施展魔法的能力。有效时间为五分钟乘以魔法等级。	恢复速度中等	恢复较快	恢复最快				
64	9	治愈痴狂	none	治愈痴狂	20	20	20	如果你及时发射该魔法可以治疗痴狂。心智魔法等级越高，可以治疗的疯病持续时间就越长（没有超过恢复临界点）。但过了有效时间，又没有普渡众生魔法，要解除疯病只有去神庙治疗。	可以救治的最长患病时间为三分钟乘以魔法等级	可以救治的最长患病时间为一小时乘以魔法等级	可以救治的最长患病时间为一天乘以魔法等级				
65	10	魂飞魄散	Magic	魂飞魄散	25	25	25	与惊心动魄魔法相同，它可以对单个目标进行心智打击，而且它的威力更大。其攻击力为十二点加上魔法等级的1-12倍。	恢复较慢	恢复较快	恢复最快				
66	11	隔空取物	none	隔空取物	30	30	30	你可以远距离操纵某物体。从远处就能完成一些例如扳动开关、拣拾物品、开门等动作，从而避开那些险恶的陷阱。	每个魔法等级有一点力量效果值	每个魔法等级有二点力量效果值	每个魔法等级有三点力量效果值				
	Body Spells		Res					魔法说明							
67	1	治愈虚弱	none	治愈虚弱	1	1	1	如果你及时发射该魔法可以治疗虚弱。魔法等级越多，等级越高，可以治疗的虚弱持续时间就越长（没有超过恢复临界点）。但超过有效救治时间，又没有普渡众生魔法，要治疗虚弱只有去神庙治疗。	可以救治的最长虚弱时间为三分钟乘以魔法等级	可以救治的最长虚弱时间为一小时乘以魔法等级	可以救治的最长虚弱时间为一天乘以魔法等级				
68	2	急救奇术	none	急救奇术	2	2	2	可以恢复单个治疗对象的生命值。肢体魔法等级越高，恢复时间越短。	恢复五点生命值	恢复七点生命值	恢复十点生命值				
69	3	防毒奇术	none	防毒奇术	3	3	3	可以提高所有角色的抗毒能力。	每个魔法等级防御力为一点	每个魔法等级防御力为二点	每个魔法等级防御力为三点				
70	4	魔法伤害	Magic	魔法伤害	4	4	4	可以直接用魔法攻击单一目标。攻击力为八点加上自身魔法等级的1-2倍。	恢复速度中等	恢复较快	恢复最快				
71	5	治愈伤口	none	治愈伤口	5	5	5	可以恢复施放对象的生命值。所恢复点数为五点加上自身魔法等级的两倍。	恢复速度中等	恢复较快	恢复最快				
72	6	疗毒妙方	none	疗毒妙方	8	8	8	如果及时发射此魔法可以为一个角色驱毒。魔法等级越多，等级越高，可以治疗的中毒时间就越长（没有达到恢复临界点）。但超过有效救治时间又没有普渡众生魔法，要想驱毒，只有去神庙治疗。	可以救治的最长中毒时间为三分钟乘以魔法等级	可以救治的最长中毒时间为一小时乘以魔法等级	可以救治的最长中毒时间为一天乘以魔法等级				
73	7	加速神术	none	加速神术	10	10	10	暂时提高一个角色的速度值。	速度增加值为十点加上每个魔法等级二点	速度增加值为十点加上每个魔法等级三点	魔法对所有角色有效				
74	8	治愈疾病	none	治愈疾病	15	15	15	如果及时发射该魔法可以为一个角色治病。魔法的点数越多，等级越高，可以治愈的患病时间就越长（没有达到恢复临界点）。但超过有效救治时间，又没有普渡众生魔法，要治病只有去神庙治疗。	可以救治的最长患病时间为三分钟乘以魔法等级	可以救治的最长患病时间为一小时乘以魔法等级	可以救治的最长患病时间为一天乘以魔法等级				
75	9	神力相助	none	神力相助	20	20	20	可以暂时提高单个角色的力量值和耐力值。	力量和耐力增加值为十点加上每个魔法等级二点	力量和耐力增加值为十点加上每个魔法等级三点	对所有角色都有效				
76	10	神拳出击	Magic	神拳出击	25	25	25	可以向单一目标发射强力魔法攻击。攻击力为三十点加上魔法等级的1-5倍。	恢复较慢	恢复较快	恢复最快				
77	11	疗伤圣法	none	疗伤圣法	30	30	30	可以恢复所有角色的生命值。所恢复点数为十点加上自身魔法等级的2倍。	恢复较慢	恢复较快	恢复最快				
	Light Spells		Res					魔法说明							
78	1	制造食物	none	制造食物	20	20	20	如果你缺少食物，使用此魔法可以增加食物。	提供一天加上每十个魔法等级一天的食物	提供一天加上每十个魔法等级二天的食物	提供一天加上每十个魔法等级三天的食物				
79	2	点物成金	none	点物成金	25	25	25	使你所携带物品中所选定的一项变成金币。其数量为该物品实际价值的40%。每点魔法等级有10%的点化成功率。如果魔法失效，物品将毁坏。	使物品变成原值40%的金币	使物品变成原值60%的金币	使物品变成原值80%的金币				
80	3	驱散魔法	none	驱散魔法	30	30	30	可以解除视野中所有生物所中的魔法禁咒，此项魔法有利也有弊。恢复所减少的点数等于自身的魔法等级。	恢复速度中等	恢复较快	恢复最快				
81	4	迟缓大法	Magic	迟缓大法	35	35	35	可以使单个怪物的行走速度减半，恢复速度增加一倍。这样怪兽攻击你的概率会降低一半，并且很难赶上你。它的有效时间为一分钟乘以魔法等级。	恢复速度中等	恢复较快	恢复最快				
82	5	亡灵杀手	Magic	亡灵杀手	40	40	40	可以招唤天堂的神力破解亡灵怪物所具有的邪恶魔力。攻击力为十六点加上自身魔法等级的1-16倍。此魔法只对亡灵怪物有效。	恢复速度中等	恢复较快	恢复最快				
83	6	天佑一日	none	天佑一日	45	45	45	只需付出少许代价就可以施展神力相助、点化智慧、幸运之日、加速神术、百发百中和守护天使6项魔法。效果取决于角色的光明魔法等级。	施展的所有魔法效果取决于角色的光明魔法等级再乘以2	施展的所有魔法效果取决于角色的光明魔法等级再乘以3	施展的所有魔法效果取决于角色的光明魔法等级再乘以4				
84	7	死亡之光	Magic	死亡之光	50	50	50	可以对视野范围内所有怪物发动攻击。攻击力为二十五点加上自身魔法等级。该魔法只能在室内使用。	恢复速度中等	恢复较快	恢复最快				
85	8	神佑一时	none	神佑一时	55	55	55	可以同时向你的所有角色提供攻击加速、天赐神力、护体盾牌、护体石肤和圣灵佑佐5项魔法。效果取决于角色的光明魔法等级。	施展的所有魔法效果取决于角色的光明魔法等级再乘以2	施展的所有魔法效果取决于角色的光明魔法等级再乘以3	施展的所有魔法效果取决于角色的光明魔法等级再乘以4				
86	9	定身大法	Magic	定身大法	60	60	60	发射该魔法可以麻痹怪兽，使其不能移动或攻击。其有效时间为一分钟乘以魔法等级。在怪物被麻痹过程中你可以全力进攻，而它无还手之力。	恢复较慢	恢复较快	恢复最快				
87	10	聚光魔球	Fire	聚光魔球	65	65	65	聚光魔球是游戏中威力第二大的魔法。它能集中太阳光束照射于单个目标。因为使用太阳光束，所以必须在室外并在白天施法。它的攻击力为二十点加上魔法等级的1-20倍。	恢复极慢	恢复较快	恢复最快				
88	11	普渡众生	none	普渡众生	70	70	70	每天在日升日落时，你可以招唤天堂的神力治愈所有角色的所有伤病，并恢复魔法值。每次使用该魔法会使施法者的年龄增加十岁。光明魔法等级越高，施法的恢复时间越短。	每天可以使用一次	每天可以使用二次	每天可以使用三次				
	Dark Spells		Res					魔法说明							
89	1	起死回生	none	起死回生	20	20	20	该魔法可使死亡的生物苟延残喘。但怪物不会对你心存感激，与你和好。你可以随时随地再置它们于死地。	每个魔法等级可以给予怪物十点生命值（不超过它的最大生命值）	每个魔法等级可以给予怪物二十点生命值	每个魔法等级可以给予怪物三十点生命值				
90	2	毒云笼罩	Pois	毒云笼罩	30	30	30	使你的角色前方生成一朵毒云，并慢慢在空中飘荡。它的攻击力为二十五点加上自身魔法等级的1-10倍。只有击中某物体才会消散。	恢复速度中等	恢复较快	恢复最快				
91	3	诅天咒地	Magic	诅天咒地	40	40	40	对视野范围内的所有怪兽发射魔法。	持续时间为二分钟乘以魔法等级	持续时间为三分钟乘以魔法等级	持续时间为四分钟乘以魔法等级				
92	4	钢镖齐射	Phys	钢镖齐射	50	50	50	向正前方的怪兽发射热力锯齿霰弹，可以扫清一切挡路的怪物。每片弹片的攻击力为六点加上自身魔法等级的1-6倍。	恢复速度中等，有三块弹片	恢复较快，有五块弹片	恢复最快，有七块弹片				
93	5	缩身大法	Magic	缩身大法	60	60	60	可以缩小巨型怪兽的身躯，使其变得容易对付。其持续时间为五分钟乘以魔法等级。被缩小的怪兽它的攻击力也根据身躯比例相应缩小一半，三分之一或四分之一。	使怪兽身躯缩小一半	使怪兽身躯缩小到三分之一	使怪兽身躯缩小到四分之一				
94	6	护身一日	none	护身一日	70	70	70	同时对所有角色施展御火奇术、御电奇术、御寒奇术、御毒奇术和御魔奇术，外加凌空飞降和魔力神眼，总共7项魔法。效果取决于角色的暗黑魔法等级。	施展的所有魔法效果取决于角色的暗黑魔法等级再乘以2	施展的所有魔法效果取决于角色的暗黑魔法等级再乘以3	施展的所有魔法效果取决于角色的暗黑魔法等级再乘以4				
95	7	死神之手	Magic	死神之手	80	80	80	可以把单个怪物的灵魂剥离躯体，使它立即毙命。	成功率为3%乘以魔法等级	成功率为4%乘以魔法等级	成功率为5%乘以魔法等级				
96	8	皎月魔光	Magic	皎月魔光	90	90	90	这项威力强大的暗黑魔法可以治疗你的所有角色并攻击视野范围内的所有怪兽。尽管它的治愈能力和杀伤作用都不强，但它是唯一可以大面积攻击目标的魔法。该魔法只能在室外的黑夜中使用。攻击力为自身魔法等级的1-4倍，治疗力为魔法等级的1-4倍。	恢复较慢	恢复较快	恢复最快				
97	9	神龙吐珠	Pois	神龙吐珠	100	100	100	该魔法可以向单个怪兽喷出云状有毒气体并危及周围的所有生物。它是天下最具威力的攻击魔法，攻击力为自身魔法等级的1-25倍。	恢复较慢	恢复较快	恢复最快				
98	10	末日审判	Magic	末日审判	150	150	150	该魔法是惨绝人寰的屠城杀手。只有学习暗黑魔法的角色方能在一天中使用一次，并只能在室外使用。它可以攻击地图上出现的所有生物，包括你自己。攻击力为五十点加上自身的魔法等级。	每天可以使用一次	每天可以使用二次	每天可以使用三次				
99	11	暗黑之神	Magic	暗黑之神	200	200	200	该魔法试图把所有黑暗之力都注入受害者的体内。它的威力无法预料，施展时后果不堪设想。只有少数一些生物能侥幸逃命。	恢复较慢	恢复较快	恢复最快				
															
															
															
															
															
															
