Spell	SpellPointsNormal	SpellPointsExpert	SpellPointsMaster	SpellPointsGM	DelayNormal	DelayExpert	DelayMaster	DelayGM	DamageAdd	DamageDiceSides
Preservation	8	8	8	8	120	120	120	120	0	0
Heroism	10	10	10	10	120	120	120	120	0	0
Spirit Lash	15	15	15	15	100	100	100	100	10	8
Raise Dead	20	20	20	20	240	240	240	240	0	0
Shared Life	25	25	25	25	150	150	150	150	0	0
Resurrection	30	30	30	30	1000	1000	1000	1000	0	0
Telepathy	1	1	1	1	110	100	90	80	0	0
Remove Fear	2	2	2	2	120	120	120	120	0	0
Mind Resistance	3	3	3	3	120	120	120	120	0	0
Mind Blast	4	4	4	4	110	110	110	110	3	3
Charm	5	5	5	5	100	100	100	100	0	0
Cure Paralysis	8	8	8	8	120	120	120	120	0	0
Berserk	10	10	10	10	120	120	120	120	0	0
Mass Fear	15	15	15	15	80	80	80	80	0	0
Cure Insanity	20	20	20	20	120	120	120	120	0	0
Psychic Shock	25	25	25	25	110	110	110	100	12	12
Enslave	30	30	30	30	120	120	120	120	0	0
Cure Weakness	1	1	1	1	120	120	120	120	0	0
Heal	2	2	2	2	100	100	100	100	0	0
Body Resistance	3	3	3	3	120	120	120	120	0	0
Harm	4	4	4	4	110	100	90	80	8	2
Regeneration	5	5	5	5	110	110	110	110	0	0
Cure Poison	8	8	8	8	120	120	120	120	0	0
Hammerhands	10	10	10	10	120	120	120	120	0	0
Cure Disease	15	15	15	15	120	120	120	120	0	0
Protection from Magic	20	20	20	20	120	120	120	120	0	0
Flying Fist	25	25	25	25	110	110	110	100	20	10
Power Cure	30	30	30	30	100	100	100	100	0	0
Light Bolt	5	5	5	5	110	100	90	80	0	4
Destroy Undead	10	10	10	10	120	110	100	90	16	16
Dispel Magic	15	15	15	15	120	110	100	90	0	0
Paralyze	20	20	20	20	160	140	120	100	0	0
Summon Wisp	25	25	25	25	140	140	140	140	0	0
Day of the Gods	30	30	30	30	500	500	500	500	0	0
Prismatic Light	35	35	35	35	135	135	120	100	25	1
Day of Protection	40	40	40	40	500	500	500	500	0	0
Hour of Power	45	45	45	45	250	250	250	250	0	0
Sunray	50	50	50	50	150	150	150	135	20	20
Divine Intervention	55	55	55	55	300	300	300	300	0	0
Reanimate	10	10	10	10	140	140	140	140	0	0
Toxic Cloud	15	15	15	15	120	110	100	90	25	10
Vampiric Weapon	20	20	20	20	120	100	90	120	0	0
Shrinking Ray	25	25	25	25	120	120	120	120	0	0
Shrapmetal	30	30	30	30	90	90	80	70	0	6
Control Undead	35	35	35	35	120	120	100	80	0	0
Pain Reflection	40	40	40	40	110	110	110	110	0	0
Dark Grasp	45	45	45	45	120	120	120	120	0	0
Dragon Breath	50	50	50	50	120	120	120	100	0	25
Armageddon	55	55	55	55	250	250	250	250	50	1
Souldrinker	60	60	60	60	300	300	300	300	25	8
Glamour	5	5	5	5	100	100	100	100	0	0
Travelers' Boon	10	10	10	10	110	110	110	110	0	0
Blind	15	15	15	15	110	110	110	110	0	0
Darkfire Bolt	30	30	30	30	120	120	120	120	0	17
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Lifedrain	5	5	5	5	100	90	90	90	0	0
Levitate	10	10	10	10	90	90	80	80	0	0
Charm	15	15	15	15	100	100	100	100	0	0
Mistform	30	30	30	30	110	110	110	110	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Fear	5	5	5	5	120	120	120	120	0	0
Flame Blast	10	10	10	10	100	100	90	90	0	0
Flight	15	15	15	15	250	250	250	250	0	0
Wing Buffet	30	30	30	30	120	120	120	120	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
