Soundtype/Voicesetid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
GoodItem1	5010	5110	5210	5310	5410	5510	5610	5710	5810	5910	6010	6110	6210	6310	6410	6510	6610	6710	6810	6910	7010	7110	7210	7310	7410	7510	7610	7710	7810	7910	7410	41045	40891	41116	40966	40439	40662	43312	43094	43366	43153	43421	43209	43677	43260	43474	43528	43577	43627	40305	40581	40370	40738	40513	40814	41471	41623	41548	41699	41778	41851	41181	41252	41329	41403	0
GoodItem2	5011	5111	5211	5311	5411	5511	5611	5711	5811	5911	6011	6111	6211	6311	6411	6511	6611	6711	6811	6911	7011	7111	7211	7311	7411	7511	7611	7711	7811	7911	7411	41046	40892	41117	40967	40440	40663	43312	43094	43366	43153	43421	43209	43677	43260	43474	43528	43577	43627	40306	40582	40371	0	40514	40815	41472	41624	41549	41700	41779	41852	41182	41253	41330	41404	0
CantIdent1	5012	5112	5212	5312	5412	5512	5612	5712	5812	5912	6012	6112	6212	6312	6412	6512	6612	6712	6812	6912	7012	7112	7212	7312	7412	7512	7612	7712	7812	7912	7412	41047	40893	41118	40968	40441	40664	43321	43105	43376	43164	43431	43218	43687	43269	43485	43536	43587	43637	40307	40583	40372	40739	40515	40816	41473	41625	41550	41701	41780	41853	41183	41254	41331	41405	0
CantIdent2	5013	5113	5213	5313	5413	5513	5613	5713	5813	5913	6013	6113	6213	6313	6413	6513	6613	6713	6813	6913	7013	7113	7213	7313	7413	7513	7613	7713	7813	7913	7413	41048	40894	41119	40969	40442	40665	43321	43105	43376	43164	43431	43218	43687	43269	43485	43536	43587	43637	40308	40584	40373	40740	0	40817	41474	41626	41551	41702	41781	41854	41184	41255	41332	41406	0
Repaired1	5014	5114	5214	5314	5414	5514	5614	5714	5814	5914	6014	6114	6214	6314	6414	6514	6614	6714	6814	6914	7014	7114	7214	7314	7414	7514	7614	7714	7814	7914	7414	41049	40895	41120	40970	40443	40666	43322	43106	43377	43165	43432	43219	43688	43270	43486	43537	43588	43638	40309	40585	40374	40741	40516	40818	41475	41627	41552	41703	41782	41855	41185	41256	41333	41407	0
Repaired2	5015	5115	5215	5315	5415	5515	5615	5715	5815	5915	6015	6115	6215	6315	6415	6515	6615	6715	6815	6915	7015	7115	7215	7315	7415	7515	7615	7715	7815	7915	7415	41050	40895	41121	40971	40444	40667	43323	43107	43378	43166	43433	43220	43688	43271	43487	43537	43588	43639	40310	40586	40375	40742	40517	40819	41476	41628	41553	41704	41783	0	41186	41257	41334	41408	0
CantRep1	5016	5116	5216	5316	5416	5516	5616	5716	5816	5916	6016	6116	6216	6316	6416	6516	6616	6716	6816	6916	7016	7116	7216	7316	7416	7516	7616	7716	7816	7916	7416	41051	40896	41122	40972	40445	40668	43324	43108	43379	43167	43434	43221	43689	43272	43488	43538	43589	43640	40311	40587	40376	40743	40518	40820	41477	41629	41554	41705	41784	41856	41187	41258	41335	41409	0
CantRep2	5017	5117	5217	5317	5417	5517	5617	5717	5817	5917	6017	6117	6217	6317	6417	6517	6617	6717	6817	6917	7017	7117	7217	7317	7417	7517	7617	7717	7817	7917	7417	41052	40896	41123	40973	40446	40669	43324	43109	43379	43167	43434	43221	43689	43272	43488	43538	43589	43640	40312	40588	0	0	40519	40821	41478	0	41555	41706	41785	41857	0	41259	41336	0	0
EasyFight1	5018	5118	5218	5318	5418	5518	5618	5718	5818	5918	6018	6118	6218	6318	6418	6518	6618	6718	6818	6918	7018	7118	7218	7318	7418	7518	7618	7718	7818	7918	7418	41053	40897	41124	40974	40447	40670	43351	43137	43405	43193	43459	0	43711	43296	43513	43561	43613	0	40313	40589	40377	40744	40520	40822	41479	41630	41556	41707	41786	41858	41188	41260	41337	41410	0
EasyFight2	5019	5119	5219	5319	5419	5519	5619	5719	5819	5919	6019	6119	6219	6319	6419	6519	6619	6719	6819	6919	7019	7119	7219	7319	7419	7519	7619	7719	7819	7919	7419	41054	40898	41125	40975	40448	40671	43351	43137	43405	43193	43459	0	43711	43296	43513	43561	43613	0	40314	0	0	40745	0	40823	41480	41631	41557	41708	41787	41859	41189	41261	41338	41411	0
HardFight1	5020	5120	5220	5320	5420	5520	5620	5720	5820	5920	6020	6120	6220	6320	6420	6520	6620	6720	6820	6920	7020	7120	7220	7320	7420	7520	7620	7720	7820	7920	7420	41055	40899	41126	40976	40449	40672	43315	43098	43369	43157	43424	43212	43680	43263	43478	43531	43580	43631	40315	40590	40378	40746	40521	40824	41481	41632	41558	41709	41788	41860	41190	41262	41339	41412	0
HardFight2	5021	5121	5221	5321	5421	5521	5621	5721	5821	5921	6021	6121	6221	6321	6421	6521	6621	6721	6821	6921	7021	7121	7221	7321	7421	7521	7621	7721	7821	7921	7421	41056	40900	41126	40977	40450	40672	43315	43098	43369	43157	43424	43212	43680	43263	43478	43531	43580	43631	40316	40591	40379	0	40522	40825	41482	41633	41559	41710	41789	41861	0	41263	0	0	0
CantIdMon1	5022	5122	5222	5322	5422	5522	5622	5722	5822	5922	6022	6122	6222	6322	6422	6522	6622	6722	6822	6922	7022	7122	7222	7322	7422	7522	7622	7722	7822	7922	7422	41057	40901	41127	40978	40451	40673	43321	43105	43376	43164	43431	43218	43687	43269	43485	43536	43587	43637	40317	40592	40380	40747	40523	40826	41483	41634	41560	41711	41790	41862	41191	41264	41340	41413	0
CantIdMon2	5023	5123	5223	5323	5423	5523	5623	5723	5823	5923	6023	6123	6223	6323	6423	6523	6623	6723	6823	6923	7023	7123	7223	7323	7423	7523	7623	7723	7823	7923	7423	41058	40902	41128	40979	40452	40673	43321	43105	43376	43164	43431	43218	43687	43269	43485	43536	43587	43637	0	40593	0	0	0	40827	41484	0	0	41712	0	41863	41192	0	41341	0	0
QuickSpell1	5024	5124	5224	5324	5424	5524	5624	5724	5824	5924	6024	6124	6224	6324	6424	6524	6624	6724	6824	6924	7024	7124	7224	7324	7424	7524	7624	7724	7824	7924	7424	41059	40903	41129	40980	40453	40674	43313	43095	43367	43154	43422	43210	43678	43261	43475	43529	43578	43628	40318	40594	40381	40748	40524	40828	41485	41635	41561	41713	41791	41864	41193	41265	41342	41414	0
QuickSpell2	5025	5125	5225	5325	5425	5525	5625	5725	5825	5925	6025	6125	6225	6325	6425	6525	6625	6725	6825	6925	7025	7125	7225	7325	7425	7525	7625	7725	7825	7925	7425	41059	40904	41130	40981	40454	40675	43313	43096	43367	43155	43422	43210	43678	43261	43476	43529	43578	43629	40319	40595	0	40749	0	40829	41486	41636	41562	41714	41792	41865	41194	0	0	41415	0
Hungry1	5026	5126	5226	5326	5426	5526	5626	5726	5826	5926	6026	6126	6226	6326	6426	6526	6626	6726	6826	6926	7026	7126	7226	7326	7426	7526	7626	7726	7826	7926	7426	41060	40905	41131	40982	40455	40676	43310	43092	43364	43151	43419	43207	43675	43258	43472	43526	43575	43625	40320	40596	40382	40750	40525	40830	41487	41637	41563	41715	41793	41866	41195	41266	41343	41416	0
Hungry2	5027	5127	5227	5327	5427	5527	5627	5727	5827	5927	6027	6127	6227	6327	6427	6527	6627	6727	6827	6927	7027	7127	7227	7327	7427	7527	7627	7727	7827	7927	7427	41061	40906	41131	40983	40456	40677	43310	43092	43364	43151	43419	43207	43675	43258	43472	43526	43575	43625	0	40597	0	40751	0	40831	0	41638	41564	41716	0	41867	41196	41267	41344	0	0
SoftInjure1	5028	5128	5228	5328	5428	5528	5628	5728	5828	5928	6028	6128	6228	6328	6428	6528	6628	6728	6828	6928	7028	7128	7228	7328	7428	7528	7628	7728	7828	7928	7428	41062	40907	41132	40984	40457	40678	0	0	0	0	0	0	0	0	0	0	0	0	40321	40598	40383	40752	40526	40832	41488	41639	41565	41717	41794	41868	41197	41268	41345	41417	0
SoftInjure1	5029	5129	5229	5329	5429	5529	5629	5729	5829	5929	6029	6129	6229	6329	6429	6529	6629	6729	6829	6929	7029	7129	7229	7329	7429	7529	7629	7729	7829	7929	7429	41063	40908	41132	40985	40457	40678	0	0	0	0	0	0	0	0	0	0	0	0	40322	40598	40383	40753	40527	40832	41488	41640	41565	41718	41795	41869	41198	41269	41346	41418	0
Injured1	5030	5130	5230	5330	5430	5530	5630	5730	5830	5930	6030	6130	6230	6330	6430	6530	6630	6730	6830	6930	7030	7130	7230	7330	7430	7530	7630	7730	7830	7930	7430	41064	40909	41133	40986	40458	40679	43350	43136	43404	43192	43458	43244	43710	43295	43512	43560	43612	43661	40323	40599	40384	40754	40528	40833	41489	41641	41566	41719	41796	41870	41199	41270	41347	41419	0
Injured2	5031	5131	5231	5331	5431	5531	5631	5731	5831	5931	6031	6131	6231	6331	6431	6531	6631	6731	6831	6931	7031	7131	7231	7331	7431	7531	7631	7731	7831	7931	7431	41065	40910	41134	40987	40458	40680	43350	43136	43404	43192	43458	43244	43710	43295	43512	43560	43612	43661	40323	40600	40384	40755	40529	40834	41490	41642	41567	41720	41797	0	41200	41271	41348	41420	0
HardInjured1	5032	5132	5232	5332	5432	5532	5632	5732	5832	5932	6032	6132	6232	6332	6432	6532	6632	6732	6832	6932	7032	7132	7232	7332	7432	7532	7632	7732	7832	7932	7432	41066	40911	41135	40988	40459	40681	43337	43124	43390	43180	43445	43232	43699	43284	43499	43548	43601	43650	40324	40601	40385	40756	40530	40835	41491	41643	41568	41721	41798	41871	41201	41272	41349	41421	0
HardInjured2	5033	5133	5233	5333	5433	5533	5633	5733	5833	5933	6033	6133	6233	6333	6433	6533	6633	6733	6833	6933	7033	7133	7233	7333	7433	7533	7633	7733	7833	7933	7433	41066	40911	41135	40989	40459	40681	43338	43125	43391	43180	43445	43232	43699	43284	43500	43548	43601	43650	40324	40601	40385	40756	40530	40835	41491	41643	41568	41721	0	0	0	0	0	0	0
Drunk1	5034	5134	5234	5334	5434	5534	5634	5734	5834	5934	6034	6134	6234	6334	6434	6534	6634	6734	6834	6934	7034	7134	7234	7334	7434	7534	7634	7734	7834	7934	7434	41067	40912	41136	40990	40460	40682	43353	43139	43407	43195	43461	43246	43713	43298	43515	43563	0	43663	40325	40602	40386	40757	40531	40836	41492	41644	41569	41722	41799	41872	41202	41273	41350	41422	0
Drunk2	5035	5135	5235	5335	5435	5535	5635	5735	5835	5935	6035	6135	6235	6335	6435	6535	6635	6735	6835	6935	7035	7135	7235	7335	7435	7535	7635	7735	7835	7935	7435	41067	40912	41136	40991	40460	40682	43353	43139	43407	43195	43461	43246	43713	43298	43515	43563	0	43663	40325	40602	40386	40757	40531	40836	41493	41644	41569	41722	41800	0	0	41274	41351	0	0
Insane3	5036	5136	5236	5336	5436	5536	5636	5736	5836	5936	6036	6136	6236	6336	6436	6536	6636	6736	6836	6936	7036	7136	7236	7336	7436	7536	7636	7736	7836	7936	7436	41068	40913	41137	40992	40461	40683	43354	43140	43408	43196	43462	43247	43714	43299	43516	43564	43615	43664	40326	40603	40387	40758	40532	40837	41494	41645	41570	41723	41801	41873	41203	41275	41352	41423	0
Insane4	5037	5137	5237	5337	5437	5537	5637	5737	5837	5937	6037	6137	6237	6337	6437	6537	6637	6737	6837	6937	7037	7137	7237	7337	7437	7537	7637	7737	7837	7937	7437	41068	40913	41137	40993	40461	40683	43354	43140	43408	43196	43462	43247	43714	43299	43516	43564	43615	43664	40326	40604	40387	40758	40532	40837	41494	41645	41570	41723	0	0	0	0	0	0	0
Poison1	5038	5138	5238	5338	5438	5538	5638	5738	5838	5938	6038	6138	6238	6338	6438	6538	6638	6738	6838	6938	7038	7138	7238	7338	7438	7538	7638	7738	7838	7938	7438	41069	40914	41138	40994	40462	40684	43355	43141	43409	43197	43460	43248	43715	43300	43463	43565	43616	43665	40327	40605	40388	40759	40533	40838	41495	41646	41571	41724	41802	41874	41204	41276	41353	41424	0
Poison2	5039	5139	5239	5339	5439	5539	5639	5739	5839	5939	6039	6139	6239	6339	6439	6539	6639	6739	6839	6939	7039	7139	7239	7339	7439	7539	7639	7739	7839	7939	7439	41069	40914	41138	40995	40462	40684	43355	43141	43409	43197	43460	43248	43715	43300	43517	43565	43616	43665	40327	40605	40388	40759	40533	40838	41495	41646	41571	41724	0	0	0	0	0	0	0
Misc3	5040	5140	5240	5340	5440	5540	5640	5740	5840	5940	6040	6140	6240	6340	6440	6540	6640	6740	6840	6940	7040	7140	7240	7340	7440	7540	7640	7740	7840	7940	7440	41070	40915	41139	40996	40463	40685	43352	43138	43406	43194	43460	43245	43712	43297	43517	43562	43614	43662	40328	40606	40389	40760	40534	40839	41496	41647	41572	41725	41803	41875	41205	41277	41354	41425	0
Misc4	5041	5141	5241	5341	5441	5541	5641	5741	5841	5941	6041	6141	6241	6341	6441	6541	6641	6741	6841	6941	7041	7141	7241	7341	7441	7541	7641	7741	7841	7941	7441	41070	40915	41139	40997	40463	40685	43352	43138	43406	43194	43460	43245	43712	43297	43514	43562	43614	43662	40328	40606	40389	40760	40534	40839	41496	41647	41572	41725	0	0	0	0	0	0	0
Fall1	5042	5142	5242	5342	5442	5542	5642	5742	5842	5942	6042	6142	6242	6342	6442	6542	6642	6742	6842	6942	7042	7142	7242	7342	7442	7542	7642	7742	7842	7942	7442	41071	40916	41140	40998	40464	40686	43349	43135	43403	43191	43457	43243	43709	43294	43511	43559	43611	43660	40329	40607	40390	40761	40535	40840	41497	41648	41573	41726	41804	41876	41206	41278	41355	41426	0
Fall2	5043	5143	5243	5343	5443	5543	5643	5743	5843	5943	6043	6143	6243	6343	6443	6543	6643	6743	6843	6943	7043	7143	7243	7343	7443	7543	7643	7743	7843	7943	7443	41071	40916	41140	40999	40464	40686	43349	43135	43403	43191	43457	43243	43709	43294	43511	43559	43611	43660	40329	40607	40390	40761	40535	40840	41497	41648	41573	41726	0	0	0	0	0	0	0
CantRestHere1	5044	5144	5244	5344	5444	5544	5644	5744	5844	5944	6044	6144	6244	6344	6444	6544	6644	6744	6844	6944	7044	7144	7244	7344	7444	7544	7644	7744	7844	7944	7444	41072	40917	41141	41000	40465	40687	43326	43112	43381	43169	43436	43223	43691	43274	43490	43540	43591	43642	40330	40608	40391	40762	40536	40841	41498	41649	41574	41727	41805	41877	41207	41279	41356	41427	0
CantRestHere2	5045	5145	5245	5345	5445	5545	5645	5745	5845	5945	6045	6145	6245	6345	6445	6545	6645	6745	6845	6945	7045	7145	7245	7345	7445	7545	7645	7745	7845	7945	7445	41072	40917	41141	41001	40466	40688	43326	43112	43381	43169	43436	43223	43691	43274	43490	43540	43591	43642	40331	40609	40392	40763	40536	40842	41498	41649	41575	41727	0	0	0	0	0	0	0
NeedMoreGold1	5046	5146	5246	5346	5446	5546	5646	5746	5846	5946	6046	6146	6246	6346	6446	6546	6646	6746	6846	6946	7046	7146	7246	7346	7446	7546	7646	7746	7846	7946	7446	41073	40918	41142	41002	40467	40689	43359	43145	43413	43201	43467	43252	43719	43304	43521	43569	43619	43669	40332	40610	40393	40764	40537	40843	41499	41650	41576	41728	41806	41878	41208	41280	41357	41428	0
NeedMoreGold2	5047	5147	5247	5347	5447	5547	5647	5747	5847	5947	6047	6147	6247	6347	6447	6547	6647	6747	6847	6947	7047	7147	7247	7347	7447	7547	7647	7747	7847	7947	7447	41073	40918	41142	41002	40468	40690	43359	43145	43413	43201	43467	43252	43719	43304	43521	43569	43619	43669	40333	40611	40394	40765	40537	40844	41500	41651	41577	41728	41807	41879	0	41281	41358	41429	0
InventoryFull1	5048	5148	5248	5348	5448	5548	5648	5748	5848	5948	6048	6148	6248	6348	6448	6548	6648	6748	6848	6948	7048	7148	7248	7348	7448	7548	7648	7748	7848	7948	7448	41074	40919	41143	41003	40469	40691	43329	43115	43383	43171	43438	43225	43693	43276	43492	43542	43593	43644	40334	40612	40395	40766	40538	40845	41501	41652	41578	41729	41808	41880	41209	41282	41359	41430	0
InventoryFull2	5049	5149	5249	5349	5449	5549	5649	5749	5849	5949	6049	6149	6249	6349	6449	6549	6649	6749	6849	6949	7049	7149	7249	7349	7449	7549	7649	7749	7849	7949	7449	41075	40920	41143	41004	40470	40692	43329	43115	43383	43171	43438	43225	43693	43276	43492	43542	43593	43644	40334	40613	40396	40767	40539	40846	41501	41653	41578	41730	41809	0	0	41283	0	0	0
PotionMixed1	5050	5150	5250	5350	5450	5550	5650	5750	5850	5950	6050	6150	6250	6350	6450	6550	6650	6750	6850	6950	7050	7150	7250	7350	7450	7550	7650	7750	7850	7950	7450	41076	40921	41144	41005	40471	40693	43330	43116	43384	43172	43439	43226	43694	43277	43493	43543	43594	43645	40335	40614	40397	40768	40540	40847	41502	41654	41579	41731	41810	41881	41210	41284	41360	41431	0
PotionMixed2	5051	5151	5251	5351	5451	5551	5651	5751	5851	5951	6051	6151	6251	6351	6451	6551	6651	6751	6851	6951	7051	7151	7251	7351	7451	7551	7651	7751	7851	7951	7451	41077	40922	41145	41006	40472	40694	43330	43117	43384	43173	43439	43226	43694	43277	43493	43543	43595	43645	40336	40615	40398	40769	40541	40848	41503	41655	41580	41732	41811	41882	41211	41285	41361	41432	0
FailMixing1	5052	5152	5252	5352	5452	5552	5652	5752	5852	5952	6052	6152	6252	6352	6452	6552	6652	6752	6852	6952	7052	7152	7252	7352	7452	7552	7652	7752	7852	7952	7452	41078	40923	41146	41007	40473	40695	43358	43144	43412	43200	43466	43251	43718	43303	43520	43568	43618	43668	40337	40616	40399	40770	40542	40849	41504	41656	41581	41733	41812	41883	41212	41286	41362	41433	0
FailMixing2	5053	5153	5253	5353	5453	5553	5653	5753	5853	5953	6053	6153	6253	6353	6453	6553	6653	6753	6853	6953	7053	7153	7253	7353	7453	7553	7653	7753	7853	7953	7453	41079	40924	41146	41008	40474	40696	43358	43144	43412	43200	43466	43251	43718	43303	43520	43568	43618	43668	40338	40617	40400	40771	40543	40850	41505	41657	41581	41734	41813	41884	41213	41287	41363	0	0
NeedAKey1	5054	5154	5254	5354	5454	5554	5654	5754	5854	5954	6054	6154	6254	6354	6454	6554	6654	6754	6854	6954	7054	7154	7254	7354	7454	7554	7654	7754	7854	7954	7454	41080	40925	41147	41009	40475	40697	43314	43097	43368	43156	43423	43211	43679	43262	43477	43530	43579	43630	40339	40618	40401	40772	40544	40851	41506	41658	41582	41735	41814	41885	41214	41288	41364	41434	0
NeedAKey1	5055	5155	5255	5355	5455	5555	5655	5755	5855	5955	6055	6155	6255	6355	6455	6555	6655	6755	6855	6955	7055	7155	7255	7355	7455	7555	7655	7755	7855	7955	7455	41080	40925	41147	41010	40476	40698	43314	43097	43368	43156	43423	43211	43679	43262	43477	43530	43579	43630	40339	40619	40402	40773	40544	40852	41506	41658	41582	41735	0	0	0	0	0	0	0
LearnSpell1	5056	5156	5256	5356	5456	5556	5656	5756	5856	5956	6056	6156	6256	6356	6456	6556	6656	6756	6856	6956	7056	7156	7256	7356	7456	7556	7656	7756	7856	7956	7456	41081	40926	41148	41011	40477	40699	43330	43116	43384	43172	43439	43226	43694	43277	43493	43543	43594	43645	40340	40620	40403	40774	40545	40853	41507	41659	41583	41736	41815	41886	41215	41289	41365	41435	0
LearnSpell2	5057	5157	5257	5357	5457	5557	5657	5757	5857	5957	6057	6157	6257	6357	6457	6557	6657	6757	6857	6957	7057	7157	7257	7357	7457	7557	7657	7757	7857	7957	7457	41081	40927	41148	41012	40478	40700	43330	43117	43384	43173	43439	43226	43694	43277	43493	43543	43595	43645	40341	40621	40404	40775	40546	40854	41508	41659	41584	41737	41816	0	0	41290	41366	41436	0
CantLearn1	5058	5158	5258	5358	5458	5558	5658	5758	5858	5958	6058	6158	6258	6358	6458	6558	6658	6758	6858	6958	7058	7158	7258	7358	7458	7558	7658	7758	7858	7958	7458	41082	40928	41149	41013	40479	40701	43332	43119	43386	43175	43441	43228	43696	43279	43495	43545	43597	43647	40342	40622	40405	40776	40547	40855	41509	41660	41585	41738	41817	41887	41216	41291	41367	41437	0
CantLearn2	5059	5159	5259	5359	5459	5559	5659	5759	5859	5959	6059	6159	6259	6361	6459	6559	6659	6759	6859	6959	7059	7159	7259	7359	7459	7559	7659	7759	7859	7959	7459	41083	40928	41149	41014	40480	40701	43332	43119	43386	43175	43441	43228	43696	43279	43495	43545	43597	43647	40342	40623	40406	40777	40547	40856	41509	41660	41586	41739	0	0	0	0	41368	0	0
CantEquip1	5060	5160	5260	5360	5460	5560	5660	5760	5860	5960	6060	6160	6260	6360	6460	6560	6660	6760	6860	6960	7060	7160	7260	7360	7460	7560	7660	7760	7860	7960	7460	41084	40929	41150	41015	40481	40702	43307	43088	43361	43147	43415	43203	43671	43254	43469	43523	43571	43621	40343	40624	40407	40778	40548	40857	41510	41661	41587	41740	41818	41888	41217	41292	41369	41438	0
CantEquip2	5061	5161	5261	5361	5461	5561	5661	5761	5861	5961	6061	6161	6261	6361	6461	6561	6661	6761	6861	6961	7061	7161	7261	7361	7461	7561	7661	7761	7861	7961	7461	41085	40930	41150	41016	40482	40702	43307	43088	43361	43147	43415	43203	43671	43254	43469	43523	43571	43621	40343	40625	40407	40779	40548	40858	41511	41662	41588	41741	41819	0	41218	0	41370	0	0
Hello1	5062	5162	5262	5362	5462	5562	5662	5762	5862	5962	6062	6162	6262	6362	6462	6562	6662	6762	6862	6962	7062	7162	7262	7362	7462	7562	7662	7762	7862	7962	7462	41086	40931	41151	41017	40483	40703	43343	43130	43396	43185	43450	43237	43704	43289	43505	43553	43606	43654	40344	40626	40408	40780	40549	40859	41512	41663	41589	41742	41820	41889	41219	41293	41371	41439	0
Hello2	5063	5163	5263	5363	5463	5563	5663	5763	5863	5963	6063	6163	6263	6363	6463	6563	6663	6763	6863	6963	7063	7163	7263	7363	7463	7563	7663	7763	7863	7963	7463	41087	40932	41152	41017	40484	40704	43344	43131	43397	43186	43451	43238	43705	43289	43505	43554	43606	43654	40344	40626	40408	40781	40549	40860	41513	41664	41590	41743	41821	41890	0	0	41372	0	0
Hello3	5064	5164	5264	5364	5464	5564	5664	5764	5864	5964	6064	6164	6264	6364	6464	6564	6664	6764	6864	6964	7064	7164	7264	7364	7464	7564	7664	7764	7864	7964	7464	41088	40933	41153	41018	40485	40705	43345	43132	43398	43187	43452	43239	43706	43290	43506	43555	43607	43655	40345	40627	40409	40782	40550	40861	41514	41665	41591	41744	41822	41891	41220	41294	41373	41440	0
Hello4	5065	5165	5265	5365	5465	5565	5665	5765	5865	5965	6065	6165	6265	6365	6465	6565	6665	6765	6865	6965	7065	7165	7265	7365	7465	7565	7665	7765	7865	7965	7465	41088	40933	41153	41018	40486	40705	43345	43132	43399	43187	43453	43239	43706	43291	43507	43555	43608	43656	40345	40627	40409	40782	40550	40861	41514	41666	41592	41745	0	0	41221	0	41374	0	0
Hello5	5066	5166	5266	5366	5466	5566	5666	5766	5866	5966	6066	6166	6266	6366	6466	6566	6666	6766	6866	6966	7066	7166	7266	7366	7466	7566	7666	7766	7866	7966	7466	41089	40934	41154	41019	40487	40706	43349	43135	43403	43191	43457	43243	43709	43294	43508	43559	43611	43660	40346	40628	40410	40783	40551	40862	41515	41667	41593	41746	41823	41892	41222	41295	41375	41441	0
Hello6	5067	5167	5267	5367	5467	5567	5667	5767	5867	5967	6067	6167	6267	6367	6467	6567	6667	6767	6867	6967	7067	7167	7267	7367	7467	7567	7667	7767	7867	7967	7467	41090	40934	41154	41019	40487	40706	43349	43135	43403	43191	43457	43243	43709	43294	43511	43559	43611	43660	40346	40628	40410	40783	40551	40862	41516	41668	41593	41746	0	0	0	0	41376	0	0
