	Archer	WarriorMage	MasterArcher	Sniper	Cleric	Priest	PriestLight	PriestDark	DarkElf	Patriarch	Dragon	GreatWyrm	Druid	GreatDruid	Warlock	ArchDruid	Knight	Cavalier	BlackKnight	Champion	Minotaur	MinotaurLord	Monk	Initiate	Master	Ninja	Paladin	Crusader	Hero	Villain	Ranger	Hunter	BountyHunter	RangerLord	Thief	Rogue	Assassin	Spy	Troll	WarTroll	Vampire	Nosferatu	Sorcerer	Wizard	Necromancer	Lich	ArchMage	Dark Archmage	Peasant	n/u	High Priest	Master Wizard	n/u
Dark	-	-	-	B	-	-	-	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	G	-	G	-	-	M	M	M
DarkElfAbility	-	-	-	-	-	-	-	-	M	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VampireAbility	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	G	-	-	-	-	-	-	-	-	-	-	-
DragonAbility	-	-	-	-	-	-	-	-	-	-	M	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IdentifyItem	-	-	-	-	-	-	-	-	M	M	M	G	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	B	E	E	M	M	G	G	-	-	E	E	M	M	M	G	G	M	-	-	-	M	M
Merchant	E	E	E	E	M	M	M	M	M	G	E	E	E	E	E	E	E	E	E	E	E	E	-	-	-	-	E	E	E	E	B	B	B	B	M	M	M	M	B	B	E	E	B	B	B	B	B	B	-	-	M	B	B
Repair	E	E	E	E	E	E	E	E	E	E	-	-	-	-	-	-	M	M	G	G	-	-	-	-	-	-	M	M	G	G	B	B	E	E	B	B	B	B	M	M	-	-	-	E	-	-	E	E	-	-	E	E	E
Bodybuilding	E	E	E	E	B	B	B	B	-	-	M	M	-	-	-	-	M	M	M	M	M	G	M	M	G	G	M	M	M	M	E	E	E	E	E	E	E	E	M	G	-	-	-	-	-	-	-	-	-	-	B	-	-
Meditation	E	E	E	E	M	M	M	M	E	E	M	M	M	M	G	G	-	-	-	-	-	-	-	-	-	-	E	E	E	E	B	B	B	B	-	-	-	-	-	-	-	-	M	M	M	M	M	M	-	-	M	M	M
Perception	M	M	G	G	E	E	E	E	M	M	M	G	E	E	E	E	E	E	E	E	M	G	E	E	E	E	B	B	B	B	M	M	M	M	M	M	M	M	B	B	E	E	E	E	E	E	E	E	B	B	E	E	E
Regeneration	-	-	-	-	-	-	-	-	-	-	E	E	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	G	E	M	-	-	-	E	-	-	-	-	-	-	-
DisarmTraps	B	E	M	M	-	-	-	-	M	G	-	-	-	-	-	-	B	B	B	B	M	M	B	E	M	M	-	-	-	-	E	E	E	E	M	M	G	G	B	B	E	E	-	-	B	B	B	B	-	-	-	B	B
Dodging	E	E	E	E	-	-	-	-	E	E	-	-	-	-	-	-	E	E	E	E	-	-	M	M	G	G	B	B	B	B	E	E	E	E	M	M	M	M	-	-	E	E	-	-	-	-	-	-	-	-	-	-	-
Unarmed	B	B	B	B	-	-	-	-	-	-	-	-	-	-	-	-	E	E	E	E	E	E	M	M	G	G	B	B	B	B	B	B	B	B	E	E	E	E	E	E	B	B	-	-	-	-	-	-	-	-	-	-	-
IdentifyMonster	-	-	-	-	E	E	E	E	-	-	M	M	E	E	E	E	B	B	B	B	-	-	E	E	E	E	-	-	-	-	M	M	G	G	-	-	-	-	E	E	M	G	M	M	M	M	M	M	-	-	E	M	M
Armsmaster	E	E	E	E	-	-	B	B	E	E	-	-	B	B	B	B	M	M	G	G	M	M	M	M	M	M	E	E	E	E	E	E	M	M	M	M	M	M	M	M	B	B	-	-	-	-	-	-	-	-	B	-	-
Stealing	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alchemy	E	E	E	E	E	E	E	E	E	E	M	M	M	M	G	G	-	-	-	-	B	B	-	-	-	-	-	-	-	-	B	B	B	B	E	E	M	M	-	-	M	M	M	M	M	M	M	M	-	-	E	M	M
Learning	M	M	M	M	M	M	M	M	E	E	M	G	M	M	M	M	B	B	B	B	B	B	M	M	G	G	B	B	B	B	E	E	E	E	E	E	E	E	B	B	B	B	M	M	M	M	M	M	B	B	M	M	M
